"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"gene-PDE12|PDE12",0.906373976811402,5.79444534488178,5.29752110095313,8.07841587518353e-06,0.0288879320895457,3.64783142158768
"gene-TPPP3|TPPP3",-3.25290531824575,-2.18956432232214,-5.29235602805071,8.2015378454234e-06,0.0288879320895457,0.723919353980574
"gene-SLC7A3|SLC7A3",0.954531996985412,6.52841832001052,5.27559603680835,8.61411127261959e-06,0.0288879320895457,3.58830396299142
"gene-NEK8|NEK8",1.13790351371547,4.38122699723027,5.18394754713192,1.12652980802802e-05,0.0288879320895457,3.3231530043315
"gene-LOC100227014|LOC100227014",1.13194514388954,5.05078105271761,5.14754835521505,1.25316432495638e-05,0.0288879320895457,3.23645323153801
"gene-PPP1R10|PPP1R10",0.805251880212937,9.64708818195194,5.06641346668707,1.5888619006236e-05,0.0288879320895457,3.0169075217981
"gene-CKAP2L|CKAP2L",0.858422923006867,8.94362152816909,5.02998578230959,1.76741701484729e-05,0.0288879320895457,2.91698110887151
"gene-MAP2K5|MAP2K5",-1.02978766149498,1.13248554546087,-5.01427701148203,1.85045605505938e-05,0.0288879320895457,2.62698298493134
"gene-LOC140680309|LOC140680309",1.38629595615907,5.45683995577905,4.91588532564338,2.46647150356903e-05,0.0342264028978596,2.60997696146526
"gene-SCARF2|SCARF2",1.20577007914914,5.04478808259856,4.87338374505075,2.79206635310662e-05,0.0348701166839485,2.49575320925838
"gene-FGFR4|FGFR4",1.19214273692761,4.58462668917071,4.80630192478537,3.3949591254686e-05,0.0385451313799794,2.31483951122411
"gene-GNPAT|GNPAT",-0.829941905657217,2.41288484975268,-4.71902645113474,4.37649923440326e-05,0.0455484157820519,2.04164124617767
"gene-GPD1|GPD1",1.08743490238309,5.06924742856413,4.61581749384888,5.90544216697524e-05,0.0472551318296627,1.80309856868606
"gene-LOC100225066|LOC100225066",1.41938241620644,5.20107448772615,4.5737291782817,6.67129735307398e-05,0.0472551318296627,1.69066438954469
"gene-ACTG2|ACTG2",1.57323713208398,2.61219141813162,4.5692973650679,6.75744875799832e-05,0.0472551318296627,1.6186438962474
"gene-AGTR2|AGTR2",-2.8337114944647,-1.98313169882338,-4.53843392213782,7.38870611982585e-05,0.0472551318296627,-0.19050501864012
"gene-LOC100229115|LOC100229115",0.822946310010158,3.3908944814261,4.53616657592399,7.43731597647934e-05,0.0472551318296627,1.58830925611147
"gene-LOC115491955|LOC115491955",1.45079988150989,6.61571129593133,4.52962568489572,7.57932573663618e-05,0.0472551318296627,1.55858844537402
"gene-SERPINF2|SERPINF2",0.823146545849901,4.59325358444849,4.50099552183208,8.23312537285722e-05,0.0472551318296627,1.50034175091554
"gene-RAB25|RAB25",1.08403875809405,1.75197398209379,4.4753490797599,8.86593016707707e-05,0.0472551318296627,1.31243436204668
"gene-HSP90AB1|HSP90AB1",1.37846085529058,4.31469802629602,4.47079413648146,8.98324006356404e-05,0.0472551318296627,1.42390540293048
"gene-DDR2|DDR2",1.17919444193341,3.09338268251068,4.45320790414957,9.45072404452505e-05,0.0472551318296627,1.36133354434631
"gene-SETD1B|SETD1B",0.892897775099066,6.72618241171614,4.44706636774151,9.61957567386124e-05,0.0472551318296627,1.33418852868152
"gene-DLST|DLST",-0.655466422980258,3.86920431801088,-4.44624974778186,9.64225050592801e-05,0.0472551318296627,1.35801255089234
