"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0002521","leukocyte differentiation",24,-0.71072596810717,-2.20400690148086,3.74375659808046e-05,0.00810278535064005,0.00695683622298032,1607,"tags=50%, list=16%, signal=42%","PPP2R3C/LOC100222416/SRC/LCK/CD79B/ITK/LYN/CD79A/CD3E/INPP5D/TPD52/KIT",0.557332238758646
"GO:0010324","membrane invagination",17,-0.765659153177882,-2.16542212939028,4.2933833746166e-05,0.00810278535064005,0.00695683622298032,913,"tags=47%, list=9%, signal=43%","RHOT1/RHOBTB1/SNX9/LOC115494853/RAC3/RAC2/LOC100226244/BIN2",0.557332238758646
"GO:0099024","plasma membrane invagination",17,-0.765659153177882,-2.16542212939028,4.2933833746166e-05,0.00810278535064005,0.00695683622298032,913,"tags=47%, list=9%, signal=43%","RHOT1/RHOBTB1/SNX9/LOC115494853/RAC3/RAC2/LOC100226244/BIN2",0.557332238758646
"GO:0030097","hemopoiesis",41,-0.617869448845721,-2.12114981688049,1.88974858491715e-05,0.00784623612457602,0.00673656987361703,1671,"tags=44%, list=17%, signal=37%","RUNX3/IL7R/PPP2R3C/LOC100222416/SRC/LCK/RUNX1/CD79B/ITK/JAK2/LYN/TET2/CD79A/CD3E/CASP3/INPP5D/TPD52/KIT",0.575610261071129
"GO:1903131","mononuclear cell differentiation",16,-0.759142740077572,-2.03703446325822,0.000184823146102233,0.0201943605951703,0.0173383414725789,1607,"tags=69%, list=16%, signal=58%","PPP2R3C/LOC100222416/LCK/CD79B/ITK/LYN/CD79A/CD3E/INPP5D/TPD52/KIT",0.518848077743792
"GO:0007259","cell surface receptor signaling pathway via JAK-STAT",15,-0.754345344028452,-2.01923877975064,0.000393199352670902,0.0247358138225695,0.0212375125538967,1908,"tags=73%, list=19%, signal=59%","MST1/STAT6/IL7R/IL15/LOC100222731/STAT3/JAK2/JAK1/STAT4/SOCS5/KIT",0.49849310876659
"GO:0097696","cell surface receptor signaling pathway via STAT",15,-0.754345344028452,-2.01923877975064,0.000393199352670902,0.0247358138225695,0.0212375125538967,1908,"tags=73%, list=19%, signal=59%","MST1/STAT6/IL7R/IL15/LOC100222731/STAT3/JAK2/JAK1/STAT4/SOCS5/KIT",0.49849310876659
"GO:0030098","lymphocyte differentiation",15,-0.752410413514287,-2.01405933937727,0.000428776564440368,0.0261805925817119,0.0224779612108515,1607,"tags=67%, list=16%, signal=56%","PPP2R3C/LOC100222416/LCK/CD79B/ITK/CD79A/CD3E/INPP5D/TPD52/KIT",0.49849310876659
"GO:0043087","regulation of GTPase activity",91,-0.496370885073279,-2.00345197301399,2.83116296715396e-06,0.00302006456925763,0.00259294720049462,2719,"tags=59%, list=27%, signal=44%","ADAP1/CCPG1/DAB2IP/ARHGAP25/TRAPPC6B/SIPA1/PLXNA1/PLXNC1/SIPA1L1/RGS9/PLXND1/LOC116806888/ARAP2/GARNL3/RAB3GAP2/ARHGAP17/SNX13/RASGRP1/RANGAP1/RCC2/RASAL3/ARHGAP22/ARHGAP15/RAPGEF1/CHN2/VAV2/TBC1D22A/TBC1D7/PREX1/ADAP2/RASA2/RALGAPA1/BCR/DOCK11/ABR/RAB3GAP1/TBC1D5/DOCK10/RAP1GDS1/RALGPS2/ARHGAP29/IQGAP1/VAV3/RALGPS1/SGSM2/TBC1D20/DOCK8/RASA3/RALBP1/ARHGAP45/RASAL2/TIAM2/ASAP1/SOS2",0.627256739718528
"GO:0006301","DNA damage tolerance",10,-0.856868714959063,-1.99531910825566,5.36558511877745e-05,0.00856842669737076,0.00735662351187816,650,"tags=50%, list=7%, signal=47%","PRIMPOL/POLDIP2/UBE2V2/UBE2N/UBE2V1",0.557332238758646
"GO:0030865","cortical cytoskeleton organization",24,-0.638935096800201,-1.98137879596041,0.000806289042322817,0.0356139585502589,0.0305771986007984,1948,"tags=58%, list=19%, signal=47%","FMNL1/RAC1/EPB41L2/NCKAP1/PPP2R3C/FMNL3/RHOT1/RHOBTB1/IQGAP1/LOC115494853/RAC3/RAC2/LOC100226244/RHOQ",0.477270815362862
"GO:0006911","phagocytosis, engulfment",13,-0.76730185748292,-1.97559156306327,0.000506982441458856,0.0293818535923664,0.0252264788618068,913,"tags=54%, list=9%, signal=49%","RHOT1/RHOBTB1/LOC115494853/RAC3/RAC2/LOC100226244/BIN2",0.477270815362862
"GO:0006099","tricarboxylic acid cycle",20,-0.681534077233701,-1.97356281650855,0.000512459771872443,0.0293818535923664,0.0252264788618068,1054,"tags=30%, list=11%, signal=27%","SUCLG2/SDHD/FH/ACO2/SUCLG1/DLST",0.477270815362862
"GO:0061640","cytoskeleton-dependent cytokinesis",26,-0.62059426117815,-1.95983789907354,0.000652239354777368,0.0322700200978869,0.0277061818891141,1339,"tags=31%, list=13%, signal=27%","UNC119/SEPTIN12/SNX9/IQGAP1/SEPTIN9/LOC100218025/SEPTIN7/PDCD6IP",0.477270815362862
"GO:0097320","plasma membrane tubulation",8,-0.848940125982535,-1.90626804127934,0.000679732281249362,0.0322700200978869,0.0277061818891141,1043,"tags=62%, list=10%, signal=56%","PACSIN3/SNX9/PACSIN2/BIN2/ASAP1",0.477270815362862
"GO:0019221","cytokine-mediated signaling pathway",49,-0.531926779252239,-1.89951790257434,0.0003176363147178,0.0247358138225695,0.0212375125538967,1885,"tags=35%, list=19%, signal=28%","STAT6/IL10RB/IL7R/LOC100222731/COMMD7/TRAF3/STAT3/IL18R1/TRAF1/CD4/JAK2/IFNGR1/JAK1/STAT4/OTULIN/TRAF5/KIT",0.49849310876659
"GO:0009266","response to temperature stimulus",11,0.866805129070279,1.89918111268968,9.08663996003684e-05,0.0117899153481478,0.010122508077224,192,"tags=45%, list=2%, signal=45%","HSP90AB1/HSP90AA1/DNAJA4/LOC100190429/DNAJA1",0.538434096309916
