"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",83,-0.418506784391195,-1.66631893671835,0.000661269562015363,0.0330634781007681,0.0185124782748237,1470,"tags=33%, list=15%, signal=28%","PLCB4/PEX14/VAV2/SYNE1/NFKB1/RASA2/PTPN21/ATP2C1/MYC/DLG1/RUNX1/ATP2B1/GCNT1/TGFBR2/ANXA2/NR3C1/ADD3/PIK3CD/NRP1/SRI/FYN/WDR37/ATRN/KIT/MTA1/NEK7/MAP2K5",0.477270815362862
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",93,-0.395877342652476,-1.61598336012012,0.00174904861654607,0.0437262154136519,0.0244826212904287,1926,"tags=40%, list=20%, signal=32%","IL16/LCP2/LY86/SRGN/GPR65/ABI1/DYRK3/IL15/BCAT1/CCND2/PRKCB/UBE2D1/DARS1/LCK/PTPN6/AKT1/TLR3/ITK/TAPBP/JAK2/LYN/GCNT1/CD79A/GALNT1/IFNGR1/CSK/STAT4/SOCS5/CD3E/ZAP70/CD247/TPD52/F2R/ETS1/PTPRC/UBE2N/ST8SIA4",0.45505986738723
"HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM",53,-0.437920383426795,-1.60936988067766,0.0111839881303164,0.126952642179372,0.0710816939196266,1097,"tags=28%, list=11%, signal=25%","LCK/SCP2/HACL1/CAT/PEX7/CYP27A1/ABCA2/PHYH/PEX26/PEX1/NEDD4/PEX19/PEX16/OPTN/GNPAT",0.380730400722792
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",44,0.518620163433514,1.55046346459558,0.0163929576167487,0.136607980139572,0.076487786820063,1815,"tags=34%, list=19%, signal=28%","HSPE1/LAS1L/PPRC1/DDX18/HSPD1/MRTO4/NIP7/NOP56/SUPV3L1/NOP2/WDR74/PPAN/WDR43/RABEPK/RRP12",0.352487857583619
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY",129,0.407430086856863,1.4348751931941,0.0126952642179372,0.126952642179372,0.0710816939196266,1925,"tags=31%, list=20%, signal=25%","TXNIP/RRP8/RAD9A/FOS/IER3/MAPKAPK3/TRAF4/BTG1/HSPA4L/S100A10/ISCU/SOCS1/RACK1/DDIT4/HMOX1/PLK3/GADD45A/MKNK2/CSRNP2/JUN/TRIAP1/CCNK/HEXIM1/RETSAT/MXD1/RPL18/IER5/SLC3A2/BAX/SAT1/PPM1D/TSC22D1/SFN/DCXR/NINJ1/DDIT3/TOB1/GPX2/HINT1/ABCC5",0.380730400722792
"HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP",85,0.43148539388486,1.42675625632638,0.0320197044334975,0.181195672358554,0.101452755145922,1404,"tags=26%, list=14%, signal=22%","MSX1/STIP1/GPX3/FOS/DNAJA1/SLC6A8/MGAT1/DGAT1/BTG1/FOSB/NR4A1/RHOB/HSPA2/PSMC3/POLG2/HMOX1/ALDOA/H2AX/CLTB/MRPL23/SQSTM1/GRPEL1",0.282013350011725
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE",66,-0.363913023366682,-1.40099983600889,0.0271516764255159,0.181195672358554,0.101452755145922,2796,"tags=55%, list=29%, signal=39%","IQGAP2/SEC24D/ARID5B/PGM3/DBI/NGLY1/UBE2J1/SPDEF/CDC14B/APPBP2/RAB4A/GUCY1A1/SLC38A2/ZMIZ1/SPCS3/TNFAIP8/ANKH/SMS/TARP/RPS6KA3/ELOVL5/ACTN1/GNAI3/ADRM1/PTK2B/PTPN21/B4GALT1/XRCC5/AKT1/GPD1L/ITGAV/VAPA/ACSL3/TPD52/SELENOP/CDK6",0.352487857583619
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",142,-0.317401463079287,-1.37361505714027,0.0107072681560177,0.126952642179372,0.0710816939196266,1675,"tags=31%, list=17%, signal=26%","PCNT/ARHGDIA/EPB41L2/ABI1/SMC3/RANBP9/CNTRL/ARHGEF3/ARHGAP5/ARHGEF2/STAU1/CCDC88A/PREX1/KIF1B/UXT/RASA2/CDC27/MYO9B/CDC42/TUBGCP5/DLG1/ABR/RAB3GAP1/CD2AP/PALLD/DOCK2/RABGAP1/APC/ARHGAP29/SHROOM2/ABL1/SEPTIN9/RALBP1/KATNA1/MAP1S/NCK2/WASL/RASAL2/AKAP13/TUBGCP3/MYH9/KLC1/RFC1/CAPZB",0.380730400722792
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",104,0.394336069058974,1.3424949460305,0.0348139255702281,0.181195672358554,0.101452755145922,1881,"tags=30%, list=19%, signal=24%","DNAJB4/FOS/IER3/PNRC1/BTG1/FOSB/EGR1/NR4A2/NR4A1/RHOB/GADD45A/CCNL1/IER2/JUN/SNN/SOCS3/IRS2/MXD1/IER5/SQSTM1/MAFF/RELA/SAT1/GADD45B/MAP3K8/TSC22D1/SGK1/NFKBIE/NINJ1/LDLR/NFIL3",0.266350657088526
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS",135,-0.287521923647339,-1.26098566073433,0.0441167492015594,0.196258638283471,0.10988661768723,1434,"tags=24%, list=15%, signal=21%","APLP2/ACOX1/PEX14/MAP4K3/PGM1/DLD/PRDX3/SCP2/CAT/G3BP2/ABCB8/HADH/SLC25A1/IFNGR1/MYLK/ACO2/REEP5/ATP1B3/DLAT/PFKL/CCNG2/TANK/PHYH/LPCAT3/GPHN/HIBCH/CD151/ACADL/ECHS1/IMMT/SUCLG1/PPM1B",0.321775918075361
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",94,-0.317966567539536,-1.25993003611406,0.047102073188033,0.196258638283471,0.10988661768723,2303,"tags=43%, list=24%, signal=33%","CAP1/VCL/PALS1/MYL9/ITGA2/INPPL1/ADAM15/CTNNA1/PIK3CB/CNN2/NF2/TGFBI/ZYX/EPB41L2/FBN1/ACTN1/VAV2/ITGA3/SRC/CTNND1/B4GALT1/JAM3/DLG1/TRAF1/ACTB/HADH/SHROOM2/EVL/PLCG1/GNAI1/GNAI2/ARPC2/WASL/MYH9/PTPRC/RAC2/MSN/ITGB1/EXOC4/RSU1",0.321775918075361
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",184,-0.277471855243795,-1.21178749505928,0.0362391344717107,0.181195672358554,0.101452755145922,1560,"tags=20%, list=16%, signal=17%","COX10/NDUFB5/COX17/MRPL35/GPI/COX7A2/ETFDH/TIMM13/DLD/NDUFC1/ATP5F1A/PRDX3/SDHD/NNT/FH/RHOT1/PDHA1/UQCRB/NDUFC2/ACO2/CPT1A/DLAT/PHYH/OPA1/ETFA/NDUFA6/LDHB/COX5A/ECHS1/ATP1B1/NDUFB4/IMMT/SUCLG1/ACADSB/GLUD1/DLST",0.321775918075361
