"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"tgu03010","Ribosome",121,0.558337158931064,2.12393084856481,2.70081175999268e-08,4.80744493278698e-06,4.32511597018437e-06,1640,"tags=50%, list=20%, signal=41%","100228554/115498487/100223017/100223396/100231695/100232365/100231335/100190080/100223135/100190363/100217522/100231470/100190056/115495420/100190644/100221403/100190211/115490814/100221133/100231874/100231896/101233250/100190132/100233145/115492146/100190426/100190675/100190265/100190178/100190000/100190564/100189961/100227063/100229344/100190067/100232723/100190212/100190185/100190177/100189964/100219288/100190144/100190014/100224690/100231477/100222293/100221612/100190288/100190658/116806757/105758807/100190411/100190654/100229891/100190037/100190005/100218698/100221892/100219590/100190138/100227600",0.73376198835648
"tgu00020","Citrate cycle (TCA cycle)",21,-0.72339349740127,-2.01875237798728,7.1092808861785e-05,0.00421817332579924,0.00379496573990781,1373,"tags=48%, list=17%, signal=40%","100227513/100230199/100190674/100225534/100217618/100225079/100227287/100221470/100224467/100226824",0.538434096309916
"tgu01210","2-Oxocarboxylic acid metabolism",18,-0.746003022022999,-1.94834136999407,0.000144058507257987,0.00641060357298044,0.00576743036678841,1373,"tags=39%, list=17%, signal=32%","100227513/100225395/100230199/100225079/100227287/100221470/100226824",0.518848077743792
"tgu01212","Fatty acid metabolism",38,-0.591757070019353,-1.91153866022795,0.000220431879691709,0.0065394790975207,0.00588337586323153,1401,"tags=42%, list=17%, signal=35%","100230721/100230333/100221425/100223843/100218387/100231239/100226785/100227254/100226957/100231220/100229322/100228952/100219304/100223714/100224317/100217590",0.518848077743792
"tgu00071","Fatty acid degradation",24,-0.652121248590449,-1.89535685652484,0.000663568366745104,0.00984293077338571,0.00885539359817688,1364,"tags=42%, list=17%, signal=35%","100230333/100221425/100231239/100226785/100227254/100229322/100228952/100219304/100224317/100217590",0.477270815362862
"tgu04540","Gap junction",47,-0.552156430951194,-1.86847144668652,0.000489753991876829,0.00871762105540756,0.00784298573897559,1527,"tags=40%, list=19%, signal=33%","100227859/100221959/100232622/100227442/100227812/100223544/100219195/100226105/100229710/100230706/100219827/100225910/100219656/100227892/100225195/100231073/100225700/100232589/100219724",0.477270815362862
"tgu04156","Integrated stress response (ISR) signaling pathway",33,0.600506036177005,1.84136715589706,0.000933816752054871,0.0127861062973667,0.0115032815386106,911,"tags=30%, list=11%, signal=27%","100226844/100218505/100226431/100223585/100190359/100218236/100190013/100230981/100221382/100190733",0.477270815362862
"tgu00640","Propanoate metabolism",21,-0.652943401859466,-1.82214942480154,0.00194398431790641,0.0216268255367088,0.0194570150716181,1671,"tags=52%, list=21%, signal=42%","100227322/100230333/100228381/100230199/100220499/100225534/100226750/100190454/100227137/100219304/100224467",0.45505986738723
"tgu01200","Carbon metabolism",70,-0.504461136646766,-1.8170920419482,0.000203985684673487,0.0065394790975207,0.00588337586323153,1837,"tags=47%, list=23%, signal=37%","100232597/100220154/100230152/100229947/100224460/100190636/100231122/100227513/100230333/100228381/100218728/100231891/100230199/100223031/100232264/100221425/100223841/100220499/100190674/100225534/100217618/100225079/100228756/100227287/115497715/100221470/100220560/100226750/100227137/100219304/100224467/100222270/100226824",0.518848077743792
"tgu04520","Adherens junction",55,-0.526549308036655,-1.81083638808308,0.000413159732963391,0.00853807974144518,0.00768145773081671,1445,"tags=44%, list=18%, signal=36%","100227285/100221879/100217813/100151697/100227812/100226746/100227983/100230911/100222135/100228376/751978/100232628/100223739/100220596/100220311/100222116/100220619/100229462/100228869/100220185/100228094/100222928/100228220/100230090",0.49849310876659
