"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"activated","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","106/1313","200/4384",0.53,1.76962680883473,7.28412747259968,2.76279595157358e-12,1.38139797578679e-10,1.38139797578679e-10,"EIF4A1/MRPL23/EEF1B2/RPL6/RPL22/PRPF31/COPS5/EIF4G2/GSPT1/RPLP0/RPL34/RRP9/PHB2/CNBP/NPM1/TCP1/EIF3D/APEX1/SRSF3/XPOT/PPM1G/NOP16/NOLC1/HSPE1/CCNA2/H2AZ1/AP3S1/GOT2/RPL18/CYC1/MRPL9/HNRNPA1/RPS2/RRM1/NHP2/SRSF1/RNPS1/SSB/ETF1/XPO1/MCM2/TRIM28/RPS5/PABPC4/PSMC4/RACK1/CCT5/RPL14/SLC25A3/CANX/STARD7/SF3A1/ABCE1/UBA2/CDC45/RPS6/EIF1AX/MCM7/NME1/SNRPD2/HNRNPA2B1/PSMD3/RPS10/HPRT1/ACP1/HNRNPD/EIF4H/HNRNPC/KARS1/HSPD1/NDUFAB1/RAN/EIF3B/FBL/PSMD7/RPS3/SNRPG/PABPC1/PPIA/TARDBP/PCNA/HNRNPA3/SNRPD1/SNRPA1/ILF2/CCT2/HSP90AB1/RSL1D1/RANBP1/TUFM/SERBP1/IFRD1/KPNA2/CDK2/SNRPA/DDX18/CBX3/PRPS2/EIF2S1/ERH/PTGES3/CCT7/CTPS1/EIF3J/NOP56/SRSF2",106
"activated","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","64/1313","113/4384",0.566371681415929,1.89106888905364,6.27428016147184,2.09703463502884e-09,5.2425865875721e-08,5.2425865875721e-08,"EIF4A1/DDIT4/H2AX/EXOSC10/SLC7A5/RRP9/EIF4EBP1/NPM1/SERP1/DNAJA4/KIF5B/SHC1/HSP90B1/XPOT/HYOU1/NOLC1/EEF2/GOSR2/KDELR3/DNAJB9/ZBTB17/SRPRB/HSPA5/NHP2/NOP14/CXXC1/ATP6V0D1/SDAD1/EXOSC4/EIF4A2/NABP1/EXOSC2/SLC30A5/KHSRP/SRPRA/XBP1/NFYA/EDC4/RPS14/ATF4/EDEM1/DCP1A/MTHFD2/CALR/HERPUD1/SKIC3/FUS/EXOSC1/HSPA9/LSM1/CKS1B/CHAC1/PARN/SPCS1/CEBPB/VEGFA/SSR1/MTREX/EIF2S1/BAG3/GEMIN4/SLC1A4/LSM4/NOP56",64
"activated","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","97/1313","200/4384",0.485,1.61937547600914,5.8620747989322,1.30767964957149e-08,2.17946608261915e-07,2.17946608261915e-07,"ATP5F1E/ATP5PD/ACAA2/MTRF1/SDHC/ATP6V0C/PDHX/ATP6V0B/OGDH/PHB2/GRPEL1/SLC25A4/ATP5MF/MRPL34/UQCR11/COX5B/SUPV3L1/COX6A1/MRPS11/UQCRH/ISCU/BAX/COX7B/GOT2/PDP1/ACAA1/IDH3B/ECH1/NDUFA3/CYC1/ACADVL/FDX1/MPC1/RETSAT/ATP6V1F/NDUFA1/ATP6V0E1/TCIRG1/SLC25A20/PMPCA/ATP6V1H/COX15/PDK4/TOMM22/CYCS/CYB5A/SLC25A3/SDHB/IDH2/COX7C/ATP6V1D/MRPS30/ATP5PO/ATP5PF/BCKDHA/PDHB/ETFB/TIMM9/MRPL15/NDUFAB1/MRPL11/IDH3G/SLC25A6/NDUFV1/IDH3A/ATP5MC1/NDUFS1/UQCR10/MDH2/HSPA9/ABCB7/NDUFS4/MFN2/NDUFS8/TIMM17A/SLC25A5/NDUFB2/FXN/VDAC2/MRPS12/ECI1/UQCRFS1/POR/NDUFA2/NDUFA7/SLC25A11/ATP5MG/HTRA2/ATP6V1C1/MRPS15/NDUFB8/SURF1/HADHA/COX6B1/MRPS22/NDUFB7/MGST3",97
"activated","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","95/1313","200/4384",0.475,1.58598629093679,5.54606309367276,6.8358101916042e-08,8.54476273950525e-07,8.54476273950525e-07,"IPO7/TUBB/RAD51AP1/NASP/DNMT1/ORC6/H2AX/WEE1/GSPT1/CDC25A/UBR7/CENPE/CDKN1A/CDCA8/HMMR/CSE1L/KIF2C/KIF18B/MRE11/NOLC1/DLGAP5/H2AZ1/DEPDC1/RACGAP1/SRSF1/SPC24/XPO1/MCM2/NUP153/MXD3/SSRP1/CKS2/PHF5A/TOP2A/NCAPD2/NAA38/PLK4/BRCA1/RAD50/RRM2/SHMT1/MCM7/NME1/CENPM/CDKN1B/KIF4A/CDKN2C/BIRC5/CHEK1/CIT/DONSON/PNN/HNRNPD/TBRG4/PPM1D/RAN/MTHFD2/ING3/NUDT21/PRPS1/STMN1/PPP1R8/POLE/TRIP13/CKS1B/TK1/RPA2/CDK1/PSMC3IP/UBE2S/PCNA/AURKA/PRIM2/UNG/RANBP1/MYBL2/EXOSC8/CCNB2/TIMELESS/KPNA2/ASF1A/SUV39H1/DSCC1/RPA3/JPT1/EIF2S1/RAD1/PLK1/CDCA3/CTPS1/CBX5/CHEK2/NOP56/SRSF2/GINS4",95
"activated","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","87/1313","200/4384",0.435,1.45242955064737,4.282016272635,2.24806246352563e-05,0.000187338538627135,0.000187338538627135,"CTH/SLC6A6/NUFIP1/DDIT4/PSPH/COPS5/SLC37A4/SC5D/CDC25A/SLC7A5/RRP9/FADS1/CDKN1A/RAB1A/TM7SF2/SERP1/EEF1E1/HSP90B1/CCNF/HSPE1/GCLC/HSPA5/BHLHE40/INSIG1/PRDX1/ETF1/BUB1/MCM2/AK4/PSMC4/PDK1/TPI1/CANX/CYB5B/DHCR7/EBP/RRM2/SERPINH1/PSMB5/CCNG1/ATP6V1D/XBP1/HMBS/BTG2/P4HA1/GGA2/HSPA4/HPRT1/SRD5A1/HMGCS1/QDPR/CACYBP/GSR/LDLR/ALDOA/HSPD1/DDIT3/EDEM1/G6PD/MTHFD2/CALR/NFIL3/UFM1/PSMD12/ATP5MC1/NMT1/HSPA9/UBE2D3/PPIA/PIK3R3/AURKA/CYP51A1/PNP/UNG/GSK3B/IFRD1/SQSTM1/SSR1/IDI1/STIP1/DHCR24/PLK1/TOMM40/GLA/SCD/SLC1A4/GTF2H1",87
"activated","HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY","87/1313","200/4384",0.435,1.45242955064737,4.282016272635,2.24806246352563e-05,0.000187338538627135,0.000187338538627135,"PIDD1/TOB1/DDIT4/RRP8/FAS/HMOX1/RPS12/IER3/MXD1/NDRG1/AEN/CDKN1A/RPL36/DDB2/GPX2/EI24/RNF19B/HSPA4L/CCNK/BAK1/CTSD/ISCU/SPHK1/BAX/RPL18/RETSAT/ZMAT3/IP6K2/FUCA1/RALGDS/ABCC5/BLCAP/TCN2/EPHA2/EPS8L2/SFN/ITGB4/SAT1/RACK1/RXRA/RAD9A/TRIAP1/PHLDA3/S100A10/ELP1/BTG1/TXNIP/SOCS1/GADD45A/CCND3/RHBDF2/TSC22D1/CDKN2AIP/CCNG1/FAM162A/JUN/BTG2/TAX1BP3/TCHH/IER5/RCHY1/PMM1/TRAFD1/TRAF4/SLC3A2/PPM1D/DDIT3/HINT1/PLK3/TM7SF3/MAPKAPK3/XPC/PCNA/NINJ1/VAMP8/NOL8/FOS/SEC61A1/BAIAP2/HDAC3/MKNK2/HEXIM1/CSRNP2/WRAP73/OSGIN1/EPHX1/DCXR",87
"activated","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2","32/1313","58/4384",0.551724137931034,1.84216193502639,4.22128366499238,4.92041244569279e-05,0.000351458031835199,0.000351458031835199,"WDR43/TCOF1/RABEPK/RRP9/NPM1/SUPV3L1/BYSL/NOP2/NOP16/NOLC1/HSPE1/WDR74/PPAN/NIP7/GRWD1/PLK4/LAS1L/TBRG4/NDUFAF4/HSPD1/FARSA/IPO4/RRP12/PPRC1/UNG/IMP4/DDX18/CBX3/PLK1/MRTO4/PES1/NOP56",32
"activated","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","85/1313","200/4384",0.425,1.41904036557502,3.96600456737556,7.80147169775566e-05,0.000487591981109729,0.000487591981109729,"LIG3/SRSF10/NASP/CDC6/ORC6/H2AX/NCL/GSPT1/CDC25A/SLC7A5/NDC80/FBXO5/CCNT1/CENPE/KNL1/NUP98/HMMR/KIF2C/KIF5B/ODF2/UPF1/NOLC1/CCNF/SAP30/CCNA2/H2AZ1/ATRX/KIF20B/NUP50/RACGAP1/CUL4A/SRSF1/BUB1/XPO1/MCM2/STIL/CKS2/KMT5A/DR1/CUL5/TOP2A/CBX1/PLK4/CDC45/HSPA8/CDKN1B/MAPK14/KIF4A/CDKN2C/BIRC5/TRAIP/CHEK1/UCK2/INCENP/HNRNPD/POLQ/NUMA1/STMN1/POLE/E2F1/CKS1B/RPA2/CDK1/UBE2S/AURKA/PURA/TTK/TPX2/PRIM2/SNRPD1/TNPO2/MYBL2/NUSAP1/CCNB2/KPNA2/PRC1/SUV39H1/CENPF/SFPQ/JPT1/TLE3/DTYMK/PLK1/CHAF1A/SRSF2",85
"activated","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS","33/1313","74/4384",0.445945945945946,1.48897717214549,2.7736010913533,0.00507108481199665,0.0281726933999814,0.0281726933999814,"PMVK/ETHE1/SC5D/CLU/TM7SF2/HSD17B7/NSDHL/ECH1/PCYT2/ALCAM/DHCR7/EBP/ACSS2/HMGCS1/GLDC/LDLR/ACAT2/CPEB2/NFIL3/PLSCR1/PNRC1/TP53INP1/SEMA3B/CYP51A1/STX5/ACTG1/FDFT1/S100A11/ATXN2/ERRFI1/IDI1/MVD/SCD",33
"suppressed","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","112/1581","199/4384",0.562814070351759,1.56064319065282,6.07862679590477,2.20951385361037e-09,1.10475692680518e-07,1.10475692680518e-07,"CLASP1/PALLD/ESPL1/NCK2/GSN/CLIP2/RAB3GAP1/APC/RASAL2/BRCA2/FGD6/FLNA/DOCK2/ARHGAP29/MYH10/KIFAP3/TUBD1/TUBGCP3/NF1/DYNC1H1/PAFAH1B1/KIF1B/PREX1/KIF15/TRIO/ACTN4/ARHGAP5/ANLN/BCL2L11/MARCKS/CDC42/MAP3K11/CCDC88A/CDC27/SASS6/RALBP1/VCL/OPHN1/ARHGEF3/NEK2/MAP1S/CAPZB/ABR/SMC3/ARFGEF1/PCNT/CEP192/TUBGCP2/MYH9/SMC1A/CDC42BPA/EZR/FLNB/CDK5RAP2/RICTOR/MYO9B/AKAP13/ARHGDIA/ABL1/NET1/RABGAP1/NEDD9/ARHGEF7/TUBGCP6/SHROOM2/YWHAE/KATNA1/EPB41L2/KLC1/ALMS1/RAPGEF5/KIF11/SSH2/ABI1/SUN2/CYTH2/LRPPRC/RFC1/PDLIM5/TLK1/EPB41/STAU1/NOTCH2/TUBGCP5/ARHGAP27/ITSN1/PPP4R2/CDC42EP1/SMC4/SPTAN1/RANBP9/MAPRE1/ARHGEF2/HOOK3/CKAP5/BIN1/CD2AP/BCR/TBCD/ALS2/LMNB1/ARHGAP10/CSNK1D/CNTRL/SEPTIN9/DOCK4/FGD4/DLG1/RASA2/UXT/CEP131/WASL",112
