"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0042775","mitochondrial ATP synthesis coupled electron transport",27,-0.757237851532543,-2.20354805003613,1.39123263453836e-06,0.000962732983100548,0.000962732983100548,1620,"tags=56%, list=16%, signal=47%","NDUFV2/SDHAF2/UQCR11/NDUFA7/NDUFB6/SDHC/NDUFA8/NDUFA10/UQCR10/NDUFB9/COX7C/NDUFV1/NDUFS2/NDUFAF1/NDUFB8",0.643551836150722
"GO:0042773","ATP synthesis coupled electron transport",28,-0.747491158982343,-2.18093500538088,3.02503993171708e-06,0.00104666381637411,0.00104666381637411,1997,"tags=61%, list=20%, signal=49%","NDUFS8/NDUFS1/NDUFV2/SDHAF2/UQCR11/NDUFA7/NDUFB6/SDHC/NDUFA8/NDUFA10/UQCR10/NDUFB9/COX7C/NDUFV1/NDUFS2/NDUFAF1/NDUFB8",0.627256739718528
"GO:0009615","response to virus",16,0.814547265507468,2.1761608911369,2.39594858776765e-05,0.00507650774504912,0.00507650774504912,240,"tags=38%, list=2%, signal=37%","LOC100229789/LOC100224927/LOC100229421/RSAD2/LOC101233303/RIGI",0.575610261071129
"GO:0019646","aerobic electron transport chain",26,-0.761291301550655,-2.16433641959393,2.10193531548303e-06,0.00103736335280194,0.00103736335280194,1620,"tags=58%, list=16%, signal=49%","NDUFV2/SDHAF2/UQCR11/NDUFA7/NDUFB6/SDHC/NDUFA8/NDUFA10/UQCR10/NDUFB9/COX7C/NDUFV1/NDUFS2/NDUFAF1/NDUFB8",0.627256739718528
"GO:0009060","aerobic respiration",56,-0.643545812204608,-2.14211697459847,6.47226295173387e-07,0.000671820894389976,0.000671820894389976,2132,"tags=48%, list=21%, signal=38%","ATP5PO/NDUFS8/FH/NDUFS1/NDUFV2/SDHAF2/ATP5MF/UQCR11/NDUFA7/NDUFB6/NDUFS7/SDHC/OGDH/NDUFA8/SUCLG1/IDH3B/NDUFA10/UQCR10/CS/NDUFB9/COX7C/NDUFV1/MDH2/NDUFS2/NDUFAF1/NDUFB8/SDHB",0.659444398037935
"GO:0006119","oxidative phosphorylation",35,-0.696119269599916,-2.08207652131033,2.49846664933031e-06,0.00103736335280194,0.00103736335280194,2132,"tags=54%, list=21%, signal=43%","ATP5PO/NDUFS8/NDUFS1/NDUFV2/SDHAF2/ATP5MF/UQCR11/NDUFA7/NDUFB6/SDHC/NDUFA8/NDUFA10/UQCR10/NDUFB9/COX7C/NDUFV1/NDUFS2/NDUFAF1/NDUFB8",0.627256739718528
"GO:0022904","respiratory electron transport chain",30,-0.714142254606742,-2.07657869590019,2.44533128374235e-05,0.00507650774504912,0.00507650774504912,1997,"tags=60%, list=20%, signal=48%","NDUFS8/NDUFS1/NDUFV2/SDHAF2/UQCR11/NDUFA7/NDUFB6/SDHC/NDUFA8/NDUFA10/UQCR10/NDUFB9/COX7C/NDUFV1/NDUFS2/NDUFAF1/NDUFB8/SDHB",0.575610261071129
"GO:0051607","defense response to virus",14,0.804248371176583,2.06142759281656,0.000141203215623132,0.0225490673564324,0.0225490673564324,240,"tags=36%, list=2%, signal=35%","LOC100224927/LOC100229421/RSAD2/LOC101233303/RIGI",0.518848077743792
"GO:0045333","cellular respiration",59,-0.609398887978786,-2.0146202613538,9.52024150175815e-06,0.00282343162252142,0.00282343162252142,1997,"tags=44%, list=20%, signal=36%","NDUFS8/FH/NDUFS1/NDUFV2/SDHAF2/ATP5MF/UQCR11/NDUFA7/NDUFB6/NDUFS7/SDHC/OGDH/NDUFA8/SUCLG1/IDH3B/NDUFA10/UQCR10/CS/NDUFB9/COX7C/NDUFV1/MDH2/NDUFS2/NDUFAF1/NDUFB8/SDHB",0.593325476396405
"GO:0022900","electron transport chain",35,-0.673528840338914,-2.01450907356867,1.14404366505157e-05,0.00296879331080882,0.00296879331080882,1997,"tags=51%, list=20%, signal=41%","NDUFS8/NDUFS1/NDUFV2/SDHAF2/UQCR11/NDUFA7/NDUFB6/SDHC/NDUFA8/NDUFA10/UQCR10/NDUFB9/COX7C/NDUFV1/NDUFS2/NDUFAF1/NDUFB8/SDHB",0.593325476396405
"GO:0006412","translation",271,-0.483194601960979,-1.97343071466142,4.01042192581455e-10,8.32563591799101e-07,8.32563591799101e-07,2228,"tags=42%, list=22%, signal=33%","SECISBP2L/TRIM3/CPEB4/CNOT1/EEF1G/RPS11/RPS4X/SAMD4B/RPL29/MRPS15/DARS1/RPL6/MRPS12/RPS24/EIF4ENIF1/EEF1D/RPL36A/RPL14/RPL18A/EIF3D/EIF5B/FARSB/MRPL20/RPS12/RPL31/EIF3K/EEF2/EIF2AK3/LARP4/RPL18/GSPT1/MARS1/RPS17/RPS13/RPS27A/RPL22/EIF3I/RPL3/MRPS7/RPL34/ZC3H15/RPL23/EIF2S2/SECISBP2/RPL28/ABCE1/LOC116806891/MRPL24/RPS15A/EIF3A/UBA52/YARS2/RPL8/MRPL36/EEF1B2/MRPL34/EIF1AD/NANOS3/RPS2/CPEB3/RPL5/RPS16/LARP1/MRPL49/RPL37A/LARP4B/RPS6/RPS28/EIF3M/RPL19/ZNF598/RPL27/ETF1/RPS23/RPL35A/RPS18/RPSA/RPL15/RPL21/RPL4/MRPL44/RPL32/EIF2B3/MRPL9/RPL12/RACK1/MRPS24/RPS7/MRPL16/RPL37/RPS9/FAU/EIF3F/EIF5A/EIF3E/RPL23A/RPS3A/RPL13A/EEF1A1/EIF3L/RPL13/RPS26/RPS21/MRPL51/RPL27A/MRPL2/RPL10A/RPL39/RPS15/DRG1/MTIF3/RPS27/MRPL23",0.814035837847908
"GO:0015980","energy derivation by oxidation of organic compounds",76,-0.551083720859806,-1.93770676801752,4.78313231480858e-05,0.00827481890461885,0.00827481890461885,2255,"tags=43%, list=22%, signal=34%","PHKA1/ADGRF5/ATP5PO/NDUFS8/FH/NDUFS1/NDUFV2/SDHAF2/PHKG1/ATP5MF/GYG1/UQCR11/NDUFA7/NDUFB6/NDUFS7/SDHC/AGL/OGDH/NDUFA8/PHKA2/SUCLG1/IDH3B/NDUFA10/UQCR10/CS/NDUFB9/COX7C/NDUFV1/MDH2/NDUFS2/NDUFAF1/NDUFB8/SDHB",0.557332238758646
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone",13,-0.786373551432421,-1.90124338385649,0.000484646662623643,0.0670750981071122,0.0670750981071122,1620,"tags=77%, list=16%, signal=65%","NDUFV2/NDUFA7/NDUFB6/NDUFA8/NDUFA10/NDUFB9/NDUFV1/NDUFS2/NDUFAF1/NDUFB8",0.49849310876659
"GO:0007519","skeletal muscle tissue development",5,0.942584050154635,1.81268451424466,0.000204695050252504,0.0303533517374427,0.0303533517374427,222,"tags=40%, list=2%, signal=39%","POPDC3/MYORG",0.518848077743792
"GO:0006091","generation of precursor metabolites and energy",107,-0.495772970517556,-1.79803840479331,3.64614339929347e-05,0.00688126699721204,0.00688126699721205,1703,"tags=36%, list=17%, signal=30%","RPIA/NDUFV2/SDHAF2/PHKG1/ATP5MF/GYG1/UQCR11/NDUFA7/NDUFB6/NDUFS7/SDHC/AGL/PKM/OGDH/LOC100226456/NDUFA8/PHKA2/SUCLG1/GPI/PGLS/ALDOC/ENO1/LOC101233732/IDH3B/PFKP/NDUFA10/UQCR10/CS/NDUFB9/G6PD/COX7C/GAPDH/NDUFV1/MDH2/NDUFS2/NDUFAF1/NDUFB8/SDHB",0.557332238758646
"GO:0002040","sprouting angiogenesis",8,0.79600033032629,1.78083472041425,0.00448074646647255,0.465101483219851,0.465101483219851,386,"tags=25%, list=4%, signal=24%","RNF213/NRP1",0.407017918923954
"GO:0002250","adaptive immune response",14,-0.720332604189472,-1.73868032717466,0.00487499928224952,0.48192850047381,0.48192850047381,427,"tags=21%, list=4%, signal=21%","CD7/KLHL6/SUSD4",0.407017918923954
"GO:0006890","retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",23,-0.621632892410299,-1.730752019481,0.00994734427476444,0.573630186511416,0.573630186511416,1389,"tags=35%, list=14%, signal=30%","ERGIC2/COPB2/COPZ1/TMEM115/USE1/COPE/GOLPH3L/BNIP1",0.380730400722792
"GO:0001510","RNA methylation",37,0.525090743634778,1.71901580452585,0.00447603732111401,0.465101483219851,0.465101483219851,1093,"tags=27%, list=11%, signal=24%","THUMPD3/ZCCHC4/NOP2/TFB1M/TRMT61B/NSUN3/TRMT12/TRMT1L/METTL16/TRMT13",0.407017918923954
"GO:0006006","glucose metabolic process",24,-0.613894650678381,-1.70345250532282,0.00797044652978001,0.573630186511416,0.573630186511416,1530,"tags=50%, list=15%, signal=43%","BCKDK/PDK1/G6PC1/ADPGK/LOC100226456/GDPGP1/GPI/PC/LOC101233732/PFKP/G6PD/GAPDH",0.380730400722792
"GO:0045861","negative regulation of proteolysis",13,-0.703844094868158,-1.70170897304084,0.00947894890843747,0.573630186511416,0.573630186511416,421,"tags=31%, list=4%, signal=30%","OPHN1/TIMP2/SERPINF1/SERPINF2",0.380730400722792
"GO:0006298","mismatch repair",11,0.695502853900213,1.69473206902038,0.0128366426252857,0.585482536203516,0.585482536203515,1702,"tags=55%, list=17%, signal=45%","MLH1/PMS2/PCNA/MSH4/MLH3/MSH3",0.380730400722792
"GO:0051346","negative regulation of hydrolase activity",16,-0.676625603229488,-1.67806750435535,0.00611956877128237,0.529342698715925,0.529342698715925,308,"tags=25%, list=3%, signal=24%","TMBIM6/TIMP2/SERPINF1/SERPINF2",0.407017918923954
"GO:1901659","glycosyl compound biosynthetic process",7,0.793004380333201,1.67167928393933,0.00842160397251967,0.573630186511416,0.573630186511416,1123,"tags=43%, list=11%, signal=38%","TYW5/TRMT12/MAPDA",0.380730400722792
"GO:0009166","nucleotide catabolic process",26,-0.582806214218516,-1.65690677462032,0.0084562603788637,0.573630186511416,0.573630186511416,1076,"tags=42%, list=11%, signal=38%","PKM/NUDT4/LOC100226456/GPI/ALDOC/HINT1/ENO1/LOC101233732/PFKP/NT5M/GAPDH",0.380730400722792
"GO:0007528","neuromuscular junction development",7,0.783866497884105,1.65241632755716,0.00988198266236207,0.573630186511416,0.573630186511416,1842,"tags=71%, list=18%, signal=59%","NEDD4/UNC13A/UNC13C/PPFIBP1/GPHN",0.380730400722792
"GO:0052547","regulation of peptidase activity",13,-0.682646309627983,-1.65045833157804,0.01548988294435,0.591075612221672,0.591075612221672,208,"tags=23%, list=2%, signal=23%","TIMP2/SERPINF1/SERPINF2",0.380730400722792
"GO:0007249","canonical NF-kappaB signal transduction",48,-0.503693733961487,-1.64989763428737,0.005996182028434,0.529342698715925,0.529342698715925,1020,"tags=19%, list=10%, signal=17%","LURAP1/TBKBP1/TRIM13/TRAF2/SHARPIN/IKBKG/RELA/NKIRAS1/PPM1L",0.407017918923954
"GO:1901292","nucleoside phosphate catabolic process",29,-0.572789457552713,-1.64698726731095,0.00858278465463293,0.573630186511416,0.573630186511416,1076,"tags=38%, list=11%, signal=34%","PKM/NUDT4/LOC100226456/GPI/ALDOC/HINT1/ENO1/LOC101233732/PFKP/NT5M/GAPDH",0.380730400722792
