"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0022626","cytosolic ribosome",75,-0.690750601816246,-2.22196584163653,5.07705220578975e-10,1.11364109457048e-07,1.11364109457048e-07,4451,"tags=68%, list=21%, signal=54%","RPL29/RPS12/RPS29/RPS11/RPL36A/RPL23/RPL6/RPL3/RPL14/RPL30/RPL18A/RPL18/RPL31/RPL34/RPL7/RPL8/RPL28/RPS13/RPS16/RPL5/RPS15A/NHP2/LOC116806891/RPS28/RPS2/RPL27/RPL32/RPL15/RPL12/RPL19/RPL21/RPS23/RPL35A/RPL37/RPSA/RPL4/RPS7/RPL23A/RPL13A/RPS9/RPL39/RPL13/FAU/RPS25/RPL7A/RPS21/RPS26/RPL27A/RPS15/RPL10A/RPS27",0.801215574617779
"GO:0005840","ribosome",158,-0.592008734308731,-2.1143968113692,1e-10,4.46e-08,4.46e-08,4025,"tags=49%, list=19%, signal=40%","RPL36A/MRPS6/MRPS12/RPL22/RPL23/RPS17/RPL6/RPL3/MRPS15/RPL14/RPS24/RPL30/HSPA14/RPL18A/RPS27A/MRPL24/RPL18/MRPS7/MRPL42/RPL31/RPL34/RPL7/RPL8/RPL28/MRPL36/UBA52/RPS13/MRPL34/RPS16/RPL5/RPS15A/NHP2/LOC116806891/MRPL28/RPS28/MRPL20/RPS2/RPL37A/MRPL49/RPL27/MRPL40/RPL32/RPS18/MRPS26/RPL15/LOC100224449/RPL12/RPL19/RPS6/MRPL9/RPL21/RPS23/RPL35A/RPL37/RPSA/RPL4/MRPL44/RPS7/RPL23A/RPL13A/MRPL16/RPS3A/RPS9/RPL39/RPL13/FAU/RPS25/RPL7A/RPS21/RPS26/MRPL51/RPL27A/MRPL2/RPS15/RPL10A/RPS27/MRPL23",NA
"GO:0044391","ribosomal subunit",131,-0.60369593458273,-2.11076173784991,7.49085938051894e-10,1.11364109457048e-07,1.11364109457048e-07,4330,"tags=52%, list=20%, signal=42%","RPS12/RPS29/RPS11/RPL36A/MRPS6/MRPS12/RPL23/RPL6/RPL3/MRPS15/RPL14/RPL30/RPL18A/RPL18/MRPS7/MRPL42/RPL31/RPL34/RPL7/RPL8/RPL28/MRPL36/RPS13/MRPL34/RPS16/RPL5/RPS15A/NHP2/LOC116806891/MRPL28/RPS28/RPS2/MRPL49/RPL27/MRPL40/RPL32/RPS18/MRPS26/RPL15/LOC100224449/RPL12/RPL19/RPL21/RPS23/RPL35A/RPL37/RPSA/RPL4/MRPL44/RPS7/RPL23A/RPL13A/MRPL16/RPS9/RPL39/RPL13/FAU/RPS25/RPL7A/RPS21/RPS26/MRPL51/RPL27A/MRPL2/RPS15/RPL10A/RPS27/MRPL23",0.801215574617779
"GO:0022625","cytosolic large ribosomal subunit",48,-0.686542959499056,-2.06923291275631,2.43094052367273e-06,0.000216839894711608,0.000216839894711608,4025,"tags=67%, list=19%, signal=54%","RPL36A/RPL23/RPL6/RPL3/RPL14/RPL30/RPL18A/RPL18/RPL31/RPL34/RPL7/RPL8/RPL28/RPL5/NHP2/LOC116806891/RPL27/RPL32/RPL15/RPL12/RPL19/RPL21/RPL35A/RPL37/RPL4/RPL23A/RPL13A/RPL39/RPL13/RPL7A/RPL27A/RPL10A",0.627256739718528
"GO:0000502","proteasome complex",33,-0.728799658478669,-2.05452355989263,1.08092504441941e-05,0.000803487616351761,0.000803487616351761,3481,"tags=52%, list=16%, signal=43%","PSMB4/PSMD13/PSMD14/PSMC1/PSMB5/PSMD7/PSMB2/PSMD2/PSMD11/PSMC5/PSMB6/PSMC3/PSMA4/PSMB3/PSMD6/PSMA5/PSMB1",0.593325476396405
"GO:0022627","cytosolic small ribosomal subunit",27,-0.742347326779335,-1.98875173084689,1.51561265980476e-05,0.000965661780389889,0.000965661780389889,2396,"tags=56%, list=11%, signal=49%","RPS13/RPS16/RPS15A/RPS28/RPS2/RPS23/RPSA/RPS7/RPS9/FAU/RPS25/RPS21/RPS26/RPS15/RPS27",0.593325476396405
"GO:0015934","large ribosomal subunit",85,-0.600056105314094,-1.96057897097971,2.15646810954127e-06,0.000216839894711608,0.000216839894711608,3776,"tags=51%, list=18%, signal=42%","RPL23/RPL6/RPL3/RPL14/RPL30/RPL18A/RPL18/MRPL42/RPL31/RPL34/RPL7/RPL8/RPL28/MRPL36/MRPL34/RPL5/NHP2/LOC116806891/MRPL28/MRPL49/RPL27/MRPL40/RPL32/RPL15/LOC100224449/RPL12/RPL19/RPL21/RPL35A/RPL37/RPL4/MRPL44/RPL23A/RPL13A/MRPL16/RPL39/RPL13/RPL7A/MRPL51/RPL27A/MRPL2/RPL10A/MRPL23",0.627256739718528
"GO:1905369","endopeptidase complex",47,-0.651190343950275,-1.9399436367951,3.26315908634517e-05,0.00161707661389994,0.00161707661389994,3481,"tags=40%, list=16%, signal=34%","PSMB4/PSMD13/PSMD14/PSMC1/CAPNS2/PSMB5/PSMD7/PSMB2/PSMD2/PSMD11/PSMC5/PSMB6/PSMC3/GPAA1/PSMA4/PSMB3/PSMD6/PSMA5/PSMB1",0.557332238758646
"GO:1905368","peptidase complex",62,-0.61290839912858,-1.9292374909235,2.89821259034458e-05,0.0016157535191171,0.0016157535191171,3481,"tags=39%, list=16%, signal=32%","PSMB4/TADA3/PSMD13/PSMD14/TAF6/PSMC1/CAPNS2/PSMB5/PSMD7/TADA1/PSMB2/PSMD2/PSMD11/PSMC5/PSMB6/PSMC3/GPAA1/ATXN7L3/PSMA4/PSMB3/SPG7/PSMD6/PSMA5/PSMB1",0.575610261071129
"GO:0015935","small ribosomal subunit",46,-0.642847931355778,-1.92917283356905,9.76963019932116e-05,0.00396114097172476,0.00396114097172476,4330,"tags=52%, list=20%, signal=42%","RPS12/RPS29/RPS11/MRPS6/MRPS12/MRPS15/MRPS7/RPS13/RPS16/RPS15A/RPS28/RPS2/RPS18/MRPS26/RPS23/RPSA/RPS7/RPS9/FAU/RPS25/RPS21/RPS26/RPS15/RPS27",0.538434096309916
"GO:0022624","proteasome accessory complex",19,-0.725577877723796,-1.82483842167612,0.00138971249133509,0.0387382356959658,0.0387382356959658,3248,"tags=47%, list=15%, signal=40%","PSMD13/PSMD14/PSMC1/PSMD7/PSMD2/PSMD11/PSMC5/PSMC3/PSMD6",0.45505986738723
"GO:0005838","proteasome regulatory particle",18,-0.730461710884454,-1.79616202362149,0.0015921452910516,0.0394498222116118,0.0394498222116118,3248,"tags=50%, list=15%, signal=42%","PSMD13/PSMD14/PSMC1/PSMD7/PSMD2/PSMD11/PSMC5/PSMC3/PSMD6",0.45505986738723
