"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0003735","structural constituent of ribosome",142,-0.595359357641339,-2.07842399856445,6.79974442988132e-10,4.95701368938348e-07,4.26193557391609e-07,4330,"tags=51%, list=20%, signal=41%","RPS12/RPS29/RPS11/RPL36A/MRPS6/MRPS12/RPL22/RPL23/RPS17/RPL6/RPL3/MRPS15/RPL14/RPS24/RPL30/RPL18A/RPS27A/MRPL24/RPL18/MRPS7/RPL31/RPL34/RPL7/RPL8/RPL28/MRPL36/UBA52/RPS13/MRPL34/RPS16/RPL5/RPS15A/LOC116806891/MRPL28/RPS28/MRPL20/RPS2/RPL37A/MRPL49/RPL27/RPL32/RPS18/RPL15/RPL12/RPL19/RPS6/MRPL9/RPL21/RPS23/RPL35A/RPL37/RPSA/RPL4/RPS7/RPL23A/RPL13A/MRPL16/RPS3A/RPS9/RPL39/RPL13/FAU/RPS25/RPS21/RPS26/MRPL51/RPL27A/MRPL2/RPS15/RPL10A/RPS27/MRPL23",0.801215574617779
"GO:0004984","olfactory receptor activity",36,-0.598689161406476,-1.71386100310888,0.00334293755699975,0.495481388807352,0.426004423125578,1724,"tags=19%, list=8%, signal=18%","LOC115497281/LOC101232904/LOC100223643/LOC116807563/LOC115497224/LOC115495349/LOC115495655",0.431707695803346
"GO:0015078","proton transmembrane transporter activity",61,-0.541902111875455,-1.69872320701681,0.00138778822151457,0.495481388807352,0.426004423125578,4380,"tags=39%, list=21%, signal=31%","ATP5MF/TMCO3/NDUFS3/ATP5PO/OTOP2/ATP5F1A/ATP6V1G3/ATP4A/ATP6V1A/ATP5F1C/SLC9A6/ATP5PD/ATP5ME/NDUFS1/SLC45A1/NDUFS7/ATP5PB/ATP5MC1/ATP6V1F/ATP5PF/ATP6V0B/NDUFV1/ATP6V1B1/ATP6V1C2",0.45505986738723
"GO:0009055","electron transfer activity",13,-0.746595158589582,-1.6876307429146,0.00466296870840443,0.495481388807352,0.426004423125578,4591,"tags=69%, list=22%, signal=54%","AIFM2/GPRIN3/NDUFS3/NDUFS1/ETFB/SDHC/NDUFS7/NDUFV1/SDHB",0.407017918923954
"GO:0022884","macromolecule transmembrane transporter activity",13,-0.736205388332711,-1.66414532984222,0.00583786812105182,0.495481388807352,0.426004423125578,2513,"tags=54%, list=12%, signal=48%","LOC100221217/SEC61G/TOMM40L/SIDT2/TOMM40/TIMM17A/TIMM22",0.407017918923954
"GO:0004970","glutamate-gated receptor activity",15,0.658582035371822,1.6502233954444,0.0240703075884503,0.666755273732204,0.573262088483131,631,"tags=20%, list=3%, signal=19%","GRIK1/GRIK5/LOC115491543",0.352487857583619
"GO:0000049","tRNA binding",34,0.529056002612561,1.63222563027449,0.0169163563924715,0.647421237740245,0.556639093078057,1454,"tags=15%, list=7%, signal=14%","TYW5/EARS2/SEPSECS/SARS1/NAT10",0.352487857583619
"GO:0140101","catalytic activity, acting on a tRNA",85,0.453005371364087,1.63108791471875,0.00352324756037478,0.495481388807352,0.426004423125578,3393,"tags=29%, list=16%, signal=25%","EARS2/THUMPD3/TSEN2/MARS2/TRMT61B/LOC100224497/DTD2/SEPSECS/SARS1/CARS1/TRPT1/RPP14/LARS2/DTD1/QTRT2/TRMT1L/PTRH1/SARS2/PTRHD1/PARS2/DARS2/LOC100221968/TRMT13/TRMT12/WARS1",0.431707695803346
"GO:1990404","NAD+-protein mono-ADP-ribosyltransferase activity",13,0.680363278171363,1.61249937338599,0.0336979270462811,0.701879680478254,0.603461310838377,862,"tags=38%, list=4%, signal=37%","LOC100226582/LOC100229789/LOC105759399/PARP9/PARP10",0.321775918075361
"GO:0042625","ATPase-coupled ion transmembrane transporter activity",20,-0.644660648033406,-1.60365848916009,0.0152352609614044,0.647421237740245,0.556639093078057,3284,"tags=30%, list=15%, signal=25%","ATP6V1G3/ATP6V1A/ATP6V1F/ATP6V0B/ATP6V1B1/ATP6V1C2",0.380730400722792
