"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"tgu03010","Ribosome",116,-0.64140509508853,-2.32005276418745,1e-10,1.78e-08,1.78e-08,1438,"tags=53%, list=21%, signal=43%","100189964/100190014/105758807/100222424/100229891/100190005/100231477/100190332/100223610/100223758/100189948/100221612/100190658/100190265/100218065/100190369/100190211/100221133/100220579/100189949/100231335/100190103/100190000/100228812/101233250/115490814/100190564/100231874/100190411/100190056/115492146/100229344/100232365/100190132/100229359/100190559/100223017/100190067/100190572/100190647/100233145/100225392/100221403/100190037/100223396/100232723/115495420/100190675/100190288/100223135/100231470/100190144/100189961/100190178/100190177/100190363/100190175/100231695/100190644/100190080/115498487/100190426",NA
"tgu03050","Proteasome",28,-0.702227537287693,-1.98797605231108,6.33518489202064e-05,0.00485730172738112,0.00485730172738112,617,"tags=36%, list=9%, signal=33%","100226692/100190540/100227482/100190703/100221049/100190079/100190356/100219829/100190747/100225030",0.538434096309916
"tgu00190","Oxidative phosphorylation",76,-0.550819337780013,-1.86805514500499,8.18646358547379e-05,0.00485730172738112,0.00485730172738112,2320,"tags=61%, list=34%, signal=41%","100222608/100232471/100221153/115498214/100218219/100190761/100190339/100228144/100219261/100227657/100190489/105758798/100190539/100232751/100190435/115490854/100190523/751975/100222863/100190221/100220458/100228726/100190350/100190180/100190122/100229321/100223119/100227546/100224240/115490907/100190640/100190425/100190522/100190134/100221387/100232347/100190528/100231893/100190392/100190396/100190275/115491643/100227575/100225003/100190740/100232700",0.538434096309916
"tgu00541","Biosynthesis of various nucleotide sugars",12,0.674238533656812,1.72316543332601,0.0147407993318499,0.321260535292459,0.321260535292459,510,"tags=33%, list=7%, signal=31%","100222533/100226232/100227675/100217671",0.380730400722792
"tgu00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin",11,0.703095502047214,1.7090920945989,0.0168322200204578,0.321260535292459,0.321260535292459,483,"tags=36%, list=7%, signal=34%","100232258/100220252/100217536/100224452",0.352487857583619
"tgu03273","Virion - Lassa virus and SFTS virus",6,-0.837926115693107,-1.61774659372146,0.00901657160468658,0.229278535090602,0.229278535090602,664,"tags=67%, list=10%, signal=60%","100219894/100219280/100228833/100230210",0.380730400722792
"tgu00010","Glycolysis / Gluconeogenesis",26,-0.574586708543689,-1.61450488963753,0.00895717983700075,0.229278535090602,0.229278535090602,1900,"tags=65%, list=27%, signal=48%","101233932/100220342/115490648/100232264/100230199/100225079/100221470/100190454/100217978/100218728/100230242/100231122/115497715/100231891/100229947/100190636/100224916",0.380730400722792
"tgu00430","Taurine and hypotaurine metabolism",3,0.952729626285828,1.59969949744721,0.00380646616447196,0.169387744319002,0.169387744319002,286,"tags=67%, list=4%, signal=64%","100224250/100228598",0.431707695803346
"tgu00620","Pyruvate metabolism",19,-0.587833500240749,-1.58105314388515,0.0306033830031025,0.376214921423325,0.376214921423325,1516,"tags=47%, list=22%, signal=37%","100230199/100225079/100221470/100217618/100190454/100217978/100218728/100190484/100224916",0.352487857583619
"tgu00450","Selenocompound metabolism",10,0.668199726149871,1.58056095281717,0.031041058061558,0.376214921423325,0.376214921423325,1054,"tags=50%, list=15%, signal=42%","100224580/100226378/100230827/100221614/100220567",0.352487857583619
"tgu04130","SNARE interactions in vesicular transport",23,-0.574240707465004,-1.57644683963615,0.0317035046143251,0.376214921423325,0.376214921423325,386,"tags=22%, list=6%, signal=21%","100231932/100190051/100223927/100223293/115491990",0.321775918075361
"tgu04137","Mitophagy - animal",74,-0.464783942626552,-1.56533414594889,0.00480369732664119,0.171011624828426,0.171011624828426,1584,"tags=38%, list=23%, signal=29%","100231736/100222838/115491460/100190629/100230163/100231977/100223479/100223644/100228946/100218065/100220202/115498422/100217648/100221200/100225895/100220867/115490814/100231860/100231582/100223400/100219120/100230233/100227081/100222788/100225249/100224631/100220187/115497941",0.407017918923954
"tgu04622","RIG-I-like receptor signaling pathway",36,0.472876091067147,1.54550913097439,0.0180483446793517,0.321260535292459,0.321260535292459,649,"tags=28%, list=9%, signal=25%","100227993/100221651/100222705/100225734/100220215/100231307/100222919/100225072/100225825/100226672",0.352487857583619
"tgu04270","Vascular smooth muscle contraction",45,-0.487244370596941,-1.50711552098634,0.0210038516536578,0.339880508577372,0.339880508577372,1612,"tags=36%, list=23%, signal=27%","100232581/100223563/100218159/100230589/100231171/100219601/100229794/100224964/100227554/100226105/100225195/100190013/100230189/100222469/100230210/100220987",0.352487857583619
"tgu04623","Cytosolic DNA-sensing pathway",31,0.471623158772046,1.48712722210727,0.030272431283111,0.376214921423325,0.376214921423325,908,"tags=29%, list=13%, signal=25%","100220630/100222705/100220215/100230799/100222919/100225072/100190705/100231141/100221281",0.352487857583619
"tgu04820","Cytoskeleton in muscle cells",64,-0.422034021256738,-1.40440344523211,0.0420521011521811,0.467829625318015,0.467829625318015,2028,"tags=34%, list=29%, signal=25%","100229138/115497873/100228265/115497627/100192322/100227860/100222376/100221802/100230716/100218446/100219853/100230823/751978/100217607/100227699/100230189/100231891/100228833/100224787/100228450/100230210/100219298",0.321775918075361
