"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"activated","HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR","65/1021","150/4384",0.433333333333333,1.86065948416585,5.90930946659559,2.62980346627732e-08,1.31490173313866e-06,1.31490173313866e-06,"RAE1/GTF2H1/ADA/TSG101/STX3/ERCC1/ARL6IP1/POLR2D/IMPDH2/AAAS/REV3L/POLR2I/ERCC3/POLR3C/ALYREF/COX17/POLR3GL/ERCC5/POLE4/EIF1B/POLD3/SNAPC5/APRT/POLR2F/TAF13/POLB/TMED2/GTF2H3/NME3/BRF2/PDE4B/GTF3C5/POLR2H/CSTF3/POLR2G/ADRM1/DGCR8/XPC/ZWINT/GTF2B/NELFCD/ADCY6/NUDT9/VPS37B/GTF2H5/DDB2/HPRT1/SRSF6/ERCC2/TAF1C/SMAD5/POLR2A/PCNA/PRIM1/ERCC8/AGO4/CMPK2/RALA/GTF2A2/RPA2/GPX4/NELFB/SF3A3/NFX1/POLR1C",65
"activated","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","74/1021","200/4384",0.37,1.58871694417238,4.69527321073085,5.54115317741031e-06,0.000138528829435258,0.000138528829435258,"CANX/SRSF7/YWHAE/ORC2/CDC20/NCBP1/FAM120A/LSM7/ERH/U2AF1/BUB3/EIF4A1/PRDX4/AIMP2/IMPDH2/RPS3/PTGES3/TCP1/DEK/EPRS1/H2AZ1/RRM1/EIF4E/PABPC4/CCNA2/CCT5/TFDP1/TRA2B/DDX18/PPM1G/DHX15/SRSF3/EIF2S1/EIF4H/VDAC1/HNRNPA3/UBE2L3/MRPS18B/PSMD8/TARDBP/ODC1/PSMA7/CUL1/GLO1/HNRNPA1/HPRT1/HNRNPA2B1/ACP1/PRPF31/PHB1/PSMC6/SSBP1/HDAC2/PCNA/NAP1L1/CNBP/EIF3B/SNRPB2/SLC25A3/SRSF1/RPS5/PRDX3/NOP16/HNRNPD/SNRPD3/CCT7/MCM2/SF3B3/RUVBL2/G3BP1/SRSF2/USP1/VBP1/GNL3",74
"activated","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","68/1021","200/4384",0.34,1.45990205680705,3.66791856130761,0.000280073147536535,0.00466788579227559,0.00466788579227559,"KIF4A/NASP/CDC20/SS18/BUB3/RASAL2/CDC6/CDKN1B/MKI67/RPS6KA5/DKC1/HUS1/EZH2/FOXN3/SUV39H1/TMPO/KATNA1/SMC4/H2AZ1/DR1/CCNA2/KIF2C/CCNB2/WRN/TOP1/KMT5A/SLC12A2/SLC38A1/TFDP1/TRA2B/PLK1/EWSR1/PTTG1/RBL1/AMD1/HMGA1/RAD54L/ABL1/CHMP1A/ODC1/STAG1/CUL1/POLQ/YTHDC1/AURKA/PRP4K/MEIS1/E2F4/PRC1/CHEK1/HMGN2/CDC27/HIRA/PRMT5/SRSF1/PDS5B/ILF3/RPA2/SQLE/HNRNPD/SLC7A1/MCM2/SFPQ/G3BP1/SRSF2/CBX1/TENT4A/DTYMK",68
"suppressed","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","129/1475","200/4384",0.645,1.91707118644068,9.45218239126959,7.05580776613486e-20,3.52790388306743e-18,3.52790388306743e-18,"HADHB/ATP5PB/COX7C/NDUFC2/COX6B1/NDUFA4/MDH2/NDUFB8/DLD/COX6A1/FXN/HADHA/PMPCA/ATP5ME/MRPS30/ATP5F1A/FH/ATP5F1C/BCKDHA/ACO2/ATP5MC3/UQCR10/SURF1/PHB2/IDH3B/OPA1/TOMM70/UQCRC2/MTRF1/ATP6V1H/ACAA1/ATP5F1E/VDAC3/MTRR/NDUFA3/RHOT1/GOT2/PDHB/OXA1L/NDUFA1/ATP5MF/HSD17B10/UQCR11/IDH2/MDH1/MRPL34/PDHX/NDUFA8/IDH3A/ATP6V0B/NDUFS3/ETFB/MPC1/NDUFB5/ECH1/UQCRC1/NDUFV1/ALAS1/NDUFV2/HTRA2/ATP5MC1/PHYH/SDHB/ATP5PO/MRPS15/TIMM17A/SLC25A6/TIMM13/UQCRB/GPI/COX15/ATP6V1D/NDUFAB1/FDX1/PDP1/TOMM22/COX6C/RETSAT/ATP6V1F/PDK4/NDUFA7/COX4I1/ECI1/NDUFB6/SUPV3L1/CS/SLC25A11/ATP6V1C1/SLC25A5/SDHC/ISCA1/PDHA1/ATP6V1G1/ATP5PD/POR/ATP5PF/HSPA9/CYC1/COX7A2/DLAT/CASP7/SDHA/NDUFS2/CYB5R3/LDHB/SLC25A20/IMMT/ATP5F1D/MRPS12/SUCLG1/VDAC2/NDUFS7/UQCRFS1/ATP5F1B/OGDH/NDUFS6/NDUFB7/NDUFS1/HCCS/IDH3G/COX7A2L/COX5A/NDUFS8/COX5B/NDUFA2/NDUFA6/UQCRQ/MFN2/NDUFS4",129
"suppressed","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","103/1475","200/4384",0.515,1.53068474576271,5.46972697799198,7.68327560274922e-08,1.92081890068731e-06,1.92081890068731e-06,"RAN/TRIM28/RPL6/SNRPG/PSMD14/COPS5/CDK2/SNRPD2/HNRNPU/EIF2S2/IARS1/PGK1/RPS10/MCM6/RPLP0/CCT3/RSL1D1/EEF1B2/PSMA6/AP3S1/XRCC6/NHP2/SRPK1/PHB2/PABPC1/TOMM70/UBA2/RRP9/PSMA2/VDAC3/PSMD3/ABCE1/PSMA4/XPOT/KPNA2/RPL22/GOT2/RPL34/EIF3D/SET/SERBP1/KARS1/ETF1/PSMD7/FBL/RANBP1/CBX3/XPO1/HNRNPC/STARD7/SYNCRIP/NPM1/IFRD1/NOLC1/SNRPD1/CLNS1A/SNRPA1/PWP1/PSMB3/RNPS1/CCT2/ILF2/SF3A1/APEX1/CSTF2/HDGF/SMARCC1/PSMD1/NDUFAB1/MRPL23/CCT4/YWHAQ/HSPE1/EIF4G2/RACK1/PPIA/RPL18/EIF3J/PSMC4/EIF1AX/HSPD1/MYC/KPNB1/SNRPA/PA2G4/RPS2/SRM/SSB/TUFM/RAD23B/UBE2E1/CAD/CYC1/GSPT1/PRPS2/HSP90AB1/NOP56/RPL14/MRPL9/RPS6/COX5A/HNRNPR/PSMB2",103
"suppressed","HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM","97/1475","200/4384",0.485,1.4415186440678,4.55069880569714,6.23406248108184e-06,0.000103901041351364,0.000103901041351364,"ADIPOR1/BLVRB/RHCE/MPP1/ADD1/RAD23A/ARHGEF12/RANBP10/MARCHF2/XPO7/SLC25A37/BMP2K/PPOX/TFDP2/SYNJ1/PICALM/YPEL5/SLC30A1/BLVRA/HMBS/CAT/ALAD/NUDT4/EPB41/FBXO7/RNF123/TCEA1/SLC4A1/LAMP2/MKRN1/SMOX/BTRC/MFHAS1/ANK1/CCND3/RIOK3/EPB42/HEBP1/DCUN1D1/EIF2AK1/RNF19A/FOXJ2/AGPAT4/NARF/ABCB6/USP15/HTRA2/PDZK1IP1/TMCC2/UBAC1/SLC25A38/SLC66A2/KLF3/SLC6A8/GATA1/HDGF/KEL/P4HA2/LPIN2/FBXO34/BSG/TFRC/GCLC/VEZF1/MARCHF8/SLC6A9/FOXO3/NFE2L1/ISCA1/SIDT2/TSPAN5/TNRC6B/HAGH/GAPVD1/NR3C1/ACKR1/ATP6V0A1/ADD2/PGLS/NCOA4/CLCN3/PC/DCAF10/DMTN/UROD/H1-0/KDM7A/MXI1/SDCBP/TNS1/SPTB/OSBP2/EZH1/CPOX/SEC14L1/SLC2A1/MARK3",97
"suppressed","HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION","53/1475","96/4384",0.552083333333333,1.64090395480226,4.5207559702619,9.37231873278171e-06,0.000117153984159771,0.000117153984159771,"AP2M1/COPB2/CLN5/CD63/CLTA/STX7/SEC22B/SCAMP3/AP3S1/ATP7A/PPT1/KIF1B/VPS45/AP3B1/GBF1/ATP6V1H/TMX1/ARFGEF1/ATP1A1/SNX2/SEC24D/LAMP2/SGMS1/SCAMP1/M6PR/BNIP3/COG2/MAPK1/DOP1A/AP2B1/AP1G1/BET1/ARFGEF2/TPD52/COPE/IGF2R/GNAS/RAB14/ADAM10/RAB5A/OCRL/ERGIC3/SEC31A/ANP32E/TMED10/GLA/DNM1L/CLCN3/STAM/CLTC/CTSC/SNAP23/ARFGAP3",53
"suppressed","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","59/1475","113/4384",0.52212389380531,1.55185840707965,4.23167186431136,2.93253830053702e-05,0.000293253830053702,0.000293253830053702,"DCP1A/EIF2AK3/HYOU1/VEGFA/GEMIN4/SDAD1/IARS1/CNOT6/TARS1/NABP1/ATP6V0D1/NOP14/NHP2/EDEM1/RRP9/DNAJB9/XPOT/EIF4G1/DDX10/H2AX/ERO1A/CKS1B/SHC1/ZBTB17/EXOSC1/NPM1/NFYB/EEF2/NOLC1/KHSRP/HERPUD1/DNAJA4/SPCS3/KDELR3/SRPRA/SERP1/SKIC3/DCTN1/SLC7A5/SSR1/CXXC1/EXOSC10/RPS14/CEBPG/EXOC2/PARN/EXOSC5/SEC31A/ATF6/WFS1/EXOSC4/HSPA9/EIF4A3/KIF5B/SLC30A5/BANF1/YWHAZ/NOP56/EIF4EBP1",59
"suppressed","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","94/1475","200/4384",0.47,1.39693559322034,4.09118471954972,4.27343894582248e-05,0.000356119912151873,0.000356119912151873,"TBK1/INSIG1/HMGCS1/FKBP2/ENO1/PSMB5/PSMD14/SC5D/NIBAN1/ABCF2/COPS5/EIF2S2/RPA1/UFM1/RPN1/PGK1/PGM1/PDAP1/CACYBP/EDEM1/SLA/PITPNB/STIP1/LTA4H/BUB1/RRP9/NFKBIB/IDI1/HMBS/PSMA4/RAB1A/G6PD/TCEA1/GSK3B/PDK1/SHMT2/ETF1/SYTL2/M6PR/ERO1A/HMGCR/SKAP2/IFRD1/IFI30/NFYC/CDKN1A/NMT1/ATP5MC1/TPI1/SQSTM1/GAPDH/GPI/CCNG1/SERP1/ATP6V1D/HSPE1/PIK3R3/SLC7A5/PPIA/TFRC/GCLC/ACTR3/ITGB2/SSR1/PSMC4/HSPD1/RRM2/ALDOA/EBP/P4HA1/BCAT1/CDC25A/NAMPT/CXCR4/PSMD12/PSMD13/ACACA/LDLR/GLA/HSPA9/HSPA4/PSMC2/ADD3/IMMT/DDIT3/UBE2D3/CTSC/NUP205/FGL2/CYP51A1/CCNF/GOT1/SLC2A1/ATP2A2",94
"suppressed","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","89/1475","199/4384",0.447236180904523,1.32927689293927,3.38493198784498,0.000579824229622877,0.00414160164016341,0.00414160164016341,"NOTCH2/ITSN1/GEMIN4/FBXO5/AKAP13/MARK4/ARHGEF12/DOCK2/TAOK2/FLNB/KATNB1/MID1IP1/RASA1/BCAR1/PCGF5/ARAP3/WASF2/HDAC6/KIF20B/KIF1B/BUB1/CDC42BPA/VCL/ARFGEF1/EPB41/SMC1A/MYO1E/OPHN1/ARHGEF7/NEK2/RAPGEF6/SPTBN1/RICTOR/KIF11/RABGAP1/TIAM1/SUN2/LMNB1/SOS1/CNTRL/ARF6/PCM1/NET1/MAPRE1/TSC1/CD2AP/NUMA1/HOOK3/ARHGDIA/CDC42EP4/TPX2/SYNPO/CKAP5/NUSAP1/MYO9B/INCENP/MAP3K11/CTTN/ABR/TLK1/ATG4B/DYNC1H1/CEP57/LATS1/MYH9/CCDC88A/CDC42/STAU1/ARHGAP27/SPTAN1/CLASP1/LLGL1/BCR/KIF5B/PAFAH1B1/SEPTIN9/NF1/STK38L/TBCD/ROCK1/PCNT/PXN/FLNA/ARHGAP29/NCK2/KPTN/ARFIP2/CDC42EP1/ARL8A",89
