"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0050852","T cell receptor signaling pathway",11,-0.88796097985095,-2.06964531190773,5.83090468746199e-06,0.00315219432220604,0.00310752458780447,903,"tags=55%, list=9%, signal=50%","TXK/FYB1/ITK/UBASH3A/CD247/FYN",0.610526878385931
"GO:0030029","actin filament-based process",197,-0.485998719059046,-2.02325363501724,6.92763244356707e-10,1.43817649528452e-06,1.41779610134295e-06,2060,"tags=42%, list=20%, signal=34%","SIGLEC15/FLNB/EPB41/SPTB/WASHC1/ARHGAP25/CAP1/NCKAP1/TPM3/AMOT/FHOD1/SETD3/SH3BP1/SPTBN1/ARPC1A/RHOG/AP1AR/DBNL/ARHGEF2/TPM2/LPXN/MYO1F/CDC42BPA/PARVG/INF2/MYO18A/TWF2/TPM1/CSRP1/CAPZA2/SVIL/TESK2/RHOT1/BRK1/LCP1/ARPC2/EVL/SPECC1/AMOTL1/DIAPH2/ARPC5/FMNL1/FHL3/CDC42EP1/RHOA/EHBP1/GMFB/FLII/TMSB4X/CYRIB/SPTAN1/COTL1/ELMO2/LOC100226244/FMNL3/FLNA/ADD3/WDR1/CYRIA/ELMO1/MYL9/MYO9B/ABRACL/CAPZB/MYO1D/ENAH/ACTN1/PACSIN2/TPM4/SPECC1L/RAC2/PARVB/PDLIM1/PFN2/IQSEC1/LIMD2/OPHN1/CYFIP2/EEF2K/ACTR3/CD2AP/LOC115494853",0.801215574617779
"GO:0030036","actin cytoskeleton organization",194,-0.481792841508399,-2.00843083015288,1.65037136627056e-09,1.71308547818885e-06,1.68880935003938e-06,2060,"tags=41%, list=20%, signal=33%","SIGLEC15/FLNB/EPB41/SPTB/WASHC1/ARHGAP25/CAP1/NCKAP1/TPM3/AMOT/FHOD1/SETD3/SH3BP1/SPTBN1/ARPC1A/RHOG/AP1AR/DBNL/ARHGEF2/TPM2/LPXN/MYO1F/CDC42BPA/PARVG/INF2/MYO18A/TWF2/TPM1/CSRP1/CAPZA2/SVIL/TESK2/RHOT1/BRK1/LCP1/ARPC2/EVL/SPECC1/AMOTL1/DIAPH2/ARPC5/FMNL1/FHL3/CDC42EP1/RHOA/EHBP1/GMFB/FLII/TMSB4X/CYRIB/SPTAN1/COTL1/ELMO2/LOC100226244/FMNL3/FLNA/ADD3/WDR1/CYRIA/ELMO1/MYL9/CAPZB/MYO1D/ENAH/ACTN1/PACSIN2/TPM4/SPECC1L/RAC2/PARVB/PDLIM1/PFN2/IQSEC1/LIMD2/OPHN1/CYFIP2/EEF2K/ACTR3/CD2AP/LOC115494853",0.788186810800237
"GO:0030097","hemopoiesis",41,-0.625296089570561,-1.98466936555331,5.78941016825982e-05,0.0112673165405887,0.0111076474384204,2060,"tags=51%, list=20%, signal=41%","SIGLEC15/TCTA/SYK/EVI2B/RUNX1/SRC/ALAS1/CD79B/RUNX3/LYN/TET2/INPP5D/LOC100222416/IL7R/UBASH3B/JAK2/CD79A/LCK/TPD52/ITK/CD3E",0.557332238758646
"GO:0006099","tricarboxylic acid cycle",21,-0.705063222190646,-1.96875174119121,0.000206522684629758,0.0204162425376847,0.0201269240381201,231,"tags=29%, list=2%, signal=28%","ACO2/CS/DLST/FH/SDHB/SUCLG1",0.518848077743792
"GO:0032970","regulation of actin filament-based process",72,-0.536886216015759,-1.92592678187287,2.49709645345962e-05,0.00764074331974553,0.00753246637364509,1785,"tags=35%, list=18%, signal=29%","SH3BP1/RHOG/AP1AR/DBNL/TWF2/CAPZA2/SVIL/RHOT1/BRK1/EVL/ARPC5/CDC42EP1/GMFB/FLII/CYRIB/COTL1/LOC100226244/ADD3/CYRIA/ABRACL/CAPZB/RAC2/PFN2/CYFIP2/LOC115494853",0.575610261071129
"GO:0032956","regulation of actin cytoskeleton organization",71,-0.527575172886035,-1.88018512252498,5.9701580899073e-05,0.0112673165405887,0.0111076474384204,1785,"tags=34%, list=18%, signal=28%","SH3BP1/RHOG/AP1AR/DBNL/TWF2/CAPZA2/SVIL/RHOT1/BRK1/EVL/ARPC5/CDC42EP1/GMFB/FLII/CYRIB/COTL1/LOC100226244/ADD3/CYRIA/CAPZB/RAC2/PFN2/CYFIP2/LOC115494853",0.557332238758646
"GO:0050851","antigen receptor-mediated signaling pathway",19,-0.702408987106426,-1.8735952093387,0.000936608762091972,0.0516419449848001,0.050910127168176,1103,"tags=58%, list=11%, signal=52%","CD79B/LYN/TXK/FYB1/KLHL6/CD79A/LCK/ITK/UBASH3A/CD247/FYN",0.477270815362862
"GO:0009060","aerobic respiration",56,-0.542236753277417,-1.86844018935172,0.000185667639208717,0.0192723009498648,0.0189991932424265,1686,"tags=39%, list=17%, signal=33%","NDUFA10/NDUFV1/SHMT2/NDUFA7/COX7A2/NDUFV2/OGDH/NDUFC2/NDUFB8/NDUFB9/NDUFA8/IDH3B/MTFR1L/NDUFS7/NDUFS2/ACO2/CS/NDUFB6/DLST/FH/SDHB/SUCLG1",0.518848077743792
"GO:0007015","actin filament organization",120,-0.481788295838546,-1.86684547994682,6.07359214297889e-06,0.00315219432220604,0.00310752458780447,2432,"tags=42%, list=24%, signal=33%","CORO1B/DSTN/PLS3/SHROOM4/ACTR2/TMOD4/MYO5A/IQGAP1/LOC100223649/SH3KBP1/WASHC1/ARHGAP25/CAP1/TPM3/ARPC1A/AP1AR/DBNL/ARHGEF2/TPM2/MYO1F/TWF2/TPM1/CAPZA2/SVIL/BRK1/LCP1/ARPC2/EVL/DIAPH2/ARPC5/CDC42EP1/RHOA/GMFB/FLII/TMSB4X/CYRIB/COTL1/ELMO2/ADD3/WDR1/CYRIA/ELMO1/CAPZB/MYO1D/ENAH/TPM4/PFN2/LIMD2/CYFIP2/ACTR3/CD2AP",0.610526878385931
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone",13,-0.768492803394713,-1.86159672736747,0.0013910143707674,0.0577549166742624,0.0569364719578152,1686,"tags=77%, list=17%, signal=64%","NDUFA10/NDUFV1/NDUFA7/NDUFV2/NDUFC2/NDUFB8/NDUFB9/NDUFA8/NDUFS2/NDUFB6",0.45505986738723
"GO:0045333","cellular respiration",59,-0.531696927868839,-1.84799965528277,7.96745338246371e-05,0.0120971865670061,0.0119257573796785,1686,"tags=37%, list=17%, signal=31%","NDUFA10/NDUFV1/SHMT2/NDUFA7/COX7A2/NDUFV2/OGDH/NDUFC2/NDUFB8/NDUFB9/NDUFA8/IDH3B/MTFR1L/NDUFS7/NDUFS2/ACO2/CS/NDUFB6/DLST/FH/SDHB/SUCLG1",0.538434096309916
"GO:0008360","regulation of cell shape",29,-0.611970789303562,-1.8438681200186,0.0012155944654769,0.0550874191874139,0.0543067755682579,2040,"tags=48%, list=20%, signal=39%","PLXND1/RDX/RHOG/NF2/RHOT1/FMNL1/CDC42EP1/LOC100226244/FMNL3/PHIP/RAC2/PLXNA1/MSN/LOC115494853",0.45505986738723
"GO:0030865","cortical cytoskeleton organization",24,-0.657741434655573,-1.84131244327627,0.000601698049079838,0.0416375049963248,0.0410474600627915,2256,"tags=46%, list=22%, signal=36%","IQGAP1/EPB41/NCKAP1/FHOD1/RHOG/RHOT1/FMNL1/LOC100226244/FMNL3/RAC2/LOC115494853",0.477270815362862
"GO:0008064","regulation of actin polymerization or depolymerization",44,-0.555311916962908,-1.83614772871469,0.00106638383069724,0.0539954349396942,0.0532302658253848,1427,"tags=34%, list=14%, signal=29%","TWF2/CAPZA2/SVIL/BRK1/EVL/ARPC5/CDC42EP1/FLII/CYRIB/COTL1/ADD3/CYRIA/CAPZB/PFN2/CYFIP2",0.45505986738723
"GO:0030832","regulation of actin filament length",44,-0.555311916962908,-1.83614772871469,0.00106638383069724,0.0539954349396942,0.0532302658253848,1427,"tags=34%, list=14%, signal=29%","TWF2/CAPZA2/SVIL/BRK1/EVL/ARPC5/CDC42EP1/FLII/CYRIB/COTL1/ADD3/CYRIA/CAPZB/PFN2/CYFIP2",0.45505986738723
"GO:0008154","actin polymerization or depolymerization",58,-0.533605888291584,-1.82637523338641,0.000278964852474867,0.0251796101625141,0.0248227899974718,1427,"tags=33%, list=14%, signal=28%","TWF2/CAPZA2/SVIL/BRK1/ARPC2/EVL/DIAPH2/ARPC5/CDC42EP1/FLII/CYRIB/COTL1/ADD3/WDR1/CYRIA/CAPZB/ENAH/PFN2/CYFIP2",0.49849310876659
"GO:1903131","mononuclear cell differentiation",16,-0.701184205092133,-1.82189319880267,0.00348510279185697,0.0938945769701022,0.0925639972575966,1103,"tags=56%, list=11%, signal=50%","CD79B/LYN/INPP5D/LOC100222416/CD79A/LCK/TPD52/ITK/CD3E",0.431707695803346
"GO:0007259","cell surface receptor signaling pathway via JAK-STAT",15,-0.720777287739513,-1.82122132276297,0.00319265159874134,0.0920547877637086,0.0907502796974291,893,"tags=40%, list=9%, signal=37%","LOC100222731/STAT4/SOCS5/IL7R/JAK2/STAT3",0.431707695803346
"GO:0097696","cell surface receptor signaling pathway via STAT",15,-0.720777287739513,-1.82122132276297,0.00319265159874134,0.0920547877637086,0.0907502796974291,893,"tags=40%, list=9%, signal=37%","LOC100222731/STAT4/SOCS5/IL7R/JAK2/STAT3",0.431707695803346
