"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0004674","protein serine/threonine kinase activity",15,-0.523581362285729,-2.23865368225241,0.0014317637594729,0.502732169973223,0.502732169973223,220,"tags=67%, list=18%, signal=55%","PRKCH/CSNK1A1/STK17A/BCR/STK4/EEF2K/PRKCQ/MAPK8/PDPK1/PRKACB",0.45505986738723
"GO:0019901","protein kinase binding",17,-0.446318157409324,-2.0057544052497,0.00437895501081032,0.502732169973223,0.502732169973223,430,"tags=76%, list=36%, signal=50%","TNIP1/CDC42/RB1CC1/SHC1/RAC2/FRS2/TRAP1/RHOH/PDE3B/CPNE3/CCNY/PPP1R12B/LOC115494853",0.407017918923954
"GO:0019899","enzyme binding",36,-0.310148622837399,-2.00189047247673,0.00444266769627403,0.502732169973223,0.502732169973223,195,"tags=39%, list=16%, signal=34%","DOCK2/BRMS1L/TRAP1/RABGEF1/CYFIP2/DLG3/RHOH/MEF2C/PDE3B/CPNE3/CCNY/CCDC50/PPP1R12B/LOC115494853",0.407017918923954
"GO:0019900","kinase binding",19,-0.418522138822064,-1.94955660588695,0.00583642270734411,0.502732169973223,0.502732169973223,430,"tags=74%, list=36%, signal=48%","TNIP1/CDC42/RB1CC1/SHC1/RAC2/FRS2/TRAP1/DLG3/RHOH/PDE3B/CPNE3/CCNY/PPP1R12B/LOC115494853",0.407017918923954
"GO:0003924","GTPase activity",17,-0.42617604499419,-1.91523572471429,0.0086302669739818,0.502732169973223,0.502732169973223,409,"tags=71%, list=34%, signal=47%","CDC42/SEPTIN8/ARF3/RAB7A/RAC2/SEPTIN9/RHOH/DNM1L/SEPTIN7/LOC100218025/ATL2/LOC115494853",0.380730400722792
"GO:0044183","protein folding chaperone",12,0.534964249847668,1.91398444290443,0.00726272341974116,0.502732169973223,0.502732169973223,217,"tags=58%, list=18%, signal=48%","HSPA8/HSPA2/HSP90AA1/HSPA5/TCP1/HSPE1/HSPD1",0.407017918923954
"GO:0060090","molecular adaptor activity",27,-0.336608074069555,-1.90938639078981,0.00974814341655397,0.502732169973223,0.502732169973223,485,"tags=74%, list=40%, signal=45%","ITSN1/PIAS2/CUL2/POU2AF1/SEPTIN8/TRERF1/RB1CC1/CDYL2/FRS2/VAMP2/ABI2/SEPTIN9/KMT2D/ATXN7L3/LOC105759033/SEPTIN7/SGTA/CASP8AP2/LOC100218025/GNB4",0.380730400722792
"GO:0005525","GTP binding",24,-0.362891277225876,-1.87001914720493,0.0115061940310773,0.502732169973223,0.502732169973223,444,"tags=67%, list=37%, signal=43%","OLA1/CDC42/SEPTIN8/ARF3/RAB7A/ANXA6/RAC2/SEPTIN9/RHOH/DNM1L/SEPTIN7/LOC100218025/LOC115490530/ATL2/LOC115491411/LOC115494853",0.380730400722792
"GO:0042578","phosphoric ester hydrolase activity",17,-0.415289884541717,-1.86631330486351,0.0108312449712011,0.502732169973223,0.502732169973223,475,"tags=76%, list=39%, signal=47%","PTPN14/UBASH3B/PLCG2/DUSP12/PLCG1/RNGTT/PTPN4/PTPRC/PDE3B/PPM1B/CTDSPL/LOC100222691/PDE7B",0.380730400722792
"GO:0019001","guanyl nucleotide binding",25,-0.338310518041743,-1.83303085633168,0.0201542324773498,0.673388473360866,0.673388473360865,409,"tags=60%, list=34%, signal=40%","CDC42/SEPTIN8/ARF3/RAB7A/ANXA6/RAC2/SEPTIN9/RHOH/DNM1L/SEPTIN7/LOC100218025/LOC115490530/ATL2/LOC115491411/LOC115494853",0.352487857583619
"GO:0032561","guanyl ribonucleotide binding",25,-0.338310518041743,-1.83303085633168,0.0201542324773498,0.673388473360866,0.673388473360865,409,"tags=60%, list=34%, signal=40%","CDC42/SEPTIN8/ARF3/RAB7A/ANXA6/RAC2/SEPTIN9/RHOH/DNM1L/SEPTIN7/LOC100218025/LOC115490530/ATL2/LOC115491411/LOC115494853",0.352487857583619
"GO:0140662","ATP-dependent protein folding chaperone",10,0.547709174187344,1.80518534691939,0.00910110519111674,0.502732169973223,0.502732169973223,217,"tags=60%, list=18%, signal=50%","HSPA8/HSPA2/HSP90AA1/HSPA5/TCP1/HSPD1",0.380730400722792
"GO:0051082","unfolded protein binding",10,0.547636742268955,1.80494661979214,0.00910110519111674,0.502732169973223,0.502732169973223,374,"tags=80%, list=31%, signal=56%","HSP90AA1/NACAD/LOC100190429/TCP1/HSPE1/DNAJA4/CCT5/DNAJA1",0.380730400722792
"GO:0016791","phosphatase activity",11,-0.460600040571717,-1.74225499860083,0.0185236453643747,0.673388473360866,0.673388473360865,475,"tags=82%, list=39%, signal=50%","PTPN14/UBASH3B/DUSP12/RNGTT/PTPN4/PTPRC/PPM1B/CTDSPL/LOC100222691",0.352487857583619
"GO:0035091","phosphatidylinositol binding",5,-0.648626144879267,-1.74182287199352,0.029776551484247,0.740875436005719,0.740875436005719,428,"tags=100%, list=35%, signal=65%","SNX4/DENND1B/ARAP2/GOLPH3L/LOC100220779",0.352487857583619
"GO:1901981","phosphatidylinositol phosphate binding",5,-0.648626144879267,-1.74182287199352,0.029776551484247,0.740875436005719,0.740875436005719,428,"tags=100%, list=35%, signal=65%","SNX4/DENND1B/ARAP2/GOLPH3L/LOC100220779",0.352487857583619
"GO:0004721","phosphoprotein phosphatase activity",9,-0.510458578108112,-1.71696318839954,0.0199695425497651,0.673388473360866,0.673388473360865,475,"tags=89%, list=39%, signal=54%","PTPN14/UBASH3B/DUSP12/RNGTT/PTPN4/PTPRC/PPM1B/CTDSPL",0.352487857583619
"GO:0004896","cytokine receptor activity",4,-0.709650582362729,-1.71392804082243,0.0282250970981677,0.740875436005719,0.740875436005719,354,"tags=100%, list=29%, signal=71%","IL7R/CCR7/IL6ST/LOC105759491",0.352487857583619
"GO:0019208","phosphatase regulator activity",4,-0.703826955074875,-1.69986298069845,0.0300002377255837,0.740875436005719,0.740875436005719,361,"tags=100%, list=30%, signal=70%","PPP1R16B/PPP2R5C/LOC100227536/PPP1R12B",0.352487857583619
"GO:0004715","non-membrane spanning protein tyrosine kinase activity",6,-0.592336388217208,-1.68369256579801,0.0371613612492888,0.787794729542302,0.787794729542302,353,"tags=83%, list=29%, signal=59%","LCK/JAK2/ITK/FYN/FER",0.321775918075361
"GO:0004722","protein serine/threonine phosphatase activity",2,-0.946013289036545,-1.65225642754319,0.00799776013222798,0.502732169973223,0.502732169973223,68,"tags=100%, list=6%, signal=95%","PPM1B/CTDSPL",0.380730400722792
"GO:0005200","structural constituent of cytoskeleton",3,-0.75452078208224,-1.58483617119365,0.0400648855813296,0.787794729542302,0.787794729542302,32,"tags=67%, list=3%, signal=65%","LOC115490530/LOC115491411",0.321775918075361
"GO:0015631","tubulin binding",11,-0.418789476952307,-1.58410333328656,0.0473260405734046,0.787794729542302,0.787794729542302,230,"tags=55%, list=19%, signal=45%","CLASP2/NEDD1/CCDC69/KIF1C/DNM1L/MAP4",0.321775918075361
"GO:0016462","pyrophosphatase activity",34,-0.261938228668668,-1.57477506941568,0.0279652685163673,0.740875436005719,0.740875436005719,452,"tags=62%, list=37%, signal=40%","ATP11B/OLA1/ABCB10/CDC42/SEPTIN8/ARF3/RAB7A/NUDT7/RNGTT/ATP9B/RAC2/SEPTIN9/TRAP1/RHOH/MCM4/DNM1L/SEPTIN7/ASCC3/LOC100218025/ATL2/LOC115494853",0.352487857583619
"GO:0061980","regulatory RNA binding",1,-0.995850622406639,-1.34316602103188,0.0099992418736736,0.502732169973223,0.502732169973223,7,"tags=100%, list=1%, signal=100%","ARB2A",0.380730400722792
"GO:0005246","calcium channel regulator activity",1,-0.980912863070539,-1.3230185307164,0.0475570410635969,0.787794729542302,0.787794729542302,25,"tags=100%, list=2%, signal=98%","SLC30A1",0.321775918075361
"GO:0008200","ion channel inhibitor activity",1,-0.980912863070539,-1.3230185307164,0.0475570410635969,0.787794729542302,0.787794729542302,25,"tags=100%, list=2%, signal=98%","SLC30A1",0.321775918075361
"GO:0016248","channel inhibitor activity",1,-0.980912863070539,-1.3230185307164,0.0475570410635969,0.787794729542302,0.787794729542302,25,"tags=100%, list=2%, signal=98%","SLC30A1",0.321775918075361
"GO:0141110","transporter inhibitor activity",1,-0.980912863070539,-1.3230185307164,0.0475570410635969,0.787794729542302,0.787794729542302,25,"tags=100%, list=2%, signal=98%","SLC30A1",0.321775918075361
"GO:0046875","ephrin receptor binding",1,0.990041493775934,1.31438357926145,0.0264824630026774,0.740875436005719,0.740875436005719,13,"tags=100%, list=1%, signal=99%","EFNB3",0.352487857583619
"GO:0015179","L-amino acid transmembrane transporter activity",1,0.985892116182573,1.30887484674149,0.0344673582492446,0.787794729542302,0.787794729542302,18,"tags=100%, list=1%, signal=99%","SLC7A3",0.321775918075361
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
