"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",96,-0.550965989974091,-2.05840869896207,2.61799082365487e-07,1.30899541182744e-05,8.66957401045195e-06,1737,"tags=40%, list=17%, signal=33%","ZAP70/ST8SIA4/HIF1A/TLR3/BCL3/AARS1/EIF3J/IL2RG/PRKCB/AKT1/IFNGR1/CD4/HDAC9/LYN/CCND3/EIF3A/IL16/FYB1/BCAT1/STAT4/FLNA/UBE2N/CSK/SOCS5/GALNT1/CD7/TPD52/CD79A/LCP2/LCK/CD2/ITK/JAK2/PTPRC/CD247/DARS1/CD3E/ETS1",0.674962860011025
"HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM",138,-0.473724453958938,-1.86584249751467,3.86047333131609e-06,6.43412221886015e-05,4.26136701967714e-05,2544,"tags=44%, list=25%, signal=34%","SEC14L1/NCOA4/GCLM/MOSPD1/ARHGEF12/TCEA1/KDM7A/ACKR1/NARF/CPOX/CDC27/ADIPOR1/MKRN1/FBXO7/EPB41/HEBP1/ANK1/DCUN1D1/SLC2A1/MPP1/ATP6V0A1/SPTB/CAT/SIDT2/CAST/BTRC/PC/FBXO34/TOP1/XPO7/FOXO3/SDCBP/MARK3/TNS1/RIOK3/FOXJ2/BSG/HDGF/CCND3/EIF2AK1/USP15/ISCA1/NEK7/PPOX/ABCB6/TSPAN5/RNF19A/YPEL5/KAT2B/PGLS/NR3C1/BLVRA/FBXO9/UROD/SLC66A2/TFRC/MFHAS1/OPTN/SLC4A1/TFDP2/SLC30A1",0.610526878385931
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",185,-0.432189117059955,-1.77360023457571,3.27911752134109e-06,6.43412221886015e-05,4.26136701967714e-05,1170,"tags=23%, list=12%, signal=21%","NDUFA8/NDUFB8/ATP5F1D/IDH3B/NDUFC2/RHOT1/OGDH/ATP5PB/NDUFA6/MTRR/ETFA/TIMM13/ISCA1/CASP7/ATP5ME/COX6C/UQCRC2/OPA1/HADHA/UQCRB/UQCRQ/COX5A/UQCRC1/IMMT/ECHS1/PDHA1/NDUFB6/NDUFS2/NDUFS7/ATP5F1C/PHYH/ATP1B1/DLAT/ACO2/ATP5F1A/CS/DLD/FH/DLST/SDHB/TIMM17A/LDHB/SUCLG1",0.627256739718528
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS",140,-0.42806332258541,-1.67546266463771,7.60846439241851e-05,0.000951058049052314,0.000629892822388444,1969,"tags=32%, list=19%, signal=26%","UCK1/MAP4K3/LPCAT3/CAT/CYC1/AK2/ACOX1/MGLL/BCL2L13/PFKFB3/SCP2/BAZ2A/IFNGR1/RIOK3/ACADL/PFKL/SQOR/SLC25A1/CD151/PGM1/ALDOA/ESYT1/DHRS7/GPD2/HIBCH/UQCRQ/SAMM50/UQCRC1/IMMT/ECHS1/CMPK1/ITSN1/PHYH/MYLK/ATP1B3/DLAT/ACO2/CS/DLD/DDT/CCNG2/SDHB/PPM1B/ATL2/SUCLG1",0.538434096309916
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PI3K_AKT_MTOR_SIGNALING",82,-0.456224082414793,-1.6713759368065,0.0012170156999335,0.0101417974994458,0.00671698794556609,2111,"tags=34%, list=21%, signal=27%","RIPK1/SLC2A1/CSNK2B/ACACA/TBK1/CAB39L/PTEN/CAB39/MAPKAP1/IL2RG/PRKCB/AKT1/GRB2/VAV3/E2F1/SLA/ARHGDIA/MYD88/PTPN11/PRKAG1/AP2M1/UBE2N/ITPR2/YWHAB/LCK/PLCG1/MAPK8/ACTR3",0.45505986738723
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",46,0.532009337226777,1.65053407360265,0.00800512077374419,0.0444728931874677,0.0294547280658081,1586,"tags=35%, list=16%, signal=29%","NOP2/HSPE1/HSPD1/DDX18/RRP9/WDR43/FARSA/WDR74/TCOF1/MRTO4/PPRC1/PLK1/NOP16/NIP7/NDUFAF4/NOP56",0.380730400722792
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",151,-0.403190848665346,-1.5999461070513,0.000229716742455391,0.00229716742455391,0.00152143107772748,2098,"tags=34%, list=21%, signal=28%","EPB41/TLK1/FLNB/ARFGEF1/NF1/ARHGEF2/PREX1/TBCD/SUN2/KATNB1/ATG4B/RFC1/TUBGCP5/KATNA1/CCDC88A/NOTCH2/RASAL2/ARHGEF3/SPTBN1/CDC42BPA/CLASP1/RICTOR/KIF1B/PAFAH1B1/RABGAP1/MAP1S/ABL1/HOOK3/ARHGEF7/ARHGDIA/MAPRE1/CDC42EP1/AKAP13/UXT/MYO9B/ABR/FLNA/KLC1/CAPZB/SPTAN1/ARHGAP29/NCK2/PCNT/STAU1/ITSN1/CDC42/MYH9/BCR/SEPTIN9/DOCK2/OPHN1/CD2AP",0.518848077743792
"HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_WNT_BETA_CATENIN_SIGNALING",27,-0.54400623006845,-1.57559718101095,0.0198073316387878,0.0900333256308536,0.0596297414728223,2094,"tags=48%, list=21%, signal=38%","TCF7/CUL1/CSNK1E/ADAM17/NCOR2/HDAC11/MYC/HDAC5/PTCH1/LEF1/GNAI1/RBPJ/HDAC2",0.352487857583619
"HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION",81,-0.41999130687357,-1.5360847388257,0.00692956036892803,0.0433097523058002,0.028684371205342,2448,"tags=33%, list=24%, signal=26%","AP2S1/VPS4B/RAB2A/ERGIC3/BNIP3/RER1/STX7/ARFGEF1/COPB1/BET1/SCAMP1/AP1G1/OCRL/KIF1B/DOP1A/SEC24D/CLN5/ATP1A1/ANP32E/AP2M1/TMX1/COPB2/CLTA/TPD52/AP3B1/DNM1L/AP2B1",0.407017918923954
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",102,-0.406969151878879,-1.52206994328283,0.00348160508389492,0.0248686077421066,0.0164706639464916,1406,"tags=27%, list=14%, signal=24%","PIK3CG/PREP/CSRP1/CALM1/SRC/PRDM4/GRB2/GP9/LYN/CBLB/ATOX1/USP15/GNAI2/CASP7/GMFB/VCPIP1/GPD2/USP14/PIK3R5/DOCK10/PDGFB/LCP2/LCK/JAK2/ZEB1/F8/GNB4/FYN",0.431707695803346
