"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"OXPHOS subunits","OXPHOS subunits",79,-0.777402645347277,-2.63476513593787,1e-10,1.17e-08,7.36842105263158e-09,1877,"tags=76%, list=15%, signal=65%","NDUFA7/ATP5IF1/SDHC/NDUFA11/SDHB/COX6A1/NDUFA13/NDUFB2/NDUFS6/NDUFA2/NDUFA6/NDUFB9/SDHA/NDUFAB1/UQCRFS1/UQCRQ/NDUFB10/NDUFV1/UQCRH/NDUFS4/CYC1/ATP5ME/COX5A/UQCR10/NDUFA8/NDUFB8/NDUFA9/NDUFB6/COX4I1/NDUFS7/UQCRB/ATP5MF/SDHD/ATP5MC3/NDUFC2/COX7B/NDUFS8/NDUFA4/NDUFA12/ATP5PB/NDUFS2/NDUFS1/NDUFA5/ATP5PF/UQCRC2/ATP5PD/COX7A2/ATP5PO/ATP5F1C/ATP5MC1/NDUFB4/ATP5F1B/NDUFV2/CYCS/ATP5F1A/NDUFA10/NDUFB5/NDUFS3/HCCS/UQCRC1"
"CI subunits","CI subunits",37,-0.779836685901973,-2.29823625984544,2.64961794432826e-08,1.55002649743203e-06,9.7617503212094e-07,1704,"tags=86%, list=14%, signal=75%","NDUFB11/NDUFB3/NDUFC1/NDUFV3/NDUFA7/NDUFA11/NDUFA13/NDUFB2/NDUFS6/NDUFA2/NDUFA6/NDUFB9/NDUFAB1/NDUFB10/NDUFV1/NDUFS4/NDUFA8/NDUFB8/NDUFA9/NDUFB6/NDUFS7/NDUFC2/NDUFS8/NDUFA12/NDUFS2/NDUFS1/NDUFA5/NDUFB4/NDUFV2/NDUFA10/NDUFB5/NDUFS3"
"SLC25A family","SLC25A family",38,-0.755966663689153,-2.236956433998,1.00309449241277e-07,3.91206852040979e-06,2.46374085855767e-06,1174,"tags=47%, list=9%, signal=43%","SLC25A33/SLC25A44/SLC25A16/SLC25A26/SLC25A21/SLC25A19/SLC25A20/SLC25A11/SLC25A1/SLC25A51/SLC25A12/SLC25A13/SLC25A30/MTCH1/SLC25A4/SLC25A47/SLC25A10/SLC25A3"
"Fe-S-containing proteins","Fe-S-containing proteins",28,-0.776837263457059,-2.16563782542403,2.26667583257229e-06,6.63002681027394e-05,4.17545548105421e-05,1611,"tags=57%, list=13%, signal=50%","SDHB/BOLA1/GLRX2/UQCRFS1/NDUFV1/GLRX5/NDUFS7/NDUFS8/NDUFS2/NDUFS1/FDX1/ETFDH/ACO2/CISD1/NDUFV2/NUBPL"
"TCA cycle","TCA cycle",19,-0.841067605990006,-2.16664429368925,5.05093039421743e-06,0.000118191771224688,7.44347637042569e-05,1776,"tags=84%, list=14%, signal=72%","SDHC/SDHB/IDH3B/DLD/SUCLG2/SDHA/SDHD/SUCLA2/SUCLG1/FH/OGDH/ACO2/DLST/IDH3A/MDH2/CS"
"Fatty acid oxidation","Fatty acid oxidation",36,-0.685113433015083,-2.0126276855414,3.26611630025442e-05,0.00045882724704765,0.000288960029629649,1788,"tags=47%, list=14%, signal=41%","ETFB/ACADM/ACSS1/HADHA/AMACR/CPT1B/ACADS/SLC25A20/DECR1/ACADVL/ACSL1/HADH/ACADL/ETFDH/ETFA/CRAT/CPT1A"
"TCA-associated","TCA-associated",12,-0.876870045379847,-1.99809681010636,3.529440361905e-05,0.00045882724704765,0.000288960029629649,590,"tags=58%, list=5%, signal=56%","PC/SLC25A11/MPC2/SLC25A1/ACLY/FAHD1/MPC1"
"Small molecule transport","Small molecule transport",14,-0.848078523775792,-1.99715649670057,3.1714010858685e-05,0.00045882724704765,0.000288960029629649,1390,"tags=64%, list=11%, signal=57%","MRS2/STARD7/MPC2/SLC30A9/SLC8B1/MPV17L/VDAC2/MPC1/VDAC3"
"Mitochondrial ribosome","Mitochondrial ribosome",79,-0.57053769723464,-1.93366055853925,3.29385401830329e-05,0.00045882724704765,0.000288960029629649,3970,"tags=57%, list=32%, signal=39%","MRPL40/MRPL3/MRPL37/MRPS34/MRPS7/MRPL32/MRPS18B/MRPL44/MRPL49/MRPL1/MRPS21/MRPS27/MRPL27/MRPL45/MRPS36/MRPS2/MRPL22/MRPS26/MRPL18/MRPS35/MRPS17/MRPL35/DAP3/MRPL46/MRPS31/MRPS16/MRPL30/MRPL16/MRPL57/MRPL9/PTCD3/MRPS15/MRPL28/MRPS22/MRPS25/MRPS9/MRPL21/MRPL42/MRPL53/MRPL12/MRPS5/MRPL13/MRPS14/MRPL15/MRPL47"
"Lipid metabolism","Lipid metabolism",20,-0.781571398320297,-2.02861520788416,8.37605445182616e-05,0.00097999837086366,0.000617182959608243,747,"tags=40%, list=6%, signal=38%","FABP1/SLC25A1/EHHADH/LYPLA1/FASN/HSD17B4/DBI/ACOT13"
