"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"tgu04517","IgSF CAM signaling",117,-0.558988807338799,-1.97958248203854,9.72652243906998e-08,1.73132099415446e-05,1.73132099415446e-05,1135,"tags=38%, list=16%, signal=33%","100220994/100232504/100223450/100229606/100227442/100217604/100223739/100190509/100230728/100225856/100217811/100190285/100226729/100218949/100190386/100219602/100222831/100217607/115494791/751978/100226590/100219581/100219388/100230189/100230947/100151697/100221879/100227983/100224188/100222467/100228738/100220070/100219853/100227879/115493450/100217629/100220867/100218823/100225195/100228220/100232581/100217532/100227461/100227045/100229710",0.704975715167238
"tgu04270","Vascular smooth muscle contraction",45,-0.633993663644077,-1.94827379952221,2.47005719856443e-05,0.00146556727114823,0.00146556727114823,1106,"tags=38%, list=16%, signal=32%","100223544/100227442/100190399/100227554/100223563/100190386/100230706/100225700/100220857/100226590/100230189/100222467/100220987/100225195/100232581/100224964/100226105",0.575610261071129
"tgu03050","Proteasome",28,-0.670652073700399,-1.87772149972784,0.000180672586085562,0.00401996504040375,0.00401996504040375,1445,"tags=46%, list=21%, signal=37%","100190270/100219829/100190526/100227482/100190708/100190290/100220140/100228691/100225030/100226692/100190079/100190356/100190747",0.518848077743792
"tgu04820","Cytoskeleton in muscle cells",64,-0.570749465008229,-1.8610341704581,8.28324801235066e-05,0.00210631163742631,0.00210631163742631,1534,"tags=48%, list=22%, signal=38%","100228823/100217512/100224656/100219276/100227699/100192321/100223417/100225780/100192322/100227860/100230823/100228833/100228450/100228982/100222066/100221802/100217607/100228265/751978/100221936/100230189/100190512/100224787/100230947/100230716/100222467/100190669/100229364/100219853/100219298/100231891",0.538434096309916
"tgu04540","Gap junction",39,-0.619020344153241,-1.85020905284038,0.000250005504825454,0.00488957210390723,0.00488957210390723,1106,"tags=46%, list=16%, signal=39%","100223544/100231073/100227442/100227892/100227554/100228287/100190285/100219724/100223563/100232589/100219827/100230706/100225910/100225700/100219656/100225195/100229710/100226105",0.49849310876659
"tgu04810","Regulation of actin cytoskeleton",119,-0.508330790531181,-1.82873504613559,1.55559671921904e-05,0.00138448108010494,0.00138448108010494,922,"tags=31%, list=13%, signal=27%","100230434/100217604/100228287/100190509/100228982/100217811/100222066/100226729/100221423/100218810/100232589/100190386/100219602/100190752/100232349/100225793/100220857/751978/100226590/100225012/100230189/100230947/100231590/100221879/100227983/100219125/100224188/100222467/100230090/100219853/100226552/100219775/100220372/100218823/100225195/100217532/100224964",0.575610261071129
"tgu04910","Insulin signaling pathway",83,-0.532632500716135,-1.81623377703639,5.77246073255749e-05,0.00171249668399205,0.00171249668399205,1013,"tags=30%, list=15%, signal=26%","100227892/100190399/100226776/100228094/100217811/100226957/100190285/100229911/100221300/100232589/101233205/100219602/100227814/100223502/100227853/100224188/100217629/100229782/100220867/100221429/100231533/100225195/100218282/100227045/100226105",0.557332238758646
"tgu00020","Citrate cycle (TCA cycle)",20,-0.699876207187038,-1.81615178081615,0.000928009041378456,0.011012373957691,0.011012373957691,296,"tags=35%, list=4%, signal=34%","100225079/100230199/100221470/100227287/100226824/100217618/100224467",0.477270815362862
"tgu04510","Focal adhesion",97,-0.518155819876769,-1.80155348429779,3.3397011477859e-05,0.00148616701076473,0.00148616701076473,1135,"tags=33%, list=16%, signal=28%","100220994/100232504/100222516/100227442/100217604/100223739/100218837/100228287/100228982/100217811/100190285/100232589/100190386/100219602/100223502/100220857/751978/100226590/100230189/100230947/100151697/100221879/100227983/100224188/100230090/100218202/100219853/100229782/100220867/100228220/100227045/100224964",0.557332238758646
"tgu00010","Glycolysis / Gluconeogenesis",26,-0.661810038432519,-1.80040203663077,0.000899550673588973,0.011012373957691,0.011012373957691,728,"tags=46%, list=11%, signal=41%","100222163/100218728/100231122/100224916/100225079/100230199/100229947/100221470/100231891/115497715/100190636/100190454",0.477270815362862
"tgu04519","Cadherin signaling",113,-0.501863656191091,-1.7841764275203,5.6989782055518e-05,0.00171249668399205,0.00171249668399205,1339,"tags=36%, list=19%, signal=30%","100222405/100190311/100230172/100224295/100220188/100220015/100220994/100227892/100217604/100229642/100190509/100228735/100227292/100221542/100226729/100228853/100231201/100190386/100231182/100231978/100225793/100228068/751978/100223747/100228376/100221722/100231590/100221879/100227983/100226746/100229555/100230090/100220867/100223051/100221059/100219775/100220372/100190745/100225195/100224246/100217532",0.557332238758646
"tgu04371","Apelin signaling pathway",65,-0.5421697517101,-1.78067743239659,0.000275033752857176,0.00488957210390723,0.00488957210390723,1631,"tags=45%, list=24%, signal=34%","100218759/100190361/100227204/100232622/100230911/100225544/100220812/100222722/100232504/100224097/100227892/100190399/105759925/100219384/100229232/100227554/100217811/101233205/100221598/100230706/100225910/100225793/100225700/100226590/100219656/100231533/100225195/100223077/100226105",0.49849310876659
"tgu00190","Oxidative phosphorylation",76,-0.518618582441479,-1.76405107333401,0.000302164568218986,0.00488957210390723,0.00488957210390723,1422,"tags=41%, list=21%, signal=33%","100190539/100190542/100190392/100228726/115490907/100229691/100229310/100190221/100190339/100190350/100190489/100221387/100228144/100190064/100190740/100218036/100190275/100220589/100190134/100190180/100223119/100229321/100219261/100190435/100232751/100190413/100231893/100190425/751975/100190640/100225003",0.49849310876659
"tgu00620","Pyruvate metabolism",19,-0.684518923386805,-1.74780178793302,0.00122853630967874,0.0128634978307539,0.0128634978307539,608,"tags=37%, list=9%, signal=34%","100218728/100224916/100225079/100230199/100221470/100217618/100190454",0.45505986738723
"tgu05100","Bacterial invasion of epithelial cells",54,-0.552811502148193,-1.74717051988811,0.00106268414382262,0.0118223611000266,0.0118223611000266,822,"tags=30%, list=12%, signal=26%","100190509/100226729/100190386/100219602/100229567/751978/100190239/100230947/100222930/100227983/100224188/100190164/100229782/100228480/100217532/100227461",0.45505986738723
"tgu00640","Propanoate metabolism",18,-0.6883144103347,-1.74224774041407,0.00374460277376993,0.0289799692926543,0.0289799692926543,1613,"tags=56%, list=23%, signal=43%","100225257/100225534/100230333/100227137/100224774/100224916/100219304/100230199/100224467/100190454",0.431707695803346
"tgu04340","Hedgehog signaling pathway",31,-0.609706332229153,-1.73251530678682,0.00188175309485661,0.0175582451191949,0.0175582451191949,1879,"tags=52%, list=27%, signal=38%","100227408/100224888/100224096/100232618/100226489/100223849/100227139/100220854/100217970/100231092/100224767/100232529/100226676/100231214/100224246/100226105",0.45505986738723
"tgu04530","Tight junction",75,-0.509479132164749,-1.72566093291294,0.000919840650536604,0.011012373957691,0.011012373957691,1435,"tags=39%, list=21%, signal=31%","100226414/100220812/100222588/115498401/100224541/100222405/100227812/100228749/100230238/100217782/100190509/100227292/100226729/100190386/101233205/751978/100230189/100218467/100230947/100151697/100221879/100227983/100222467/100218532/100220867/100218823/100217532/100229710/100226105",0.477270815362862
"tgu04370","VEGF signaling pathway",36,-0.580907673154581,-1.69526730327767,0.00197283653024662,0.0175582451191949,0.0175582451191949,1601,"tags=44%, list=23%, signal=34%","100190361/100223949/100227204/100229058/100227812/100232504/100227442/100227892/100217811/100219602/100219388/100227983/100224188/100230090/100220070/100225195",0.431707695803346
"tgu04156","Integrated stress response (ISR) signaling pathway",31,0.543116601956381,1.69197223031519,0.00683780996096587,0.0434689347518544,0.0434689347518544,638,"tags=32%, list=9%, signal=29%","100218236/100226844/100218505/100223585/100228739/100230438/100190359/100226431/100190733/100230981",0.407017918923954
"tgu01200","Carbon metabolism",60,-0.523992420888735,-1.68900542929531,0.00143239288379246,0.0141647740730588,0.0141647740730588,1302,"tags=43%, list=19%, signal=35%","100228756/100223841/105758742/100232264/100222270/100229811/100227137/100224774/100224627/100218728/100231122/100230152/100224916/100219304/100190055/100225079/100230199/100229947/100221470/100231891/100227287/115497715/100190636/100226824/100217618/100224467",0.45505986738723
"tgu01210","2-Oxocarboxylic acid metabolism",16,-0.686124288128157,-1.67227594530931,0.00835167986537315,0.0479548069689168,0.0479548069689168,1220,"tags=56%, list=18%, signal=46%","105758742/100229811/100224627/100225395/100225079/100230199/100221470/100227287/100226824",0.380730400722792
"tgu04625","C-type lectin receptor signaling pathway",56,-0.507083895709959,-1.62702788233191,0.00332032869095191,0.0268644775904291,0.0268644775904291,1601,"tags=46%, list=23%, signal=36%","100190361/100223949/100229485/100225544/100222469/100220045/100229058/100227812/100218352/100220015/100232504/100218487/100227892/100190399/100226776/100227554/100217811/100221542/100218949/100190386/100230706/100219602/100225793/100219388/100224188/100220867",0.431707695803346
"tgu00380","Tryptophan metabolism",16,-0.667378459627133,-1.62658714137165,0.0140897419843754,0.0716564020919665,0.0716564020919666,505,"tags=38%, list=7%, signal=35%","100229598/100219304/100230199/100226623/100226881/100226824",0.380730400722792
"tgu04920","Adipocytokine signaling pathway",34,-0.548918470507139,-1.61426768614633,0.0103439791044239,0.0568383132446264,0.0568383132446264,1467,"tags=44%, list=21%, signal=35%","100227254/100220812/100224702/100231066/100220015/100232504/100217811/100221542/100218949/101233205/100225452/100227853/100219856/100220867/100232581",0.380730400722792
"tgu03273","Virion - Lassa virus and SFTS virus",6,-0.838369591698527,-1.60929648125909,0.00810738410314661,0.0479548069689168,0.0479548069689168,1091,"tags=67%, list=16%, signal=56%","100228833/100219894/100222467/100219280",0.380730400722792
"tgu04520","Adherens junction",51,-0.511225282751512,-1.60395216999267,0.00397885416081894,0.0295098350260738,0.0295098350260738,1874,"tags=47%, list=27%, signal=35%","100228062/100220311/100222235/100220619/100222928/100230911/100222135/100227812/100232628/100223739/100228094/100219143/100190386/100231582/751978/100230189/100220596/100228376/100151697/100221879/100227983/100226746/100230090/100228220",0.407017918923954
