"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"activated","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","93/1009","200/4384",0.465,2.02037661050545,8.07558671173531,6.1235992568609e-14,3.06179962843045e-12,3.06179962843045e-12,"CANX/UBA2/PSMC4/RPL6/SRSF7/FBL/YWHAE/CDC20/NCBP1/SF3A1/LSM7/SNRPD2/ERH/U2AF1/BUB3/TUFM/EIF4A1/NDUFAB1/RPS10/PCNA/IMPDH2/RPL18/RANBP1/RSL1D1/EEF1B2/AP3S1/EIF4H/PTGES3/PABPC1/ETF1/MRPS18B/XPOT/RRM1/CCNA2/SLC25A3/CCT5/RPS2/EIF3D/RPS3/HSPE1/PPM1G/DHX15/NOLC1/SRSF3/CBX3/VDAC1/XPO1/HNRNPA3/CCT7/NOP16/RPS5/SNRPA1/DDX18/PSMD8/IFRD1/RNPS1/TARDBP/GNL3/STARD7/PRPF31/TCP1/CCT2/PSMA7/PABPC4/CNBP/EIF2S1/EIF3B/USP1/PPIA/HNRNPA2B1/SNRPB2/HNRNPA1/EIF1AX/HNRNPD/HPRT1/EIF4G2/HSPD1/ACP1/PSMD3/CDK2/SRSF2/SF3B3/HSP90AB1/MCM2/KPNA2/RRP9/NOP56/RACK1/SRSF1/SNRPD1/RPS6/H2AZ1/RPLP0",93
"activated","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","49/1009","113/4384",0.433628318584071,1.88406991939798,5.20541644513384,9.61461874615454e-07,2.40365468653864e-05,2.40365468653864e-05,"DCP1A/HYOU1/EIF4A2/GEMIN4/ARFGAP1/EIF4A1/SERP1/HSPA9/DKC1/NOP14/XPOT/HSP90B1/SLC1A4/PDIA6/EIF4EBP1/DDIT4/H2AX/NOLC1/NFYA/GOSR2/HSPA5/HERPUD1/EXOSC2/XBP1/DNAJA4/SPCS1/CALR/LSM4/SRPRB/MTHFD2/SLC7A5/EDEM1/EIF2S1/ATF4/ALDH18A1/FUS/LSM1/ERN1/PARN/MTREX/SRPRA/EDC4/RRP9/KDELR3/VEGFA/NOP56/EXOSC4/CEBPB/SLC30A5",49
"activated","HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR","59/1009","150/4384",0.393333333333333,1.70899240171787,4.83065713171985,3.86104654834106e-06,6.43507758056843e-05,6.43507758056843e-05,"RPA3/RAE1/TARBP2/GTF2H1/ADA/SUPT4H1/POLR2D/SF3A3/SNAPC4/PCNA/POLR1H/IMPDH2/TAF10/AAAS/NUDT9/SURF1/DDB2/ERCC3/POLR3C/POLR2H/POLR3GL/ERCC5/MPG/GTF2F1/POLR2F/TMED2/POLR2J/POLR2I/DGUOK/NME3/BRF2/MRPL40/GTF3C5/TAF1C/POLR2G/APRT/STX3/XPC/GTF2B/GTF2H5/SSRP1/SRSF6/TAF6/GTF2H3/RPA2/POLB/ERCC2/GTF2A2/ARL6IP1/SNAPC5/HPRT1/RALA/POLR1C/ZWINT/DGCR8/POLR2A/CMPK2/PRIM1/CSTF3",59
"activated","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","72/1009","200/4384",0.36,1.56416253716551,4.46496268288221,1.44988598846088e-05,0.000181235748557609,0.000181235748557609,"CANX/FDXR/INSIG1/ACLY/PSMC4/WARS1/HMGCS1/GTF2H1/SC5D/SERPINH1/AK4/SERP1/HSPA9/SLC6A6/CACYBP/ARPC5L/ETF1/STIP1/IDH1/SQSTM1/BUB1/PRDX1/HSP90B1/SLC1A4/SRD5A1/HSPE1/DDIT4/LGMN/HSPA5/USO1/SLC37A4/XBP1/NUFIP1/CYB5B/TM7SF2/TPI1/RIT1/IFRD1/CALR/ATP6V1D/BTG2/AURKA/MTHFD2/PIK3R3/SLC7A5/PSMA3/NFIL3/DDIT3/EDEM1/CD9/FADS1/PPIA/TMEM97/HPRT1/LDLR/PLK1/HSPD1/HSPA4/HMBS/SQLE/CCNF/GSR/MCM2/RRP9/GLA/CTSC/P4HA1/FGL2/RAB1A/EEF1E1/YKT6/GGA2",72
"activated","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2","27/1009","58/4384",0.46551724137931,2.02262397047264,4.28628591916631,6.1514495688071e-05,0.00061514495688071,0.00061514495688071,"WDR43/MRTO4/TCOF1/WDR74/IPO4/RCL1/HSPE1/NOLC1/FARSA/CBX3/NOP2/UTP20/NOP16/SUPV3L1/NIP7/DDX18/GNL3/PES1/PPAN/TMEM97/PLK1/NDUFAF4/HSPD1/RRP9/LAS1L/NOP56/PPRC1",27
"activated","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","69/1009","200/4384",0.345,1.49898909811695,3.94915925018891,0.000104565703129616,0.00087138085941347,0.00087138085941347,"NASP/CDC20/CDC6/PRMT5/BUB3/SUV39H1/CDKN1B/HSPA8/CCNT1/MKI67/RPS6KA5/EZH2/DKC1/HUS1/CHEK1/HMMR/BUB1/HMGN2/TPX2/TNPO2/KIF20B/DR1/CCNA2/KIF2C/CCNB2/TENT4A/YTHDC1/H2AX/NOLC1/STIL/NUP98/XPO1/INCENP/EWSR1/ODF2/PTTG1/KMT5A/FBXO5/PURA/CBX1/NUP50/ATRX/STMN1/AURKA/SLC7A5/RPA2/RAD54L/HNRNPD/NCL/PLK1/SRSF10/MEIS1/AMD1/UBE2S/CDKN2C/HIRA/PRC1/SQLE/CCNF/SRSF2/MCM2/KPNA2/SFPQ/SRSF1/SNRPD1/H2AZ1/DTYMK/KIF4A/TLE3",69
"activated","HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY","68/1009","200/4384",0.34,1.47726461843409,3.77722477262448,0.000193293434256544,0.00138066738754674,0.00138066738754674,"FDXR/RAD9A/KLF4/ADA/ELP1/TXNIP/OSGIN1/TRAF4/KIF13B/PCNA/RPL18/PLK3/IP6K2/SOCS1/VAMP8/RAP2B/SLC3A2/DCXR/DDB2/TSC22D1/HEXIM1/ERCC5/RPL36/CTSD/FGF13/CCP110/CCNK/AEN/DDIT4/TOB1/RCHY1/FOS/MXD1/ABCC5/ANKRA2/IER3/XPC/ISCU/BAIAP2/TM7SF3/PPM1D/TAX1BP3/MKNK2/BAX/BTG2/S100A10/DDIT3/HSPA4L/RETSAT/SFN/RRP8/TRIAP1/NOL8/BTG1/CDKN2AIP/NINJ1/RAB40C/GPX2/CSRNP2/IER5/GADD45A/JUN/ZMAT3/RACK1/ITGB4/MAPKAPK3/SAT1/TCN2",68
"activated","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","66/1009","200/4384",0.33,1.43381565906838,3.43335581749561,0.000617931596817551,0.0038620724801097,0.0038620724801097,"RPA3/DCLRE1B/NASP/CDC20/CDCA3/RBBP7/SUV39H1/CDKN1B/MKI67/PCNA/RANBP1/EZH2/HUS1/BRCA1/CHEK1/CHEK2/HMMR/ING3/PRPS1/PSMC3IP/KIF2C/CCP110/CCNB2/SPAG5/SHMT1/H2AX/LUC7L3/NOLC1/DONSON/XPO1/PTTG1/EXOSC8/PHF5A/ASF1A/DEPDC1/PPM1D/TIMELESS/SSRP1/RAD1/STMN1/SNRPB/AURKA/MTHFD2/PMS2/MRE11/EIF2S1/RPA2/USP1/PNN/CSE1L/HNRNPD/CENPM/PLK1/UBR7/MXD3/UBE2S/CDKN2C/GINS4/SRSF2/MCM2/KPNA2/RAD51AP1/NOP56/SRSF1/H2AZ1/KIF4A",66
"suppressed","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","128/1487","200/4384",0.64,1.88685944855414,9.19688866831938,5.90178130856782e-19,2.95089065428391e-17,2.95089065428391e-17,"HADHB/ATP5PB/COX7C/COX6B1/NDUFA4/ECHS1/NNT/MRPS12/NDUFC2/DLD/NDUFV1/ATP5ME/ETFA/ATP5F1C/ACO2/ATP5MC3/ACADSB/UQCR10/PHB2/IDH3B/UQCRC2/OPA1/TOMM70/COX17/MDH2/ATP5F1A/NDUFS7/MTRR/ACADM/ATP5F1B/GOT2/OXA1L/NDUFA1/ATP5MF/NDUFS1/HCCS/VDAC3/HSD17B10/CPT1A/SDHC/GPX4/IDH2/PHYH/MDH1/PRDX3/IDH3A/SLC25A20/UQCR11/CS/UQCRQ/SDHA/MPC1/NDUFB5/FH/NDUFB8/ALDH6A1/MTX2/COX10/NDUFV2/ATP5MC1/SDHB/NDUFA8/ATP5PO/TIMM17A/HADHA/ATP6V0B/NDUFS8/SUCLA2/GPI/UQCRB/NDUFS3/PDP1/MRPL34/SDHD/ATP6V1E1/COX5B/NDUFA6/AFG3L2/ATP6V1F/COX7A2L/ACAA1/ATP6AP1/NDUFA7/COX4I1/CYB5R3/COX6C/LRPPRC/ECI1/NDUFB6/NDUFA9/COX7A2/ATP6V1C1/DLST/ATP5PF/GLUD1/SLC25A5/ATP6V1G1/NDUFB7/IMMT/TIMM13/DLAT/UQCRC1/HTRA2/MRPL35/ATP1B1/CYC1/CASP7/NDUFS2/NDUFC1/OGDH/NDUFB4/LDHB/SUCLG1/RHOT1/UQCRFS1/COX5A/NDUFS4/ATP5PD/ALAS1/ATP5F1D/NDUFA2/ETFDH/IDH3G/PDHA1/VDAC2/ISCA1/NDUFS6/MFN2",128
"suppressed","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","102/1487","199/4384",0.512562814070352,1.51114685735334,5.28678286850674,1.92394376958857e-07,4.80985942397142e-06,4.80985942397142e-06,"DLG1/CDC42BPA/TUBGCP6/NOTCH2/CLIP2/TUBGCP3/RAB3GAP1/AKAP13/RASAL2/ARHGEF12/ITSN1/DOCK2/CAPZB/CLASP1/WASL/RANBP9/RFC1/TAOK2/CKAP5/FLNB/KATNB1/MID1IP1/RASA1/ARAP3/KIF1B/SASS6/KATNA1/SMC4/SMC1A/KIF5B/OPHN1/RALBP1/ARHGEF7/MYH9/NEK2/EZR/KIF11/RABGAP1/ARHGAP5/TUBGCP5/SUN2/LMNB1/SOS1/CNTRL/MAPRE1/MYO9B/WASF2/CDC27/TSC1/CD2AP/SPTBN1/PALLD/HOOK3/PDLIM5/ROCK1/RASA2/ACTN4/NUSAP1/STAU1/ABI1/KLC1/MAP3K11/CTTN/ARFGEF1/ABR/RICTOR/CDC42EP1/TLK1/DYNC1H1/UXT/EPB41L2/LRPPRC/SEPTIN9/CCDC88A/CDC42/PCNT/SPTAN1/ATG4B/SHROOM2/APC/ARHGAP27/BCR/NCK2/MAP1S/PREX1/NUMA1/CEP131/TBCD/NF1/ARHGEF2/ARHGDIA/GSN/EPB41/FLNA/ABL1/ARHGAP29/SMC3/PAFAH1B1/PPP4R2/PXN/ARHGEF3/VCL",102
