sample	treatment	sex	type
ZF_4531_D_L	Heat	female	paired-end
ZF_4534_D_L	Heat	female	paired-end
ZF_4543_D_L	Control	male	paired-end
ZF_4552_D_L	Control	female	paired-end
ZF_4593_D_L	Heat	male	paired-end
ZF_4600_D_L	Heat	male	paired-end
ZF_4613_D_L	Heat	male	paired-end
ZF_4620_D_L	Heat	female	paired-end
ZF_4622_D_L	Control	female	paired-end
ZF_4703_D_L	Heat	female	paired-end
ZF_4705_D_L	Control	male	paired-end
ZF_4708_D_L	Control	male	paired-end
ZF_4712_D_L	Heat	female	paired-end
ZF_4718_D_L	Control	female	paired-end
ZF_4725_D_L	Heat	male	paired-end
ZF_4741_D_L	Heat	female	paired-end
ZF_4744_D_L	Control	male	paired-end
ZF_4753_D_L	Control	female	paired-end
ZF_4755_D_L	Control	female	paired-end
ZF_4756_D_L	Control	male	paired-end
ZF_4757_D_L	Heat	male	paired-end
ZF_4764_D_L	Heat	male	paired-end
ZF_4767_D_L	Control	female	paired-end
ZF_4770_D_L	Control	male	paired-end
ZF_4771_D_L	Heat	male	paired-end
ZF_4779_D_L	Control	male	paired-end
ZF_4781_D_L	Control	male	paired-end
ZF_4783_D_L	Heat	male	paired-end
ZF_4788_D_L	Heat	male	paired-end
ZF_4792_D_L	Heat	female	paired-end
ZF_4793_D_L	Control	male	paired-end
ZF_4796_D_L	Control	female	paired-end
ZF_4797_D_L	Heat	female	paired-end
ZF_4800_D_L	Heat	male	paired-end
ZF_4801_D_L	Control	female	paired-end
ZF_4806_D_L	Control	female	paired-end
ZF_4808_D_L	Control	female	paired-end
ZF_4809_D_L	Heat	female	paired-end
ZF_4812_D_L	Control	male	paired-end
ZF_4817_D_L	Heat	female	paired-end
