"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0045333","cellular respiration",64,-0.809555494297434,-2.68819165716871,1e-10,1.39466666666667e-08,1.33132469716295e-08,1970,"tags=73%, list=13%, signal=64%","NDUFA7/SDHC/ANTKMT/SDHB/COX6A1/NDUFS6/IDH3B/NDUFB9/SUCLG2/SDHA/CHCHD5/NDUFV1/UQCRH/NDUFAF1/UQCR10/ACO1/NDUFB8/NDUFA8/NDUFS7/NDUFB6/SDHD/ATP5MF/SUCLA2/COQ10A/NDUFC2/COX7B/NDUFS8/ACLY/SUCLG1/OGDH/FH/NDUFS2/NDUFS1/NDUFA5/COX7A2/ATP5PO/IREB2/ACO2/DLST/ATP5F1B/MDH1/NDUFV2/CYCS/NDUFA10/IDH3A/MDH2/CS",NA
"GO:0009060","aerobic respiration",59,-0.821088764324135,-2.67140033537971,1e-10,1.39466666666667e-08,1.33132469716295e-08,1970,"tags=75%, list=13%, signal=65%","NDUFA7/SDHC/ANTKMT/SDHB/COX6A1/NDUFS6/IDH3B/NDUFB9/SUCLG2/SDHA/NDUFV1/UQCRH/NDUFAF1/UQCR10/ACO1/NDUFB8/NDUFA8/NDUFS7/NDUFB6/SDHD/ATP5MF/SUCLA2/NDUFC2/COX7B/NDUFS8/ACLY/SUCLG1/OGDH/FH/NDUFS2/NDUFS1/COX7A2/ATP5PO/IREB2/ACO2/DLST/ATP5F1B/MDH1/NDUFV2/CYCS/NDUFA10/IDH3A/MDH2/CS",NA
"GO:0015980","energy derivation by oxidation of organic compounds",88,-0.754511867977895,-2.62530928665346,1e-10,1.39466666666667e-08,1.33132469716295e-08,1970,"tags=60%, list=13%, signal=53%","NDUFA7/SDHC/ANTKMT/SDHB/COX6A1/PYGL/NDUFS6/IDH3B/NDUFB9/GBE1/SUCLG2/PPP1R3D/SDHA/CHCHD5/PHKG1/NDUFV1/UQCRH/NDUFAF1/UQCR10/ACO1/NDUFB8/NDUFA8/NDUFS7/NDUFB6/INPP5K/SDHD/ATP5MF/SUCLA2/COQ10A/NDUFC2/COX7B/NDUFS8/ACLY/SUCLG1/OGDH/FH/NDUFS2/NDUFS1/NDUFA5/COX7A2/ATP5PO/IREB2/ACO2/DLST/ATP5F1B/MDH1/NDUFV2/CYCS/NDUFA10/PHKA2/IDH3A/MDH2/CS",NA
"GO:0006091","generation of precursor metabolites and energy",123,-0.6972741940287,-2.58004634813837,1e-10,1.39466666666667e-08,1.33132469716295e-08,1692,"tags=52%, list=11%, signal=47%","SDHB/COX6A1/GPI/PYGL/NDUFS6/IDH3B/NDUFB9/GBE1/SUCLG2/ENO1/PPP1R3D/SDHA/TKT/CHCHD5/PHKG1/NDUFV1/PFKM/PGAM1/UQCRH/NDUFAF1/RPIA/NDUFS4/UQCR10/PKM/TPI1/ACO1/NDUFB8/NNT/NDUFA8/NDUFS7/NDUFB6/INPP5K/SDHD/ATP5MF/SUCLA2/COQ10A/NDUFC2/COX7B/NDUFS8/TIGAR/ACLY/SUCLG1/OGDH/FH/NDUFS2/NDUFS1/FDX1/NDUFA5/COX7A2/ATP5PO/ETFDH/IREB2/ACO2/DLST/ATP5F1B/MDH1/NDUFV2/CYCS/NDUFA10/PHKA2/PGK1/IDH3A/MDH2/CS",NA
"GO:0006119","oxidative phosphorylation",35,-0.811882171950246,-2.37593696503435,1.63454575150359e-09,1.70973485607276e-07,1.63208334571463e-07,2639,"tags=89%, list=17%, signal=74%","UQCR11/COX7C/SHMT2/NDUFV3/NDUFA7/SDHC/ANTKMT/COX6A1/NDUFS6/NDUFB9/SDHA/NDUFV1/UQCRH/NDUFAF1/UQCR10/NDUFB8/NDUFA8/NDUFB6/SDHD/ATP5MF/NDUFC2/COX7B/NDUFS8/NDUFS2/NDUFS1/COX7A2/ATP5PO/ATP5F1B/NDUFV2/CYCS/NDUFA10",0.788186810800237
"GO:0006099","tricarboxylic acid cycle",24,-0.865011541514099,-2.35656322131707,3.36408000311968e-09,3.05985015935929e-07,2.92088008133821e-07,1876,"tags=79%, list=12%, signal=70%","SDHC/SDHB/IDH3B/SUCLG2/SDHA/ACO1/SDHD/SUCLA2/ACLY/SUCLG1/OGDH/FH/IREB2/ACO2/DLST/MDH1/IDH3A/MDH2/CS",0.774939030136436
"GO:0022900","electron transport chain",37,-0.789922012844715,-2.34523180857146,2.79977349017573e-09,2.66233006429438e-07,2.54141426859073e-07,2639,"tags=86%, list=17%, signal=72%","UQCR11/COX7C/NDUFB3/NDUFV3/NDUFA7/SDHC/SDHB/COX6A1/NDUFS6/NDUFB9/SDHA/NDUFV1/UQCRH/NDUFAF1/NDUFS4/UQCR10/NDUFB8/NDUFA8/NDUFB6/SDHD/NDUFC2/COX7B/NDUFS8/NDUFS2/NDUFS1/FDX1/NDUFA5/COX7A2/ETFDH/NDUFV2/CYCS/NDUFA10",0.774939030136436
"GO:0007005","mitochondrion organization",120,-0.631089358030209,-2.33760004448259,1e-10,1.39466666666667e-08,1.33132469716295e-08,2721,"tags=50%, list=18%, signal=42%","NDUFAF2/PRIMPOL/VPS13D/PINK1/TIMM22/NDUFB3/PGAM5/FAM162A/MTFR1L/HIGD2A/MLLT11/RAB5IF/CHCHD2/SLC25A46/MFF/PDE2A/NDUFA11/ATPAF1/VAT1/ATPAF2/NDUFB2/TWNK/STOML2/PRKN/MIGA2/MICOS13/APOOL/NDUFAF4/SLC25A33/NDUFAF7/CHCHD3/NDUFAF1/DNAJC11/MFN2/MIEF1/DNM1L/CHCHD10/RHOT1/LONP1/SDHAF3/NDUFS7/OPA1/LOC100221073/NDUFS8/PHB1/AIFM1/NDUFA12/TTC19/MFN1/MTX2/PPIF/MIEF2/COX7A2/CHCHD7/SLC25A4/IMMT/NUBPL/HIGD1A/ATP23/SAMM50",NA
"GO:0042773","ATP synthesis coupled electron transport",28,-0.821258592753893,-2.32931009289253,2.73314676092782e-08,2.11768260143e-06,2.02150321321897e-06,2198,"tags=86%, list=14%, signal=74%","NDUFV3/NDUFA7/SDHC/COX6A1/NDUFS6/NDUFB9/SDHA/NDUFV1/UQCRH/NDUFAF1/UQCR10/NDUFB8/NDUFA8/NDUFB6/SDHD/NDUFC2/COX7B/NDUFS8/NDUFS2/NDUFS1/COX7A2/NDUFV2/CYCS/NDUFA10",0.73376198835648
"GO:0072521","purine-containing compound metabolic process",187,-0.600510440198961,-2.32885175683151,1e-10,1.39466666666667e-08,1.33132469716295e-08,1858,"tags=35%, list=12%, signal=31%","AMPD2/PDE2A/ACSS1/ANTKMT/LOC115495423/NADK2/COASY/ADSL/GPI/PANK1/LOC100189940/LOC100224870/ATP6V1A/PAPSS1/SUCLG2/ENO1/ACSL5/TKT/ACSS2/GNMT/IMPDH2/HAAO/ACOT8/GUCY2C/PFKM/PGAM1/RPIA/PARG/PANK4/ATP5ME/PKM/PDHX/PPCS/TPI1/NNT/PANK3/IDH1/PDHB/ATP5MF/SUCLA2/SLC25A13/ATP5MC3/SLC25A12/SAMHD1/TIGAR/ACLY/DLAT/LOC101233080/ATP5PB/LOC116806651/ATP5PF/ATP5PD/ADK/ATP5F1C/ATP5PO/NUDT15/ATP5MC1/ENPP1/ATP5F1B/MDH1/ATP5F1A/LOC100219367/PGK1/MVD/PDHA1/PGM2",NA
