"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0000786","nucleosome",33,0.777363483751357,2.26083739943185,1.2408867804372e-07,1.10190746102823e-05,1.10190746102823e-05,1685,"tags=67%, list=13%, signal=58%","LOC115493337/LOC100229197/LOC100224417/LOC115493503/LOC115493336/LOC101233594/LOC100221944/LOC100228204/LOC100221480/LOC100220543/LOC100227296/LOC100226365/LOC100227298/LOC100218691/LOC115496993/LOC100224416/LOC121468303/LOC100225375/LOC100226305/LOC100232209/LOC100220586/LOC100223493",0.690132458796796
"GO:0032993","protein-DNA complex",59,0.689894600016599,2.22310150296489,3.76015213760075e-08,4.17376887273683e-06,4.17376887273683e-06,1864,"tags=47%, list=15%, signal=41%","LOC115493337/LOC100229197/LOC100224417/LOC115493503/LOC115493336/LOC101233594/LOC100221944/LOC100228204/LOC100221480/LOC100220543/POLD2/LOC100227296/LOC100226365/LOC100227298/LOC100218691/GINS2/LOC115496993/LOC100224416/LOC121468303/RPA2/LOC100225375/LOC100226305/LOC100232209/RPA1/LOC100220586/LOC100223493/POLA1/TEN1",0.719512826338911
"GO:0005740","mitochondrial envelope",168,-0.565191199620234,-2.167532116404,1.57259696331527e-10,6.9823305171198e-08,6.9823305171198e-08,2398,"tags=43%, list=19%, signal=36%","TIMM22/ABCB9/OMA1/SHMT2/LPIN1/BOK/TRAP1/SFXN2/COQ9/GRPEL1/CHDH/MICOS10/SLC25A46/FUNDC2/NDUFA7/MFF/PDE2A/ENDOG/VAT1/SDHB/COX6A1/NDUFB2/GPAM/MRS2/MICU3/TIMM44/MICOS13/COQ4/SPG7/APOOL/TOMM22/CHCHD5/ABCB7/PSEN2/SLC25A16/TIMM17A/SLC25A26/LOC100190710/SLC25A19/SLC25A20/CHCHD3/CHCHD4/MFN2/MIEF1/LOC116807250/ATAD1/SFXN1/MIX23/NNT/TOMM40L/SDHAF3/RHOT1/MPC2/LOC100221217/SDHD/OPA1/LETM1/NDUFC2/TTC19/MTX2/MFN1/MIEF2/PRELID3B/ETFDH/CISD1/CYCS/SLC25A4/IMMT/VDAC2/MPC1/VDAC3/RNF144B/SLC25A3",0.826657301178302
"GO:0031966","mitochondrial membrane",150,-0.564796367765917,-2.11765888033157,3.67151004246495e-09,5.43383486284813e-07,5.43383486284813e-07,2398,"tags=43%, list=19%, signal=36%","TIMM22/ABCB9/OMA1/SHMT2/LPIN1/BOK/TRAP1/SFXN2/COQ9/GRPEL1/CHDH/MICOS10/SLC25A46/FUNDC2/NDUFA7/MFF/PDE2A/ENDOG/VAT1/SDHB/COX6A1/NDUFB2/GPAM/MRS2/MICU3/TIMM44/MICOS13/COQ4/SPG7/APOOL/TOMM22/ABCB7/PSEN2/SLC25A16/TIMM17A/SLC25A26/LOC100190710/SLC25A19/CHCHD3/MFN2/MIEF1/LOC116807250/ATAD1/SFXN1/NNT/TOMM40L/RHOT1/MPC2/LOC100221217/OPA1/LETM1/NDUFC2/TTC19/MTX2/MFN1/MIEF2/ETFDH/CISD1/SLC25A4/IMMT/VDAC2/MPC1/VDAC3/RNF144B/SLC25A3",0.774939030136436
"GO:0005743","mitochondrial inner membrane",95,-0.589614787635398,-2.10264540346412,6.44676393550819e-07,4.0890902676652e-05,4.0890902676652e-05,2534,"tags=45%, list=20%, signal=36%","LOC100232595/UQCR11/TIMM22/ABCB9/OMA1/SHMT2/TRAP1/SFXN2/COQ9/GRPEL1/CHDH/MICOS10/NDUFA7/PDE2A/ENDOG/COX6A1/NDUFB2/MRS2/MICU3/TIMM44/MICOS13/COQ4/SPG7/APOOL/ABCB7/PSEN2/SLC25A16/TIMM17A/SLC25A26/SLC25A19/CHCHD3/SFXN1/NNT/MPC2/LOC100221217/LETM1/NDUFC2/TTC19/ETFDH/SLC25A4/IMMT/MPC1/SLC25A3",0.659444398037935
"GO:0098798","mitochondrial protein-containing complex",97,-0.58389097994069,-2.07054071468211,2.46497077260491e-07,1.82407837172763e-05,1.82407837172763e-05,3976,"tags=59%, list=31%, signal=41%","MRPL40/MRPL3/AFG3L2/POLRMT/MRPS34/TOMM5/MRPS7/MTX3/DNAJC19/MRPL32/POLG/MRPL44/MICU2/MRPL49/APOO/CHCHD6/MRPL27/MRPS2/MRPL22/MICU1/TOMM20/MRPS26/MRPS35/MRPS17/TIMM22/DAP3/MRPL46/MRPS31/MRPS16/LOC100224449/GRPEL1/MICOS10/MRPL16/HADHA/MICU3/LOC100219485/MICOS13/MRPS15/SPG7/APOOL/TIMM17A/MRPL28/MRPS22/CHCHD3/MRPS9/SUPV3L1/MRPL21/TOMM40L/MRPL42/LOC100221217/MRPL53/MRPL12/MRPL13/MTX2/MRPL15/MRPL47/IMMT",0.674962860011025
"GO:0031967","organelle envelope",253,-0.49418449141179,-1.98862633533356,2.81483005361859e-09,5.43383486284813e-07,5.43383486284813e-07,1928,"tags=31%, list=15%, signal=27%","CHDH/MICOS10/SLC25A46/FUNDC2/ENY2/NDUFA7/MFF/PDE2A/ENDOG/ALOX5/LOC100230113/VAT1/SDHB/COX6A1/RANBP1/NDUFB2/DPY19L3/GPAM/CSE1L/MRS2/MICU3/TIMM44/RAE1/MICOS13/IPO11/COQ4/SPG7/APOOL/TOMM22/CHCHD5/DPY19L4/ABCB7/PSEN2/SLC25A16/TIMM17A/PARP16/SLC25A26/LOC100190710/SLC25A19/SLC25A20/CHCHD3/CHCHD4/MFN2/MIEF1/LOC116807250/ATAD1/SFXN1/MIX23/RANBP3L/NNT/TOMM40L/SDHAF3/RHOT1/MPC2/IPO8/LOC100221217/SDHD/OPA1/LETM1/NDUFC2/TTC19/SEC13/MTX2/MFN1/NUP37/MIEF2/PRELID3B/NUP50/ETFDH/TOR3A/CISD1/CYCS/SLC25A4/IMMT/VDAC2/MPC1/VDAC3/RNF144B/SLC25A3",0.774939030136436
"GO:0005777","peroxisome",62,-0.6061817534851,-1.9859896323777,3.53968384395761e-05,0.00142874511519744,0.00142874511519744,2934,"tags=58%, list=23%, signal=45%","ACAA1/LONP2/GNPAT/HMGCR/MLYCD/PEX10/PIPOX/PEX3/TYSND1/PEX6/MFF/PXMP4/LOC115495423/SOD1/PIK3C3/ACBD5/AGPS/PEX2/PEX1/PEX14/PEX5/ACOX2/ACOT8/PEX7/IDE/PEX26/IDH1/PEX13/ABCD2/EHHADH/CAT/PEX11A/PEX19/ACOX1/ABCD3/CRAT",0.557332238758646
"GO:0042579","microbody",62,-0.6061817534851,-1.9859896323777,3.53968384395761e-05,0.00142874511519744,0.00142874511519744,2934,"tags=58%, list=23%, signal=45%","ACAA1/LONP2/GNPAT/HMGCR/MLYCD/PEX10/PIPOX/PEX3/TYSND1/PEX6/MFF/PXMP4/LOC115495423/SOD1/PIK3C3/ACBD5/AGPS/PEX2/PEX1/PEX14/PEX5/ACOX2/ACOT8/PEX7/IDE/PEX26/IDH1/PEX13/ABCD2/EHHADH/CAT/PEX11A/PEX19/ACOX1/ABCD3/CRAT",0.557332238758646
"GO:0019866","organelle inner membrane",107,-0.546902248322252,-1.98496895884012,6.2501061860617e-06,0.00030833857184571,0.00030833857184571,2534,"tags=42%, list=20%, signal=34%","LOC100232595/UQCR11/TIMM22/ABCB9/OMA1/SHMT2/TRAP1/SFXN2/COQ9/GRPEL1/CHDH/MICOS10/NDUFA7/PDE2A/ENDOG/COX6A1/NDUFB2/DPY19L3/MRS2/MICU3/TIMM44/MICOS13/COQ4/SPG7/APOOL/DPY19L4/ABCB7/PSEN2/SLC25A16/TIMM17A/SLC25A26/SLC25A19/CHCHD3/SFXN1/NNT/MPC2/LOC100221217/LETM1/NDUFC2/TTC19/ETFDH/SLC25A4/IMMT/MPC1/SLC25A3",0.610526878385931
