"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0030527","structural constituent of chromatin",34,0.786262842723052,2.227797207188,7.33698535662823e-08,2.67066266981268e-05,1.93432124682116e-05,1930,"tags=74%, list=12%, signal=64%","LOC115493337/LOC100229197/LOC100224417/LOC115493503/LOC115493336/LOC101233594/LOC100221944/LOC100228204/LOC100221480/LOC100220543/LOC100227296/LOC100226365/LOC100218691/LOC100227298/LOC115493339/LOC100224416/LOC115493338/LOC121468303/LOC115496993/LOC121469108/LOC100225375/LOC100226305/LOC100232209/LOC100220586/LOC100223493",0.704975715167238
"GO:0015078","proton transmembrane transporter activity",58,-0.654464980894458,-2.14176006495563,2.13553453416615e-06,0.000388667285218239,0.000281505933429874,1477,"tags=33%, list=10%, signal=30%","ATP6V1A/ATP6V1E1/NDUFV1/ATP5ME/NDUFS7/ATP6V1H/ATP5MF/ATP5MC3/NDUFS1/ATP5PB/LOC116806651/ATP5PF/ATP5PD/ATP5F1C/ATP5PO/ATP5MC1/ATP5F1B/ATP5F1A/NDUFS3",0.627256739718528
"GO:0015252","proton channel activity",15,-0.87890441421263,-2.13964598909462,1.67741396027745e-06,0.000388667285218239,0.000281505933429874,463,"tags=53%, list=3%, signal=52%","ATP5MF/ATP5PB/LOC116806651/ATP5PD/ATP5F1C/ATP5PO/ATP5F1B/ATP5F1A",0.643551836150722
"GO:0016874","ligase activity",130,-0.553239022358134,-2.07777179446589,4.66932674219994e-08,2.67066266981268e-05,1.93432124682116e-05,2678,"tags=41%, list=17%, signal=34%","TTL/CTPS2/TARS1/ASNSD1/LARS1/NARS1/ATP5MG/ACSBG2/LRRC47/NAPRT/SLC27A6/CTPS1/MCCC2/NARS2/PC/UBA2/ACSS1/GSS/ACACA/HLCS/LOC100221968/MARS2/SARS1/SUCLG2/ACSL5/MCCC1/QRSL1/ACSS2/FARS2/AACS/TTLL1/UBA1/UBA6/WARS1/AARS1/PPCS/IARS1/RLIG1/LARS2/RIMKLB/ACSL1/ATP5MF/SUCLA2/SUCLG1/GCLC/ATP5PB/LOC116806651/EPRS1/ATP5PD/ATP5F1C/ATP5PO/ATP5F1B/ATP5F1A",0.719512826338911
"GO:0046982","protein heterodimerization activity",71,0.61138162194672,2.0147576862662,3.70720090688809e-06,0.000539768452042906,0.00039094626099806,2321,"tags=45%, list=15%, signal=38%","LOC115493337/LOC100229197/LOC100224417/LOC115493503/LOC115493336/NFYB/LOC101233594/LOC100221944/LOC100228204/LOC100221480/LOC100220543/LOC100227296/LOC100226365/TAF9B/LOC100218691/LOC115493339/LOC100224416/LOC115493338/LOC121468303/LOC115496993/CENPW/BCL2L1/LOC121469108/LOC100225375/LOC100226305/LOC100232209/LOC100223493/BAX/DDIT3/TENM3/BCL2/TAF4B",0.627256739718528
"GO:0046933","proton-transporting ATP synthase activity, rotational mechanism",11,-0.903107222141006,-2.00222896928746,9.03448018966987e-06,0.000939585939725667,0.000680528120218665,463,"tags=73%, list=3%, signal=71%","ATP5MF/ATP5PB/LOC116806651/ATP5PD/ATP5F1C/ATP5PO/ATP5F1B/ATP5F1A",0.593325476396405
"GO:0050660","flavin adenine dinucleotide binding",73,-0.572604133749767,-1.96319830164243,2.24276758916788e-05,0.00204091850614277,0.00147820691624051,2150,"tags=34%, list=14%, signal=30%","MTO1/CHDH/ACADM/TXNRD3/AGPS/LOC100223232/DLD/MTRR/SDHA/PYROXD1/ACOX2/ACADS/DHCR24/ACADVL/NDOR1/SQOR/ACAD9/NOS3/MMACHC/ACADL/AIFM1/ACOX1/LOC100229817/ETFA/MICAL2",0.575610261071129
"GO:0016614","oxidoreductase activity, acting on CH-OH group of donors",86,-0.542832777912949,-1.90499624353679,0.000109492914076257,0.00664257012062628,0.00481111473308159,1821,"tags=26%, list=12%, signal=23%","LOC100190001/HADHA/LOC100223914/IDH3B/LOC100220322/IMPDH2/GPD1L/LOC100229546/LOC100222525/IDH1/AKR1A1/SPR/EHHADH/GFUS/HADH/LOC100225021/MDH1/LOC100231722/IDH3A/MDH2/ME1/GPD2",0.538434096309916
"GO:0016836","hydro-lyase activity",38,-0.626227228333934,-1.90393172860636,0.00105733496143822,0.0336925207726915,0.0244029916343391,2020,"tags=45%, list=13%, signal=39%","UROC1/HACD2/HADHA/LOC100222166/TGDS/ENO1/LOC100228865/LOC100224950/ACO1/CA5A/CA7/HACD3/FH/CA8/IREB2/ACO2/L3HYPDH",0.45505986738723
"GO:0019955","cytokine binding",48,0.62094944666306,1.88925540285372,0.00017790949611784,0.00844787758399661,0.00611867207565193,2668,"tags=44%, list=17%, signal=36%","IL1R2/TGFBR2/TNFRSF1B/CD74/BDKRB2/TNFRSF11A/IL18R1/IL1RL1/IL2RB/IL20RA/PRLR/CSF3R/XCR1/SOST/NBL1/BDKRB1/TNFRSF1A/IL6ST/CCR7/AGTR1/KIT",0.518848077743792
"GO:0009055","electron transfer activity",13,-0.79538495783676,-1.87551049400706,0.00104644908101236,0.0336925207726915,0.0244029916343391,1922,"tags=85%, list=12%, signal=74%","ETFB/SDHC/SDHB/SDHA/NDUFV1/NDUFS7/NDUFS1/ETFDH/ETFA/CYCS/NDUFS3",0.45505986738723
"GO:0016651","oxidoreductase activity, acting on NAD(P)H",18,-0.726347042876982,-1.86717565747593,0.00160608463935143,0.0460103372557759,0.0333246028909735,1104,"tags=50%, list=7%, signal=46%","NDUFV1/NDOR1/NDUFS7/NDUFS8/AIFM1/NDUFS2/NDUFS1/NDUFV2/NDUFS3",0.45505986738723
"GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",82,-0.532504874000263,-1.86558936064554,0.000150013293358875,0.00840074442809702,0.00608453423191866,1821,"tags=26%, list=12%, signal=23%","LOC100190001/HADHA/LOC100223914/IDH3B/LOC100220322/IMPDH2/GPD1L/LOC100229546/LOC100222525/IDH1/AKR1A1/SPR/EHHADH/GFUS/HADH/LOC100225021/MDH1/LOC100231722/IDH3A/MDH2/ME1",0.518848077743792
"GO:0016790","thiolester hydrolase activity",24,-0.679068183462378,-1.862402607303,0.00201593210070819,0.0499834844945532,0.0362022943372147,3325,"tags=67%, list=22%, signal=52%","ABHD17B/PPT2/ACOT11/ABHD10/LYPLAL1/ACOT9/HAGH/LOC115495423/LOC100224870/ACOT8/HIBCH/LYPLA1/LOC101233080/ABHD17C/ACOT13/ESD",0.431707695803346
"GO:0051287","NAD binding",38,-0.610219760305856,-1.85526388905171,0.0020597589764239,0.0499834844945532,0.0362022943372147,2238,"tags=34%, list=14%, signal=29%","UXS1/PARP1/HADHA/IDH3B/LOC100220322/NDUFV1/GPD1L/IDH1/EHHADH/HADH/NDUFS2/IDH3A/ME1",0.431707695803346
