"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"OXPHOS subunits","OXPHOS subunits",79,-0.794352814241695,-2.7054168300968,1e-10,1.18e-08,6.94736842105263e-09,1970,"tags=76%, list=13%, signal=67%","NDUFA7/ATP5IF1/SDHC/NDUFA11/SDHB/NDUFA13/COX6A1/NDUFB2/NDUFS6/NDUFA2/NDUFA6/NDUFB9/SDHA/UQCRFS1/NDUFAB1/UQCRQ/NDUFV1/NDUFB10/UQCRH/CYC1/NDUFS4/ATP5ME/COX5A/UQCR10/NDUFB8/NDUFA8/NDUFA9/NDUFS7/COX4I1/NDUFB6/UQCRB/SDHD/ATP5MF/ATP5MC3/NDUFC2/COX7B/NDUFS8/NDUFA4/NDUFS2/NDUFA12/NDUFS1/ATP5PB/UQCRC2/ATP5PF/NDUFA5/ATP5PD/COX7A2/ATP5F1C/ATP5PO/ATP5MC1/NDUFB4/ATP5F1B/ATP5F1A/NDUFV2/CYCS/NDUFA10/NDUFB5/NDUFS3/HCCS/UQCRC1"
"CI subunits","CI subunits",37,-0.800859408186567,-2.39024347207993,1.74744684886111e-09,1.03099364082806e-07,6.0700785276228e-08,2619,"tags=86%, list=17%, signal=72%","NDUFB11/NDUFC1/NDUFB3/NDUFV3/NDUFA7/NDUFA11/NDUFA13/NDUFB2/NDUFS6/NDUFA2/NDUFA6/NDUFB9/NDUFAB1/NDUFV1/NDUFB10/NDUFS4/NDUFB8/NDUFA8/NDUFA9/NDUFS7/NDUFB6/NDUFC2/NDUFS8/NDUFS2/NDUFA12/NDUFS1/NDUFA5/NDUFB4/NDUFV2/NDUFA10/NDUFB5/NDUFS3"
"SLC25A family","SLC25A family",39,-0.765377168158084,-2.30449873320432,2.51063993512684e-08,9.87518374483224e-07,5.81411353397795e-07,1226,"tags=46%, list=8%, signal=43%","SLC25A44/SLC25A16/SLC25A33/SLC25A21/SLC25A26/SLC25A20/SLC25A19/SLC25A11/SLC25A1/SLC25A51/SLC25A13/SLC25A12/SLC25A30/MTCH1/SLC25A4/SLC25A47/SLC25A10/SLC25A3"
"Fe-S-containing proteins","Fe-S-containing proteins",30,-0.78824189429411,-2.22465212343556,2.02978294889902e-07,5.9878596992521e-06,3.52541249019303e-06,1692,"tags=53%, list=11%, signal=48%","SDHB/BOLA1/GLRX2/UQCRFS1/NDUFV1/GLRX5/NDUFS7/NDUFS8/NDUFS2/NDUFS1/FDX1/ETFDH/CISD1/ACO2/NDUFV2/NUBPL"
"TCA cycle","TCA cycle",20,-0.85953591151256,-2.23777802601894,3.13497889581547e-07,7.39855019412451e-06,4.35597067629097e-06,1876,"tags=80%, list=12%, signal=70%","SDHC/SDHB/IDH3B/DLD/SUCLG2/SDHA/SDHD/SUCLA2/SUCLG1/OGDH/FH/ACO2/DLST/IDH3A/MDH2/CS"
"Mitochondrial ribosome","Mitochondrial ribosome",79,-0.606043566120269,-2.06407081860578,1.2302022677465e-06,2.41939779323477e-05,1.42444473107489e-05,4307,"tags=57%, list=28%, signal=41%","MRPL40/MRPL3/MRPL37/MRPS34/MRPL32/MRPS7/MRPS18B/MRPL44/MRPL49/MRPL1/MRPS21/MRPL27/MRPS27/MRPL45/MRPS36/MRPL22/MRPS2/MRPS26/MRPS35/MRPL18/MRPS17/MRPL35/MRPS31/DAP3/MRPL46/MRPS16/MRPL30/MRPL16/MRPL57/MRPL9/PTCD3/MRPS15/MRPL28/MRPS22/MRPS25/MRPS9/MRPL21/MRPL42/MRPL53/MRPL12/MRPS5/MRPL13/MRPS14/MRPL15/MRPL47"
"Fatty acid oxidation","Fatty acid oxidation",36,-0.702209868422383,-2.07087064600397,1.84893761478174e-05,0.000311678055063208,0.000183503582820443,1922,"tags=53%, list=12%, signal=46%","HADHB/CPT2/ETFB/ACADM/ACSS1/HADHA/AMACR/ACADS/CPT1B/SLC25A20/DECR1/ACADVL/ACSL1/HADH/ACADL/ETFDH/ETFA/CRAT/CPT1A"
"Small molecule transport","Small molecule transport",14,-0.860341760831787,-2.0639341437287,3.05646580520742e-05,0.000450828706268094,0.000265429925189065,1471,"tags=64%, list=10%, signal=58%","MRS2/STARD7/MPC2/SLC30A9/SLC8B1/MPV17L/VDAC2/MPC1/VDAC3"
"Lipid metabolism","Lipid metabolism",20,-0.801255443939809,-2.08604643699096,3.8503808139324e-05,0.000454597052494119,0.000267648576847563,564,"tags=40%, list=4%, signal=39%","SLC25A1/EHHADH/FABP1/LYPLA1/FASN/HSD17B4/DBI/ACOT13"
"TCA-associated","TCA-associated",13,-0.871475274113825,-2.03949695395602,3.85251739401796e-05,0.000454597052494119,0.000267648576847563,633,"tags=54%, list=4%, signal=52%","PC/SLC25A11/MPC2/SLC25A1/ACLY/FAHD1/MPC1"
"CV subunits","CV subunits",16,-0.809385129151326,-2.00486208654732,7.98252550656202e-05,0.000856307281613016,0.000504159505677601,826,"tags=69%, list=5%, signal=65%","ATP5ME/ATP5MF/ATP5MC3/ATP5PB/ATP5PF/ATP5PD/ATP5F1C/ATP5PO/ATP5MC1/ATP5F1B/ATP5F1A"
"Pyruvate metabolism","Pyruvate metabolism",14,-0.841176200510418,-2.01795653793084,0.000109143548840296,0.00107324489692958,0.000631883703812241,1424,"tags=71%, list=9%, signal=65%","PDK3/DLD/PDPR/PDP2/PDHX/MPC2/PDHB/DLAT/PDHA1/MPC1"
"Malate-aspartate shuttle","Malate-aspartate shuttle",6,-0.948278248971827,-1.80685165105367,0.000311067171674356,0.00282353278904415,0.00166238326562814,633,"tags=83%, list=4%, signal=80%","SLC25A11/SLC25A13/SLC25A12/MDH2/SLC25A10"
"Fe-S cluster biosynthesis","Fe-S cluster biosynthesis",22,-0.73210266686877,-1.92539672937928,0.000437226582581128,0.00343951578297154,0.00202504943511259,2368,"tags=50%, list=15%, signal=42%","NFU1/GRPEL1/CISD3/BOLA1/FDXR/ABCB7/NDUFAB1/GLRX5/FDX1/CISD1/NUBPL"
"Gluconeogenesis","Gluconeogenesis",7,-0.920163626651619,-1.83415543960503,0.000417414557757605,0.00343951578297154,0.00202504943511259,633,"tags=86%, list=4%, signal=82%","SLC25A11/MPC2/SLC25A1/MDH2/MPC1/SLC25A10"
"CIII subunits","CIII subunits",9,-0.883777171305966,-1.88799549963705,0.000578847186873357,0.00426899800319101,0.00251341541668694,1233,"tags=89%, list=8%, signal=82%","UQCRFS1/UQCRQ/UQCRH/CYC1/UQCR10/UQCRB/UQCRC2/UQCRC1"
"Glycine metabolism","Glycine metabolism",14,-0.791565498324926,-1.89894194768707,0.000963624204897333,0.00659418345404419,0.00388239168569952,2546,"tags=79%, list=16%, signal=66%","SHMT2/CHDH/SARDH/ETFB/AMT/GCAT/DLD/GCSH/ALDH7A1/ETFDH/ETFA"
"OXPHOS assembly factors","OXPHOS assembly factors",62,-0.524831627942368,-1.71183335403499,0.00100589239129488,0.00659418345404419,0.00388239168569952,2296,"tags=34%, list=15%, signal=29%","NDUFAF2/CMC1/HIGD2A/RAB5IF/TACO1/BCS1L/ATPAF1/COX10/ATPAF2/UQCC1/NDUFAF4/SCO2/NDUFAF7/NDUFAF1/ACAD9/SDHAF3/COX20/AIFM1/TTC19/NUBPL/HIGD1A"
"ROS and glutathione metabolism","ROS and glutathione metabolism",24,-0.69282634544311,-1.88229798644352,0.00141281414142004,0.00877431940460866,0.0051659686057464,2226,"tags=58%, list=14%, signal=50%","GPX1/HAGH/ALDH3A2/SOD1/NIT1/PRDX6/GLRX2/OXR1/PRDX3/ALDH7A1/TXN2/SOD2/MGST1/CAT"
"mtRNA granules","mtRNA granules",28,-0.642376870078569,-1.78891556667411,0.00149032029212736,0.00879288972355142,0.00517690206738977,2245,"tags=39%, list=15%, signal=34%","FASTKD1/MRM2/DHX30/DDX28/FASTKD2/MRPS9/SUPV3L1/MTPAP/TRMT10C/GRSF1/MRPL47"
"SAM","SAM",3,-0.974463525899999,-1.54050570867289,0.00160188605029255,0.00900107399688194,0.00529947264758437,296,"tags=67%, list=2%, signal=65%","MTX2/SAMM50"
