"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"activated","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","116/1742","200/4384",0.58,1.45965556831228,5.40250390533653,7.18098207404653e-08,3.59049103702326e-06,2.79680354462865e-06,"HMGB2/HMGA1/AURKA/CENPE/PRDX4/DIAPH3/RPA1/BARD1/CDC25A/RRM2/PNN/RAD51AP1/MAD2L1/NUP153/HMGB3/CNOT9/KIF2C/RAD1/CCNB2/CENPM/XPO1/NOP56/H2AX/DUT/KIF4A/PHF5A/SNRPB/CHEK1/MCM4/HELLS/RFC1/SMC4/SPAG5/SSRP1/ING3/RAD50/DCK/CKS2/ILF3/TUBG1/CKS1B/XRCC6/PLK1/RFC2/MRE11/DEPDC1/POLA2/CDCA3/PSIP1/POLD2/MCM6/NCAPD2/E2F8/KPNA2/MTHFD2/CDC20/MCM2/TIMELESS/SRSF1/CHEK2/TP53/POP7/PPP1R8/UBE2T/BIRC5/POLE4/SMC6/PRIM2/CIT/NASP/RACGAP1/CDKN1A/GINS1/AK2/CDKN1B/HUS1/BRCA1/BUB1B/HMMR/SMC1A/SRSF2/LUC7L3/STMN1/TACC3/CDKN2C/TMPO/EXOSC8/CDK1/RPA2/UNG/DLGAP5/UBE2S/MYBL2/TK1/ESPL1/MCM7/PCNA/PLK4/BRCA2/UBR7/MKI67/RNASEH2A/HNRNPD/NUDT21/SUV39H1/MELK/MYC/ATAD2/MXD3/DEK/SPC24/TRIP13/DCLRE1B/CDCA8/ORC2/DONSON",116
"activated","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","115/1742","200/4384",0.575,1.44707233065442,5.25460840428126,1.56764582263755e-07,3.91911455659387e-06,3.05278397039944e-06,"NR4A3/HBEGF/TRAF1/TANK/RELA/KLF4/IL6ST/FJX1/BTG1/NFIL3/SLC16A6/NR4A1/BMP2/GPR183/TNFAIP3/NFKBIA/ZC3H12A/CCL20/HES1/TGIF1/PDE4B/ZBTB10/CEBPB/GFPT2/B4GALT5/CLCF1/PTGER4/BHLHE40/DUSP4/KDM6B/VEGFA/PHLDA2/SGK1/PNRC1/MXD1/ATF3/BIRC2/PMEPA1/RNF19B/IRF1/SPSB1/PTGS2/SOCS3/BCL2A1/PANX1/GADD45B/DUSP5/DRAM1/IRS2/CSF1/PTPRE/PFKFB3/MAP2K3/SNN/PLEK/CD83/TNFAIP2/KYNU/LDLR/RIGI/FUT4/EGR3/CEBPD/ID2/NFKB2/CCNL1/TRIB1/MAP3K8/NAMPT/CDKN1A/NFKBIE/IER5/TNFAIP8/RIPK2/ABCA1/EGR2/FOSL2/IL18/ACKR3/F3/MAFF/SAT1/SIK1/F2RL1/NINJ1/TNFRSF9/PLAU/SQSTM1/NR4A2/BCL3/RELB/DNAJB4/IL7R/SLC2A6/TIPARP/MARCKS/B4GALT1/TLR2/RCAN1/CFLAR/ETS2/NFKB1/JUN/FOS/CCN1/IER2/IER3/MYC/GEM/EIF1/EFNA1/DUSP1/EDN1/CD44/TNIP2",115
"activated","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","112/1742","200/4384",0.56,1.40932261768083,4.81092190111545,1.4404365194311e-06,2.40072753238516e-05,1.87004039364739e-05,"HMGA1/AURKA/CENPF/RAD23B/SAP30/SLC7A1/CENPE/TTK/TNPO2/KNL1/BARD1/CDC25A/PRMT5/ARID4A/CASP8AP2/CHMP1A/MAD2L1/HMGB3/TLE3/KIF2C/CCNB2/MEIS1/XPO1/H2AX/KIF20B/CDC7/KIF4A/RBL1/CHEK1/EXO1/SMC4/DTYMK/SLC38A1/GINS2/CHAF1A/CKS2/KIF15/DKC1/CDC45/ILF3/CKS1B/CCNT1/PLK1/SFPQ/E2F1/NEK2/STIL/POLA2/MCM6/E2F3/UCK2/KPNA2/PML/CDC20/MCM2/HIF1A/SRSF1/INCENP/NUP98/FBXO5/BIRC5/HMGN2/PRIM2/FOXN3/PURA/NASP/RACGAP1/YTHDC1/TRAIP/CDKN1B/HUS1/NUSAP1/UPF1/HMMR/SMC1A/SRSF2/CCNA2/CDC6/HNRNPU/STMN1/TACC3/DBF4/KIF23/CDKN2C/TMPO/CDK1/LIG3/RPA2/POLQ/BCL3/ODF2/NOTCH2/UBE2S/MYBL2/ESPL1/NCL/MARCKS/PLK4/BRCA2/MKI67/HNRNPD/SUV39H1/NDC80/TENT4A/KATNA1/MYC/CUL4A/HSPA8/UBE2C/TPX2/MTF2/PRC1",112
"activated","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","82/1742","144/4384",0.569444444444444,1.43309095547902,4.29062773690203,1.64999788863516e-05,0.000206249736079396,0.000160657689156582,"TGFBR3/VLDLR/FYN/MET/SLC7A1/DBP/ADD3/DMAC2L/MAGI2/ADORA2B/TGFBR2/ATP2B4/PIK3CD/GCNT1/RND3/ANXA4/MTA1/CELF2/BHLHE40/COL3A1/ANXA2/PLCB4/SYNE1/RXRA/GRK5/TFPI/IGF1R/DAB2/FHL2/ICA1/SLC67A1/SYNJ2/TOGARAM1/PDGFRB/LDLR/PRKCE/RUNX1/HAS2/LAMC1/CITED2/NRP1/RGS4/SPOP/CACNA1A/PTPN21/IRS1/YTHDC1/PTPRM/CDKN1B/SFMBT1/NIPBL/LPAR1/F3/SCN8A/FZD2/TJP1/NFIB/KIT/ERBB2/SCAF8/FBLN5/NOTCH2/CAP2/INPP4B/ACVR2A/CDON/PMP22/NFKB1/CCN1/DLC1/CAV1/TENT4A/ADGRL2/MYC/NR1D2/ZMIZ1/ATXN1/DUSP1/AKT3/ATRN/WDR37/SMAD7",82
"activated","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING","104/1742","199/4384",0.522613065326633,1.31523288082202,3.69533420482277,0.000169488520136425,0.00169488520136425,0.00132022636737847,"PLEC/TRAF1/POU2F1/CKAP4/CDCP1/BCL2/IL1RL1/TNFSF10/NFIL3/AHR/SPP1/PDCD2L/BMP2/CD81/LCLAT1/ITIH5/SYNGR2/TNFRSF21/SLC39A8/LRIG1/ANXA4/TNFRSF1B/BHLHE40/BATF/IL2RB/BATF3/PIM1/MXD1/IRF4/IRF8/DCPS/P4HA1/IGF1R/PUS1/CD79B/XBP1/TNFRSF18/FLT3LG/GADD45B/IL2RA/UCK2/HOPX/CSF1/CDC42SE2/PRKCH/SOCS1/IKZF2/ARL4A/RRAGD/CD83/CTLA4/CAPN3/WLS/EOMES/CYFIP1/SPRY4/GABARAPL1/GATA1/NRP1/BCL2L1/NCS1/ICOS/PTH1R/CCND3/MAP3K8/CST7/IL1R2/NOP2/TNFRSF8/TNFSF11/TWSG1/CD48/MYO1E/P2RX4/ADAM19/MAFF/PRNP/IL18R1/IKZF4/PTCH1/CDC6/BMPR2/NDRG1/FGL2/TNFRSF9/GPR65/CDKN1C/NFKBIZ/GALM/ETFBKMT/TNFRSF4/TIAM1/ALCAM/IL10RA/GUCY1B1/EMP1/SPRED2/MYC/ITGA6/PHTF2/CTSZ/CD44/CD86/CISH",104
"activated","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","60/1742","113/4384",0.530973451327434,1.33627302561393,2.94042340874639,0.00244980444018458,0.0204150370015382,0.0159022393485666,"ASNS/ATF6/CXXC1/XPOT/NABP1/KHSRP/NOP56/H2AX/FKBP14/ERN1/CEBPB/DNAJB9/HSP90B1/SPCS3/VEGFA/DKC1/MTREX/EIF4A3/EXOSC10/ATF3/IGFBP1/CKS1B/DCP1A/STC2/CEBPG/NHP2/ATF4/XBP1/SERP1/EXOSC9/MTHFD2/LSM4/EXOSC2/CALR/RRP9/DNAJC3/BAG3/HSPA9/SEC11A/KDELR3/BANF1/HERPUD1/FUS/EIF2AK3/HSPA5/EEF2/GOSR2/SRPRA/DNAJA4/CNOT4/NFYB/EXOC2/POP4/SLC1A4/HYOU1/SPCS1/WIPI1/DDIT4/PDIA6/NPM1",60
"suppressed","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","160/1701","200/4384",0.8,2.06184597295708,12.2379377574045,3.83383612056803e-34,1.91691806028402e-32,1.53353444822721e-32,"COX7C/ETFA/UQCRB/ATP5F1A/NDUFB5/MPC1/SLC25A5/BDH2/LDHB/GRPEL1/SLC25A12/NDUFB1/NDUFB7/HADHA/COX7A2L/MRPS15/GPX4/TCIRG1/ATP5F1B/NDUFA5/FH/ABCB7/MGST3/NDUFS3/RHOT1/OGDH/CASP7/CYC1/MRPS30/PDHB/ATP6AP1/TOMM22/SDHC/PMPCA/NDUFS4/AFG3L2/OXA1L/ATP5PD/PDHA1/SDHD/TIMM13/IDH1/MFN2/COX6A1/DLD/CYCS/PHYH/MRPL34/NDUFA7/SUPV3L1/NDUFS1/ATP5MG/COX6B1/DLAT/SLC25A3/SLC25A4/CYB5A/AIFM1/IMMT/ECHS1/NDUFA8/NDUFA6/SUCLG1/GPI/COX10/HCCS/ATP5PO/NDUFB3/VDAC1/UQCR10/NDUFV1/MRPS22/ETFDH/ATP6V1E1/ATP5MF/NNT/NDUFB6/ACAT1/NDUFA4/NDUFS6/NDUFS7/ATP5MC3/MRPL15/TIMM17A/NDUFB8/ACAA2/LRPPRC/PDK4/UQCR11/ECH1/UQCRC1/RETSAT/ETFB/ECI1/ACADVL/COX5B/ATP6V1D/MRPS11/GOT2/PRDX3/ATP5F1D/SUCLA2/VDAC3/MDH2/BCKDHA/UQCRH/UQCRC2/IDH3A/NDUFB4/ATP5ME/DLST/ACADM/PHB2/NDUFB2/NDUFC2/MTRR/TIMM10/ATP5F1C/ACAA1/MDH1/ATP5PF/COX7A2/PDHX/SLC25A20/NDUFV2/FDX1/OPA1/COX4I1/NDUFAB1/NDUFA2/CS/SDHB/IDH3B/UQCRQ/VDAC2/NDUFS8/HADHB/SURF1/ATP6V1H/MRPL11/ALDH6A1/ATP5PB/NDUFA1/UQCRFS1/ATP5MC1/SDHA/NDUFS2/MRPL35/NDUFA9/SLC25A11/MTX2/ATP5F1E/ACO2/ATP6V1F/COX7B/CPT1A/NDUFC1/DECR1/COX5A/COX6C",160
"suppressed","HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS","135/1701","200/4384",0.675,1.73968253968254,8.52495475936573,4.13465433855829e-17,1.03366358463957e-15,8.26930867711658e-16,"BCL6/DGAT1/UBC/REEP5/LPCAT3/SQOR/AGPAT3/CD36/ITGA7/GRPEL1/ESYT1/NDUFB7/CHCHD10/JAGN1/SOD1/GPX4/PPARG/MCCC1/HADH/NDUFA5/PEX14/SLC19A1/MAP4K3/ADCY6/MGST3/NDUFS3/ADIPOR2/ACLY/CYC1/UCK1/TKT/CHUK/DDT/SCARB1/SCP2/SDHC/BCL2L13/ELOVL6/CRAT/PLIN2/IDH1/GPD2/ANGPT1/GPAT4/COX6A1/MYLK/SLC5A6/DLD/CAVIN1/SLC25A1/PHYH/DHCR7/NMT1/MGLL/DLAT/FAH/PPP1R15B/AIFM1/IMMT/ECHS1/SUCLG1/ATP5PO/UQCR10/ACOX1/NKIRAS1/MTCH2/UBQLN1/CIDEA/LIPE/SLC25A10/TALDO1/SNCG/RMDN3/SSPN/GPAM/MRPL15/ABCB8/ACAA2/UQCR11/ECH1/MIGA2/RAB34/UQCRC1/IFNGR1/STOM/RETSAT/ETFB/COQ9/ACADS/RREB1/RNF11/PRDX3/MDH2/PGM1/BCKDHA/IDH3A/ACADM/CCNG2/HIBCH/ENPP2/ELMOD3/GPHN/ANGPTL4/YWHAG/ITSN1/PREB/GBE1/CAT/ALDH2/CPT2/DNAJC15/ALDOA/NDUFAB1/APOE/CS/BAZ2A/ACADL/SDHB/CMPK1/UQCRQ/QDPR/CAVIN2/GADD45A/RIOK3/SAMM50/ATL2/PTCD3/APLP2/FZD4/ACO2/G3BP2/COX7B/PEMT/DECR1/ME1",135
"suppressed","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM","99/1701","158/4384",0.626582278481013,1.61489518451544,6.26747261225517,5.76109007107223e-10,9.60181678512039e-09,7.68145342809631e-09,"HPGD/HMGCS2/CD36/SMS/AUH/KMT5A/HADH/FH/UGDH/GSTZ1/ADIPOR2/ODC1/PDHB/ACSL5/SDHC/BPHL/MLYCD/CRAT/ACOT8/AADAT/PDHA1/SDHD/CEL/PTPRG/IDH1/GPD2/DLD/MGLL/ECHS1/GLUL/PRDX6/SUCLG1/YWHAH/DHCR24/HCCS/FABP1/ELOVL5/BCKDHB/ACOX1/FASN/ACSS1/NTHL1/ETFDH/CIDEA/IL4I1/HSD17B4/ACSL1/PCBD1/ACAA2/ECH1/RETSAT/ECI1/TP53INP2/ALDH3A2/ACADVL/ACADS/ADSL/HAO2/SUCLA2/MDH2/DLST/ACADM/EPHX1/METAP1/HIBCH/H2AZ1/SERINC1/ACAA1/MDH1/GPD1/TDO2/HMGCL/HSDL2/HSD17B7/GAD2/SUCLG2/UROD/EHHADH/CPT2/ALDOA/MIX23/G0S2/ACADL/IDH3B/HADHB/FMO1/CPOX/CRYZ/D2HGDH/SDHA/NBN/ALAD/CA6/IDI1/ACO2/ACAT2/CPT1A/DECR1/ME1",99
"suppressed","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","117/1701","200/4384",0.585,1.50772486772487,5.85160700077779,6.39254301965187e-09,7.99067877456483e-08,6.39254301965187e-08,"RPS2/ETF1/HDAC2/ABCE1/AIMP2/PSMD8/PSMB3/PSMA2/RPL34/ERH/GNL3/SRSF7/CNBP/RPL6/GSPT1/PA2G4/G3BP1/CCT4/CBX3/PSMA6/U2AF1/CYC1/ODC1/COPS5/UBA2/EIF4H/FBL/DDX18/TCP1/TRIM28/RPS6/SNRPA/EPRS1/EIF3J/CAD/EIF2S2/SLC25A3/IMPDH2/GLO1/VDAC1/PSMD7/SNRPD2/CUL1/HNRNPA3/PSMA4/YWHAQ/RUVBL2/SET/PSMC6/SNRPB2/PWP1/TRA2B/MCM5/SMARCC1/TARDBP/SNRPD3/SRPK1/SYNCRIP/YWHAE/LSM2/RNPS1/GOT2/PRDX3/CTPS1/EIF2S1/VDAC3/EIF1AX/PHB2/MRPL23/PHB1/SNRPG/PSMD14/H2AZ1/SF3A1/CCT7/TFDP1/CCT3/EXOSC7/HDGF/RANBP1/EIF4E/UBE2L3/NCBP1/SSB/NOLC1/MRPS18B/USP1/MRPL9/TXNL4A/NDUFAB1/ILF2/HNRNPR/KPNB1/SERBP1/SF3B3/ACP1/PSMC4/FAM120A/TUFM/PPIA/SRM/PSMD1/EIF4A1/DHX15/PGK1/AP3S1/CCT2/SNRPD1/BUB3/PPM1G/RAN/NAP1L1/CLNS1A/STARD7/COX5A/IARS1/EIF4G2",117
