"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"activated","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","116/1742","200/4384",0.58,1.45965556831228,5.40250390533653,7.18098207404655e-08,3.59049103702327e-06,3.59049103702327e-06,"SMC4/RFC2/DCK/DONSON/SNRPB/TUBG1/ORC2/PRIM2/ATAD2/RAD50/BIRC5/DCLRE1B/E2F8/BRCA2/CKS1B/CDKN1A/POP7/MTHFD2/PLK4/DEPDC1/RFC1/UBE2T/SMC6/MRE11/CDC25A/CDCA3/TRIP13/POLE4/LUC7L3/BRCA1/H2AX/RACGAP1/SRSF1/SPC24/NUP153/BUB1B/MXD3/SSRP1/CKS2/TP53/MCM4/HMGA1/HNRNPD/MKI67/HUS1/CIT/XPO1/MELK/HELLS/DEK/NOP56/MYC/DLGAP5/POLD2/MCM7/STMN1/AURKA/PHF5A/CDKN2C/CHEK1/MAD2L1/AK2/RAD1/TK1/MCM2/UBE2S/HMMR/RNASEH2A/DIAPH3/CDC20/RPA1/MYBL2/SRSF2/TMPO/ING3/UNG/PRDX4/POLA2/CNOT9/CDK1/TIMELESS/SMC1A/PPP1R8/CENPM/CCNB2/PCNA/NCAPD2/NUDT21/PNN/MCM6/CHEK2/CDCA8/NASP/TACC3/CDKN1B/CENPE/HMGB3/RAD51AP1/EXOSC8/XRCC6/KPNA2/SPAG5/GINS1/HMGB2/BARD1/KIF2C/SUV39H1/RPA2/UBR7/PSIP1/DUT/ESPL1/RRM2/KIF4A/ILF3/PLK1",116
"activated","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","115/1742","200/4384",0.575,1.44707233065442,5.25460840428126,1.56764582263755e-07,3.91911455659387e-06,3.91911455659387e-06,"BCL2A1/ZBTB10/KLF4/PLEK/RIGI/SPSB1/PTPRE/DUSP4/RIPK2/IER2/SGK1/CDKN1A/NFKBIA/BHLHE40/RNF19B/TRAF1/IL6ST/ABCA1/ID2/MXD1/FOSL2/PFKFB3/CLCF1/CD44/RELB/PDE4B/EDN1/BCL3/CFLAR/IRF1/DUSP5/GEM/NR4A2/SAT1/PANX1/NFKB1/NR4A1/B4GALT5/IER3/NFKBIE/F2RL1/DRAM1/NR4A3/CD83/GADD45B/CCL20/FJX1/BTG1/MYC/PHLDA2/B4GALT1/DNAJB4/GPR183/IER5/EIF1/CEBPD/JUN/TNIP2/KYNU/RELA/TNFRSF9/SLC16A6/MAP3K8/EFNA1/NFKB2/PTGER4/PMEPA1/TNFAIP2/F3/SIK1/NAMPT/TANK/FUT4/IL18/SNN/TIPARP/BIRC2/TRIB1/NINJ1/CSF1/NFIL3/CCN1/GFPT2/PNRC1/ACKR3/CCNL1/SLC2A6/MARCKS/IL7R/MAP2K3/ZC3H12A/BMP2/VEGFA/ATF3/FOS/TGIF1/PLAU/SQSTM1/HBEGF/PTGS2/MAFF/IRS2/TNFAIP8/EGR3/CEBPB/SOCS3/LDLR/TLR2/DUSP1/RCAN1/TNFAIP3/ETS2/HES1/EGR2/KDM6B",115
"activated","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","112/1742","200/4384",0.56,1.40932261768083,4.81092190111545,1.44043651943109e-06,2.40072753238515e-05,2.40072753238515e-05,"SMC4/LIG3/CDC6/PRIM2/BIRC5/FOXN3/CHAF1A/BRCA2/PRC1/CKS1B/INCENP/FBXO5/CCNT1/HNRNPU/PLK4/KIF15/SLC7A1/CDC25A/EXO1/TENT4A/CCNA2/BCL3/H2AX/RACGAP1/DTYMK/TLE3/SRSF1/YTHDC1/SLC38A1/CKS2/DBF4/NCL/HMGN2/HMGA1/HNRNPD/MKI67/ODF2/UBE2C/HUS1/XPO1/MYC/UCK2/STMN1/TNPO2/NOTCH2/CHMP1A/AURKA/NUP98/KNL1/TRAIP/CDKN2C/SFPQ/PML/E2F3/CHEK1/HSPA8/MAD2L1/DKC1/MCM2/UBE2S/HMMR/MEIS1/GINS2/CDC20/PRMT5/CDC45/MYBL2/SRSF2/TMPO/KIF23/PURA/CASP8AP2/ARID4A/MTF2/POLA2/CDK1/SMC1A/TPX2/CCNB2/UPF1/KATNA1/MARCKS/MCM6/E2F1/HIF1A/NEK2/NASP/TACC3/CDKN1B/RAD23B/CENPE/HMGB3/STIL/SAP30/CUL4A/KPNA2/NDC80/KIF20B/BARD1/KIF2C/SUV39H1/RBL1/RPA2/ESPL1/TTK/NUSAP1/CENPF/KIF4A/ILF3/CDC7/POLQ/PLK1",112
"activated","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","82/1742","144/4384",0.569444444444444,1.43309095547902,4.29062773690203,1.64999788863516e-05,0.000206249736079395,0.000206249736079395,"PRKCE/GRK5/PDGFRB/DMAC2L/DBP/ADORA2B/AKT3/MAGI2/ANXA2/ICA1/IGF1R/RUNX1/PIK3CD/SFMBT1/SLC67A1/FBLN5/BHLHE40/SCAF8/MTA1/SLC7A1/TENT4A/COL3A1/FZD2/ACVR2A/ATXN1/IRS1/DAB2/YTHDC1/CITED2/SPOP/NFKB1/VLDLR/CACNA1A/SYNE1/TGFBR3/CAV1/MYC/TFPI/RGS4/CDON/NOTCH2/LAMC1/PMP22/LPAR1/ATRN/NFIB/DLC1/TJP1/NIPBL/F3/ANXA4/ADGRL2/SMAD7/GCNT1/FHL2/PTPRM/CCN1/SCN8A/KIT/WDR37/ATP2B4/RXRA/CAP2/ERBB2/CDKN1B/TOGARAM1/FYN/NRP1/CELF2/ZMIZ1/LDLR/SYNJ2/INPP4B/HAS2/DUSP1/MET/PTPN21/NR1D2/TGFBR2/ADD3/RND3/PLCB4",82
"activated","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING","104/1742","199/4384",0.522613065326633,1.31523288082202,3.69533420482277,0.000169488520136425,0.00169488520136425,0.00169488520136425,"IL10RA/PLEC/GABARAPL1/TNFSF10/CDC6/TNFRSF4/TNFRSF8/PTH1R/ARL4A/IGF1R/BATF3/BCL2/IL2RB/CDCP1/BMPR2/BHLHE40/TRAF1/CISH/AHR/NOP2/NCS1/MXD1/ETFBKMT/CD44/LRIG1/IL18R1/XBP1/TNFRSF1B/IL2RA/ITGA6/GPR65/IRF8/BATF/EMP1/CD83/NDRG1/CD48/MYO1E/GADD45B/FGL2/TIAM1/CTSZ/IKZF4/MYC/UCK2/SOCS1/IL1RL1/CCND3/POU2F1/PHTF2/PTCH1/P4HA1/TNFRSF9/CDC42SE2/MAP3K8/IL1R2/RRAGD/P2RX4/CST7/LCLAT1/BCL2L1/PDCD2L/CKAP4/CDKN1C/TNFSF11/ANXA4/IKZF2/ADAM19/CYFIP1/SPP1/CSF1/TWSG1/NFIL3/SYNGR2/SPRED2/GUCY1B1/ALCAM/SLC39A8/CD86/PRNP/CAPN3/GALM/EOMES/CTLA4/HOPX/DCPS/CD79B/ITIH5/BMP2/PIM1/PRKCH/MAFF/WLS/ICOS/NFKBIZ/SPRY4/NRP1/FLT3LG/PUS1/TNFRSF21/GATA1/IRF4/TNFRSF18/CD81",104
"activated","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","60/1742","113/4384",0.530973451327434,1.33627302561393,2.94042340874639,0.00244980444018458,0.0204150370015382,0.0204150370015382,"DNAJC3/POP4/CALR/EXOSC10/FKBP14/CKS1B/BAG3/CXXC1/DDIT4/NPM1/DNAJA4/MTHFD2/SPCS1/HSP90B1/XPOT/KDELR3/DNAJB9/H2AX/NHP2/STC2/XBP1/IGFBP1/NABP1/EXOSC2/FUS/WIPI1/NOP56/SPCS3/SEC11A/KHSRP/SRPRA/RRP9/CNOT4/BANF1/DKC1/ATF4/ATF6/EEF2/EXOC2/CEBPG/EIF4A3/HSPA9/SERP1/HERPUD1/MTREX/SLC1A4/HYOU1/GOSR2/PDIA6/EIF2AK3/VEGFA/ATF3/ASNS/CEBPB/ERN1/DCP1A/EXOSC9/HSPA5/LSM4/NFYB",60
"suppressed","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","160/1701","200/4384",0.8,2.06184597295708,12.2379377574045,3.83383612056803e-34,1.91691806028402e-32,1.91691806028402e-32,"UQCRFS1/IMMT/ACAA2/COX7A2/SDHC/PRDX3/FH/MRPL15/SLC25A3/OXA1L/PDHB/RHOT1/MRPL34/NDUFA7/FDX1/PDHX/NDUFA9/COX6B1/COX6C/AIFM1/PHB2/ATP5MG/OGDH/NDUFB1/ATP5MF/SDHA/GPI/UQCR11/TIMM10/MTRR/ATP5F1A/ETFA/SLC25A4/NDUFB4/CPT1A/COX6A1/SUPV3L1/DLD/CASP7/MRPS11/NDUFB3/TIMM17A/MTX2/NDUFB5/COX7B/TCIRG1/ACAA1/NDUFV2/ECH1/UQCRC1/MPC1/RETSAT/BDH2/ATP6V1F/ABCB7/ALDH6A1/SUCLG1/ATP6V1H/NDUFA5/SLC25A20/ACADVL/ETFB/ATP5PD/NDUFS2/VDAC2/TOMM22/CYCS/CYB5A/COX5B/CYC1/NDUFV1/PMPCA/ATP5PB/TIMM13/ATP5F1B/GRPEL1/MRPS15/SLC25A11/NDUFA2/IDH1/NDUFA6/NDUFC2/ATP6AP1/MRPL11/COX7C/ACAT1/ATP6V1D/ATP5MC3/CS/SDHB/COX10/ATP6V1E1/NDUFS8/SDHD/MGST3/ATP5PO/PHYH/OPA1/MRPS22/DLST/MDH2/GPX4/NDUFAB1/NDUFA8/LDHB/IDH3A/VDAC1/NDUFA4/UQCRH/COX5A/AFG3L2/VDAC3/DLAT/NDUFS6/UQCRB/GOT2/HCCS/NDUFS1/ETFDH/UQCRC2/UQCR10/ATP5ME/ATP5F1C/NNT/DECR1/MDH1/ATP5MC1/PDHA1/MFN2/SUCLA2/NDUFS3/SLC25A5/HADHA/ATP5PF/NDUFS7/ATP5F1E/NDUFA1/NDUFS4/NDUFB7/MRPS30/MRPL35/SURF1/HADHB/NDUFB6/COX4I1/ACO2/UQCRQ/NDUFB8/PDK4/SLC25A12/LRPPRC/ECHS1/NDUFB2/ECI1/ACADM/NDUFC1/BCKDHA/ATP5F1D/IDH3B/COX7A2L",160
"suppressed","HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS","135/1701","200/4384",0.675,1.73968253968254,8.52495475936573,4.1346543385582e-17,1.03366358463955e-15,1.03366358463955e-15,"APLP2/IMMT/PREB/ACAA2/SAMM50/SDHC/PRDX3/GADD45A/ME1/ITGA7/MRPL15/ADIPOR2/SLC25A10/COQ9/DGAT1/SLC19A1/ESYT1/AIFM1/GPHN/BAZ2A/SLC5A6/CAVIN2/REEP5/AGPAT3/UQCR11/SCARB1/MCCC1/GPAT4/COX6A1/DLD/GBE1/STOM/ANGPT1/UBQLN1/ABCB8/COX7B/RMDN3/LPCAT3/ECH1/UQCRC1/RETSAT/ELOVL6/SUCLG1/LIPE/NDUFA5/UCK1/ETFB/CRAT/MYLK/ANGPTL4/MGLL/DHCR7/SQOR/CYC1/CMPK1/BCL2L13/SSPN/GRPEL1/UBC/RAB34/IDH1/PPP1R15B/CAT/NMT1/CS/SDHB/ACADL/CD36/PGM1/JAGN1/APOE/RNF11/MGST3/ATP5PO/QDPR/CCNG2/PHYH/MTCH2/PEX14/PEMT/TKT/MDH2/GPX4/NDUFAB1/SLC25A1/CAVIN1/FAH/G3BP2/IDH3A/CHCHD10/ENPP2/NKIRAS1/SNCG/HIBCH/YWHAG/DLAT/ADCY6/SOD1/UQCR10/RREB1/GPD2/IFNGR1/ACOX1/DECR1/PTCD3/GPAM/PPARG/ACADS/BCL6/NDUFS3/ITSN1/MAP4K3/MIGA2/ALDOA/ELMOD3/SCP2/NDUFB7/DNAJC15/CPT2/ACLY/PLIN2/ACO2/CIDEA/UQCRQ/HADH/CHUK/ALDH2/ECHS1/ACADM/TALDO1/RIOK3/BCKDHA/ATL2/DDT/FZD4",135
"suppressed","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM","99/1701","158/4384",0.626582278481013,1.61489518451544,6.26747261225517,5.76109007107222e-10,9.60181678512036e-09,9.60181678512036e-09,"PCBD1/KMT5A/ACAA2/SDHC/ME1/FH/ADSL/PDHB/ADIPOR2/MLYCD/HPGD/YWHAH/METAP1/GLUL/SDHA/TDO2/ACSS1/SERINC1/PRDX6/TP53INP2/CPT1A/GAD2/DLD/MIX23/FMO1/BPHL/H2AZ1/G0S2/AADAT/HAO2/ACAA1/ECH1/RETSAT/IL4I1/SUCLG1/NTHL1/ACADVL/CRAT/CA6/MGLL/BCKDHB/DHCR24/CEL/D2HGDH/FABP1/IDH1/FASN/CPOX/GPD1/ACOT8/HMGCL/HMGCS2/ACADL/CD36/SDHD/SMS/EHHADH/DLST/ALAD/MDH2/ACSL5/CRYZ/HSDL2/HIBCH/IDI1/UROD/HCCS/ETFDH/NBN/GPD2/ACOX1/DECR1/MDH1/PDHA1/ACADS/HSD17B7/HSD17B4/SUCLA2/ALDOA/CPT2/HADHB/PTPRG/ACAT2/ELOVL5/ACO2/SUCLG2/CIDEA/HADH/GSTZ1/ODC1/AUH/ECHS1/UGDH/ECI1/ACADM/ACSL1/IDH3B/EPHX1/ALDH3A2",99
"suppressed","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","117/1701","200/4384",0.585,1.50772486772487,5.85160700077779,6.39254301965189e-09,7.99067877456486e-08,7.99067877456486e-08,"MCM5/MRPS18B/EIF4A1/AP3S1/PRDX3/SLC25A3/RPL6/EIF2S1/RUVBL2/UBA2/RPL34/PHB2/YWHAQ/SYNCRIP/ABCE1/SNRPG/CCT3/G3BP1/PA2G4/ACP1/H2AZ1/SNRPB2/DDX18/GSPT1/MRPL9/CLNS1A/NOLC1/PSMC6/LSM2/RNPS1/HDAC2/SSB/UBE2L3/ETF1/USP1/SF3B3/AIMP2/BUB3/EXOSC7/GNL3/CAD/PGK1/SET/SNRPD3/CYC1/SNRPD2/CBX3/IARS1/SF3A1/CCT4/TARDBP/PWP1/EIF4H/TFDP1/YWHAE/RPS6/U2AF1/PSMA4/SNRPD1/CUL1/SNRPA/PSMA2/GLO1/PSMC4/EPRS1/HNRNPR/EIF4E/CTPS1/PSMD1/HDGF/ERH/NDUFAB1/SRSF7/DHX15/RAN/FBL/VDAC1/COX5A/VDAC3/RPS2/IMPDH2/SRPK1/PPIA/KPNB1/GOT2/EIF4G2/PPM1G/NAP1L1/TXNL4A/FAM120A/PSMD7/PSMD14/PSMA6/EIF2S2/SMARCC1/TUFM/NCBP1/SERBP1/MRPL23/CCT2/CCT7/COPS5/EIF1AX/RANBP1/PSMB3/ODC1/CNBP/PSMD8/TRA2B/TRIM28/STARD7/SRM/ILF2/PHB1/EIF3J/HNRNPA3/TCP1",117
