"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",136,-0.637982721104825,-2.21713567791682,1e-10,2.5e-09,1.61496745921466e-09,2238,"tags=40%, list=12%, signal=36%","CCND3/CD4/TRAF2/EIF4G3/INHBB/TGFB2/CD40LG/SOCS1/IFNG/B2M/ETS1/CD86/GZMA/BRCA1/IRF8/CD8B/IL4R/DARS1/WAS/MMP9/FGR/IL12RB1/HDAC9/ITK/DYRK3/CSF1/IGSF6/IRF4/F2R/RIPK2/FLNA/SPI1/GPR65/STAT4/CD28/PTPRC/CD8A/PTPN6/LY86/ZAP70/LCK/BCL3/IL2RG/THY1/TRAT1/CD3E/CRTAM/CD7/CD74/CD2/LCP2/PRKCB/IL16/SRGN/IL18",NA
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",159,-0.621737847639993,-2.19225300585243,1e-10,2.5e-09,1.61496745921466e-09,2547,"tags=40%, list=14%, signal=35%","NFKB1/ZC3H12A/RHOB/RNF19B/IL23A/SGK1/RELB/PTGS2/NFKB2/PDE4B/IRF1/SNN/DUSP4/FJX1/PLEK/BCL2A1/TNFAIP2/SPHK1/IER2/TNIP1/ACKR3/LDLR/KLF2/TNFAIP8/NAMPT/GPR183/PMEPA1/EGR2/REL/PANX1/CSF1/HBEGF/MARCKS/PNRC1/KDM6B/GEM/RIPK2/CEBPB/TNFAIP3/NR4A3/HES1/MAP3K8/PTPRE/SIK1/IER5/FOSL2/NFKBIE/PTGER4/DNAJB4/RELA/MAFF/CLCF1/CD83/GFPT2/BCL3/EGR3/PFKFB3/DUSP5/GADD45B/SOCS3/CDKN1A/PHLDA2/IL18",NA
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",187,-0.551547621673548,-1.96867088658649,2.21077167181759e-09,3.68461945302932e-08,2.38021620649268e-08,4088,"tags=44%, list=22%, signal=35%","DNMT1/SSRP1/GINS1/DUT/MTHFD2/SMC4/H2AX/POP7/CIT/ING3/HMMR/CHEK1/HELLS/PAN2/SPC25/PPP1R8/RFC2/KIF2C/H2AZ1/CTPS1/PCNA/PHF5A/ASF1A/RBBP7/NUDT21/TRIP13/CKS2/MKI67/CNOT9/EZH2/CDC25A/TUBB/AURKA/TFRC/RRM2/AK2/TIMELESS/NAA38/XRCC6/ESPL1/DONSON/ILF3/TK1/UBR7/CDCA8/TP53/DEPDC1/PA2G4/KIF4A/PLK4/TUBG1/MCM2/NOP56/BRCA1/MAD2L1/CENPE/SNRPB/HMGB2/MELK/SPAG5/BUB1B/BARD1/NCAPD2/BIRC5/DLGAP5/CDK1/RNASEH2A/LMNB1/CDC20/STMN1/MCM7/CDCA3/CKS1B/KPNA2/RACGAP1/E2F8/DCK/CDKN1A/POLD2/PLK1/CCNB2/UNG",0.774939030136436
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",171,-0.529124462250587,-1.8846152512269,3.18297562500693e-07,3.97871953125866e-06,2.57020102892982e-06,2837,"tags=37%, list=15%, signal=32%","UCK2/PUS1/SPP1/BATF3/BCL2/SLC39A8/PTGER2/AHNAK/RHOB/FURIN/MAPKAPK2/CCND3/GPX4/ITIH5/IKZF2/FGL2/PRKCH/SOCS1/ARL4A/FLT3LG/SWAP70/NCS1/ANXA4/CD86/IRF8/ICOS/IL4R/TNFSF11/CTSZ/EOMES/ETV4/EMP1/PHTF2/TNFRSF1B/BCL2L1/GALM/CAPN3/CSF1/GATA1/CDCP1/P4HA1/CDC6/P2RX4/IRF4/CTLA4/WLS/GPR65/TNFRSF21/CD79B/RRAGD/MAP3K8/IL10RA/ECM1/TNFRSF18/MAFF/CD83/PIM1/ALCAM/IRF6/HOPX/GADD45B/ADAM19/PRNP/CD48",0.674962860011025
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",184,-0.52366459861564,-1.87961895179975,6.03925523267978e-07,6.03925523267977e-06,3.90128027146789e-06,3485,"tags=35%, list=18%, signal=29%","HMMR/E2F2/TLE3/CHEK1/HMGN2/UPF1/KIF2C/H2AZ1/INCENP/CKS2/KATNA1/UCK2/KIF11/MKI67/FBXO5/POLQ/EZH2/CDC25A/MAPK14/CCNT1/AURKA/HSPA8/STIL/KPNB1/SLC38A1/ESPL1/ILF3/FANCC/SAP30/E2F1/CHAF1A/KIF4A/PLK4/MCM2/CENPF/TPX2/E2F3/MAD2L1/CENPE/EXO1/BARD1/MARCKS/CDC6/BIRC5/NEK2/UBE2C/TRAIP/CDK1/LMNB1/GINS2/CDC7/CDC20/STMN1/CDC45/CCNA2/KIF23/CKS1B/KPNA2/BCL3/TTK/NUSAP1/RACGAP1/PLK1/CCNB2",0.659444398037935
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",128,-0.53887302367861,-1.87333847430193,2.49502024652889e-06,1.55938765408055e-05,1.00734412705647e-05,2261,"tags=32%, list=12%, signal=28%","PTGS2/PTPN2/UPP1/PDE4B/IRF1/RAPGEF6/FGL2/PTPN1/SOCS1/ARL4A/PLA2G4A/B2M/TNFAIP2/CD86/GZMA/IRF8/IL4R/NAMPT/PFKP/IRF4/NOD1/GPR18/RIPK2/TXNIP/TNFAIP3/STAT4/VCAM1/IL10RA/PTPN6/PIM1/CMKLR1/SERPING1/IL18BP/CIITA/CD74/IRF5/SOCS3/LCP2/CDKN1A/BANK1/IFI30",0.627256739718528
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",140,-0.54258826615648,-1.87267794455597,1.37385562532274e-06,9.81325446659102e-06,6.33923465301498e-06,2010,"tags=31%, list=11%, signal=28%","IRF1/F8/GATA3/CD40LG/GMFB/PLEK/SH2B3/CALM1/PLA2G4A/LTA4H/GZMA/CSRP1/WAS/CDH13/C3/PRKCD/PIK3R5/ZFPM2/ANXA5/C1QA/C1QC/SRC/DOCK4/FYN/CEBPB/TNFAIP3/PRCP/PFN1/RASGRP1/FCER1G/MAFF/GNAI2/TIMP2/PIM1/GNG2/SERPING1/LCK/DOCK10/KCNIP2/DUSP5/LCP2/RHOG/CLU",0.643551836150722
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",167,-0.513902606396195,-1.83693446995517,1.24425749092664e-06,9.81325446659102e-06,6.33923465301498e-06,3954,"tags=41%, list=21%, signal=32%","ANPEP/MATN2/TNC/MMP14/COL4A1/MYL9/CALD1/JUN/MYLK/TGM2/COL3A1/FZD8/SGCG/PCOLCE/SNAI2/COL8A2/FBLN1/COL11A1/DPYSL3/CDH11/COL5A2/COL4A2/SPP1/QSOX1/FBN1/RHOB/WIPF1/ITGA2/WNT5A/GJA1/COL6A2/CALU/ECM2/COL1A1/FUCA1/BMP1/SERPINE2/COL6A3/FBLN5/FERMT2/COMP/LOXL2/PMEPA1/LOXL1/TPM2/CDH2/SGCD/PMP22/ITGB3/FOXC2/SPARC/BASP1/COL5A1/GEM/TNFAIP3/FLNA/POSTN/VCAM1/ECM1/VIM/MCM7/FSTL1/TGFBI/SERPINH1/THY1/TPM4/NID2/GADD45B",0.643551836150722
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",162,-0.512046578579499,-1.81725416192295,3.15859928201972e-06,1.75477737889984e-05,1.1335633460357e-05,3372,"tags=38%, list=18%, signal=31%","LAMB3/B4GALT1/ITGB4/CAP1/SDC3/SYK/MYH9/YWHAH/CDH11/MPZL1/INSIG1/CERCAM/NEGR1/MAPK14/FBN1/RHOF/CD99/VASP/GNAI1/ITGA2/SKAP2/ACTG1/CLDN5/SGCE/PTK2/ARPC2/WNK4/CD34/HRAS/BMP1/CALB2/MADCAM1/ADAM15/PPP2R2C/TUBG1/CD86/SHC1/MMP9/AMIGO2/SORBS3/EPB41L2/PLCG1/IKBKG/ZYX/GTF2F1/SRC/ACTC1/CNN2/LAYN/VCAM1/ACTN1/PFN1/GNAI2/PTPRC/KCNH2/TGFBI/ACTB/THY1/MSN/FLNC/RAC2",0.627256739718528
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",143,-0.519300383418761,-1.79819918168822,8.73266374379161e-06,4.36633187189581e-05,2.82059355569743e-05,1651,"tags=27%, list=9%, signal=25%","NPFFR2/CSF3R/SPHK1/TACR1/LDLR/APLNR/IL4R/SLC31A2/NAMPT/RGS1/HAS2/GPR183/PIK3R5/TNFRSF1B/KCNA3/CSF1/HBEGF/P2RX4/MARCO/ITGB3/RIPK2/IL10RA/PTPRE/RASGRP1/PTGER4/RELA/CCR7/CMKLR1/LCK/SLAMF1/VIP/ADORA2B/LCP2/RHOG/CDKN1A/TNFSF15/CD48/IL18/CSF3",0.593325476396405
