"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"tgu00071","Fatty acid degradation",27,0.638821523723865,1.9880440411281,0.000463178224945401,0.0164891448080563,0.0101883230803077,2321,"tags=56%, list=22%, signal=43%","100223716/100224317/115492591/100229545/100231239/100217978/100229295/100226785/100217590/100229287/100232428/100221425/100231849/100228952/100222209",0.49849310876659
"tgu00380","Tryptophan metabolism",29,0.599042220091383,1.94719640198313,0.000906543596993471,0.0268941267108063,0.0166173597892447,1898,"tags=45%, list=18%, signal=37%","100223716/100231239/100223564/100217978/100228964/100223806/100222327/100223841/100222753/100226378/100226130/100226623/100221425",0.477270815362862
"tgu04060","Cytokine-cytokine receptor interaction",110,-0.530359502659147,-1.81274294472087,9.15576906606459e-06,0.000814863446879749,0.000503488334888525,1181,"tags=28%, list=11%, signal=25%","100229955/100228892/115495927/100226664/100225461/751997/100227485/100226994/100222733/100229496/115490717/100227247/100227213/115498274/100231454/100220482/100220619/100224578/100499187/115498058/100217694/100219851/115495411/100226174/100499188/100231136/100231177/100228054/100232487/100217637/115490767",0.593325476396405
"tgu04820","Cytoskeleton in muscle cells",153,-0.509871283432898,-1.8104390994936,5.25817950450273e-06,0.000814863446879749,0.000503488334888525,1816,"tags=33%, list=17%, signal=28%","100223323/100231330/100222467/100225445/100230537/100225904/100229110/100218522/100232707/100224610/100190595/100221336/100218909/100223951/100224039/100232593/100232006/100226120/751974/100229240/100229138/100220915/115497627/100232516/100225004/100220114/100190581/100229364/100192321/100219276/100227860/100225837/100190512/100218446/100230618/100219142/100226539/100227131/100228265/100220559/100226733/100218347/100229664/100221802/100222022/100228450/100224625/751978/100190669/100224787/100223766",0.610526878385931
"tgu00280","Valine, leucine and isoleucine degradation",35,0.529357941182819,1.72859216281135,0.00298567373421708,0.0624591426577608,0.0385922940288197,2157,"tags=37%, list=20%, signal=30%","100223716/100221068/100231239/100217978/100229803/100227137/100217934/100217590/100226750/100224473/100232428/100221425/100231849",0.431707695803346
"tgu04810","Regulation of actin cytoskeleton",167,-0.478330463167272,-1.71352660151256,1.60640336905054e-05,0.000953132665636651,0.000588922206029542,2361,"tags=38%, list=22%, signal=30%","100217811/105760975/100219878/100230947/100226590/100218159/100230189/100218810/100219509/100220858/100222058/100227412/100226729/100223985/100217634/100231330/116806609/100231910/100227771/100227203/100222467/100225491/100223722/100225544/100220023/100221336/100219414/100222132/100221243/100232593/100232455/100190361/100229042/100217532/100225119/100223379/100229955/100221659/100190509/115497627/100219601/100221423/100226504/105760946/100226539/100225012/100229694/100219125/100227812/100229450/100221879/100224188/100222072/100220676/100190752/100218823/751978/100230914/100232349/115497178/100218311/100230090/100223766",0.575610261071129
"tgu04517","IgSF CAM signaling",211,-0.458888931335704,-1.68961982934212,2.49657505246048e-05,0.00111097589834491,0.000686450481121545,1864,"tags=29%, list=18%, signal=25%","115498221/115496848/100230728/100232227/100231910/100227771/100222467/100230757/100230229/100227941/100227852/100221400/100226597/100221243/100232455/100229042/100226960/100223739/100217532/751974/100221659/100190509/115497627/100227380/100190348/100218239/100231632/100219392/100231154/100224705/100231962/115498421/100218952/100221297/100229697/100220070/100226539/100231628/105758864/100227812/100226734/100224836/100217642/115497643/100221879/100228220/100224188/100229710/105760858/100222135/100227859/115498331/100218823/751978/100230914/100227442/100232581/100228738/115493450/115497178/100219581/100225606",0.575610261071129
"tgu00770","Pantothenate and CoA biosynthesis",13,0.658948891475528,1.68762175481811,0.0211589889351649,0.231017658185402,0.142741334753698,1077,"tags=38%, list=10%, signal=35%","100228551/100224765/100220803/100217978/100224054",0.352487857583619
"tgu04514","Cell adhesion molecule (CAM) interaction",79,-0.505375785503062,-1.65963732664757,0.00173916229298411,0.0442244125930245,0.0273254076411786,1384,"tags=29%, list=13%, signal=25%","100232593/100229042/100228605/100229800/100228660/100225996/100218239/100232284/115498421/105758938/115496262/100229697/100222727/100232311/100232188/100224836/100228668/105759517/105759351/100218628/100221881/100222426/115493450",0.45505986738723
"tgu05100","Bacterial invasion of epithelial cells",65,-0.500255427088167,-1.60628509306871,0.00464604102767096,0.0751813911750392,0.0464531248791055,1238,"tags=25%, list=12%, signal=22%","100228455/100217532/100221659/100190509/115497627/100230082/100227386/100226451/100229782/100227812/100229292/100227293/100228504/100224188/751978/115497178",0.407017918923954
"tgu00030","Pentose phosphate pathway",17,-0.648668595681489,-1.58258222032084,0.0220634842087182,0.231017658185402,0.142741334753698,1330,"tags=35%, list=13%, signal=31%","100534626/100232597/100220154/115497715/100229947/100220560",0.352487857583619
"tgu04520","Adherens junction",72,-0.492033773202512,-1.58201687715543,0.00369921751278931,0.0658460717276497,0.0406850118753665,1408,"tags=25%, list=13%, signal=22%","100227395/100221243/100231106/100223739/100228376/115497627/100229800/100227386/100220619/100227812/100221879/100228220/100222135/100231256/751978/100222426/100230090/100223766",0.431707695803346
"tgu00310","Lysine degradation",42,0.455871576829977,1.57054764233057,0.0146147551582749,0.200109724474841,0.12364392139154,688,"tags=21%, list=7%, signal=20%","100223371/100223716/100230503/100222251/100231239/100217978/100225647/100228964/100231131",0.380730400722792
