"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0034976","response to endoplasmic reticulum stress",48,0.710510900428269,2.21373376059634,6.47335959957991e-07,0.000422485666906098,0.000250773250568799,834,"tags=25%, list=6%, signal=24%","EIF2AK3/ATF6/HSPA5/MAN1C1/HERPUD1/TMTC4/SELENOS/MAN1A1/DERL3/PDIA4/SEL1L/ERLEC1",0.659444398037935
"GO:0006091","generation of precursor metabolites and energy",121,-0.623056957574073,-2.190127131661,3.0901210185919e-10,6.46453317089426e-07,3.83712898131358e-07,3090,"tags=53%, list=21%, signal=42%","NDUFB6/GAPDH/SDHC/COQ10B/NDUFV1/NDUFB9/ETFDH/COQ10A/NDUFS2/SDHD/NDUFV3/SDHB/SUCLG1/NDUFS1/COX7B/LOC100226456/MTFR1/G6PD/MTFR1L/IREB2/NDUFS8/NDUFB3/NDUFB8/NDUFA10/PGAM1/ANTKMT/TPI1/RPIA/SUCLG2/NDUFA5/NDUFA8/ATP5PO/NDUFC2/COX7C/NDUFS7/COX7A2L/COX7A2/INPP5K/NDUFV2/IDH3B/ENO1/TALDO1/MDH1/PHKA2/MDH2/ACLY/PGD/GPI/PFKL/OGDH/DLST/NDUFAF1/PYGB/ATP5F1B/FDX1/PHKG1/ACO2/TKT/CYCS/IDH3A/PKM/PGK1/ALDOC/CS",0.814035837847908
"GO:0045333","cellular respiration",64,-0.681769577232802,-2.16623471680222,1.02129834103455e-07,0.000106827806472214,6.34093849297994e-05,3090,"tags=66%, list=21%, signal=52%","NDUFB6/SDHC/COQ10B/NDUFV1/NDUFB9/COQ10A/NDUFS2/SDHD/NDUFV3/SDHB/SUCLG1/NDUFS1/COX7B/MTFR1/MTFR1L/IREB2/NDUFS8/NDUFB8/NDUFA10/ANTKMT/SUCLG2/NDUFA5/NDUFA8/ATP5PO/NDUFC2/COX7C/NDUFS7/COX7A2L/COX7A2/NDUFV2/IDH3B/MDH1/MDH2/ACLY/OGDH/DLST/NDUFAF1/ATP5F1B/ACO2/CYCS/IDH3A/CS",0.704975715167238
"GO:0009060","aerobic respiration",59,-0.679173643425741,-2.09151353634332,8.23933506668107e-07,0.000422485666906098,0.000250773250568799,3090,"tags=66%, list=21%, signal=52%","NDUFB6/SDHC/NDUFV1/NDUFB9/NDUFS2/SDHD/NDUFV3/SDHB/SUCLG1/NDUFS1/COX7B/MTFR1/MTFR1L/IREB2/NDUFS8/NDUFB8/NDUFA10/ANTKMT/SUCLG2/NDUFA8/ATP5PO/NDUFC2/COX7C/NDUFS7/COX7A2L/COX7A2/NDUFV2/IDH3B/MDH1/MDH2/ACLY/OGDH/DLST/NDUFAF1/ATP5F1B/ACO2/CYCS/IDH3A/CS",0.659444398037935
"GO:0006986","response to unfolded protein",30,0.719217892835139,2.06356634418316,7.65787496521914e-05,0.00942369083955202,0.00559358522502286,834,"tags=27%, list=6%, signal=25%","ATF6/HSPA5/HERPUD1/TMTC4/SELENOS/CREBRF/DERL3/ERLEC1",0.538434096309916
"GO:0034620","cellular response to unfolded protein",28,0.719544957276233,2.04003206254579,0.00017617883548742,0.0147426449535873,0.00875073709379709,834,"tags=25%, list=6%, signal=24%","ATF6/HSPA5/HERPUD1/TMTC4/SELENOS/DERL3/ERLEC1",0.518848077743792
"GO:0030968","endoplasmic reticulum unfolded protein response",24,0.758602995387021,2.02366213732061,8.28444282852237e-05,0.00962836355403822,0.00571507204915659,834,"tags=29%, list=6%, signal=28%","ATF6/HSPA5/HERPUD1/TMTC4/SELENOS/DERL3/ERLEC1",0.538434096309916
"GO:0046034","ATP metabolic process",39,-0.685058116896177,-2.0032761443432,0.000138469324466996,0.0131671739447707,0.00781559060953624,1743,"tags=44%, list=12%, signal=38%","PGAM1/ANTKMT/TPI1/ATP5PF/ATP5PO/ATP5MC3/ATP5F1C/ENO1/GPI/PFKL/ATP5PD/ATP5F1B/ATP5MC1/PKM/PGK1/ALDOC/AK1",0.518848077743792
"GO:0015980","energy derivation by oxidation of organic compounds",88,-0.603449478297406,-1.98277582648927,1.00976497826505e-06,0.000422485666906098,0.000250773250568799,2981,"tags=51%, list=20%, signal=41%","SDHC/COQ10B/NDUFV1/NDUFB9/COQ10A/NDUFS2/SDHD/NDUFV3/SDHB/SUCLG1/NDUFS1/COX7B/MTFR1/MTFR1L/IREB2/NDUFS8/NDUFB8/NDUFA10/ANTKMT/SUCLG2/NDUFA5/NDUFA8/ATP5PO/NDUFC2/COX7C/NDUFS7/COX7A2L/COX7A2/INPP5K/NDUFV2/IDH3B/MDH1/PHKA2/MDH2/ACLY/OGDH/DLST/NDUFAF1/PYGB/ATP5F1B/PHKG1/ACO2/CYCS/IDH3A/CS",0.643551836150722
"GO:0022904","respiratory electron transport chain",31,-0.7053519697364,-1.97918289347592,4.27043753323443e-05,0.00687211947655879,0.00407905847328268,3799,"tags=84%, list=26%, signal=62%","COX6A1/UQCR11/NDUFS6/UQCR10/NDUFB6/SDHC/NDUFV1/NDUFB9/NDUFS2/SDHD/NDUFV3/SDHB/NDUFS1/COX7B/NDUFS8/NDUFB8/NDUFA10/NDUFA5/NDUFA8/NDUFC2/COX7C/COX7A2L/COX7A2/NDUFV2/NDUFAF1/CYCS",0.557332238758646
"GO:0022900","electron transport chain",36,-0.694123517090734,-1.96311444379519,3.93972607303699e-05,0.00686825578732781,0.00407676511759387,3799,"tags=81%, list=26%, signal=60%","COX6A1/UQCR11/NDUFS6/UQCR10/NDUFB6/SDHC/NDUFV1/NDUFB9/ETFDH/NDUFS2/SDHD/NDUFV3/SDHB/NDUFS1/COX7B/NDUFS8/NDUFB3/NDUFB8/NDUFA10/NDUFA5/NDUFA8/NDUFC2/COX7C/COX7A2L/COX7A2/NDUFV2/NDUFAF1/FDX1/CYCS",0.557332238758646
"GO:0035966","response to topologically incorrect protein",35,0.661451444035473,1.95285099516257,0.000266285977821395,0.0192093195035296,0.0114020045422876,834,"tags=23%, list=6%, signal=22%","ATF6/HSPA5/HERPUD1/TMTC4/SELENOS/CREBRF/DERL3/ERLEC1",0.49849310876659
"GO:0042773","ATP synthesis coupled electron transport",28,-0.702831799038879,-1.94413940125666,0.000362256268019578,0.0216525746484845,0.0128522384381643,3799,"tags=86%, list=26%, signal=64%","COX6A1/UQCR11/NDUFS6/UQCR10/NDUFB6/SDHC/NDUFV1/NDUFB9/NDUFS2/SDHD/NDUFV3/NDUFS1/COX7B/NDUFS8/NDUFB8/NDUFA10/NDUFA8/NDUFC2/COX7C/COX7A2L/COX7A2/NDUFV2/NDUFAF1/CYCS",0.49849310876659
"GO:0009144","purine nucleoside triphosphate metabolic process",47,-0.644529158980721,-1.93735689390909,6.32173914078322e-05,0.00826567392657406,0.00490622542035125,1743,"tags=38%, list=12%, signal=34%","PGAM1/ANTKMT/TPI1/ATP5PF/ATP5PO/ATP5MC3/ATP5F1C/ENO1/GPI/PFKL/ATP5PD/ATP5F1B/ATP5MC1/PKM/SAMHD1/PGK1/ALDOC/AK1",0.538434096309916
"GO:0009141","nucleoside triphosphate metabolic process",55,-0.623325940247414,-1.92600279680036,4.6970258872061e-05,0.00701869868288226,0.00416606294920896,2299,"tags=40%, list=16%, signal=34%","LOC100226456/ATP5PB/CAD/PGAM1/ANTKMT/TPI1/ATP5PF/ATP5PO/ATP5MC3/ATP5F1C/ENO1/GPI/PFKL/ATP5PD/ATP5F1B/ATP5MC1/CTPS1/PKM/SAMHD1/PGK1/ALDOC/AK1",0.557332238758646
"GO:0006090","pyruvate metabolic process",28,-0.69562799636191,-1.92421258997361,0.000526194602992637,0.0255999792897813,0.0151952847726294,1743,"tags=43%, list=12%, signal=38%","PGAM1/TPI1/PDHA1/ENO1/GPI/PFKL/DLAT/LOC100223914/PKM/PGK1/ME1/ALDOC",0.477270815362862
"GO:0009185","ribonucleoside diphosphate metabolic process",20,-0.757113774240835,-1.92201086070775,0.000218172518440919,0.0165076489451037,0.00979838396773908,2474,"tags=60%, list=17%, signal=50%","AK2/LOC100226456/CMPK1/PGAM1/TPI1/ENO1/GPI/PFKL/ENTPD7/PKM/PGK1/ALDOC",0.518848077743792
"GO:0006099","tricarboxylic acid cycle",24,-0.725109338250227,-1.90907567168276,0.000508726796853065,0.0254164555704965,0.0150863512791489,2502,"tags=58%, list=17%, signal=48%","SDHD/SDHB/SUCLG1/IREB2/SUCLG2/IDH3B/MDH1/MDH2/ACLY/OGDH/DLST/ACO2/IDH3A/CS",0.477270815362862
"GO:0019646","aerobic electron transport chain",26,-0.700119309316165,-1.8972295732877,0.00056595346877918,0.0269085149246828,0.0159719874168928,3799,"tags=85%, list=26%, signal=63%","COX6A1/UQCR11/NDUFS6/UQCR10/NDUFB6/SDHC/NDUFV1/NDUFB9/NDUFS2/SDHD/COX7B/NDUFS8/NDUFB8/NDUFA10/NDUFA8/NDUFC2/COX7C/COX7A2L/COX7A2/NDUFV2/NDUFAF1/CYCS",0.477270815362862
"GO:0035967","cellular response to topologically incorrect protein",33,0.656916056592275,1.88917062474885,0.000710586021911636,0.0316286374008328,0.0187736930110617,834,"tags=21%, list=6%, signal=20%","ATF6/HSPA5/HERPUD1/TMTC4/SELENOS/DERL3/ERLEC1",0.477270815362862
"GO:0009205","purine ribonucleoside triphosphate metabolic process",45,-0.626583406541482,-1.88752107983904,0.000174689544535711,0.0147426449535873,0.00875073709379709,1743,"tags=38%, list=12%, signal=33%","PGAM1/ANTKMT/TPI1/ATP5PF/ATP5PO/ATP5MC3/ATP5F1C/ENO1/GPI/PFKL/ATP5PD/ATP5F1B/ATP5MC1/PKM/PGK1/ALDOC/AK1",0.518848077743792
"GO:0009134","nucleoside diphosphate catabolic process",18,-0.769923589500324,-1.87894392460731,0.000421063541285726,0.0225862802146087,0.0134064545885152,1743,"tags=50%, list=12%, signal=44%","PGAM1/TPI1/ENO1/GPI/PFKL/ENTPD7/PKM/PGK1/ALDOC",0.49849310876659
"GO:0009191","ribonucleoside diphosphate catabolic process",18,-0.769923589500324,-1.87894392460731,0.000421063541285726,0.0225862802146087,0.0134064545885152,1743,"tags=50%, list=12%, signal=44%","PGAM1/TPI1/ENO1/GPI/PFKL/ENTPD7/PKM/PGK1/ALDOC",0.49849310876659
"GO:0006119","oxidative phosphorylation",35,-0.671297943059953,-1.87197851380612,0.00010887290913159,0.0119874803106993,0.00711536423391064,3799,"tags=80%, list=26%, signal=59%","COX6A1/UQCR11/ATP5MF/NDUFS6/UQCR10/NDUFB6/SDHC/NDUFV1/NDUFB9/NDUFS2/SDHD/NDUFV3/NDUFS1/COX7B/NDUFS8/NDUFB8/NDUFA10/ANTKMT/NDUFA8/ATP5PO/NDUFC2/COX7C/COX7A2L/COX7A2/NDUFV2/NDUFAF1/ATP5F1B/CYCS",0.538434096309916
"GO:1902652","secondary alcohol metabolic process",22,-0.734128956987221,-1.87107393503523,0.000658696599948677,0.030622073046503,0.0181762303399835,2301,"tags=59%, list=16%, signal=50%","SC5D/IDH2/FDFT1/DHCR7/IDH3B/APOF/HSD17B7/IDH1/LSS/CETP/IDH3A/SCAP/INSIG1",0.477270815362862
"GO:0009132","nucleoside diphosphate metabolic process",23,-0.711252552107878,-1.84313034107581,0.000801932632450073,0.0343691879890709,0.020400391460724,2474,"tags=52%, list=17%, signal=43%","AK2/LOC100226456/CMPK1/PGAM1/TPI1/ENO1/GPI/PFKL/ENTPD7/PKM/PGK1/ALDOC",0.477270815362862
"GO:0055088","lipid homeostasis",31,-0.655431181005546,-1.83910761854353,0.000462907851504173,0.0242100806336683,0.0143702877815903,1109,"tags=26%, list=8%, signal=24%","NPC1L1/ACOX1/LAMTOR1/TLCD4/CETP/TLCD2/TLCD1/LOC100231669",0.49849310876659
"GO:0042775","mitochondrial ATP synthesis coupled electron transport",27,-0.701494732596967,-1.83475458110872,0.000342462185206455,0.0216525746484845,0.0128522384381643,3799,"tags=85%, list=26%, signal=63%","COX6A1/UQCR11/NDUFS6/UQCR10/NDUFB6/SDHC/NDUFV1/NDUFB9/NDUFS2/SDHD/NDUFV3/COX7B/NDUFS8/NDUFB8/NDUFA10/NDUFA8/NDUFC2/COX7C/COX7A2L/COX7A2/NDUFV2/NDUFAF1/CYCS",0.49849310876659
"GO:0009261","ribonucleotide catabolic process",23,-0.706001222301327,-1.82952211532145,0.000996028607645837,0.0366534985503931,0.0217562812095204,1743,"tags=43%, list=12%, signal=38%","PGAM1/TPI1/ENO1/GPI/PFKL/PDE2A/ENTPD7/PKM/PGK1/ALDOC",0.45505986738723
"GO:0009135","purine nucleoside diphosphate metabolic process",17,-0.751464419967023,-1.82001827892251,0.000927527679972434,0.0366110925755157,0.0217311104522699,2474,"tags=59%, list=17%, signal=49%","AK2/LOC100226456/PGAM1/TPI1/ENO1/GPI/PFKL/PKM/PGK1/ALDOC",0.477270815362862
"GO:0009179","purine ribonucleoside diphosphate metabolic process",17,-0.751464419967023,-1.82001827892251,0.000927527679972434,0.0366110925755157,0.0217311104522699,2474,"tags=59%, list=17%, signal=49%","AK2/LOC100226456/PGAM1/TPI1/ENO1/GPI/PFKL/PKM/PGK1/ALDOC",0.477270815362862
"GO:0046031","ADP metabolic process",17,-0.751464419967023,-1.82001827892251,0.000927527679972434,0.0366110925755157,0.0217311104522699,2474,"tags=59%, list=17%, signal=49%","AK2/LOC100226456/PGAM1/TPI1/ENO1/GPI/PFKL/PKM/PGK1/ALDOC",0.477270815362862
