"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",192,-0.617516020564865,-2.28418979384955,1e-10,5e-09,1.08493141426757e-09,2539,"tags=47%, list=20%, signal=38%","SLC25A20/ETFDH/UQCRQ/COX4I1/ATP6V0C/LRPPRC/GOT2/MFN2/COX6B1/NDUFS2/SDHD/UQCRC1/MRPS15/SDHB/ATP6V1D/SUCLG1/NDUFS3/COX7B/NDUFS1/ATP5PB/CYC1/IDH2/ATP6V1E1/ABCB7/NDUFS8/GPX4/NDUFA9/NDUFC1/NDUFB3/ETFA/NDUFB8/NDUFA2/VDAC1/ATP6V1F/NDUFB7/SLC25A5/SLC25A11/ATP5PF/ACAA1/UQCRFS1/NDUFA5/NDUFA8/COX7C/ATP5PO/NDUFC2/ATP5MC3/NDUFB5/NDUFS7/COX7A2L/COX5A/ATP5F1C/ATP6V0E1/COX7A2/NDUFB4/NDUFV2/IDH3B/ATP1B1/PDHA1/UQCRB/MDH1/MDH2/NDUFA6/MRPL15/DECR1/CPT1A/GPI/TCIRG1/DLST/OGDH/MTX2/ATP5PD/AIFM1/ATP5F1B/ATP5MC1/IDH1/FDX1/IMMT/TIMM17A/HCCS/VDAC2/DLAT/ACO2/SLC25A3/CYCS/IDH3A/RHOT1/SLC25A4/MPC1/CS/VDAC3",NA
"HALLMARK_PEROXISOME","HALLMARK_PEROXISOME",86,-0.601785356299887,-1.96814260755665,6.15649666852994e-06,5.98485545063034e-05,1.29863153764787e-05,2023,"tags=35%, list=16%, signal=29%","IDH2/ESR2/ACSL1/ACSL5/IDI1/SMARCC1/PEX14/ACAA1/CNBP/SOD2/CRAT/DHCR24/SLC35B2/EHHADH/ACOX1/PEX11A/PEX13/HRAS/ABCD2/ABCB9/PRDX1/IDH1/YWHAH/DIO1/CTPS1/ACOT8/FADS1/SLC25A4/SLC25A19/ELOVL5",0.610526878385931
"HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM",123,-0.555463950857325,-1.90959232042702,9.79512662551287e-07,2.40656413289038e-05,5.22191405644476e-06,1828,"tags=34%, list=14%, signal=29%","ACSL1/ACSL5/KMT5A/IDI1/METAP1/GSTZ1/SUCLG2/ACAA1/SMS/ADIPOR2/GPD1/S100A10/IDH3B/PDHA1/CRAT/MDH1/HSD17B7/DHCR24/MDH2/NTHL1/FASN/EHHADH/ACOX1/DECR1/CPT1A/DLST/ACAT2/HPGD/MGLL/IDH1/FMO1/HCCS/YWHAH/ACO2/GPD2/ALAD/H2AZ1/ACOT8/G0S2/ME1/TP53INP2/ELOVL5",0.643551836150722
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",188,-0.502400542360582,-1.85157428589336,1.92525130631231e-06,2.40656413289038e-05,5.22191405644476e-06,2561,"tags=32%, list=20%, signal=26%","POLD2/COPS5/MRPS18B/PTGES3/SSBP1/GOT2/RSL1D1/RUVBL2/SNRPD2/EIF4H/CYC1/MCM5/SF3B3/SNRPD1/CAD/ILF2/SMARCC1/VDAC1/HDAC2/PSMD1/UBE2L3/CNBP/ERH/PSMD7/HNRNPA3/COX5A/PSMD8/SRM/PPIA/EIF1AX/EIF4E/EIF4G2/PSMD14/NOP56/RAN/FBL/IARS1/EIF2S1/KPNB1/FAM120A/MRPL23/EIF3J/YWHAE/MCM7/CCT2/YWHAQ/PSMA4/G3BP1/CTPS1/PPM1G/EPRS1/SNRPA/SLC25A3/H2AZ1/PA2G4/ABCE1/SERBP1/PGK1/EIF2S2/VDAC3",0.627256739718528
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",178,-0.50672868234965,-1.83661331301235,1.75151379938065e-06,2.40656413289038e-05,5.22191405644476e-06,1321,"tags=28%, list=10%, signal=25%","CD9/PSAT1/PSMD13/GOT1/DHCR7/CYP51A1/ACTR3/ABCF2/LDLR/UCHL5/ADIPOR2/PPIA/PNO1/ENO1/PSMD14/NFYC/DHCR24/EGLN3/PFKL/ACLY/SLC2A1/GPI/NHERF1/PITPNB/PPA1/IFI30/PRDX1/ATP5MC1/PSME3/IDH1/UNG/PSMA4/IMMT/CCNG1/CYB5B/TMEM97/EPRS1/BCAT1/TFRC/PGK1/SCD/EIF2S2/FADS1/GCLC/ME1/STARD4/INSIG1/PIK3R3/ELOVL5",0.643551836150722
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS",173,-0.493083226353598,-1.78350963837559,7.1818265407564e-06,5.98485545063034e-05,1.29863153764787e-05,3125,"tags=49%, list=25%, signal=37%","UQCR10/DGAT1/MTCH2/PEMT/CIDEA/NMT1/ACADS/DLD/ALDOA/NDUFAB1/SAMM50/SDHC/PTCD3/DRAM2/NKIRAS1/SOD1/ELOVL6/SLC19A1/UQCRQ/UCK1/YWHAG/MYLK/COQ5/HADH/STOM/UQCRC1/AGPAT3/AK2/SDHB/SUCLG1/NDUFS3/COX7B/ANGPT1/CYC1/CMPK1/CHUK/GPX4/PGM1/GPAM/HSPB8/PREB/PEX14/NDUFB7/RTN3/NDUFA5/ATP5PO/SCARB1/DHCR7/SLC5A6/ADIPOR2/BAZ2A/TALDO1/CRAT/RNF11/PFKFB3/SSPN/MDH2/SLC25A1/PFKL/ACLY/ACOX1/MRPL15/DECR1/AIFM1/FZD4/MGLL/ENPP2/CAVIN1/IDH1/IMMT/LPCAT3/RAB34/DLAT/SQOR/ACO2/TKT/GPD2/GADD45A/ITSN1/SLC25A10/IDH3A/CAVIN2/ME1/PLIN2/CS",0.610526878385931
"HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN",78,0.47929068902452,1.60289843435357,0.00342015646325972,0.0190008692403318,0.00412292798744528,1226,"tags=18%, list=10%, signal=16%","IGFBP2/IRS4/ZBTB16/YPEL1/SERPINA10/FGFR3/C5/ABCB11/PLAG1/RSAD2/TSHB/SLC29A3/CPB1/CHST2",0.431707695803346
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",39,-0.551770156546904,-1.58711434738741,0.0150174285148839,0.0536336732674426,0.0116377713980823,2296,"tags=44%, list=18%, signal=36%","NDUFS2/G6PD/TXNRD1/LAMTOR5/ATOX1/GPX4/FES/GCLM/SOD2/NDUFB4/STK25/PRNP/NDUFA6/PRDX1/GLRX2/PTPA/GCLC",0.380730400722792
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",134,-0.451542849955751,-1.58395942125347,0.00127554683830825,0.00911104884505895,0.00197697262178615,1841,"tags=28%, list=15%, signal=24%","PTEN/TGFBI/GNAI2/SGCE/CTNND1/SDC3/MPZL1/PFN1/PPP2R2C/INPPL1/ADAM15/SYMPK/CRAT/RAC2/FLNC/SORBS3/MYH10/RHOF/ACTN4/ARPC2/SRC/CTNNA1/CDH4/ACTB/HRAS/ADRA1B/LAMB3/ACTN1/NEGR1/YWHAH/MVD/AMIGO2/DLG1/INSIG1/ACTG1/PIK3R3/SHC1",0.45505986738723
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS",60,-0.508177383169227,-1.56805527425182,0.00483540574886031,0.0220045142089658,0.00477467774420084,1686,"tags=38%, list=13%, signal=33%","IDI1/FDFT1/TP53INP1/CD9/DHCR7/CYP51A1/LDLR/PDK3/PCYT2/HSD17B7/GUSB/FASN/ETHE1/ACSS2/STX5/ACAT2/LSS/TMEM97/MVD/SCD/ALDOC/STARD4/ACTG1",0.407017918923954
