"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"OXPHOS subunits","OXPHOS subunits",79,-0.674671151357488,-2.19316549139054,7.6163157697876e-09,6.70235787741309e-07,5.53185040121416e-07,3799,"tags=80%, list=26%, signal=59%","COX6A1/ATP5F1D/UQCR11/ATP5IF1/ATP5MF/NDUFS6/NDUFS5/UQCR10/NDUFAB1/NDUFB6/UQCRC2/SDHC/NDUFV1/ATP5F1A/NDUFB9/COX4I1/UQCRQ/NDUFB10/NDUFA11/NDUFS2/COX6B1/UQCRC1/SDHD/NDUFV3/SDHB/NDUFS3/NDUFS1/COX7B/ATP5PB/CYC1/NDUFS8/NDUFA9/NDUFB3/NDUFC1/NDUFB8/NDUFA2/NDUFA13/NDUFA10/NDUFB7/ATP5PF/UQCRFS1/NDUFA5/NDUFA8/ATP5PO/NDUFC2/COX7C/ATP5MC3/NDUFB5/NDUFS7/COX5A/ATP5F1C/COX7A2L/COX7A2/NDUFB4/NDUFV2/UQCRB/NDUFA6/ATP5PD/NDUFA12/ATP5F1B/ATP5MC1/HCCS/CYCS"
"CI subunits","CI subunits",37,-0.702091497849181,-1.95573068406723,2.57070606116552e-05,0.000754073777941887,0.000622381467440074,3500,"tags=81%, list=24%, signal=62%","NDUFS6/NDUFS5/NDUFAB1/NDUFB6/NDUFV1/NDUFB9/NDUFB10/NDUFA11/NDUFS2/NDUFV3/NDUFS3/NDUFS1/NDUFS8/NDUFA9/NDUFB3/NDUFC1/NDUFB8/NDUFA2/NDUFA13/NDUFA10/NDUFB7/NDUFA5/NDUFA8/NDUFC2/NDUFB5/NDUFS7/NDUFB4/NDUFV2/NDUFA6/NDUFA12"
"Mitochondrial ribosome","Mitochondrial ribosome",79,-0.587957057110847,-1.91128244550031,1.9309867933239e-05,0.000754073777941887,0.000622381467440074,4176,"tags=54%, list=29%, signal=39%","MRPL19/MRPS10/MRPL4/MRPL45/MRPL46/MRPS34/MRPL58/MRPL14/MRPL28/MRPS16/MRPS17/CHCHD1/MRPL21/PTCD3/MRPS18B/MRPL12/MRPS7/MRPS23/MRPS21/MRPL16/MRPS15/MRPL1/MRPS5/MRPS35/MRPS6/GADD45GIP1/MRPL54/MRPL24/MRPS31/MRPS26/MRPL13/MRPS14/MRPL22/MRPL30/MRPL18/MRPL53/MRPL40/MRPL15/MRPL57/MRPL23/MRPL42/MRPL47/DAP3"
"SLC25A family","SLC25A family",39,-0.650955063467224,-1.84472986013165,0.000281666305447568,0.00619665871984649,0.00511446712523215,1804,"tags=31%, list=12%, signal=27%","SLC25A47/SLC25A51/SLC25A11/SLC25A5/SLC25A21/SLC25A1/SLC25A30/SLC25A39/SLC25A3/SLC25A10/SLC25A4/SLC25A19"
"Lipid metabolism","Lipid metabolism",20,-0.721880305902595,-1.76992492370252,0.000975150142027108,0.0171626424996771,0.0141653389052359,1570,"tags=35%, list=11%, signal=31%","ACAA1/ACOT13/DBI/SLC25A1/FASN/EHHADH/LYPLA1"
"Fe-S-containing proteins","Fe-S-containing proteins",30,-0.658434074836629,-1.76784795679705,0.00142740470947961,0.0204315580663165,0.0168633673035388,2965,"tags=60%, list=20%, signal=48%","NDUFV1/ETFDH/DNA2/NDUFS2/SDHB/NDUFS1/NDUFS8/AIFM3/UQCRFS1/CISD1/NDUFS7/NDUFV2/NTHL1/GLRX5/GLRX2/FDX1/ACO2/CISD3"
"TCA cycle","TCA cycle",20,-0.712768674224703,-1.74758478798967,0.001625237573457,0.0204315580663165,0.0168633673035388,2502,"tags=60%, list=17%, signal=50%","SDHD/SDHB/SUCLG1/IDH2/SUCLG2/IDH3B/MDH2/OGDH/DLST/ACO2/IDH3A/CS"
"Pyruvate metabolism","Pyruvate metabolism",14,-0.740389128583906,-1.71352669738147,0.00479960539935684,0.0470292487042796,0.0388160067056853,1195,"tags=57%, list=8%, signal=53%","DLD/PDHX/PDP2/MPC2/PDK3/PDHA1/DLAT/MPC1"
"Small molecule transport","Small molecule transport",14,-0.737457120362033,-1.70674097596666,0.0053442328073045,0.0470292487042796,0.0388160067056853,1975,"tags=43%, list=14%, signal=37%","SLC8B1/VDAC1/MPC2/VDAC2/MPC1/VDAC3"
"Gluconeogenesis","Gluconeogenesis",7,-0.851875145544204,-1.66894875351204,0.00520239680490586,0.0470292487042796,0.0388160067056853,1662,"tags=86%, list=11%, signal=76%","SLC25A11/MPC2/MDH2/SLC25A1/SLC25A10/MPC1"
