"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"tgu01200","Carbon metabolism",75,-0.622464640532671,-1.98667216882291,1.27995667333437e-06,0.000227832287853517,9.60909012561427e-05,1210,"tags=43%, list=14%, signal=37%","100224460/101233932/100190753/100230152/100225534/100217791/100218937/100224627/100232597/100227621/100225079/100231891/100190381/100190484/100220560/100227594/100534626/100230333/100231122/100226824/100229811/100224916/100224772/100220748/100221470/100227287/100220154/100218728/100190682/100232264/115497715/100219269",0.643551836150722
"tgu01230","Biosynthesis of amino acids",40,-0.69271467153049,-1.98218291640099,2.0325135355332e-05,0.00177008554143607,0.000746554040164915,1184,"tags=45%, list=14%, signal=39%","101233932/100190753/100230152/100217791/100218937/100224627/100232597/100231891/100220560/100220748/100227287/100220154/100225395/100218728/100190682/100232264/100218639/115497715",0.575610261071129
"tgu01040","Biosynthesis of unsaturated fatty acids",19,-0.781874158628311,-1.95062573872147,0.000157083468105487,0.00466014288712944,0.00196546913620328,1085,"tags=47%, list=12%, signal=42%","100232310/100225083/100230333/100190615/100222541/100223843/100229833/100225746/100230721",0.518848077743792
"tgu01212","Fatty acid metabolism",44,-0.664660726025266,-1.93225141972859,2.9832902383754e-05,0.00177008554143607,0.000746554040164915,1898,"tags=50%, list=22%, signal=39%","100231220/100226659/100226789/100231239/100227254/100228952/100217956/100230450/100232310/100225083/100226957/100229171/100230333/100226785/100190615/100222541/100222373/100223843/100224772/100229833/100225746/100230721",0.575610261071129
"tgu00190","Oxidative phosphorylation",77,-0.581765818559992,-1.89266652205019,7.99718182503042e-05,0.00284699672971083,0.00120075378344572,2432,"tags=64%, list=28%, signal=46%","100224240/100190122/105758798/100190396/100228353/100190640/100232751/751975/100190275/100231893/100229321/100221539/100190489/100231827/100190674/100225003/100218128/100228726/100219756/100220458/100190221/100222863/100230773/100231909/100190740/115490854/100190392/100190522/115491643/100227575/100190134/100190523/100190064/100223708/100190339/100190425/100232533/100190435/100229691/100190724/100190350/100219261/100190413/100231607/100232347/100220589/100190542/100221153/100221387",0.538434096309916
"tgu00020","Citrate cycle (TCA cycle)",21,-0.724569577439619,-1.84638298008053,0.000502751581245759,0.0111862226827181,0.00471791873470272,1714,"tags=71%, list=20%, signal=58%","100190674/100224467/115496732/100225534/100224627/100225079/100190381/100190484/100221719/100226824/100229811/100220748/100221470/100227287/100190682",0.477270815362862
"tgu00620","Pyruvate metabolism",24,-0.683496182795822,-1.77989665126541,0.00204023515258233,0.0279355274738196,0.0117821316605965,805,"tags=38%, list=9%, signal=34%","100225079/100190381/100190484/100224916/100224772/100221470/100220342/100218728/100219269",0.431707695803346
"tgu04141","Protein processing in endoplasmic reticulum",126,0.487227010147803,1.76261196540961,6.48022328407964e-05,0.00284699672971083,0.00120075378344572,772,"tags=21%, list=9%, signal=19%","100223479/100228575/100218236/100221810/100222173/100225681/100232043/100224462/100217667/100190272/100221840/100232070/100221388/100229535/100231514/100190262/100225821/100232562/100190479/100226016/100226844/100230889/100222913/100225468/100229623/100229780",0.538434096309916
"tgu00010","Glycolysis / Gluconeogenesis",29,-0.643424745669914,-1.75529459217008,0.00202775117980238,0.0279355274738196,0.0117821316605965,1513,"tags=52%, list=17%, signal=43%","100229569/100222163/101233932/100190753/100225079/100231891/100220560/100231122/100224916/100221811/100221470/100220342/100218728/100232264/115497715",0.431707695803346
"tgu01210","2-Oxocarboxylic acid metabolism",22,-0.704136785122374,-1.74965225803441,0.0016731024668145,0.0270738399175437,0.0114187049722028,956,"tags=45%, list=11%, signal=41%","100218937/100224627/100225079/100226824/100229811/100220748/100221470/100227287/100225395/100190682",0.45505986738723
