"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"activated","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","67/1297","144/4384",0.465277777777778,1.57268911162512,4.52902431672302,9.4783758372347e-06,0.000473918791861735,0.000399089508936198,"TGFBR3/VLDLR/GJA1/FYN/PLPP3/MET/DBP/DMAC2L/TGFBR2/RASA2/PIK3CD/MTA1/CELF2/BHLHE40/AGGF1/ANXA2/NEK7/RXRA/GRK5/IGF1R/DAB2/BCKDHB/ICA1/SYNJ2/TOGARAM1/PDGFRB/PRKCE/LAMC1/CITED2/NRP1/RGS4/MIOS/DYRK1A/PTPN21/IRS1/YTHDC1/CDKN1B/NIPBL/LPAR1/F3/FZD2/TJP1/SIPA1L1/NFIB/BMPR1A/KIT/ERBB2/SCAF8/FBLN5/NOTCH2/PDLIM5/MGMT/CAP2/INPP4B/ACVR2A/CDON/DDAH1/DLC1/CAV1/TENT4A/MYC/NR1D2/ZMIZ1/ATXN1/AKT3/ATRN/WDR37",67
"activated","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","51/1297","113/4384",0.451327433628319,1.52553544258022,3.66829163285596,0.000283526338488694,0.00708815846221734,0.00596897554713039,"ASNS/ATF6/XPOT/NABP1/H2AX/CNOT2/FKBP14/ERN1/DNAJB9/HSP90B1/GEMIN4/SPCS3/VEGFA/DKC1/MTREX/EXOSC10/ATF3/IGFBP1/SLC30A5/DCP1A/CEBPG/PAIP1/SKIC3/XBP1/EXOSC9/MTHFD2/DCP2/EXOSC2/CALR/RRP9/DNAJC3/BAG3/NFYA/HERPUD1/FUS/EIF2AK3/HSPA5/CHAC1/DDX10/GOSR2/DNAJA4/NFYB/EXOC2/POP4/SLC1A4/HYOU1/EIF4A1/WIPI1/DDIT4/PDIA6/NPM1",51
"suppressed","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","160/2073","200/4384",0.8,1.69184756391703,9.48451198386109,2.31813827814729e-22,1.15906913907365e-20,9.02853855699472e-21,"COX7C/ETFA/UQCRB/ATP5F1A/NDUFB5/MPC1/SLC25A5/LDHB/GRPEL1/SLC25A12/NDUFB1/NDUFB7/HADHA/COX7A2L/MRPS15/GPX4/TCIRG1/ATP5F1B/NDUFA5/FH/ATP6V0B/ABCB7/MGST3/NDUFS3/RHOT1/OGDH/CASP7/CYC1/PDHB/ATP1B1/TOMM22/SDHC/PMPCA/NDUFS4/COX17/ATP6V1C1/OXA1L/ATP5PD/PDHA1/SDHD/TIMM13/IDH1/MFN2/COX6A1/DLD/CYCS/MRPL34/NDUFA7/NDUFS1/ATP5MG/COX6B1/DLAT/SLC25A3/SLC25A4/CYB5A/AIFM1/ATP6V0E1/IMMT/ECHS1/NDUFA8/NDUFA6/SUCLG1/GPI/COX10/HCCS/ATP5PO/NDUFB3/VDAC1/UQCR10/NDUFV1/MRPS22/ISCU/ETFDH/ATP6V1E1/MRPS12/ATP5MF/NNT/NDUFB6/NDUFA4/NDUFS6/NDUFS7/ATP5MC3/MRPL15/TIMM17A/NDUFB8/LRPPRC/IDH2/UQCR11/HSPA9/UQCRC1/RETSAT/ETFB/ACADVL/COX5B/ATP6V1D/MRPS11/GOT2/PRDX3/NDUFA3/ATP5F1D/SUCLA2/VDAC3/MDH2/UQCRH/UQCRC2/ATP6V0C/IDH3A/NDUFB4/ATP5ME/DLST/ACADM/NDUFB2/NDUFC2/MTRR/TIMM10/ATP5F1C/ACAA1/MDH1/HTRA2/ATP5PF/COX7A2/PDHX/SLC25A20/NDUFV2/FDX1/OPA1/COX4I1/IDH3G/NDUFAB1/NDUFA2/CS/SDHB/IDH3B/UQCRQ/VDAC2/NDUFS8/HADHB/ATP6V1H/POLR2F/MRPL11/ATP5PB/NDUFA1/UQCRFS1/ATP5MC1/SDHA/NDUFS2/MRPL35/NDUFA9/SLC25A11/MTX2/ATP5F1E/ACO2/TIMM50/ATP6V1F/COX7B/CPT1A/NDUFC1/DECR1/COX5A/COX6C",160
"suppressed","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","143/2073","200/4384",0.715,1.51208876025084,7.02020536995369,1.09221652265149e-12,2.73054130662871e-11,2.12694796516342e-11,"RPS2/ETF1/HDAC2/POLE3/ABCE1/AIMP2/PSMD8/PSMB3/RSL1D1/PSMA2/RFC4/RPL34/ERH/RRM1/GNL3/SRSF7/CNBP/RPL6/GSPT1/PA2G4/SRSF3/NOP56/G3BP1/CCT4/CBX3/PSMA6/U2AF1/HSP90AB1/CYC1/ODC1/RPS5/COPS5/UBA2/EIF4H/FBL/DDX18/EIF3B/RPS6/XRCC6/NHP2/SNRPA/RPLP0/EPRS1/EIF3J/CAD/EIF2S2/SLC25A3/UBE2E1/IMPDH2/PSMB2/POLD2/MCM6/PABPC4/RPS10/KPNA2/CDC20/VDAC1/PSMD7/SNRPD2/EIF3D/HNRNPA3/SSBP1/PSMA4/YWHAQ/RUVBL2/SET/PSMC6/PWP1/TRA2B/MCM5/RPL18/SMARCC1/SNRPD3/SNRPA1/SRPK1/SYNCRIP/RACK1/YWHAE/RNPS1/GOT2/PRDX3/CTPS1/EIF2S1/VDAC3/RPS3/EIF1AX/MRPL23/PHB1/SNRPG/RPL22/PSMD14/H2AZ1/SF3A1/CCT7/CCT3/EXOSC7/HNRNPC/HDGF/RANBP1/PRPF31/EIF4E/UBE2L3/NOLC1/MRPS18B/MRPL9/HNRNPA2B1/CDK2/TXNL4A/NDUFAB1/ILF2/HNRNPR/KPNB1/RPL14/SERBP1/MCM7/SF3B3/ACP1/PCNA/PSMC4/FAM120A/PTGES3/TUFM/PPIA/SRM/NOP16/PSMD1/HNRNPD/HPRT1/LSM7/DHX15/PGK1/AP3S1/CCT2/SNRPD1/BUB3/PPM1G/RAN/CLNS1A/STARD7/COX5A/IARS1/ORC2/EIF4G2",143
"suppressed","HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS","133/2073","200/4384",0.665,1.40634828750603,5.5706132441258,1.63675199051777e-08,2.72791998419628e-07,2.12490609295289e-07,"BCL6/LAMA4/ADIPOQ/DGAT1/UBC/PFKL/LPCAT3/SQOR/AGPAT3/ITGA7/GRPEL1/ESYT1/NDUFB7/CHCHD10/JAGN1/SOD1/GPX4/COL4A1/PPARG/HADH/NDUFA5/ITIH5/PEX14/SLC19A1/MAP4K3/MGST3/NDUFS3/ADIPOR2/ACLY/CYC1/UCK1/TKT/CHUK/DDT/SCARB1/SCP2/SDHC/BCL2L13/ELOVL6/CRAT/PLIN2/IDH1/GPD2/ANGPT1/GPAT4/COX6A1/MYLK/SLC5A6/DLD/CAVIN1/SLC25A1/DRAM2/DHCR7/NMT1/MGLL/DLAT/FAH/AIFM1/IMMT/ECHS1/SUCLG1/RTN3/ATP5PO/UQCR10/ACOX1/NKIRAS1/MTCH2/PFKFB3/UBQLN1/CIDEA/SLC25A10/TALDO1/SNCG/RMDN3/SSPN/GPAM/MRPL15/COQ5/UQCR11/MIGA2/RAB34/UQCRC1/STOM/RETSAT/ETFB/COQ9/AK2/ACADS/RNF11/PRDX3/MDH2/PGM1/IDH3A/ACADM/CCNG2/HIBCH/ATP1B3/ENPP2/CDKN2C/YWHAG/ITSN1/PREB/GBE1/PHLDB1/HSPB8/CAT/CPT2/IDH3G/DNAJC15/ALDOA/NDUFAB1/APOE/CS/BAZ2A/ACADL/SDHB/CMPK1/UQCRQ/CAVIN2/C3/GADD45A/SAMM50/ATL2/PTCD3/APLP2/FZD4/ACO2/G3BP2/COX7B/PEMT/CD151/DECR1/ME1",133
"suppressed","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","129/2073","200/4384",0.645,1.3640520984081,4.99077639379465,4.00560197437101e-07,5.00700246796376e-06,3.90019139609809e-06,"ETF1/AURKA/PPA1/PFKL/SLC2A1/LTA4H/SKAP2/EDEM1/CCNF/SQLE/ADD3/CTH/FDXR/PSMC2/TPI1/ADIPOR2/ACLY/ARPC5L/RPN1/HSPA4/BCAT1/COPS5/GAPDH/SORD/ELOVL6/SERPINH1/SLC7A5/CCNG1/IDH1/CACYBP/PITPNB/TUBG1/PLK1/DHCR7/EPRS1/EIF2S2/NMT1/PSMA3/P4HA1/PDAP1/EEF1E1/IMMT/TFRC/TMEM97/SERP1/DHCR24/GPI/ELOVL5/MAP2K3/NFKBIB/BUB1/PSMA4/LDLR/HMBS/PSMC6/UCHL5/TOMM40/GSK3B/ACTR2/TXNRD1/HSPA9/M6PR/CXCR4/SEC11A/SC5D/SCD/ATP6V1D/EBP/PSMD12/CYB5B/FADS1/HMGCR/CTSC/PGM1/IGFBP5/GCLC/PSMD14/PNP/USO1/FGL2/ERO1A/NUP205/FKBP2/ABCF2/ACTR3/NFYC/GBE1/PLOD2/ENO1/NHERF1/UNG/PSMB5/PRDX1/ALDOA/EGLN3/PNO1/IFI30/CD9/ACACA/PSMC4/PPIA/PSAT1/GLA/GOT1/YKT6/ACSL3/CYP51A1/ATP5MC1/PSMG1/SLC37A4/PSMD13/RAB1A/G6PD/STARD4/HPRT1/PGK1/IDI1/NIBAN1/AK4/UFM1/PIK3R3/SLA/INSIG1/PSME3/SSR1/SHMT2/PHGDH/ME1/BTG2",129
"suppressed","HALLMARK_PEROXISOME","HALLMARK_PEROXISOME","68/2073","104/4384",0.653846153846154,1.38276002820142,3.74116425900054,0.000128185991441432,0.00128185991441432,0.000998501407017467,"DIO1/FDPS/ABCD2/TTR/ERCC3/SLC25A19/ALDH9A1/SOD1/CNBP/PEX14/SLC25A17/GNPAT/SCP2/ACSL5/MLYCD/CRAT/ISOC1/ACOT8/CTBP1/CDK7/IDH1/VPS4B/PEX11A/SLC25A4/YWHAH/ABCC8/DHCR24/ELOVL5/DHRS3/HSD11B2/ACOX1/FABP6/HSD17B4/ACSL1/SLC23A2/IDH2/SMARCC1/RETSAT/PEX5/FADS1/CTPS1/HAO2/TSPO/PEX11B/NUDT19/ACAA1/CLN6/LONP2/ABCB9/HSD3B7/CAT/EHHADH/ERCC1/PRDX1/TOP2A/ABCD3/PEX2/ABCB1/SLC35B2/PEX13/ESR2/IDI1/PEX6/SOD2/IDE/GSTK1/HRAS/SIAH1",68
"suppressed","HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION","60/2073","96/4384",0.625,1.32175590931018,3.01870152140698,0.00174700434959518,0.0145583695799598,0.0113402036728108,"PAM/DNM1L/COPB2/ARCN1/DST/GNAS/RER1/SOD1/TMED10/SNX2/AP1G1/SEC24D/CD63/TPD52/YIPF6/VPS45/AP2B1/RAB2A/VPS4B/VAMP7/OCRL/COPE/ZW10/SEC31A/STX12/ARFGEF2/IGF2R/SSPN/RAB14/COPB1/SCAMP3/NAPG/AP3B1/STX7/BET1/M6PR/MON2/AP2M1/ERGIC3/CTSC/SNAP23/SEC22B/USO1/RPS6KA3/STX16/RAB5A/ATP1A1/TMX1/AP2S1/ATP6V1H/GLA/YKT6/ANP32E/ARFGAP3/CLTC/CLTA/PPT1/KRT18/ARF1/AP3S1",60
"suppressed","HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS","114/2073","200/4384",0.57,1.20544138929088,2.81638820505283,0.00304177707966812,0.0217269791404866,0.0169241732252211,"PAM/COPB2/FUT8/AURKA/SAP30/MIOX/BPNT1/TPST1/HS6ST2/PRPS1/LHPP/FAM162A/ALDH9A1/SOD1/ADORA2B/GNPDA1/CTH/CASP6/PPFIA4/GFUS/TPI1/GUSB/PMM2/PYGL/PDK3/SDHC/SDC2/IDH1/NT5E/B4GALT2/SLC16A3/PKP2/DLD/AKR1A1/STC2/CHST12/PC/LCT/XYLT2/DEPDC1/P4HA1/CYB5A/SDC3/MERTK/PYGB/SDC1/GFPT1/B4GALT7/B3GAT3/RRAGD/SLC25A10/TALDO1/CHST1/GYS1/GALK2/NASP/PHKA2/CXCR4/GMPPA/KDELR3/COL5A1/KIF2A/MXI1/GPC3/GOT2/SLC25A13/MDH2/UGP2/HS2ST1/B4GALT4/PLOD1/MPI/TXN/GCLC/CLN6/MDH1/KIF20A/RARS1/ARPP19/ERO1A/MED24/PGAM1/CDK1/PLOD2/ENO1/ME2/CHPF/ABCB6/ALDOA/EGLN3/TGFBI/CACNA1H/PSMC4/B4GALT1/PPIA/HDLBP/GOT1/PGM2/SLC37A4/GAL3ST1/G6PD/IER3/IDUA/HAX1/PGK1/AK4/AGRN/EXT2/NDUFV3/AK3/ZNF292/PKM/ME1/PPP2CB",114
"suppressed","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","112/2073","199/4384",0.562814070351759,1.19024451732856,2.60121572241667,0.00574209044111075,0.0342216375141104,0.0266568544846755,"KIFAP3/WASL/AURKA/MYH10/FLNA/TTK/DYNLL2/RALBP1/MYO9B/NEDD9/DST/MAP1S/KIF3C/SSH2/CSNK1D/STAU1/ROCK1/KIF2C/CDC42BPA/CCNB2/ARHGDIA/LATS1/NIN/KIF20B/PCGF5/RHOF/KLC1/RAB3GAP1/MYH9/TBCD/TUBGCP5/KIF5B/SEPTIN9/SMC4/PREX1/CLASP1/ATG4B/EPB41L2/SORBS2/PLK1/MID1IP1/APC/PPP4R2/NEK2/TLK1/EPB41/ARHGAP5/WASF2/CLIP1/RASAL2/SOS1/ARAP3/BUB1/LMNB1/INCENP/GSN/OPHN1/ARF6/ARHGEF3/SHROOM1/BCAR1/BIRC5/LRPPRC/RAPGEF6/CD2AP/ARHGAP27/RACGAP1/PALLD/YWHAE/NUSAP1/KNTC1/DOCK2/PAFAH1B1/KIF11/HOOK3/ACTN4/HDAC6/CDC42EP4/CTTN/FARP1/ARHGEF7/CDC42/ITSN1/CDK1/MARK4/NET1/ARHGEF2/DLGAP5/SUN2/CYTH2/SMC3/TOP2A/CDC42EP2/DLG1/NUMA1/EZR/TIAM1/PXN/WASF1/CCDC88A/MARCKS/ABR/SPTAN1/CAPZB/CDC27/TUBGCP2/KATNA1/MID1/SYNPO/AKAP13/TPX2/PRC1",112
