"","Treatment"
"ME26",0.438356605023127
"ME23",-0.381909552735645
"ME32",-0.215357301590861
"ME7",0.28121095566224
"ME2",-0.190038886306328
"ME15",-0.0141781773312699
"ME53",-0.322295614791108
"ME47",-0.267256236753145
"ME52",-0.382550133871877
"ME30",-0.547723853144457
"ME11",-0.890783132340603
"ME13",-0.757144707713198
"ME34",-0.432889610121415
"ME3",-0.25398412506348
"ME5",-0.528136012398838
"ME17",0.376850771631584
"ME29",-0.21089923119877
"ME46",-0.171072094337236
"ME9",0.0763433755777606
"ME4",-0.395551023931809
"ME8",-0.116203969147948
"ME51",0.396582914751656
"ME10",0.497774609084371
"ME20",0.480476801125027
"ME28",0.0899947606592907
"ME42",-0.111762323799124
"ME48",0.219668842719442
"ME38",0.465690725914739
"ME18",0.413317571340514
"ME44",0.159532520947591
"ME25",0.289108241144254
"ME31",0.0890282227786096
"ME19",0.31434980330462
"ME27",0.30825968854276
"ME56",0.32332587705105
"ME33",0.546366585183201
"ME40",0.228533717972757
"ME54",0.314517769084932
"ME16",0.639606641320686
"ME39",0.371256080946106
"ME21",0.287374997521086
"ME36",0.298732300959892
"ME24",0.466747847938583
"ME43",0.327031944254062
"ME1",0.278470095640633
"ME35",0.335202994129406
"ME41",0.35003516737562
"ME49",0.312439396265216
"ME45",0.488700671313335
"ME50",0.421291130519324
"ME6",0.85569955837698
"ME22",0.5291875866019
"ME12",0.20349668620854
"ME55",0.607762358615895
"ME57",0.426146477980008
"ME14",0.0311652125449555
"ME37",-0.365879151568328
"ME0",-0.0940922342162206
