"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",192,-0.652645751113745,-2.39663081325139,1e-10,5e-09,1.03242161495479e-09,2492,"tags=52%, list=20%, signal=42%","MFN2/ETFDH/ATP5MF/ATP6V1E1/NDUFAB1/GOT2/NDUFB6/UQCRQ/UQCR10/UQCRC2/NDUFV1/ATP6V0C/SLC25A20/MRPS15/SDHD/ATP5ME/CYC1/SDHC/NDUFS2/COX4I1/NDUFS1/LRPPRC/ATP6V1F/ATP5PB/NDUFS4/SUCLG1/COX6B1/VDAC1/IDH2/SDHB/UQCRC1/NDUFA9/ABCB7/GPX4/NDUFS3/NDUFC1/COX7B/NDUFB7/NDUFS8/ETFA/NDUFB8/COX7C/SLC25A11/NDUFA2/NDUFB3/UQCRFS1/NDUFB5/ATP5F1A/NDUFC2/ACAA1/NDUFA8/IDH3B/SLC25A5/ATP5PO/ATP5MC3/NDUFS7/PDHA1/NDUFA5/ATP5F1C/NDUFB4/MDH1/ATP5PF/ATP1B1/NDUFV2/ATP6V0E1/COX7A2L/COX5A/MRPL15/AIFM1/TCIRG1/MTX2/OGDH/UQCRB/MDH2/DLST/CPT1A/DECR1/COX7A2/NDUFA6/GPI/TIMM17A/IDH1/ATP5PD/FDX1/ATP5F1B/HCCS/IMMT/DLAT/ATP5MC1/VDAC2/RHOT1/SLC25A3/CYCS/IDH3A/ACO2/SLC25A4/MPC1/CS/VDAC3",NA
"HALLMARK_PEROXISOME","HALLMARK_PEROXISOME",86,-0.593337473121806,-1.96856236368296,5.09503313228698e-06,4.37757580213012e-05,9.03900775844438e-06,1820,"tags=34%, list=14%, signal=29%","ACSL1/PEX14/TSPO/IDH2/HSD17B4/ACSL5/CNBP/ACAA1/DHCR24/SOD2/EHHADH/CRAT/PEX11A/ACOX1/PEX13/SLC35B2/ABCD2/IDH1/HRAS/CTPS1/ABCB9/DIO1/PRDX1/YWHAH/ACOT8/FADS1/SLC25A4/SLC25A19/ELOVL5",0.610526878385931
"HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM",123,-0.546868621542482,-1.89991075722627,5.25309096255614e-06,4.37757580213012e-05,9.03900775844438e-06,2200,"tags=39%, list=18%, signal=33%","MIX23/SDHD/KMT5A/SDHC/PTPRG/IDI1/ACSL1/SUCLG1/GSTZ1/HSD17B4/ACSL5/S100A10/METAP1/ADIPOR2/SMS/SUCLG2/ACAA1/DHCR24/IDH3B/GPD1/NTHL1/HSD17B7/PDHA1/EHHADH/CRAT/MDH1/ACOX1/FASN/MDH2/DLST/CPT1A/DECR1/MGLL/ACAT2/HPGD/IDH1/FMO1/HCCS/YWHAH/GPD2/G0S2/H2AZ1/ACOT8/ALAD/ACO2/ME1/ELOVL5/TP53INP2",0.610526878385931
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",178,-0.510424269604783,-1.85876638837829,6.47712584291794e-07,1.1554301601761e-05,2.38578214387295e-06,1558,"tags=29%, list=12%, signal=25%","SLC7A5/ABCF2/PSMD13/UCHL5/PSMB5/ADIPOR2/CD9/TPI1/LDLR/PSMD14/CACYBP/PPIA/DHCR24/PNO1/GOT1/PSAT1/ACTR3/NFYC/ACLY/ENO1/PFKL/EGLN3/SLC2A1/NHERF1/GPI/PITPNB/IFI30/IDH1/PPA1/PSME3/CYB5B/PSMA4/UNG/IMMT/PRDX1/ATP5MC1/CCNG1/EPRS1/TFRC/BCAT1/EIF2S2/GCLC/FADS1/SCD/ME1/TMEM97/INSIG1/PIK3R3/STARD4/PGK1/ELOVL5",0.659444398037935
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",188,-0.511859873498874,-1.85848745240927,6.93258096105657e-07,1.1554301601761e-05,2.38578214387295e-06,2092,"tags=28%, list=17%, signal=23%","SMARCC1/CYC1/SNRPD2/SNRPD1/RUVBL2/MCM5/PSMD1/SRM/VDAC1/ERH/SF3B3/UBE2L3/EIF4E/PSMD8/ILF2/CNBP/HDAC2/EIF1AX/PSMD7/PSMD14/NOP56/PPIA/HNRNPA3/FBL/RAN/EIF4G2/IARS1/EIF2S1/KPNB1/COX5A/FAM120A/AP3S1/MCM7/EIF3J/MRPL23/YWHAE/CCT2/CTPS1/YWHAQ/PSMA4/PPM1G/EPRS1/SNRPA/G3BP1/H2AZ1/SLC25A3/PA2G4/ABCE1/EIF2S2/SERBP1/PGK1/VDAC3",0.659444398037935
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS",173,-0.510143369634126,-1.83283974547538,2.07688894159961e-06,2.59611117699951e-05,5.36056258792004e-06,2764,"tags=45%, list=22%, signal=36%","SLC19A1/DLD/SAMM50/CMPK1/UQCR11/CIDEA/UCK1/SOD1/CHUK/HADH/NDUFAB1/UQCRQ/UQCR10/ELOVL6/MYLK/AGPAT3/PREB/AK2/CYC1/SDHC/STOM/PGM1/UBQLN1/DRAM2/ANGPT1/COQ5/SUCLG1/PEX14/DHCR7/SDHB/UQCRC1/GPX4/GPAM/NDUFS3/HSPB8/COX7B/NDUFB7/BAZ2A/ADIPOR2/SLC5A6/TALDO1/ATP5PO/RTN3/PFKFB3/SCARB1/NDUFA5/RNF11/ACLY/CRAT/SLC25A1/PFKL/MRPL15/AIFM1/ACOX1/SSPN/MDH2/FZD4/DECR1/MGLL/ENPP2/LPCAT3/CAVIN1/IDH1/SQOR/IMMT/DLAT/RAB34/ITSN1/GPD2/TKT/GADD45A/SLC25A10/CAVIN2/IDH3A/ACO2/ME1/PLIN2/CS",0.627256739718528
"HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN",76,0.509297488810265,1.67784463176381,0.000741454185950352,0.0052961013282168,0.00109356189724836,1149,"tags=18%, list=9%, signal=17%","IGFBP2/IRS4/ZBTB16/YPEL1/TSHB/ABCB11/SERPINA10/C5/FGFR3/PLAG1/SLC29A3/CHST2/RSAD2/CPB1",0.477270815362862
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",39,-0.547055585792758,-1.60938647051511,0.0176577983809059,0.0630635656460926,0.0130216376578293,2483,"tags=44%, list=20%, signal=35%","LAMTOR5/SOD1/G6PD/NDUFS2/FES/GPX4/GCLM/ATOX1/SOD2/NDUFB4/STK25/PRNP/NDUFA6/GLRX2/PTPA/PRDX1/GCLC",0.352487857583619
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",134,-0.459983029220046,-1.60777961982121,0.000957538988060051,0.00598461867537532,0.00123572993554392,2421,"tags=34%, list=19%, signal=28%","HADH/PLCG1/PECAM1/PARD6G/SKAP2/ZYX/GNAI2/MAPK14/PPP2R2C/CTNND1/MPZL1/CNN2/SGCE/TGFBI/IKBKG/INPPL1/SDC3/PTEN/SYMPK/PFN1/ADAM15/SORBS3/RAC2/CRAT/NEGR1/RHOF/MYH10/FLNC/ARPC2/SRC/ACTN4/ACTB/CTNNA1/CDH4/LAMB3/HRAS/ACTN1/ADRA1B/MVD/YWHAH/AMIGO2/ACTG1/INSIG1/DLG1/PIK3R3/SHC1",0.477270815362862
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS",60,-0.505283652828844,-1.55618993689411,0.00752279047583733,0.034194502162897,0.00706062862911863,1390,"tags=32%, list=11%, signal=28%","CD9/TP53INP1/LDLR/HSD17B7/PDK3/PCYT2/GUSB/FASN/ACSS2/ETHE1/STX5/ACAT2/LSS/MVD/SCD/ACTG1/TMEM97/STARD4/ALDOC",0.407017918923954
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",105,0.421802508618575,1.48721519240433,0.00671441929887932,0.0335720964943966,0.0069321116160326,1103,"tags=17%, list=9%, signal=16%","EIF2AK3/ATF6/HSPA5/HSP90B1/HERPUD1/DNAJC3/XBP1/DNAJB9/SPCS3/WIPI1/CALR/IGFBP1/EXOSC9/PDIA6/NFYB/NABP1/BAG3/HYOU1",0.407017918923954
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",169,-0.403375716087677,-1.44937600823774,0.00484222617783104,0.0269012565435058,0.00555468774499187,2461,"tags=25%, list=20%, signal=21%","EZH2/MLH1/POLD2/SPC25/POLE/DLGAP5/AK2/CENPE/MCM5/ILF3/RPA3/DNMT1/GINS3/BUB1B/PRPS1/BRMS1L/RBBP7/ASF1A/TBRG4/TK1/NOP56/NCAPD2/PAN2/SNRPB/NAA38/SPAG5/LYAR/RAN/CTCF/EIF2S1/CCNB2/JPT1/GINS4/MCM7/CTPS1/PPM1D/LMNB1/UNG/WEE1/H2AZ1/TFRC/PA2G4/TUBB",0.407017918923954
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",136,0.392779232229912,1.42060134309251,0.0117605701647939,0.0490023756866413,0.0101182223686047,1524,"tags=23%, list=12%, signal=20%","F2RL1/IL6ST/NFIL3/TANK/FOSL2/IRF1/SQSTM1/EFNA1/TGIF1/SLC16A6/KLF4/CEBPD/PLAU/ZBTB10/ID2/IRS2/HES1/TNFRSF9/RCAN1/DRAM1/PANX1/IL7R/MYC/VEGFA/PNRC1/CFLAR/RIGI/TRAF1/SAT1/MXD1/EGR1",0.380730400722792
