"","Treatment"
"ME20",-0.119967310504958
"ME56",-0.124856967864149
"ME57",0.11760918758363
"ME8",-0.379674834972592
"ME25",-0.123291106905356
"ME36",0.0862047109952166
"ME33",0.239378721400632
"ME38",0.273231481302209
"ME3",-0.705382768558989
"ME11",-0.582793628884196
"ME35",-0.237712858011208
"ME60",-0.338493241058854
"ME1",-0.260446162495511
"ME18",0.13288042952225
"ME14",-0.220431388098012
"ME37",-0.0826300495828843
"ME54",0.245222115479301
"ME29",-0.105008792304351
"ME28",0.498278524278954
"ME50",0.116835176042691
"ME32",-0.139013645157044
"ME49",-0.171274324254452
"ME6",-0.377843149419197
"ME59",-0.539196335240213
"ME21",-0.292472936548521
"ME31",0.0279224377013334
"ME24",-0.55549761937924
"ME48",-0.152400552263944
"ME58",-0.494161931690734
"ME17",0.171080424317679
"ME34",0.331594552338635
"ME23",-0.0512182537144444
"ME4",0.0922968145975464
"ME12",0.279317905235158
"ME53",-0.429216181805475
"ME19",-0.137723309474737
"ME30",0.0750410359225875
"ME45",0.196018289314053
"ME39",-0.153424578457387
"ME40",0.155513013151559
"ME42",0.0630895937822016
"ME7",0.357489958731956
"ME26",0.562517215559669
"ME5",0.449748383637504
"ME10",0.250269938364338
"ME9",0.0957204906909917
"ME44",-0.0144114483539452
"ME46",0.466335368640591
"ME2",0.428995969882287
"ME15",0.717423200109066
"ME13",0.713047590833127
"ME41",0.479737601262978
"ME43",0.173910495465723
"ME61",0.203070451872567
"ME47",0.122998733138468
"ME22",0.551431658488263
"ME52",0.519614845051911
"ME16",0.122197959609884
"ME27",0.0396511739078573
"ME51",0.0774688161496369
"ME55",0.220153711403082
"ME0",-0.0655178431948791
