"","Treatment","CORT"
"ME20",-0.119967310504957,0.219497246058566
"ME56",-0.124856967864149,0.472480804203551
"ME57",0.11760918758363,0.136925541081394
"ME8",-0.379674834972592,0.266348836778739
"ME25",-0.123291106905356,0.161635951854387
"ME36",0.0862047109952166,0.233272072664357
"ME33",0.239378721400632,-0.0451275410449965
"ME38",0.273231481302209,0.0358958788726692
"ME3",-0.705382768558989,0.444551541946978
"ME11",-0.582793628884196,0.581278173875407
"ME35",-0.237712858011208,0.32643772927771
"ME60",-0.338493241058854,0.128373572372738
"ME1",-0.26044616249551,0.44620553110045
"ME18",0.13288042952225,0.291344791093386
"ME14",-0.220431388098012,-0.173186295200482
"ME37",-0.0826300495828843,-0.0401731720443551
"ME54",0.245222115479301,0.0804341690118243
"ME29",-0.105008792304351,0.458863793423118
"ME28",0.498278524278954,0.187079811748753
"ME50",0.116835176042691,0.201204679344705
"ME32",-0.139013645157044,0.0896055080745734
"ME49",-0.171274324254452,-0.1889421363353
"ME6",-0.377843149419197,0.124510516674837
"ME59",-0.539196335240213,0.181966298642142
"ME21",-0.292472936548521,-0.0532319758505174
"ME31",0.0279224377013335,-0.422394594182996
"ME24",-0.55549761937924,0.24342180348373
"ME48",-0.152400552263945,-0.300426090096262
"ME58",-0.494161931690734,0.0759588336960408
"ME17",0.171080424317679,-0.137741989610961
"ME34",0.331594552338635,-0.261994594102997
"ME23",-0.0512182537144444,-0.0521055772834077
"ME4",0.0922968145975464,-0.402503043950267
"ME12",0.279317905235158,-0.462154390184656
"ME53",-0.429216181805475,-0.181114550642001
"ME19",-0.137723309474737,-0.121345850720815
"ME30",0.0750410359225874,-0.3335386729211
"ME45",0.196018289314053,-0.237291395935367
"ME39",-0.153424578457387,-0.239014465600104
"ME40",0.155513013151559,-0.0693715124630791
"ME42",0.0630895937822016,-0.328933089850061
"ME7",0.357489958731956,-0.389953016742096
"ME26",0.562517215559669,-0.619020673044043
"ME5",0.449748383637504,-0.594262075086309
"ME10",0.250269938364338,-0.514556550119038
"ME9",0.0957204906909917,0.106640265552004
"ME44",-0.0144114483539452,0.0915387860006547
"ME46",0.466335368640591,-0.117132019193048
"ME2",0.428995969882287,-0.307677078849209
"ME15",0.717423200109065,-0.120595591085805
"ME13",0.713047590833127,-0.232603856318165
"ME41",0.479737601262978,-0.222133112114588
"ME43",0.173910495465723,-0.151318408889548
"ME61",0.203070451872567,0.25244288186941
"ME47",0.122998733138468,0.0326657488466617
"ME22",0.551431658488263,-0.168143160375896
"ME52",0.519614845051911,-0.138154291199184
"ME16",0.122197959609884,-0.156781803726214
"ME27",0.0396511739078573,-0.0635730793353071
"ME51",0.0774688161496369,-0.288910310759983
"ME55",0.220153711403082,-0.221314605124267
"ME0",-0.0655178431948791,-0.192624068725538
