"","Treatment","CORT"
"ME20",0.614408631317143,0.35246177345221
"ME56",0.599942109296079,0.0354093122015435
"ME57",0.621435115611272,0.564856359795351
"ME8",0.0987119922200542,0.256330806736837
"ME25",0.604559522069614,0.495990569048855
"ME36",0.717823134304784,0.322273809459311
"ME33",0.309400873157859,0.850157714215066
"ME38",0.243777982447056,0.880573322226905
"ME3",0.000512520767860934,0.049546389096104
"ME11",0.00700259026916914,0.00718749128821272
"ME35",0.312881309273691,0.160109216093842
"ME60",0.144340158754695,0.58962594903136
"ME1",0.267416999978505,0.0486046972290802
"ME18",0.576515402201062,0.212657004518693
"ME14",0.350364509155117,0.465275309727609
"ME37",0.729093322655007,0.866458297945266
"ME54",0.297378206297714,0.736043280109704
"ME29",0.659504710333553,0.0418448226341816
"ME28",0.0253502220587404,0.429652850640777
"ME50",0.623748365375349,0.394977534574541
"ME32",0.558878789597297,0.707152909619466
"ME49",0.470291891960409,0.424990903929737
"ME6",0.100483682369932,0.600962467978962
"ME59",0.0141526807903693,0.442591965959988
"ME21",0.210809944338988,0.82362153263555
"ME31",0.906975259656786,0.063552897041433
"ME24",0.0109966444754278,0.301051466916867
"ME48",0.521240135302816,0.198089539777777
"ME58",0.026782405552113,0.750268465963178
"ME17",0.470802161183145,0.562515787471904
"ME34",0.153224683885539,0.264480116755304
"ME23",0.830198971609862,0.827299331863102
"ME4",0.698745754973458,0.0785022195420549
"ME12",0.233011969619451,0.0402127466414002
"ME53",0.0589564476751898,0.444766794873637
"ME19",0.562569291303196,0.610315882953684
"ME30",0.75319553515038,0.150683439145607
"ME45",0.407525741070079,0.313765574925258
"ME39",0.518410989736002,0.310159896763987
"ME40",0.512663710539783,0.771347499492765
"ME42",0.791594250519759,0.156751654565047
"ME7",0.121753109281394,0.08919063991329
"ME26",0.00982658840346523,0.00361264330717653
"ME5",0.0466338048712772,0.00572583362891827
"ME10",0.287225625177804,0.0202688058928976
"ME9",0.688099529336799,0.654527355432773
"ME44",0.951914440218613,0.701110334081431
"ME46",0.0382106539225995,0.622860802595621
"ME2",0.0591007746462813,0.186948480416596
"ME15",0.000369803848977806,0.612541958350903
"ME13",0.000417142840709858,0.323701513928447
"ME41",0.0323102680493591,0.346562568153443
"ME43",0.463382296807046,0.524237714144111
"ME61",0.39051621536072,0.282921895792377
"ME47",0.605423285627271,0.891255976995636
"ME22",0.0117244315164901,0.478565924687735
"ME52",0.0188671716697503,0.561335441243149
"ME16",0.60779160283991,0.509186943762569
"ME27",0.868178888027759,0.790031218749571
"ME51",0.745459941766641,0.21667915312189
"ME55",0.350987170797312,0.348388245604389
"ME0",0.783751957232935,0.415853932295314
