"","Treatment","CORT"
"ME26",0.438356605023127,0.127734674527911
"ME23",-0.381909552735645,0.0107323765956179
"ME32",-0.215357301590861,0.24346679521816
"ME7",0.28121095566224,0.311993987590897
"ME2",-0.190038886306328,-0.0938622118339483
"ME15",-0.01417817733127,0.119648215254984
"ME53",-0.322295614791108,-0.141614870401137
"ME47",-0.267256236753145,-0.121943935076113
"ME52",-0.382550133871877,-0.240966040363686
"ME30",-0.547723853144457,-0.221500415316316
"ME11",-0.890783132340603,-0.348381070782349
"ME13",-0.757144707713198,-0.322291468040998
"ME34",-0.432889610121415,0.0922539654921777
"ME3",-0.25398412506348,0.0569518213702197
"ME5",-0.528136012398838,-0.161384033888562
"ME17",0.376850771631584,-0.204253515881211
"ME29",-0.21089923119877,-0.116017494954899
"ME46",-0.171072094337236,-0.313807571445851
"ME9",0.0763433755777606,-0.0948949797883249
"ME4",-0.395551023931809,-0.335090567967253
"ME8",-0.116203969147948,-0.26664300974797
"ME51",0.396582914751656,0.110680544243122
"ME10",0.497774609084371,0.307232864184587
"ME20",0.480476801125027,0.165477607044347
"ME28",0.0899947606592907,0.21927740751779
"ME42",-0.111762323799124,0.0412283793301503
"ME48",0.219668842719442,0.180368201344166
"ME38",0.465690725914739,0.255301175817642
"ME18",0.413317571340514,0.332330081901377
"ME44",0.159532520947591,0.24985331751398
"ME25",0.289108241144254,0.15376295350437
"ME31",0.0890282227786096,0.516150817303763
"ME19",0.31434980330462,0.653373669165984
"ME27",0.30825968854276,0.338789598608125
"ME56",0.32332587705105,0.184566624164089
"ME33",0.546366585183201,0.259684143351096
"ME40",0.228533717972756,0.158618806142087
"ME54",0.314517769084932,0.631479211664815
"ME16",0.639606641320686,0.447674973822367
"ME39",0.371256080946106,0.519091555420269
"ME21",0.287374997521086,-0.222070737932559
"ME36",0.298732300959892,0.268194632266021
"ME24",0.466747847938583,0.226707450800179
"ME43",0.327031944254062,-0.099848477188963
"ME1",0.278470095640633,0.0477385333703193
"ME35",0.335202994129405,0.0222201291810115
"ME41",0.35003516737562,0.257386895114359
"ME49",0.312439396265216,0.328660783124953
"ME45",0.488700671313335,0.111015855396266
"ME50",0.421291130519324,0.308669639153016
"ME6",0.85569955837698,0.329755811829099
"ME22",0.5291875866019,0.218458780170456
"ME12",0.20349668620854,-0.0132410561641139
"ME55",0.607762358615895,0.155203873379575
"ME57",0.426146477980008,-0.0267574369223133
"ME14",0.0311652125449555,-0.110837828105259
"ME37",-0.365879151568328,-0.12918187568372
"ME0",-0.0940922342162206,-0.219943912589489
