"","Treatment","CORT"
"ME26",0.0531980881604337,0.591494627551262
"ME23",0.096581448209967,0.964181280472312
"ME32",0.361843490766345,0.300959333278394
"ME7",0.229727304451184,0.180520445617927
"ME2",0.422258104990704,0.693871152441804
"ME15",0.952691936440011,0.615357565116535
"ME53",0.165791562223175,0.551471858752461
"ME47",0.2546528322872,0.60854367774254
"ME52",0.0959769717440614,0.306106379473438
"ME30",0.0124216340201593,0.347973307386433
"ME11",1.40407568344615e-07,0.132244604924884
"ME13",0.000111045203727577,0.165797319424437
"ME34",0.0565880737900174,0.698879346639584
"ME3",0.27989365185165,0.811501396937266
"ME5",0.016681768527205,0.496671296713246
"ME17",0.101453166606951,0.387701907801574
"ME29",0.372104209454211,0.626195816435587
"ME46",0.470824088705341,0.177865249386078
"ME9",0.749043046588071,0.690661454456025
"ME4",0.0842982995941691,0.148676063783676
"ME8",0.625637336692282,0.255786052108735
"ME51",0.0834185842806164,0.642261756225173
"ME10",0.0255222136965143,0.187618578710948
"ME20",0.0320069027796672,0.485666388518328
"ME28",0.705934907632143,0.352956391050616
"ME42",0.6389925713371,0.86298193769089
"ME48",0.35207597457272,0.446677070391856
"ME38",0.0385141932147383,0.277321913900529
"ME18",0.0700819135577257,0.15225976458421
"ME44",0.501688343666557,0.288055369968364
"ME25",0.216350286476868,0.517477735703521
"ME31",0.708960542024629,0.0198183792027585
"ME19",0.17707657457525,0.00178458260388695
"ME27",0.186072063494272,0.143966759399824
"ME56",0.164365436799586,0.435986890617503
"ME33",0.0126850728401061,0.268869798134516
"ME40",0.332478818863575,0.504173236764772
"ME54",0.176832752335998,0.002823967612912
"ME16",0.00239121509050954,0.0477796413850234
"ME39",0.107046415761426,0.0190084802458513
"ME21",0.219241277386428,0.34670149731039
"ME36",0.200754566260131,0.252924900036819
"ME24",0.038017408417827,0.336462370352221
"ME43",0.159305220965683,0.6753380642446
"ME1",0.234492833623383,0.841590249528117
"ME35",0.148531368879368,0.925916322773845
"ME41",0.130293512539787,0.273279427580308
"ME49",0.179865864072731,0.157115658691865
"ME45",0.0287799793107694,0.641247750210671
"ME50",0.0643211184316079,0.18545704227108
"ME6",1.50762087277319e-06,0.155655435913484
"ME22",0.0164267675478049,0.354801756627104
"ME12",0.38950097229908,0.955815784862372
"ME55",0.00447472396821435,0.513512531122347
"ME57",0.0609925738601191,0.910841380359996
"ME14",0.896224789689437,0.641786042036228
"ME37",0.112629039863859,0.587265356874663
"ME0",0.693155838340224,0.351458047934204
