"Gene_ID","Module"
"gene-LOC140684313|LOC140684313","steelblue"
"gene-LOC121469166|LOC121469166","grey60"
"gene-LOC140684334|LOC140684334","grey60"
"gene-LOC140684346|LOC140684346","grey60"
"gene-LOC140684351|LOC140684351","grey60"
"gene-LOC140684365|LOC140684365","grey60"
"gene-LOC140684387|LOC140684387","grey"
"gene-LOC140684392|LOC140684392","grey60"
"gene-LOC140684497|LOC140684497","grey60"
"gene-LOC121470777|LOC121470777","royalblue"
"gene-LOC100221041|LOC100221041","blue"
"gene-CMSS1|CMSS1","brown"
"gene-FILIP1L|FILIP1L","blue"
"gene-DCBLD2|DCBLD2","royalblue"
"gene-TMEM45A|TMEM45A","saddlebrown"
"gene-TBC1D23|TBC1D23","brown"
"gene-NIT2|NIT2","grey"
"gene-TOMM70|TOMM70","lightgreen"
"gene-IMPG2|IMPG2","yellow"
"gene-ABI3BP|ABI3BP","tan"
"gene-TFG|TFG","midnightblue"
"gene-SENP7|SENP7","coral1"
"gene-TRMT10C|TRMT10C","greenyellow"
"gene-LOC100219101|LOC100219101","blue"
"gene-TXNL4B|TXNL4B","grey"
"gene-NXPE3|NXPE3","white"
"gene-LOC140684920|LOC140684920","grey"
"gene-PCNP|PCNP","brown"
"gene-ZBTB11|ZBTB11","orange"
"gene-RPL24|RPL24","magenta"
"gene-CEP97|CEP97","grey"
"gene-NFKBIZ|NFKBIZ","salmon"
"gene-ZPLD1|ZPLD1","black"
"gene-ALCAM|ALCAM","tan"
"gene-CBLB|CBLB","green"
"gene-BBX|BBX","plum1"
"gene-LOC116808831|LOC116808831","darkgrey"
"gene-SH2D1B|SH2D1B","tan"
"gene-CIP2A|CIP2A","tan"
"gene-TRAT1|TRAT1","green"
"gene-HJURP|HJURP","grey"
"gene-GUCA1C|GUCA1C","white"
"gene-MYH15|MYH15","white"
"gene-CD47|CD47","pink"
"gene-IFT57|IFT57","red"
"gene-HHLA2|HHLA2","darkolivegreen"
"gene-LOC115497582|LOC115497582","skyblue3"
"gene-C1H3orf85|C1H3orf85","brown"
"gene-CD96|CD96","red"
"gene-NECTIN3|NECTIN3","white"
"gene-PLCXD2|PLCXD2","pink"
"gene-PHLDB2|PHLDB2","brown"
"gene-ABHD10|ABHD10","cyan"
"gene-TAGLN3|TAGLN3","yellow"
"gene-UVRAG|UVRAG","blue"
"gene-DGAT2|DGAT2","violet"
"gene-MAP6|MAP6","red"
"gene-APP|APP","turquoise"
"gene-TMPRSS7|TMPRSS7","blue"
"gene-C1H3orf52|C1H3orf52","violet"
"gene-LOC115497877|LOC115497877","navajowhite2"
"gene-LOC100221949|LOC100221949","green"
"gene-USP16|USP16","brown"
"gene-MAP3K7CL|MAP3K7CL","blue"
"gene-IL18BP|IL18BP","blue"
"gene-LOC115498571|LOC115498571","grey"
"gene-NUMA1|NUMA1","red"
"gene-LAMTOR1|LAMTOR1","turquoise"
"gene-INPPL1|INPPL1","red"
"gene-CLPB|CLPB","grey"
"gene-ARAP1|ARAP1","yellow"
"gene-LOC100221052|LOC100221052","tan"
"gene-EMSY|EMSY","yellow"
"gene-LOC100228717|LOC100228717","salmon"
"gene-LTN1|LTN1","brown"
"gene-RWDD2B|RWDD2B","greenyellow"
"gene-CCT8|CCT8","turquoise"
"gene-BACH1|BACH1","turquoise"
"gene-PAXBP1|PAXBP1","paleturquoise"
"gene-RNF121|RNF121","brown"
"gene-ANAPC15|ANAPC15","magenta"
"gene-LOC100220024|LOC100220024","magenta"
"gene-STARD10|STARD10","turquoise"
"gene-PDE2A|PDE2A","darkgrey"
"gene-ARRB1|ARRB1","turquoise"
"gene-WDR73|WDR73","yellow"
"gene-THAP12|THAP12","brown"
"gene-WNT11|WNT11","blue"
"gene-JAM2|JAM2","floralwhite"
"gene-GABPA|GABPA","turquoise"
"gene-ATP5PF|ATP5PF","greenyellow"
"gene-MRPL39|MRPL39","magenta"
"gene-NCAM2|NCAM2","orange"
"gene-C1H21orf91|C1H21orf91","blue"
"gene-LOC140682188|LOC140682188","lightcyan"
"gene-LOC115492635|LOC115492635","ivory"
"gene-CXADR|CXADR","turquoise"
"gene-LOC115492903|LOC115492903","cyan"
"gene-USP25|USP25","coral1"
"gene-NRIP1|NRIP1","coral1"
"gene-SAMSN1|SAMSN1","tan"
"gene-HSPA13|HSPA13","navajowhite2"
"gene-LIPI|LIPI","maroon"
"gene-ROBO2|ROBO2","salmon"
"gene-ROBO1|ROBO1","skyblue"
"gene-VGLL3|VGLL3","cyan"
"gene-CADM2|CADM2","cyan"
"gene-LOC115493362|LOC115493362","black"
"gene-GBE1|GBE1","brown"
"gene-POU1F1|POU1F1","grey"
"gene-CHMP2B|CHMP2B","red"
"gene-HTR1F|HTR1F","grey60"
"gene-LOC105759805|LOC105759805","green"
"gene-PDZK1|PDZK1","steelblue"
"gene-LOC100229926|LOC100229926","yellow"
"gene-GJA8|GJA8","grey"
"gene-GJA5|GJA5","yellow"
"gene-ACP6|ACP6","sienna3"
"gene-BCL9|BCL9","darkturquoise"
"gene-CD80|CD80","turquoise"
"gene-POGLUT1|POGLUT1","yellow"
"gene-TIMMDC1|TIMMDC1","floralwhite"
"gene-CD101|CD101","green"
"gene-IGSF3|IGSF3","pink"
"gene-ADPRH|ADPRH","green"
"gene-LOC116807706|LOC116807706","grey60"
"gene-PTGFRN|PTGFRN","turquoise"
"gene-LOC100222365|LOC100222365","pink"
"gene-CD2|CD2","green"
"gene-ILDR2|ILDR2","green"
"gene-GPA33|GPA33","grey"
"gene-POU2F1|POU2F1","darkturquoise"
"gene-CD247|CD247","royalblue"
"gene-CREG1|CREG1","blue"
"gene-RCSD1|RCSD1","green"
"gene-RIOX2|RIOX2","yellow"
"gene-CRYBG3|CRYBG3","purple"
"gene-ARL6|ARL6","salmon"
"gene-DCAF6|DCAF6","turquoise"
"gene-LOC115493512|LOC115493512","steelblue"
"gene-GABRR3|GABRR3","blue"
"gene-MPZL1|MPZL1","turquoise"
"gene-MPC2|MPC2","greenyellow"
"gene-EPHA6|EPHA6","turquoise"
"gene-NSUN3|NSUN3","darkred"
"gene-LOC140682302|LOC140682302","cyan"
"gene-EPHA3|EPHA3","navajowhite2"
"gene-C1H3orf38|C1H3orf38","turquoise"
"gene-ARL13B|ARL13B","red"
"gene-PROS1|PROS1","turquoise"
"gene-LOC140682298|LOC140682298","darkmagenta"
"gene-ZNF654|ZNF654","royalblue"
"gene-HEMK2|HEMK2","blue"
"gene-CGGBP1|CGGBP1","turquoise"
"gene-LOC121469187|LOC121469187","blue"
"gene-ADAMTS5|ADAMTS5","thistle1"
"gene-ADAMTS1|ADAMTS1","blue"
"gene-LOC140682320|LOC140682320","darkorange2"
"gene-LOC115493573|LOC115493573","yellow"
"gene-GDPD5|GDPD5","salmon"
