"","Treatment"
"ME20",0.614408631317143
"ME56",0.599942109296079
"ME57",0.621435115611272
"ME8",0.0987119922200543
"ME25",0.604559522069614
"ME36",0.717823134304784
"ME33",0.309400873157859
"ME38",0.243777982447056
"ME3",0.000512520767860934
"ME11",0.00700259026916914
"ME35",0.312881309273691
"ME60",0.144340158754695
"ME1",0.267416999978504
"ME18",0.576515402201062
"ME14",0.350364509155117
"ME37",0.729093322655007
"ME54",0.297378206297714
"ME29",0.659504710333553
"ME28",0.0253502220587405
"ME50",0.623748365375349
"ME32",0.558878789597297
"ME49",0.470291891960409
"ME6",0.100483682369932
"ME59",0.0141526807903693
"ME21",0.210809944338988
"ME31",0.906975259656786
"ME24",0.0109966444754278
"ME48",0.521240135302816
"ME58",0.026782405552113
"ME17",0.470802161183145
"ME34",0.153224683885539
"ME23",0.830198971609862
"ME4",0.698745754973458
"ME12",0.233011969619451
"ME53",0.0589564476751898
"ME19",0.562569291303196
"ME30",0.75319553515038
"ME45",0.407525741070079
"ME39",0.518410989736002
"ME40",0.512663710539783
"ME42",0.791594250519759
"ME7",0.121753109281394
"ME26",0.00982658840346523
"ME5",0.0466338048712772
"ME10",0.287225625177804
"ME9",0.688099529336799
"ME44",0.951914440218613
"ME46",0.0382106539225995
"ME2",0.0591007746462814
"ME15",0.000369803848977805
"ME13",0.000417142840709858
"ME41",0.032310268049359
"ME43",0.463382296807046
"ME61",0.39051621536072
"ME47",0.605423285627271
"ME22",0.0117244315164901
"ME52",0.0188671716697503
"ME16",0.60779160283991
"ME27",0.868178888027759
"ME51",0.745459941766641
"ME55",0.350987170797312
"ME0",0.783751957232935
