"","Treatment"
"ME26",0.0531980881604337
"ME23",0.096581448209967
"ME32",0.361843490766346
"ME7",0.229727304451184
"ME2",0.422258104990704
"ME15",0.952691936440011
"ME53",0.165791562223175
"ME47",0.2546528322872
"ME52",0.0959769717440614
"ME30",0.0124216340201594
"ME11",1.40407568344614e-07
"ME13",0.000111045203727577
"ME34",0.0565880737900175
"ME3",0.27989365185165
"ME5",0.016681768527205
"ME17",0.101453166606951
"ME29",0.372104209454211
"ME46",0.47082408870534
"ME9",0.749043046588071
"ME4",0.0842982995941691
"ME8",0.625637336692282
"ME51",0.0834185842806164
"ME10",0.0255222136965143
"ME20",0.0320069027796671
"ME28",0.705934907632144
"ME42",0.6389925713371
"ME48",0.35207597457272
"ME38",0.0385141932147383
"ME18",0.0700819135577257
"ME44",0.501688343666557
"ME25",0.216350286476868
"ME31",0.708960542024629
"ME19",0.17707657457525
"ME27",0.186072063494272
"ME56",0.164365436799586
"ME33",0.0126850728401061
"ME40",0.332478818863575
"ME54",0.176832752335998
"ME16",0.00239121509050954
"ME39",0.107046415761426
"ME21",0.219241277386428
"ME36",0.200754566260131
"ME24",0.038017408417827
"ME43",0.159305220965682
"ME1",0.234492833623383
"ME35",0.148531368879368
"ME41",0.130293512539787
"ME49",0.179865864072731
"ME45",0.0287799793107694
"ME50",0.0643211184316079
"ME6",1.50762087277319e-06
"ME22",0.0164267675478049
"ME12",0.38950097229908
"ME55",0.00447472396821435
"ME57",0.0609925738601191
"ME14",0.896224789689437
"ME37",0.112629039863859
"ME0",0.693155838340224
