"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"tgu00190","Oxidative phosphorylation",82,-0.735004197006089,-2.63992467189,6.70465863856069e-16,1.18001992038668e-13,8.61019319899373e-14,1741,"tags=55%, list=12%, signal=49%","100231827/100227257/100190761/100190489/100229692/100231893/100190180/100228353/100190413/100229321/100190275/100227575/100190134/100218328/100230079/100222863/100190674/100190425/100190396/100219756/100232751/100230773/100190740/100190122/100190640/100219261/100223708/100190221/100190064/100220589/100232347/751975/100229691/100190724/100228726/100190435/100221387/100221153/100190523/100190350/100190339/100220186/100220458/100190392/100225003"
"tgu01200","Carbon metabolism",88,-0.69676857132089,-2.53510446616136,3.46761098378411e-14,3.05149766573001e-12,2.2265712632719e-12,1706,"tags=52%, list=12%, signal=46%","100230441/100232428/100231122/100227621/100225534/100220154/100230242/100229569/100223031/100224627/100190753/100230199/100224916/100230152/100218728/101233932/100230079/100231891/100227513/100227137/100226063/100230413/100190674/115497373/100220748/100224467/100223841/100222802/100227336/100221470/100224460/100217618/100229811/100227287/100224772/100217791/100230333/100190381/100219269/100225815/100218937/100190484/100225079/100226824/100190682/100232264"
"tgu00020","Citrate cycle (TCA cycle)",22,-0.891162217299908,-2.46922239199142,6.72657073620982e-11,3.94625483190976e-09,2.87944431514947e-09,1445,"tags=86%, list=10%, signal=78%","100225534/100224627/100230199/100230079/100227513/100190674/100220748/100224467/100221719/100227336/100221470/100217618/100229811/100227287/100190381/100190484/100225079/100226824/100190682"
"tgu01212","Fatty acid metabolism",50,-0.738307612971871,-2.46466005598881,3.21562240027503e-10,1.41487385612101e-08,1.03238403377251e-08,1997,"tags=54%, list=14%, signal=47%","100222373/100222209/100225257/100225083/100232428/100223714/115492591/100217956/100218387/100218226/100231220/100229171/100231239/100224317/100228631/100228952/100226957/100222541/100229817/100224772/100230333/100229833/100190615/100226785/100225746/100222881/100230721"
"tgu04146","Peroxisome",72,-0.651676035512329,-2.29805620432257,3.02423479215502e-09,1.06453064683857e-07,7.76750830827185e-08,2187,"tags=43%, list=15%, signal=37%","100230879/100219028/100190732/115495423/115497940/100217501/100221948/115493925/100220704/100226822/100190330/100190347/100217956/100218387/100227938/100228411/100218359/100230055/100218417/100218226/100229171/100221578/100220748/100223841/100228952/100229678/101233694/100230333/100218710/100231079/100226480"
"tgu01040","Biosynthesis of unsaturated fatty acids",28,-0.772084387739959,-2.30717952715168,3.23065491045519e-07,8.80420660053558e-06,6.42412204106065e-06,2215,"tags=61%, list=15%, signal=52%","100223843/115495423/100224870/100225083/100223714/100218387/100218226/100231220/100228631/100222541/100230333/100229833/101233080/100190615/100225746/100222881/100230721"
"tgu01210","2-Oxocarboxylic acid metabolism",23,-0.804991675470979,-2.26551164857291,3.50167307975847e-07,8.80420660053558e-06,6.42412204106065e-06,1266,"tags=70%, list=9%, signal=64%","100225697/100229803/100219242/100224627/100230199/100227513/100228964/100220748/100221470/100229811/100227287/100218937/100225079/100225395/100226824/100190682"
"tgu00380","Tryptophan metabolism",31,-0.728614109448038,-2.20395275003167,2.71344987594365e-06,5.30630197962313e-05,3.87182321479678e-05,1559,"tags=45%, list=11%, signal=40%","100229666/100223232/100223716/100226881/100230199/100228964/100229171/100231239/100223841/100226378/100222753/100224772/100219367/100226824"
"tgu03320","PPAR signaling pathway",54,-0.629635951873028,-2.12819187004649,2.6963567559102e-06,5.30630197962313e-05,3.87182321479678e-05,1335,"tags=35%, list=9%, signal=32%","115496562/100225401/115492591/100217956/100218387/100228411/100227345/100231741/100229171/100224317/100228952/100229817/100190430/100230333/100229833/100219269/100220606/100226785/100222881"
"tgu00630","Glyoxylate and dicarboxylate metabolism",30,-0.730364970674283,-2.20816579651826,3.51049641948116e-06,6.17847369828685e-05,4.5082164544916e-05,1470,"tags=43%, list=10%, signal=39%","100227621/100229569/100223031/100226881/100230199/100224916/100227513/100226063/100223841/100227287/100224772/100190381/100190484"
