"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"tgu01212","Fatty acid metabolism",50,0.68752608913497,2.22826846659784,2.11962862256876e-07,1.86527318786051e-05,1.3721806346103e-05,2213,"tags=52%, list=15%, signal=44%","100230721/100190615/100222881/100225746/100228952/100226785/100231239/100229833/100229171/100226957/100231220/100232428/100222541/100230333/100232649/115492591/100223714/100229322/100227254/100229817/100223843/100222631/100224772/100231849/100217956/100222209"
"tgu04141","Protein processing in endoplasmic reticulum",134,-0.539566368491777,-2.03566907358765,1.24309980466232e-07,1.86527318786051e-05,1.3721806346103e-05,1256,"tags=28%, list=9%, signal=26%","100230089/100225468/100232642/100225681/100221023/100222173/100222627/100226016/100228575/100227940/100229646/100230603/100226591/100221388/100225249/100190365/100222568/100218167/100225408/100223400/100232562/100223479/100218236/100222913/100227372/100225821/100190479/100231514/100221840/101234078/100229535/100229780/100190240/100232043/100190262/100217667/100217698/100190272"
"tgu04082","Neuroactive ligand signaling",133,-0.519524320433771,-1.96000594745611,7.18073900876188e-07,4.21270021847363e-05,3.09905578272881e-05,1658,"tags=27%, list=11%, signal=24%","100226617/100227070/100227722/100144431/100220449/100219022/100232437/778440/751956/100222300/100226809/100230475/100219441/115492695/100220023/100230156/100190068/751958/751992/752008/100232756/751963/100218134/751954/751952/115492163/100224299/100225982/100222137/100229066/100225338/100223958/100221609/100232833/751775/751779"
"tgu01200","Carbon metabolism",88,0.554386161967671,1.98341422128475,3.86022020405635e-06,0.000169849688978479,0.000124949232920771,2678,"tags=51%, list=18%, signal=42%","100224467/100190682/100226824/100190381/100218728/100219269/100221470/100190753/100190484/100231122/100225079/100227594/100232428/100227287/100225534/100230333/100220748/100223841/100224460/100218937/115496732/100217618/100231891/100230242/100227336/100222802/100224627/100230441/100224916/100230152/101233932/100229569/100228756/100227513/100224772/100190636/100232264/100227137/100223031/115497715/100225815/100230199/100229811/100220154/115497373"
"tgu00020","Citrate cycle (TCA cycle)",22,0.768727917960247,2.15041737511274,1.13244921887421e-05,0.000398622125043723,0.000293244745097954,2551,"tags=82%, list=17%, signal=68%","100224467/100190682/100226824/100190381/100221470/100190484/100225079/100227287/100225534/100220748/115496732/100217618/100227336/100224627/100227513/100221719/100230199/100229811"
"tgu04114","Oocyte meiosis",83,0.507805518466334,1.78961626691225,0.0001009698414276,0.00253867029875108,0.00186756248054057,1411,"tags=27%, list=10%, signal=24%","100226105/100229612/100220802/100217995/100221059/100229905/100223051/100224856/100229058/100223842/100190726/751774/100223686/105759030/100224238/100218430/100190399/100229976/100228589/100190311/100226622/100190745"
"tgu04910","Insulin signaling pathway",106,0.482890211558173,1.78690776082353,9.71950716346613e-05,0.00253867029875108,0.00186756248054057,3163,"tags=39%, list=22%, signal=31%","100226105/100217629/100220802/100225134/100230789/100227565/100218282/100226957/100218501/100232504/100224238/100190399/100231533/100232589/100221300/100230536/100222846/100224539/100221185/100222802/100220867/100224604/100225195/100189975/100222781/100225072/105758635/100222172/100230629/100227814/100190751/105759506/100221184/105760975/100227892/100222231/115490648/100228094/100224153/100190126/100218210"
"tgu03060","Protein export",22,-0.730266937293742,-1.97600870362547,0.000169154921402235,0.00270647874243577,0.00199101007966268,1610,"tags=50%, list=11%, signal=45%","100224868/100225763/100232642/100220569/100190576/100190553/100218236/100228037/100190251/100190240/100221551"
"tgu04530","Tight junction",124,0.450396179881596,1.69883328276178,0.000143407959543142,0.00270647874243577,0.00199101007966268,3743,"tags=40%, list=25%, signal=30%","100226105/100231612/100218467/100223131/100224541/105759018/100227766/100220198/100223530/100190386/100230031/100231910/100230569/100229320/100219511/100227101/100227478/115497627/100224539/100224687/100230229/100220867/100151697/100225084/100226414/100218287/100229914/100217782/115498321/100222467/100227983/100217532/100221879/100222243/116806603/100226031/100230238/100222981/100231632/100224153/100229710/100227812/100231257/100219600/100229992/100224192/115490530/100221287/100227505/100226324"
"tgu04218","Cellular senescence",119,0.447857443495792,1.67440635579339,0.000163767496532171,0.00270647874243577,0.00199101007966268,3822,"tags=41%, list=26%, signal=31%","100217629/100231612/100224096/100220802/115497941/100221276/100230789/100219709/100230031/100190545/100227980/100224372/100229058/100228629/100230911/100232504/105759030/100224238/100218430/100190399/116806871/100221185/100222189/100225195/100218382/100232515/100232236/100190751/100225793/105760975/100227892/100218188/100227408/100229620/100222231/115498549/100190126/116807250/100220808/105759380/100222345/100229860/115495518/100190013/100231617/100226234/100217648/100218837/100230706"
"tgu04080","Neuroactive ligand-receptor interaction",195,-0.411986334431093,-1.64070560988101,0.000124384957648678,0.00270647874243577,0.00199101007966268,1653,"tags=22%, list=11%, signal=19%","115497631/100227070/100220136/100227368/100227722/100144431/100230830/100220449/100219022/100232437/778440/751956/100222300/100232490/100230475/100219441/100231623/100220023/115495438/100222475/100219758/100230156/100190068/751586/100227865/751958/100225028/751992/752008/115491955/100228652/100232756/751963/115497772/751954/751952/100225338/100221609/100232833/751775/751607/751779"
"tgu00640","Propanoate metabolism",27,0.684469085128383,2.01697395536615,0.000258115098253712,0.00378568810772112,0.00278492606010585,2688,"tags=52%, list=18%, signal=42%","100224467/100227635/100229171/100227594/100232428/100225534/100227322/100230333/100227336/100224916/100229569/100227137/100230199/100229803"
"tgu01210","2-Oxocarboxylic acid metabolism",23,0.697275816638399,1.96358572180825,0.000421034339045987,0.00541316687029496,0.00398217419286052,2688,"tags=65%, list=18%, signal=53%","100190682/100226824/100228964/100225395/100221470/100225079/100227287/100220748/100218937/115496732/100224627/100227513/100230199/100229811/100229803"
"tgu04144","Endocytosis",193,0.387742881449201,1.56772872252499,0.000430592819228008,0.00541316687029496,0.00398217419286052,2536,"tags=25%, list=17%, signal=21%","101233395/100223462/100229681/100230163/100222064/100223530/100190386/100226301/100231910/100223908/100220489/100231817/100224260/100228869/105758990/100224050/100218206/100223100/100228250/100230911/100221641/100223379/100227807/100222726/100224539/100226243/116806871/100220367/100190734/100219782/100225084/100229514/100218543/100225067/100221971/100232170/100230414/100226046/100218243/100232505/100226693/100227983/100226258/100217532/100218216/100229606/100227500/100221166/100222436"
"tgu01040","Biosynthesis of unsaturated fatty acids",28,0.656912799069088,1.92967674087286,0.0005617864276813,0.00659162741812725,0.00484910390209122,1691,"tags=43%, list=12%, signal=38%","100230721/100190615/100222881/100225746/100229833/100231220/100222541/100230333/101233080/100223714/100223843/100222631"
"tgu00500","Starch and sucrose metabolism",28,0.647246643607709,1.90128247698591,0.000753846082913199,0.00829230691204519,0.00610020185515286,1856,"tags=46%, list=13%, signal=41%","100218765/100189933/100221615/105758559/100221811/100231122/100221865/100229070/100226089/100219874/100217557/100228551/100231240"
"tgu00071","Fatty acid degradation",31,0.607451800448914,1.83147328263775,0.00163925008412034,0.0169710596944223,0.0124846910431456,2213,"tags=55%, list=15%, signal=47%","100229295/100228952/100226785/100231239/100229171/100232428/100230333/100225645/115492591/100229322/100227254/100229817/100224772/100219061/100231849/100217956/100222209"
"tgu04914","Progesterone-mediated oocyte maturation",66,0.484639456057332,1.64374269245138,0.00189716090812735,0.0185500177683563,0.0136462451286353,1553,"tags=23%, list=11%, signal=20%","100226105/100229612/100220802/100217995/100229905/100224372/100190726/100226844/100232504/100223686/100218430/100231533/100226622/100221185/100220867"
"tgu00062","Fatty acid elongation",23,0.646576023041738,1.82081095688813,0.00290657681571412,0.0269240799771413,0.0198065899353372,2027,"tags=39%, list=14%, signal=34%","100230721/100190615/100231239/100231220/100222541/101233080/100223714/100223843/100231849"
"tgu00260","Glycine, serine and threonine metabolism",36,0.581079420720027,1.79937194844263,0.0031028252801118,0.0273048624649838,0.0200867110238816,3248,"tags=53%, list=22%, signal=41%","100224553/100231507/100223232/100221431/100227661/101233932/100228756/100223031/101233846/100218458/100230199/100222166/115497373/100230135/100223716/100221623/100221163/100229871/100226063"
