"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"tgu04623","Cytosolic DNA-sensing pathway",44,-0.655974343759533,-2.12114563124951,1.36114954833303e-05,0.00239562320506614,0.00204888826749078,2177,"tags=48%, list=15%, signal=41%","100221542/100190183/100218997/100221281/100232803/100228112/100222284/100220215/100228888/100224044/100227014/100231880/105758643/100223018/100218002/100230522/100230799/100222919/100220015/100222705/100220682"
"tgu03013","Nucleocytoplasmic transport",80,-0.545469428602221,-1.94552356594477,3.15079532780352e-05,0.00253605538164107,0.00216899473429828,3270,"tags=39%, list=22%, signal=30%","100190303/100232097/100225602/100222259/100220104/100232758/100190232/100218626/100223354/100227718/100226905/115498113/105759741/100221776/100190722/100221354/100231502/100222227/100225288/100217658/100231566/100231466/100218189/100232127/100226510/100224126/100223995/100228959/100190259/100230057/100229946"
"tgu05164","Influenza A",104,-0.5009722468226,-1.84325840993822,5.76376223100243e-05,0.00253605538164107,0.00216899473429828,1461,"tags=24%, list=10%, signal=22%","100227395/100222284/100222345/115491597/115494797/100220215/100231797/100227014/105758643/100231625/100227931/100225529/100226510/100190668/100230799/100222919/100220015/100222705/100221342/100223594/100221651/105760310/100220682/100218402/100230663"
"tgu03040","Spliceosome",108,-0.489158142588935,-1.81887055019399,5.13478537537385e-05,0.00253605538164107,0.00216899473429828,2237,"tags=27%, list=15%, signal=23%","100228212/100219002/100227220/100219868/100190735/100189962/100226761/100190722/100227809/100228235/100219081/100223836/100219449/100221237/100219582/100190618/100225288/100221039/100226606/100224807/100229990/100190625/100230105/100228250/101233518/115498234/115491384/100231859/100190259"
"tgu04622","RIG-I-like receptor signaling pathway",48,-0.594878920183066,-1.96208818079223,0.00011336049517283,0.0039902894300836,0.00341274753888729,1459,"tags=38%, list=10%, signal=34%","100222284/100222345/100221443/115494797/100220215/100223519/100225815/100227964/100227993/100230522/100226672/100225529/100222919/100220015/100222705/100221651/100225734/100227527"
"tgu04141","Protein processing in endoplasmic reticulum",134,-0.441408345524674,-1.69398683406921,0.000400107080935119,0.0117364743740968,0.0100377741357407,2403,"tags=30%, list=16%, signal=25%","100228841/100231514/100221840/105759215/100230889/100222173/100229266/100190733/100227167/101234078/100190262/100228315/100232120/100232187/100221857/100229415/100229780/100229535/100230761/100230089/100217667/100223519/100190479/100217698/100232413/100225249/100190273/100228250/100226591/100190668/105759762/100221388/100220181/100230603/100190471/100224462/100232043/100226844/100218236/100229330"
"tgu04519","Cadherin signaling",236,0.364360606841087,1.52517788836677,0.000673232456026668,0.0169269874658134,0.0144770287536562,2174,"tags=23%, list=15%, signal=20%","100222093/100232756/100222044/100220932/100221632/751992/100228173/100227535/100144431/100220802/100230910/100229755/100220559/100221659/100230229/100221609/100227493/100218264/100230112/100230896/100228633/100227722/100220115/100223971/100226173/100221722/100225338/100229459/116806599/100227892/100217876/100227166/100230808/100223063/100232833/100226733/100221417/100229181/100223747/115498423/100223925/100230475/100227292/100225655/100228217/100230085/100219584/100221214/100222872/100228068/100223068/100224644/100230172/100223418"
"tgu04080","Neuroactive ligand-receptor interaction",195,0.381998019323076,1.57884089111491,0.00085868488166231,0.0188910673965708,0.0161568339575935,2671,"tags=30%, list=18%, signal=25%","100227283/100232756/100228908/778440/100228311/751992/100219758/100228395/100222943/100219338/100226557/100221676/100144431/100219427/105760895/100219022/751775/100221609/100232439/100219008/100227070/100227722/752008/100225338/100228384/100232490/751963/100224844/100229999/100219314/100223722/100232833/105759491/100219339/100223972/100230475/100221674/751779/115496066/100232037/100229700/100232437/100231011/751987/751952/751956/100225270/100229448/100226169/100226898/751957/101233463/100220568/100221157/100219807/751954/115490653/115496339/100232835"
"tgu04820","Cytoskeleton in muscle cells",157,-0.403661750043238,-1.58860045085835,0.000971273970471268,0.0189938020892159,0.0162446991552504,1242,"tags=13%, list=8%, signal=12%","100230700/100229664/100192322/100221936/100224912/100230537/100221489/100220019/100229163/100220308/100220915/101234217/100231853/100226551/100222376/100222975/100222022/100221015/100190595/100221141"
"tgu04977","Vitamin digestion and absorption",23,0.654940685882648,1.84925818603669,0.00138367709496923,0.0243527168714585,0.0208279815348,1910,"tags=48%, list=13%, signal=42%","100226745/100230622/100232535/100227272/105759297/100227445/100232480/100223080/100228436/100230547/100227768"
