"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"tgu00190","Oxidative phosphorylation",82,0.773480125816088,2.8959469210505,5.3491627051938e-21,4.70726318057054e-19,3.09688367142799e-19,1577,"tags=63%, list=11%, signal=57%","100220589/100190740/100190275/100190504/100190392/100223119/100190180/100190221/100218328/100190523/100190489/100190122/100219261/100231893/100227546/100228144/100229691/115490854/100190425/100190396/100219756/115490907/100224240/100225003/100223708/100231909/115498214/100228353/100190435/100227257/100220458/100190674/100232347/100227575/100226767/100190134/100190357/100232751/105758798/100190064/100221387/100190640/100190724/100230773/100222863/100231827/751975/100232471/100190350/100190339/100221153/100232533"
"tgu03010","Ribosome",132,0.688873514507066,2.77603517740582,4.29891481598308e-21,4.70726318057054e-19,3.09688367142799e-19,3115,"tags=68%, list=21%, signal=54%","100190168/105758807/100228467/100221096/100190550/100232723/100190626/100229344/116808554/100190080/100229359/100224690/100190274/100190647/100190329/100221133/100190037/100190000/100190005/100231477/100218437/100223017/100190363/100190426/100190185/100226185/100189949/100190721/100190014/101234084/100189948/100225392/100190211/100190138/100190630/100190411/115490814/100190332/100223428/100190644/100227526/115498487/100232365/100218065/100189961/100190559/100190056/100227063/100228662/100190109/100219745/100190659/116807671/116807675/100190288/116807674/100221403/100190308/116806757/100190369/100190179/100225555/116807673/100190144/100190103/100190744/100222424/100190073/100190178/100223758/100221892/100190177/115492298/100229891/100220532/100190568/100190431/100224047/100228812/100223911/100190067/100190260/100190293/100223058/100223610/100229511/100228554/100222293/100221612/100190265"
"tgu04080","Neuroactive ligand-receptor interaction",195,0.454637293923788,1.92239949259193,8.65704992370941e-08,5.07880262190952e-06,3.34131751441416e-06,1595,"tags=24%, list=11%, signal=22%","100232756/751775/751954/751779/778440/100144431/105760895/100225028/100221676/751952/751956/100224895/100226898/100228908/100232833/751992/100222943/100232490/100221609/751586/100222020/100230972/751996/100228384/100219314/100219758/751963/101233210/100220988/100227283/100231073/752008/100232439/100222729/100222300/100220136/751607/115496339/101233463/100227722/100222591/100225224/100230405/100228395/100220008/100219931/100230475"
"tgu04110","Cell cycle",125,-0.51841860041764,-1.98312153370302,2.9035679314878e-07,1.27756988985463e-05,8.4050650648331e-06,2937,"tags=42%, list=20%, signal=34%","100218430/100229976/100223686/100190269/100219810/100217495/101234038/100225387/100232552/100224856/100232557/100222050/100225413/100231865/100222560/100228497/100230478/100229394/105759275/100223849/100223984/100224545/100221745/100218599/100226144/100219086/100223834/100220224/100220830/100190745/100218172/100226934/100223839/100223842/100218492/100217707/105759380/100227531/100232487/100217687/100218837/100228592/100224372/100228320/115497941/100228536/100223051/100224604/105759646/100226336/100221992/100190311/100223450"
"tgu04145","Phagocytosis",178,-0.468274287223283,-1.86986087176458,5.05964936333285e-07,1.78099657589316e-05,1.17170827361392e-05,2460,"tags=33%, list=17%, signal=28%","100221289/100226159/100229063/115492234/100227509/100219912/100227604/100230090/100229310/100230947/100220186/100225145/100221539/100230636/100231736/100230193/100229321/115490530/100229710/100229042/100219050/100227997/100230661/100230595/100222968/100222821/100228982/100231323/100231469/101234037/101233119/115492664/100226275/100229485/100218848/751978/100224388/100229371/100226234/100229478/115493267/100226645/100224188/105760000/100219691/115496608/100223082/100227522/100223851/100230163/115491460/100221507/100225036/100227728/100232395/100225149/100229447/100216357/115497627"
"tgu04082","Neuroactive ligand signaling",133,0.479126859303739,1.92696746969417,1.77742440123044e-06,5.2137782436093e-05,3.43011726553243e-05,1454,"tags=23%, list=10%, signal=21%","100232756/100229066/751775/751954/751779/100225982/100218134/778440/100144431/751952/751956/115492163/100223958/100232833/751992/100221609/751996/100221546/115492695/751963/100231073/100219216/752008/100232439/100222300/115496339/101233463/100227722/100225224/100230405/100228395"
"tgu05164","Influenza A",104,-0.520526986131606,-1.92488888874983,3.56850047051304e-06,8.97222975443279e-05,5.90278273317947e-05,4124,"tags=55%, list=28%, signal=40%","100227980/100227395/100225998/100222705/100220367/100220215/115491597/100223594/100224021/100220802/100218911/100223542/100218625/100221185/100218184/105760975/115496772/100222861/100225715/100227014/100225311/115492234/100221651/100225452/100220015/100223638/100225529/100222345/115496483/100217488/100225145/105760310/100228860/100230663/100217637/100221542/100225195/105760863/100226664/100227853/100222919/100222262/751978/100218837/100226234/100218402/115493267/100227442/100226510/100224188/100221342/100230799/115496608/100216357/115497627/100224083/100221157"
"tgu03013","Nucleocytoplasmic transport",80,-0.53692914478956,-1.90012951865969,1.51618771645541e-05,0.000333561297620191,0.000219448222118547,1900,"tags=51%, list=13%, signal=45%","100219351/100225998/100190232/100229792/100224021/100224013/100225585/100217540/100218911/100221354/100225403/100220323/100232732/100222259/100222227/100217886/100224126/100224403/100221776/101233238/100228602/100218626/100227718/115498113/100221713/100223933/100229946/100222517/100223354/100230311/100225602/100226510/100230057/100232097/100232127/100218189/100232057/100190053/100231466/100228959/100232758"
"tgu04260","Cardiac muscle contraction",46,0.59170536309372,2.00686571540268,3.88239191260784e-05,0.000759223307354423,0.000499489017996331,1620,"tags=39%, list=11%, signal=35%","100223119/100218328/100219261/100231893/100229691/100190396/100219756/100224240/100225003/115498214/100218244/100227575/100222087/100232751/100227443/100226925/100232533/105760330"
"tgu04148","Efferocytosis",127,-0.453142510926556,-1.73406740923319,6.21689642402404e-05,0.00109417377062823,0.000719851164886994,4428,"tags=47%, list=30%, signal=33%","100220290/100222654/100219883/100225207/100221909/100225139/100219000/100230536/100227544/100227074/100190713/100226785/100220565/100226791/100219227/100220802/100226853/100229233/100218949/100219678/100227174/101233409/105760975/100227071/100224227/100223014/100190239/100218002/100225123/100228682/100226241/100231598/100222846/751585/100219073/100223600/100225922/100232367/100225452/100229413/115498549/100222007/100223187/100230636/100228586/100226803/100218554/100228982/100225195/100224796/100222135/100219653/100219161/100230799/100231384/100230163/115491460/100225269/100219211/100226751"
