"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",192,-0.769090953207729,-3.10095887195398,4.54279916123354e-44,2.27139958061677e-42,1.43456815617901e-42,1948,"tags=55%, list=11%, signal=49%","NDUFB2/SDHC/NDUFS4/COX6A1/GPI/COX10/HADHA/SDHB/UQCRQ/GRPEL1/NDUFA2/ATP5ME/NDUFAB1/NDUFS6/NDUFA6/COX5A/UQCRFS1/NDUFV1/MRPS22/CYC1/IDH3B/SLC25A20/PRDX3/ABCB7/DLD/TOMM22/NDUFA8/MTRR/MRPS15/UQCRH/ATP6V1E1/SUPV3L1/TIMM17A/SDHA/DECR1/ACADVL/TIMM13/NDUFS8/COX4I1/SDHD/NDUFS7/UQCR10/COX7B/UQCRC2/NDUFA9/NDUFB8/ATP5MF/NDUFS2/AIFM1/NDUFB6/UQCRB/ATP5MC3/ATP5PB/NDUFA4/IDH1/SUCLG1/MFN2/NDUFC2/NNT/SLC25A11/NDUFA5/ATP5PD/PDHB/SUCLA2/MTX2/ATP5F1A/ETFA/PDHX/COX7A2/NDUFB4/DLAT/ATP5PF/OPA1/FH/NDUFS3/ATP5F1C/ATP5MC1/OGDH/FDX1/IMMT/ACO2/SLC25A12/RHOT1/ETFDH/ATP5F1B/ATP5PO/NDUFV2/NDUFB5/MDH1/ATP6V1H/NDUFS1/MRPL15/VDAC2/MDH2/PDHA1/DLST/UQCRC1/CYCS/IDH3A/CS/HCCS/SLC25A4/CPT1A/VDAC3/MPC1/SLC25A3"
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS",178,-0.615472356461685,-2.45199637171575,3.09733245633288e-17,7.7433311408322e-16,4.89052493105191e-16,2218,"tags=44%, list=13%, signal=39%","SOD1/ETFB/CPT2/BCL6/CMPK1/RNF11/SDHC/MCCC1/GPAM/GBE1/COX6A1/ACADS/CIDEA/SDHB/UQCRQ/G3BP2/GRPEL1/NDUFAB1/RAB34/TKT/CAVIN2/MRAP/CHCHD10/CYC1/PRDX3/ADIPOR2/PTCD3/DLD/CCNG2/SCP2/MIGA2/UCK1/NMT1/DECR1/PEX14/SQOR/HIBCH/AGPAT3/ENPP2/PPARG/PEMT/ELOVL6/FZD4/DDT/ITSN1/UQCR10/COX7B/AIFM1/HADH/PGM1/SLC25A1/SSPN/IDH1/SUCLG1/ACADL/ACLY/CAT/NDUFA5/DLAT/SCARB1/NDUFS3/MGLL/IMMT/ACO2/ATP5PO/ACOX1/ME1/MRPL15/SAMM50/MDH2/GADD45A/GPD2/UQCRC1/CRAT/PLIN2/IDH3A/CS/SLC25A10"
"HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM",129,-0.646622746458444,-2.4803637181127,2.49007079637681e-15,4.15011799396135e-14,2.62112715408085e-14,2188,"tags=45%, list=13%, signal=39%","ALDH3A2/SERINC1/H2AZ1/CPT2/SDHC/CRYZ/ACADS/ADSL/CIDEA/PRDX6/HSDL2/SUCLG2/ACSS1/ACOT8/IDH3B/ADIPOR2/ACSL5/DLD/G0S2/SDHA/DECR1/ACADVL/TP53INP2/HIBCH/FABP1/AADAT/HSD17B4/MIX23/FMO1/SDHD/EHHADH/DHCR24/HADH/IDH1/KMT5A/SUCLG1/ACADL/ACSL1/FASN/PDHB/SUCLA2/GPD1/FH/MGLL/ACO2/ACAT2/ETFDH/ACOX1/MDH1/ME1/MDH2/PDHA1/DLST/GPD2/CRAT/HCCS/CPT1A/ELOVL5"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",157,0.554386095895474,2.13548675601177,1.33070014799104e-10,1.6633751849888e-09,1.05055274841398e-09,2744,"tags=41%, list=16%, signal=35%","SOCS3/CSF1/FOSL2/MAP3K8/HES1/PNRC1/RELA/DNAJB4/TGIF1/SLC16A6/BTG2/VEGFA/KLF4/IER2/IL7R/F2RL1/PLAU/EFNA1/GADD45B/RCAN1/SQSTM1/DUSP5/SNN/ETS2/TNFAIP2/SIK1/GEM/PHLDA2/TNIP2/RIPK2/NR4A3/MXD1/CEBPD/RNF19B/ID2/NFIL3/ZC3H12A/SAT1/TANK/EGR3/TRAF1/GFPT2/RHOB/CDKN1A/EGR2/CD83/ATF3/PDE4B/MYC/HBEGF/TNFRSF9/JUN/IL6ST/PANX1/FJX1/F3/EGR1/SGK1/KDM6B/REL/IRF1/FUT4/EDN1/CCNL1"
"HALLMARK_PEROXISOME","HALLMARK_PEROXISOME",90,-0.600248232648622,-2.19868234132596,2.09549363432277e-08,2.09549363432277e-07,1.3234696637828e-07,3051,"tags=50%, list=18%, signal=41%","YWHAH/RETSAT/MLYCD/IDI1/HRAS/CDK7/CNBP/VPS4B/PEX6/ABCB9/SOD1/CTPS1/ISOC1/CACNA1B/PEX2/ACOT8/SOD2/PRDX1/ACSL5/SCP2/SMARCC1/CLN8/PEX5/PEX14/NUDT19/HSD17B4/SLC25A19/EHHADH/DHCR24/ABCD2/IDE/IDH1/ABCB1/CAT/ESR2/ACSL1/PEX13/ACOX1/ABCD3/DIO1/CRAT/PEX11A/SLC25A4/FADS1/ELOVL5"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",193,-0.451655727095021,-1.82287398652157,7.4690004102817e-07,6.22416700856809e-06,3.93105284751669e-06,2943,"tags=31%, list=17%, signal=26%","SYNCRIP/GLO1/DDX18/SRPK1/CUL1/PPM1G/CAD/ILF2/CCT2/GNL3/CNBP/EIF4G2/SNRPD3/NOLC1/EIF2S1/HDGF/CTPS1/H2AZ1/UBA2/HDAC2/EIF4E/EIF4A1/MRPL9/NDUFAB1/YWHAQ/COX5A/CYC1/EIF3J/PRDX3/RANBP1/RAN/SMARCC1/ABCE1/PSMD7/STARD7/PA2G4/BUB3/PWP1/AP3S1/FAM120A/UBE2L3/PSMD8/EIF1AX/GSPT1/IMPDH2/COPS5/PSMD14/IARS1/SF3B3/EIF2S2/PSMA4/PHB1/YWHAE/SRM/SERBP1/EPRS1/PGK1/G3BP1/VDAC3/SLC25A3"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",169,0.442530292546701,1.7260786052941,1.80605648625637e-05,0.000129004034732598,8.14762324626932e-05,2381,"tags=30%, list=14%, signal=26%","UCK2/CSF1/MAP3K8/NFKBIZ/CDCP1/XBP1/LRIG1/IL1R2/IL10/CDKN1C/IGF1R/ARL4A/GADD45B/IL1RL1/GATA1/SPP1/CST7/BCL2L1/MXD1/EOMES/CD48/P2RX4/NFIL3/GABARAPL1/IL10RA/TRAF1/IL18R1/RHOB/ALCAM/TNFRSF1B/IRF8/CD83/PRNP/CAPN3/IL2RB/ADAM19/MYC/CD86/PDCD2L/RRAGD/SLC39A8/P4HA1/TNFRSF9/GALM/PIM1/ITGA6/PRKCH/CD79B/PHTF2/NCS1/AHR"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION",93,-0.504462372422994,-1.85246205852949,6.78272150740126e-05,0.000423920094212578,0.000267739006871102,3427,"tags=45%, list=20%, signal=36%","ANP32E/AP2M1/ARF1/IGF2R/RAB5A/KIF1B/AP3B1/ARFGAP3/COPE/SEC31A/ERGIC3/AP1G1/SCAMP1/RPS6KA3/RER1/AP2B1/CLTC/VPS4B/AP2S1/GNAS/STAM/SOD1/USO1/SH3GL2/ARFGEF1/ARCN1/RAB14/ARFGEF2/COPB1/NAPG/SEC22B/AP3S1/YIPF6/SEC24D/SSPN/STX12/ATP1A1/VPS45/DNM1L/ATP6V1H/STX16/COPB2"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",181,-0.404591722853218,-1.61350526693953,0.000196553513754038,0.00109196396530021,0.000689661451768554,1903,"tags=34%, list=11%, signal=31%","PSMB5/IDI1/RAB1A/MLLT11/SORD/SQLE/SHMT2/UCHL5/ARPC5L/UFM1/SLC37A4/CYP51A1/IGFBP5/USO1/ACACA/PNP/GBE1/GPI/PNO1/FDXR/PSMC2/SLC2A1/SC5D/TPI1/ABCF2/PRDX1/ADIPOR2/WARS1/NMT1/TMEM97/ENO1/GCLC/ELOVL6/NHERF1/DHCR24/PGM1/COPS5/PSMD14/IDH1/ACLY/PITPNB/NFYC/PSME3/EIF2S2/PSMA4/TFRC/CYB5B/ATP5MC1/SLC7A5/IMMT/PSAT1/SCD/ME1/INSIG1/STARD4/GOT1/BCAT1/PIK3R3/EPRS1/PGK1/FADS1/ELOVL5"
"HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM",93,-0.476467438875078,-1.74966043235571,0.000327337879502031,0.00155985152012869,0.000985169381133908,3411,"tags=43%, list=20%, signal=35%","LONP2/GCLM/AKR1D1/GNPAT/ABCA3/TTR/RETSAT/MLYCD/IDI1/ABCA5/PEX6/SOD1/ISOC1/AMACR/FDXR/CYP46A1/PEX1/ABCG8/SLC29A1/ACSL5/SCP2/GNMT/PEX19/PEX7/HSD17B4/AQP9/DHCR24/ABCD2/PEX26/PFKM/AR/IDH1/CAT/ACSL1/ALDH8A1/PEX13/ABCD3/DIO1/PEX11A/FADS1"
