"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",192,0.704787372261934,3.00850571158548,2.55660020688872e-32,1.27830010344436e-30,5.92054784753177e-31,2365,"tags=52%, list=14%, signal=45%","PRDX3/NDUFA4/SUCLA2/NDUFB8/ACAT1/COX6A1/CYB5A/SLC25A20/ATP5MG/COX6C/ATP5ME/ATP5PB/ACADM/FH/UQCRH/ATP5PO/NDUFA2/ATP5MF/UQCRB/LDHB/UQCRQ/NDUFA1/CYC1/ATP5F1D/COX7A2/NDUFC1/NDUFS7/UQCR10/COX7B/NDUFA7/COX7C/MRPS15/COX4I1/UQCR11/NDUFS2/ATP5PF/UQCRC1/ISCA1/ATP5MC3/NDUFB3/COX5B/NDUFAB1/ATP5F1C/NDUFB2/HADHA/NDUFS1/NDUFV1/SDHB/SLC25A6/TIMM13/SDHD/ATP5PD/ECHS1/UQCRFS1/MRPS22/NDUFB1/NDUFA8/ATP5F1E/MRPL11/UQCRC2/COX6B1/SDHC/NDUFA3/NDUFC2/ECH1/ATP5MC1/NDUFB6/COX17/NDUFA5/NDUFS6/NDUFB4/ACAA1/ETFA/MDH2/NDUFA9/COX5A/ACAA2/GPX4/NDUFS8/ATP5F1A/COX15/NDUFV2/SUCLG1/NDUFB5/SLC25A11/PHYH/ATP5F1B/COX7A2L/DECR1/ACO2/PDHA1/OAT/PDP1/PDK4/NDUFS3/MTX2/SDHA/ISCU/MGST3/MRPL34"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",184,-0.562254238312257,-2.25002379884704,1.03630643949462e-12,2.59076609873656e-11,1.19993377204641e-11,3121,"tags=41%, list=18%, signal=34%","HMMR/MCM6/CHAF1A/TMPO/SRSF10/CUL5/MARCKS/PRIM2/NUSAP1/CCNB2/LIG3/PBK/AMD1/TNPO2/SMC4/TLE3/SMC2/CDC45/ATRX/KNL1/INCENP/KIF5B/TOP2A/HMGA1/POLE/CUL1/CCNT1/TTK/RPS6KA5/ARID4A/TOP1/RPA2/CCNA2/E2F2/MCM2/EXO1/MAD2L1/NDC80/KIF11/CENPF/NOTCH2/UBE2C/MKI67/CDC6/GSPT1/SS18/KIF4A/KPNB1/POLQ/BCL3/UPF1/SYNCRIP/KIF23/BUB1/CDC7/NUP98/SMARCC1/PAFAH1B1/E2F1/NOLC1/UCK2/CBX1/EZH2/ILF3/HMGN2/SQLE/HNRNPU/SMC1A/MYBL2/GINS2/MCM5/NCL/G3BP1/CTCF/DKC1/ABL1"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",186,-0.550858875632743,-2.20821628968335,3.1878590202508e-12,5.31309836708467e-11,2.46080345422869e-11,3135,"tags=39%, list=18%, signal=32%","SNRPB/HMMR/MCM6/PCNA/TMPO/CBX5/POLD2/WEE1/PRIM2/MELK/BUB1B/MCM4/CCNB2/CDCA3/SMC4/PAN2/TOP2A/HMGA1/XRCC6/POLE/NCAPD2/NAP1L1/ORC2/DNMT1/RPA2/MCM2/E2F8/CDKN1A/RRM2/ZW10/MAD2L1/SPAG5/DCK/RPA1/MRE11/PPP1R8/MKI67/PPM1D/PMS2/IPO7/GSPT1/KIF4A/PHF5A/CSE1L/SYNCRIP/DIAPH3/GINS1/TUBB/NOLC1/EZH2/PSIP1/ILF3/PA2G4/CNOT9/PRPS1/DLGAP5/GINS4/LYAR/USP1/SMC1A/SSRP1/TIMELESS/NUP205/MYBL2/MCM5/MCM7/HELLS/NUP107/UBR7/CTCF/ANP32E/TK1/NUP153"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",188,-0.501245287401472,-2.01565957009736,6.24000782016383e-09,7.80000977520479e-08,3.61263610641064e-08,3541,"tags=41%, list=21%, signal=33%","ARHGAP27/STK38L/HOOK3/CDK1/YWHAE/CDC27/RALBP1/KIFAP3/FGD6/FLNB/ABI1/CDC42BPA/MARCKS/MYH10/DYNLL2/PCNT/CDC42EP4/CDC42EP1/NUSAP1/CCNB2/FLNA/SMC4/ARAP3/DLG1/INCENP/KIF5B/TOP2A/MYO9B/NIN/TTK/OPHN1/ARHGAP29/PXN/ARL8A/NCK2/ARHGDIA/DYNC1H1/FARP1/DOCK2/CKAP5/EZR/ARHGAP5/PIF1/NDC80/KIF11/CENPF/WASL/ARHGEF3/NOTCH2/CTTN/ITSN1/KIF3B/MARK4/ATG4B/CCDC88A/KIF4A/SYNPO/AKAP13/SUN2/ANLN/KIF23/BUB1/CLASP1/PAFAH1B1/ARF6/DLGAP5/WASF2/RAPGEF6/PCM1/MAP1S/SMC1A/GEMIN4/PREX1/ECT2/MYH9/ABR/ABL1"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",132,-0.534568510827533,-2.05809024094185,2.20674777387763e-08,2.20674777387763e-07,1.02207265316437e-07,3415,"tags=50%, list=20%, signal=40%","LY75/HDAC9/CD40/CD3E/DARS1/EIF4G3/NOS2/IGSF6/THY1/B2M/ABI1/FGR/FLNA/JAK2/IL2RG/PTPRC/LIF/CCR5/IL12B/GALNT1/IL18/ITGB2/LCK/LY86/CD86/LCP2/IL2RB/IRF4/CD74/SPI1/WAS/IRF8/IFNG/GZMA/IRF7/FYB1/CD79A/IFNGR1/IL18RAP/CD2/IL12RB1/GPR65/ETS1/CSF1/SRGN/NCF4/TAPBP/RIPK2/CCND3/IL2RA/BCL3/CD80/CD8B/CCL19/LYN/CD8A/PTPN6/CSK/PRKCB/STAT1/STAB1/CRTAM/EIF3J/EIF3A/MMP9/TLR2"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",127,-0.522902820491223,-2.00928225693324,2.09974291728928e-07,1.74978576440774e-06,8.10427090883583e-07,4658,"tags=58%, list=27%, signal=43%","RIGI/ADAR/CD38/EIF2AK2/NMI/HIF1A/UBE2L6/IFI35/CMTR1/LATS2/CIITA/TNFAIP3/PNP/CD40/SAMHD1/DHX58/TRAFD1/C1R/CASP7/IRF5/PLA2G4A/CMPK2/OGFR/B2M/IL10RA/TRIM25/PIM1/JAK2/HELZ2/NFKBIA/MYD88/PLSCR1/IFIH1/PFKP/ZNFX1/RNF213/STAT2/RSAD2/GPR18/SERPING1/ARID5B/PDE4B/NFKB1/CDKN1A/CFH/CD86/LCP2/IL2RB/IRF4/IRF1/CD74/STAT3/CMKLR1/IRF8/GZMA/NUP93/SOCS3/IRF7/USP18/CD274/CSF2RB/TAPBP/RIPK2/BANK1/PTPN6/C1S/STAT1/PTPN2/CASP3/NLRC5/MARCHF1/NAMPT/RAPGEF6/IL18BP"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",52,-0.647136683868414,-2.10950957900115,4.23337033013972e-07,3.0238359500998e-06,1.4005134926778e-06,1409,"tags=37%, list=8%, signal=34%","RRP9/RCL1/NOP2/PES1/LAS1L/MPHOSPH10/GRWD1/NOLC1/CBX3/PPAN/TCOF1/PA2G4/UTP20/DDX18/PPRC1/MCM5/WDR43/RRP12/MYBBP1A"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",61,-0.594335813862117,-2.0121025101275,3.79110393199671e-06,2.36943995749794e-05,1.0974248224201e-05,2640,"tags=43%, list=16%, signal=36%","PIM1/MYD88/IL2RG/PIK3R5/STAT2/ITGA4/TNFRSF21/IL6ST/IRF1/STAT3/ACVR1B/SOCS3/IFNGR1/IL12RB1/CSF1/CSF2RB/IL2RA/STAT1/PTPN2/BAK1/CD14/CBL/IFNAR1/TLR2/GRB2/CSF3R"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",136,-0.464122126829469,-1.78913948856149,1.79133052754052e-05,8.95665263770258e-05,4.14834437956751e-05,3043,"tags=37%, list=18%, signal=30%","CCR7/ABI1/IL10RA/RGS1/NFKBIA/ITGA5/LIF/CD48/MMP14/VIP/PIK3R5/TNFSF15/IL12B/SLC31A2/RASGRP1/C3AR1/PTPRE/IL18/LCK/PDE4B/NFKB1/GABBR1/KCNJ2/PTGER4/CDKN1A/PTAFR/LCP2/IL2RB/IRF1/CMKLR1/ACVR1B/IRF7/IL18RAP/RELA/CSF1/KCNA3/RHOG/TAPBP/RIPK2/LYN/MARCO/STAB1/CD14/NAMPT/IFNAR1/CYBB/TLR2/KLF6/P2RY2/CSF3R"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",140,-0.461006374928099,-1.78316908821954,1.67738542326329e-05,8.95665263770258e-05,4.14834437956751e-05,3621,"tags=40%, list=21%, signal=32%","TNFAIP3/CTSB/PRKCD/C1QA/PLAT/DYRK2/C1R/TMPRSS6/GNGT2/FYN/PRDM4/CASP7/PLA2G4A/RCE1/USP8/DUSP5/CTSC/PIM1/JAK2/PLSCR1/FCER1G/MMP14/PIK3R5/SCG3/RASGRP1/LRP1/SERPING1/DOCK10/PPP4C/LCK/PIK3CG/CFH/LCP2/C3/IRF1/MMP15/WAS/GNG2/GZMA/IRF7/XPNPEP1/SRC/GNB4/RHOG/AKAP10/LGALS3/LYN/C1S/MSRB1/CASP3/GNAI2/MAFF/HNF4A/GRB2/PRCP/LGMN"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",157,-0.447423167377467,-1.76631423448869,4.09770684819519e-05,0.000186259402190691,8.6267512593583e-05,3262,"tags=32%, list=19%, signal=27%","GADD45B/TNIP1/CD83/MSC/PHLDA2/MARCKS/DUSP4/CLCF1/GEM/DUSP5/IER2/KLF10/NFKBIA/LIF/IFIH1/DENND5A/IL12B/PTPRE/SDC4/MAP2K3/IL18/DRAM1/PDE4B/NFKB1/PTGER4/CDKN1A/EGR2/IL6ST/IRF1/SOCS3/NFKB2/TNFAIP8/RELA/CSF1/RIPK2/BCL3/CD80/ID2/AREG/EFNA1/B4GALT5/LAMB3/IER5/NAMPT/MAFF/PMEPA1/ETS2/SLC2A6/TLR2/KLF6/REL"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",193,-0.412392685517726,-1.66628570365881,4.56373602517858e-05,0.000190155667715774,8.80720987315164e-05,3502,"tags=37%, list=21%, signal=30%","NOP56/SF3A1/UBA2/YWHAE/VDAC1/PHB2/PWP1/MCM6/PCNA/EIF4E/POLD2/APEX1/EIF4G2/RSL1D1/SNRPA/RUVBL2/MCM4/PTGES3/SRPK1/CDC45/PSMD3/SNRPA1/XRCC6/CCT5/HNRNPA1/CUL1/RFC4/NAP1L1/EIF2S2/EPRS1/HDAC2/ORC2/EIF4H/CCNA2/MCM2/SF3B3/XPOT/MAD2L1/RRP9/PPM1G/SRSF3/PSMD1/CCT7/GSPT1/KPNB1/PABPC1/SYNCRIP/NCBP1/SMARCC1/NOLC1/CBX3/RRM1/PA2G4/YWHAQ/IMPDH2/CDK2/CCT3/EIF3J/HNRNPU/HNRNPR/USP1/DDX18/IARS1/MCM5/MCM7/G3BP1/TCP1/EIF4A1/SET/EIF3B/CAD"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS",64,-0.530899642557692,-1.81023048167726,0.000152969329332837,0.000588343574357066,0.000272495971281167,2496,"tags=38%, list=15%, signal=32%","PLSCR1/SREBF2/NSDHL/CPEB2/HMGCS1/ALDOC/STARD4/LPL/EBP/MVD/CTNNB1/LGALS3/ATXN2/HSD17B7/MVK/SQLE/CYP51A1/IDI1/CHKA/DHCR7/ACTG1/LGMN/HMGCR/FDFT1"
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS",178,0.384577550440098,1.62451144747825,0.000331610394983887,0.00118432283922817,0.000548528472905678,1917,"tags=22%, list=11%, signal=20%","PRDX3/COX6A1/COQ9/ACADM/ACADL/ATP5PO/DHRS7/UQCRQ/CYC1/CHCHD10/UQCR10/COX7B/UQCR11/UQCRC1/ADIPOQ/NDUFAB1/SDHB/ECHS1/TOB1/CCNG2/ITGA7/SDHC/SCP2/ECH1/NDUFA5/MTCH2/DRAM2/SAMM50/MDH2/PTGER3/ENPP2/ACAA2/GPX4/GPHN/SUCLG1/PHYH/DECR1/ACO2/SOD1/COQ5"
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",159,-0.384586222269439,-1.51751154102154,0.00153061058246684,0.00510203527488945,0.0023630479167909,2957,"tags=30%, list=17%, signal=25%","THY1/TGFBI/MYH10/TJP1/SKAP2/PTPRC/INPPL1/RAC2/DLG1/COL16A1/ZYX/ITGB1/PLCG1/MADCAM1/NRTN/FLNC/CD86/ITGA3/MVD/EVL/YWHAH/WASL/SRC/FYB1/MSN/ADAM15/SYK/CD274/ACTB/LIMA1/VAV2/PTEN/SYMPK/CDH11/SHC1/LAMB3/GNAI2/ACTN1/MMP9/CTNND1/JUP/MYH9/AMIGO2/CAP1/ACTG1/GTF2F1/INSIG1"
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE",90,-0.431711399286956,-1.56192722304207,0.0039998103717151,0.0124994074116097,0.00578919922221923,2274,"tags=27%, list=13%, signal=23%","XRCC6/ELOVL5/HMGCS1/ARID5B/CAMKK2/ITGAV/SLC38A2/TNFAIP8/CCND3/MERTK/CDK6/ALDH1A3/ACSL3/PA2G4/FADS1/SPDEF/ACTN1/ELK4/IDI1/PMEPA1/SRF/RRP12/HMGCR/INSIG1"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PI3K_AKT_MTOR_SIGNALING",94,-0.411474930200073,-1.49103952713751,0.00683848661249733,0.0201131959191098,0.00931558547832454,3789,"tags=32%, list=22%, signal=25%","AP2M1/PIK3R3/PTPN11/PIN1/CDK1/TBK1/SLA/EIF4E/ACTR3/MYD88/DDIT3/IL2RG/PLCG1/STAT2/MAP2K3/LCK/ARHGDIA/RALB/CDKN1A/CLTC/PTEN/MAPKAP1/PRKCB/E2F1/RPS6KA1/RPTOR/CDK2/GSK3B/ACTR2/GRB2"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",53,-0.48035068779135,-1.57492722485813,0.00781895447665598,0.0205761959911999,0.00953002761697681,4653,"tags=51%, list=27%, signal=37%","TMEM140/ADAR/EIF2AK2/NMI/UBE2L6/IFI35/CMTR1/DHX58/TRAFD1/CMPK2/OGFR/B2M/TRIM25/HELZ2/PLSCR1/IFIH1/STAT2/RSAD2/PARP9/CNP/IRF1/CD74/IRF7/USP18/CSF1/RIPK2/C1S"
"HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM",129,0.361106617901156,1.46914785737388,0.00745577177884658,0.0205761959911999,0.00953002761697681,2295,"tags=26%, list=13%, signal=23%","SUCLA2/BCKDHB/ENO2/ACADM/FH/ACADL/GAD2/GCDH/SDHD/HSDL2/ECHS1/CRYZ/SDHC/ECH1/AUH/ACAA1/MDH2/TDO2/ACAA2/SERINC1/SUCLG1/BLVRA/HMGCS2/GSTZ1/DECR1/ACO2/D2HGDH/S100A10/NTHL1/PDHA1/ADSL/HSD17B4/PRDX6/SDHA"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",181,-0.35339929900688,-1.40989090318786,0.0109324175194027,0.0273310437985067,0.0126585887066768,3858,"tags=31%, list=23%, signal=25%","PSME3/YKT6/PNP/PIK3R3/DHCR24/PSMD12/GLA/NUFIP1/P4HA1/G6PD/TXNRD1/TBK1/SLA/SCD/ABCF2/CTSC/MCM4/ACTR3/SKAP2/DDIT3/ASNS/HSPA4/ELOVL5/HMGCS1/MAP2K3/EIF2S2/EPRS1/ITGB2/STARD4/MCM2/CDKN1A/TOMM40/RRM2/EBP/RPA1/PITPNB/RRP9/ALDOA/FDXR/GCLC/BUB1/ACSL3/FADS1/SQLE/GSK3B/NAMPT/CYP51A1/M6PR/IDI1/CCNG1/NUP205/NMT1/DHCR7/ACTR2/LGMN/HMGCR/INSIG1"
"HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING",46,-0.49426622949504,-1.57941598263256,0.0121363009110372,0.0288959545500885,0.0133833894758305,2938,"tags=37%, list=17%, signal=31%","ENG/SKI/TJP1/KLF10/SMAD6/RAB31/ARID4B/THBS1/BMPR2/SKIL/HDAC1/CTNNB1/NCOR2/ID3/ID2/PMEPA1/FURIN"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",106,-0.385495863265557,-1.43117906131639,0.0155891968559256,0.0354299928543763,0.0164096809009743,2505,"tags=22%, list=15%, signal=19%","LSM4/DCP2/LSM1/EIF4E/ASNS/KIF5B/ATF4/ZBTB17/XPOT/CNOT4/RRP9/NOLC1/SHC1/PAIP1/EDC4/GEMIN4/IARS1/TARS1/EIF4G1/SDAD1/KHSRP/EIF4A1/DKC1"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_WNT_BETA_CATENIN_SIGNALING",36,-0.511658198487369,-1.56327462163956,0.0189838147166362,0.0412691624274699,0.0191141383874598,4411,"tags=47%, list=26%, signal=35%","MAML1/TP53/NUMB/NOTCH1/WNT1/LEF1/PSEN2/AXIN1/ADAM17/CUL1/HDAC2/CTNNB1/NCOR2/TCF7/CSNK1E/PPARD/KAT2A"
