"GeneID","Symbol","logCPM","PValue_spline","FDR_spline","FDR_factor","logFC_Heat_vs_Control","PValue_Heat_vs_Control","FDR_Heat_vs_Control","logFC_Rec2h_vs_Heat","PValue_Rec2h_vs_Heat","FDR_Rec2h_vs_Heat","logFC_Rec24h_vs_Rec2h","PValue_Rec24h_vs_Rec2h","FDR_Rec24h_vs_Rec2h","logFC_Rec2wk_vs_Rec24h","PValue_Rec2wk_vs_Rec24h","FDR_Rec2wk_vs_Rec24h","logFC_Rec2wk_vs_Control","PValue_Rec2wk_vs_Control","FDR_Rec2wk_vs_Control","Cluster"
"gene-LOC140685194|LOC140685194","LOC140685194",0.601760131423968,3.82378200008527e-13,6.51151836794521e-09,7.8732057472677e-09,-4.69519726103239,4.121258468528e-07,0.000438630690378521,-0.561393890138388,0.703952949115196,0.886530445230063,-0.724153999341129,0.666965002384331,0.95001835157763,1.2934406752219,0.403710754257592,0.819450875119188,-4.68730447529,2.66633344004812e-07,0.00227024960752897,6
"gene-LOC121468661|LOC121468661","LOC121468661",0.0976238933402515,1.29189194559513e-12,1.09998139707698e-08,7.8732057472677e-09,-4.15784978706554,7.23874112080533e-07,0.000586992964505686,-1.32697141880184,0.370136011758829,0.688506439815765,0.596134814390706,0.698883771188861,0.956693609888924,0.0365038718957628,0.979264084306236,0.995324879200001,-4.85218251958091,8.47379710718069e-08,0.0014430029093818,6
"gene-TNNC2|TNNC2","TNNC2",-0.860173080200551,1.68448568878932e-11,9.5617022647978e-08,1.73746167241895e-07,-4.83183313301378,2.56781594554389e-07,0.000393046625949809,0.271003646320072,0.867349880292014,0.953394989320935,-0.497838274609265,0.749329796319739,0.963287196717143,2.57148346974857,0.0247953885966553,0.425645839125446,-2.4871842915544,0.000108308120112584,0.0909797238710176,5
"gene-MYL1|MYL1","MYL1",0.504892679680304,6.66576035331337e-11,2.83778082641433e-07,4.51270384112665e-07,-4.30582772670429,2.50543101921338e-06,0.00121899956646242,-0.391655414226415,0.772887971086572,0.916250679675462,-0.951606234657681,0.539115564782953,0.925616135000305,2.37207159371395,0.0628046300902012,0.538655511146486,-3.27701778187443,2.2272909503749e-05,0.0344804887217583,6
"gene-MOV10L1|MOV10L1","MOV10L1",0.535742305380773,2.01792298797387e-10,5.72720176036784e-07,2.0656494628744e-08,5.51490782779103,5.04849228321134e-07,0.00045247776363582,-5.73161364010714,1.27946941640833e-07,0.000181567372433478,-3.17474372848841,0.309016860958533,0.837628028154975,3.41883889000759,0.263321807055173,0.743987485176417,0.027389349203073,0.988964407774461,0.999968904514541,3
"gene-LOC100221337|LOC100221337","LOC100221337",0.678987054061871,1.88613804188774e-10,5.72720176036784e-07,4.80128684675254e-07,5.30413663527296,1.67797056998145e-06,0.000969667824353273,-0.991365835745647,0.105738506563425,0.392035930387234,-5.19164082937459,8.51246702201055e-06,0.014083788084157,1.18624049798925,0.551572847693726,0.883920828793679,0.307370468141972,0.871263155687104,0.999968904514541,3
"gene-LOC115496969|LOC115496969","LOC115496969",0.108266684680041,6.82395513055427e-10,1.66007331311727e-06,2.24886867847297e-08,-2.35570606511144,0.0930732389932213,0.357049828072892,3.57243656998856,0.0023376478428818,0.059062025395303,2.17650269918948,0.000135671081064365,0.0427841266563901,-5.18597267805215,8.59948619272691e-09,0.000146440650375947,-1.79273947398555,0.15504342350245,0.999968904514541,2
"gene-LOC100224543|LOC100224543","LOC100224543",1.33437487285609,1.30805304253021e-09,2.78435440765586e-06,2.4413964540087e-06,-0.401886498667203,0.82501444392697,0.933720938370843,-1.0837579141924,0.621108483355242,0.843859311184086,6.49868144078418,4.47201924971849e-07,0.00339128097833559,-1.81184660534764,0.0145338832571653,0.372764327715767,3.20119042257693,0.00724703205166485,0.661051810675295,1
"gene-MYBPH|MYBPH","MYBPH",-2.20492079136039,6.5706142631444e-09,1.24323322541207e-05,3.0828420771246e-05,-4.74622445757802,2.21132102514619e-06,0.00117676830428795,1.71680635768629,0.24727667904443,0.577861200418224,-0.386457543034423,0.723442556799786,0.957445647778118,-0.74372338580047,0.583628107417445,0.892259785384369,-4.15959902872662,4.02674684778249e-06,0.0190307925136734,5
"gene-LOC100224866|LOC100224866","LOC100224866",-0.872078653277535,9.71222937365511e-09,1.65389554003973e-05,1.39563482460388e-05,-0.759148733456428,0.609704243598023,0.823040314247383,-0.710116172558014,0.692602835334057,0.880377453511787,4.97075324451492,5.97442183041092e-07,0.00339128097833559,-1.97005082200681,0.00217656678882174,0.226574480649428,1.53143751649366,0.144787891056178,0.999968904514541,1
