RNAseq_Sample_ID,Sample_ID
ZF_4529_D_L,ZF_4529
ZF_4554_D_L,ZF_4554
ZF_4620_D_L,ZF_4620
ZF_4715_D_L,ZF_4715
ZF_4739_D_L,ZF_4739
ZF_4755_D_L,ZF_4755
ZF_4773_D_L,ZF_4773
ZF_4792_D_L,ZF_4792
ZF_4806_D_L,ZF_4806
ZF_4530_D_L,ZF_4530
ZF_4562_D_L,ZF_4562
ZF_4622_D_L,ZF_4622
ZF_4717_D_L,ZF_4717
ZF_4741_D_L,ZF_4741
ZF_4756_D_L,ZF_4756
ZF_4779_D_L,ZF_4779
ZF_4793_D_L,ZF_4793
ZF_4808_D_L,ZF_4808
ZF_4531_D_L,ZF_4531
ZF_4593_D_L,ZF_4593
ZF_4625_D_L,ZF_4625
ZF_4718_D_L,ZF_4718
ZF_4744_D_L,ZF_4744
ZF_4757_D_L,ZF_4757
ZF_4781_D_L,ZF_4781
ZF_4795_D_L,ZF_4795
ZF_4809_D_L,ZF_4809
ZF_4533_D_L,ZF_4533
ZF_4600_D_L,ZF_4600
ZF_4703_D_L,ZF_4703
ZF_4720_D_L,ZF_4720
ZF_4745_D_L,ZF_4745
ZF_4764_D_L,ZF_4764
ZF_4782_D_L,ZF_4782
ZF_4796_D_L,ZF_4796
ZF_4812_D_L,ZF_4812
ZF_4534_D_L,ZF_4534
ZF_4601_D_L,ZF_4601
ZF_4704_D_L,ZF_4704
ZF_4723_D_L,ZF_4723
ZF_4748_D_L,ZF_4748
ZF_4765_D_L,ZF_4765
ZF_4783_D_L,ZF_4783
ZF_4797_D_L,ZF_4797
ZF_4814_D_L,ZF_4814
ZF_4543_D_L,ZF_4543
ZF_4604_D_L,ZF_4604
ZF_4705_D_L,ZF_4705
ZF_4725_D_L,ZF_4725
ZF_4749_D_L,ZF_4749
ZF_4767_D_L,ZF_4767
ZF_4784_D_L,ZF_4784
ZF_4800_D_L,ZF_4800
ZF_4817_D_L,ZF_4817
ZF_4548_D_L,ZF_4548
ZF_4613_D_L,ZF_4613
ZF_4708_D_L,ZF_4708
ZF_4729_D_L,ZF_4729
ZF_4752_D_L,ZF_4752
ZF_4770_D_L,ZF_4770
ZF_4785_D_L,ZF_4785
ZF_4801_D_L,ZF_4801
ZF_4552_D_L,ZF_4552
ZF_4619_D_L,ZF_4619
ZF_4712_D_L,ZF_4712
ZF_4738_D_L,ZF_4738
ZF_4753_D_L,ZF_4753
ZF_4771_D_L,ZF_4771
ZF_4788_D_L,ZF_4788
ZF_4805_D_L,ZF_4805
