"Gene_ID","Module"
"gene-LOC140684313|LOC140684313","blue"
"gene-LOC140684329|LOC140684329","midnightblue"
"gene-LOC121469166|LOC121469166","turquoise"
"gene-LOC140684334|LOC140684334","turquoise"
"gene-LOC140684346|LOC140684346","turquoise"
"gene-LOC140684351|LOC140684351","turquoise"
"gene-LOC140684365|LOC140684365","turquoise"
"gene-LOC140684387|LOC140684387","plum1"
"gene-LOC140684392|LOC140684392","turquoise"
"gene-LOC140684497|LOC140684497","turquoise"
"gene-LOC121470777|LOC121470777","grey"
"gene-LOC100221041|LOC100221041","grey"
"gene-CMSS1|CMSS1","grey"
"gene-FILIP1L|FILIP1L","grey"
"gene-DCBLD2|DCBLD2","green"
"gene-TMEM45A|TMEM45A","blue"
"gene-TBC1D23|TBC1D23","black"
"gene-NIT2|NIT2","grey"
"gene-TOMM70|TOMM70","purple"
"gene-IMPG2|IMPG2","grey"
"gene-ABI3BP|ABI3BP","mediumpurple3"
"gene-TFG|TFG","yellow"
"gene-SENP7|SENP7","black"
"gene-TRMT10C|TRMT10C","yellow"
"gene-LOC100219101|LOC100219101","turquoise"
"gene-TXNL4B|TXNL4B","pink"
"gene-NXPE3|NXPE3","turquoise"
"gene-LOC140684920|LOC140684920","lightyellow"
"gene-PCNP|PCNP","brown"
"gene-ZBTB11|ZBTB11","brown"
"gene-RPL24|RPL24","pink"
"gene-CEP97|CEP97","violet"
"gene-NFKBIZ|NFKBIZ","red"
"gene-ZPLD1|ZPLD1","red"
"gene-ALCAM|ALCAM","blue"
"gene-CBLB|CBLB","blue"
"gene-BBX|BBX","black"
"gene-LOC116808831|LOC116808831","midnightblue"
"gene-CIP2A|CIP2A","darkgreen"
"gene-TRAT1|TRAT1","blue"
"gene-HJURP|HJURP","blue"
"gene-GUCA1C|GUCA1C","grey"
"gene-MYH15|MYH15","thistle2"
"gene-CD47|CD47","brown"
"gene-IFT57|IFT57","grey"
"gene-HHLA2|HHLA2","grey"
"gene-LOC115497582|LOC115497582","grey"
"gene-C1H3orf85|C1H3orf85","magenta"
"gene-CD96|CD96","grey"
"gene-NECTIN3|NECTIN3","grey"
"gene-PLCXD2|PLCXD2","blue"
"gene-PHLDB2|PHLDB2","brown"
"gene-ABHD10|ABHD10","brown"
"gene-TAGLN3|TAGLN3","lightcyan"
"gene-UVRAG|UVRAG","red"
"gene-DGAT2|DGAT2","green"
"gene-MAP6|MAP6","grey"
"gene-APP|APP","brown"
"gene-TMPRSS7|TMPRSS7","black"
"gene-C1H3orf52|C1H3orf52","lightcyan"
"gene-LOC115497877|LOC115497877","blue"
"gene-LOC100221949|LOC100221949","blue"
"gene-USP16|USP16","brown"
"gene-MAP3K7CL|MAP3K7CL","grey"
"gene-IL18BP|IL18BP","blue"
"gene-LOC115498571|LOC115498571","cyan"
