"GeneID","Symbol"
"gene-SNX1|SNX1","SNX1"
"gene-KDM4B|KDM4B","KDM4B"
"gene-SETD5|SETD5","SETD5"
"gene-MGRN1|MGRN1","MGRN1"
"gene-PAX9|PAX9","PAX9"
"gene-ATG7|ATG7","ATG7"
"gene-DLAT|DLAT","DLAT"
"gene-SLC39A11|SLC39A11","SLC39A11"
"gene-SYNGR2|SYNGR2","SYNGR2"
"gene-R3HCC1L|R3HCC1L","R3HCC1L"
"gene-IMP4|IMP4","IMP4"
"gene-SPAG7|SPAG7","SPAG7"
"gene-COASY|COASY","COASY"
"gene-CTNND1|CTNND1","CTNND1"
"gene-NDUFS2|NDUFS2","NDUFS2"
"gene-GTPBP2|GTPBP2","GTPBP2"
"gene-NXF1|NXF1","NXF1"
"gene-ETFA|ETFA","ETFA"
"gene-GSE1|GSE1","GSE1"
"gene-STAT3|STAT3","STAT3"
"gene-LOC100223250|LOC100223250","LOC100223250"
"gene-PLPP2|PLPP2","PLPP2"
"gene-YOD1|YOD1","YOD1"
"gene-SEC63|SEC63","SEC63"
"gene-MTMR4|MTMR4","MTMR4"
"gene-WIPI1|WIPI1","WIPI1"
"gene-LYRM4|LYRM4","LYRM4"
"gene-FMNL3|FMNL3","FMNL3"
"gene-NDUFAF7|NDUFAF7","NDUFAF7"
"gene-CANT1|CANT1","CANT1"
"gene-NR6A1|NR6A1","NR6A1"
"gene-LRSAM1|LRSAM1","LRSAM1"
"gene-VRK3|VRK3","VRK3"
"gene-QARS1|QARS1","QARS1"
"gene-GHDC|GHDC","GHDC"
"gene-ZFPL1|ZFPL1","ZFPL1"
"gene-SWT1|SWT1","SWT1"
"gene-LOC121469604|LOC121469604","LOC121469604"
"gene-TAMALIN|TAMALIN","TAMALIN"
"gene-JARID2|JARID2","JARID2"
"gene-TEPSIN|TEPSIN","TEPSIN"
"gene-HNRNPU|HNRNPU","HNRNPU"
"gene-LOC115492115|LOC115492115","LOC115492115"
"gene-MAP3K2|MAP3K2","MAP3K2"
"gene-PEX11G|PEX11G","PEX11G"
"gene-SYVN1|SYVN1","SYVN1"
"gene-PHC2|PHC2","PHC2"
"gene-TRMT44|TRMT44","TRMT44"
"gene-SLC25A28|SLC25A28","SLC25A28"
"gene-ADIPOR1|ADIPOR1","ADIPOR1"
"gene-PFDN2|PFDN2","PFDN2"
"gene-FOXJ2|FOXJ2","FOXJ2"
"gene-CLNS1A|CLNS1A","CLNS1A"
"gene-SNAPIN|SNAPIN","SNAPIN"
"gene-DDX42|DDX42","DDX42"
"gene-FKBP8|FKBP8","FKBP8"
"gene-DNAJC14|DNAJC14","DNAJC14"
"gene-ABITRAM|ABITRAM","ABITRAM"
"gene-UQCRFS1|UQCRFS1","UQCRFS1"
"gene-UXT|UXT","UXT"
"gene-PABPN1|PABPN1","PABPN1"
"gene-PSMD13|PSMD13","PSMD13"
"gene-KMT2D|KMT2D","KMT2D"
"gene-SLC27A4|SLC27A4","SLC27A4"
"gene-KPNB1|KPNB1","KPNB1"
"gene-BSCL2|BSCL2","BSCL2"
"gene-NDUFA11|NDUFA11","NDUFA11"
"gene-PC|PC","PC"
"gene-PGAP3|PGAP3","PGAP3"
"gene-LOC105759311|LOC105759311","LOC105759311"
"gene-WDR59|WDR59","WDR59"
"gene-CC2D1B|CC2D1B","CC2D1B"
"gene-LOC100218528|LOC100218528","LOC100218528"
"gene-AFG1L|AFG1L","AFG1L"
"gene-WDR45|WDR45","WDR45"
"gene-LOC121468577|LOC121468577","LOC121468577"
"gene-SLC25A1|SLC25A1","SLC25A1"
"gene-BRD3|BRD3","BRD3"
"gene-DDX28|DDX28","DDX28"
"gene-PTP4A2|PTP4A2","PTP4A2"
"gene-ETV5|ETV5","ETV5"
"gene-FH|FH","FH"
"gene-SCYL1|SCYL1","SCYL1"
"gene-STAU1|STAU1","STAU1"
"gene-CEP78|CEP78","CEP78"
"gene-UROD|UROD","UROD"
"gene-PLPBP|PLPBP","PLPBP"
"gene-ZFYVE27|ZFYVE27","ZFYVE27"
"gene-CCDC142|CCDC142","CCDC142"
"gene-LOC115492525|LOC115492525","LOC115492525"
"gene-JMJD8|JMJD8","JMJD8"
"gene-PWWP2A|PWWP2A","PWWP2A"
"gene-TPGS1|TPGS1","TPGS1"
"gene-MRPL21|MRPL21","MRPL21"
"gene-NFIC|NFIC","NFIC"
"gene-GTF3C1|GTF3C1","GTF3C1"
"gene-HDLBP|HDLBP","HDLBP"
"gene-NFKBIB|NFKBIB","NFKBIB"
"gene-LOC100221041|LOC100221041","LOC100221041"
"gene-FIS1|FIS1","FIS1"
"gene-ALKBH7|ALKBH7","ALKBH7"
"gene-MAPT|MAPT","MAPT"
"gene-GNL3L|GNL3L","GNL3L"
"gene-SAYSD1|SAYSD1","SAYSD1"
"gene-ABCB6|ABCB6","ABCB6"
"gene-TSR2|TSR2","TSR2"
"gene-POLR3E|POLR3E","POLR3E"
"gene-LOC121468677|LOC121468677","LOC121468677"
"gene-OSGEP|OSGEP","OSGEP"
"gene-CHKB|CHKB","CHKB"
"gene-DRAP1|DRAP1","DRAP1"
"gene-OS9|OS9","OS9"
"gene-ECSIT|ECSIT","ECSIT"
"gene-LOC121469416|LOC121469416","LOC121469416"
"gene-AAGAB|AAGAB","AAGAB"
"gene-PHF13|PHF13","PHF13"
"gene-PPP6R2|PPP6R2","PPP6R2"
"gene-SART1|SART1","SART1"
"gene-LOC140684829|LOC140684829","LOC140684829"
"gene-SNX22|SNX22","SNX22"
"gene-SRM|SRM","SRM"
"gene-NF2|NF2","NF2"
"gene-LOC105760330|LOC105760330","LOC105760330"
"gene-VPS16|VPS16","VPS16"
"gene-METAP1D|METAP1D","METAP1D"
"gene-LRP8|LRP8","LRP8"
"gene-PIGU|PIGU","PIGU"
"gene-SLC30A1|SLC30A1","SLC30A1"
"gene-LOC116808554|LOC116808554","LOC116808554"
"gene-EVA1B|EVA1B","EVA1B"
"gene-MANF|MANF","MANF"
"gene-HAUS5|HAUS5","HAUS5"
"gene-MIEF2|MIEF2","MIEF2"
"gene-XPO7|XPO7","XPO7"
"gene-YARS1|YARS1","YARS1"
"gene-SNRNP70|SNRNP70","SNRNP70"
"gene-ATRAID|ATRAID","ATRAID"
"gene-BCORL1|BCORL1","BCORL1"
"gene-DHPS|DHPS","DHPS"
"gene-VEZT|VEZT","VEZT"
"gene-VPS33B|VPS33B","VPS33B"
"gene-LOC121468580|LOC121468580","LOC121468580"
"gene-TPD52|TPD52","TPD52"
"gene-EBAG9|EBAG9","EBAG9"
"gene-ELOF1|ELOF1","ELOF1"
"gene-RPS6KB2|RPS6KB2","RPS6KB2"
"gene-LOC100190416|LOC100190416","LOC100190416"
"gene-ARHGDIA|ARHGDIA","ARHGDIA"
"gene-COMMD4|COMMD4","COMMD4"
"gene-CHMP6|CHMP6","CHMP6"
"gene-TMOD4|TMOD4","TMOD4"
"gene-TATDN3|TATDN3","TATDN3"
"gene-PRKAG1|PRKAG1","PRKAG1"
"gene-LOC140684267|LOC140684267","LOC140684267"
"gene-PIAS2|PIAS2","PIAS2"
"gene-C22H2orf68|C22H2orf68","C22H2orf68"
"gene-ELP6|ELP6","ELP6"
"gene-TMC5|TMC5","TMC5"
"gene-HINT2|HINT2","HINT2"
"gene-LHPP|LHPP","LHPP"
"gene-DNM2|DNM2","DNM2"
"gene-PREB|PREB","PREB"
"gene-LOC140680790|LOC140680790","LOC140680790"
"gene-UBA1|UBA1","UBA1"
"gene-LOC115494850|LOC115494850","LOC115494850"
"gene-UBXN6|UBXN6","UBXN6"
"gene-ARSA|ARSA","ARSA"
"gene-SLC8B1|SLC8B1","SLC8B1"
"gene-TONSL|TONSL","TONSL"
"gene-FOXI1|FOXI1","FOXI1"
"gene-TMEM167B|TMEM167B","TMEM167B"
"gene-LCLAT1|LCLAT1","LCLAT1"
"gene-DUSP14|DUSP14","DUSP14"
"gene-PUS3|PUS3","PUS3"
"gene-INPP4A|INPP4A","INPP4A"
"gene-NDUFS6|NDUFS6","NDUFS6"
"gene-C35H6orf136|C35H6orf136","C35H6orf136"
"gene-ATG3|ATG3","ATG3"
"gene-VAMP3|VAMP3","VAMP3"
"gene-PNKP|PNKP","PNKP"
"gene-SHC1|SHC1","SHC1"
"gene-QPCTL|QPCTL","QPCTL"
"gene-UBTF|UBTF","UBTF"
"gene-VAV1|VAV1","VAV1"
"gene-UBN1|UBN1","UBN1"
"gene-THOC5|THOC5","THOC5"
"gene-DBF4B|DBF4B","DBF4B"
"gene-PATL1|PATL1","PATL1"
"gene-R3HDM1|R3HDM1","R3HDM1"
"gene-KLC4|KLC4","KLC4"
"gene-ABHD16A|ABHD16A","ABHD16A"
"gene-VASP|VASP","VASP"
"gene-DQX1|DQX1","DQX1"
"gene-YIPF3|YIPF3","YIPF3"
"gene-YKT6|YKT6","YKT6"
"gene-YRDC|YRDC","YRDC"
"gene-LOC115498277|LOC115498277","LOC115498277"
"gene-ARPC3|ARPC3","ARPC3"
"gene-HDAC5|HDAC5","HDAC5"
"gene-NRBP1|NRBP1","NRBP1"
"gene-SLC25A39|SLC25A39","SLC25A39"
"gene-LOC100224284|LOC100224284","LOC100224284"
"gene-USP21|USP21","USP21"
"gene-CHMP1B|CHMP1B","CHMP1B"
"gene-TMEM9B|TMEM9B","TMEM9B"
"gene-FBXW4|FBXW4","FBXW4"
"gene-DEPDC1|DEPDC1","DEPDC1"
"gene-PHTF2|PHTF2","PHTF2"
"gene-LIAS|LIAS","LIAS"
"gene-THRA|THRA","THRA"
"gene-NDOR1|NDOR1","NDOR1"
"gene-TNPO2|TNPO2","TNPO2"
"gene-SKIDA1|SKIDA1","SKIDA1"
"gene-PAN2|PAN2","PAN2"
"gene-KHSRP|KHSRP","KHSRP"
"gene-ESYT1|ESYT1","ESYT1"
"gene-LOC121468895|LOC121468895","LOC121468895"
"gene-TRAPPC14|TRAPPC14","TRAPPC14"
"gene-TM2D2|TM2D2","TM2D2"
"gene-BIN3|BIN3","BIN3"
"gene-TAF6L|TAF6L","TAF6L"
"gene-LOC100232689|LOC100232689","LOC100232689"
"gene-ZCCHC7|ZCCHC7","ZCCHC7"
"gene-CSTF2|CSTF2","CSTF2"
"gene-MARS1|MARS1","MARS1"
"gene-ANGEL1|ANGEL1","ANGEL1"
"gene-LOC140685012|LOC140685012","LOC140685012"
"gene-TENT4B|TENT4B","TENT4B"
"gene-TUFM|TUFM","TUFM"
"gene-PPP1R12C|PPP1R12C","PPP1R12C"
"gene-MAN2C1|MAN2C1","MAN2C1"
"gene-LOC121468582|LOC121468582","LOC121468582"
"gene-NAA10|NAA10","NAA10"
"gene-IPO4|IPO4","IPO4"
"gene-FOSB|FOSB","FOSB"
"gene-ASNS|ASNS","ASNS"
"gene-USP28|USP28","USP28"
"gene-PSMB3|PSMB3","PSMB3"
"gene-BRK1|BRK1","BRK1"
"gene-HM13|HM13","HM13"
"gene-CAPNS1|CAPNS1","CAPNS1"
"gene-CSNK2B|CSNK2B","CSNK2B"
"gene-LOC115491799|LOC115491799","LOC115491799"
"gene-PRRC2A|PRRC2A","PRRC2A"
"gene-METTL25B|METTL25B","METTL25B"
"gene-MRPL17|MRPL17","MRPL17"
"gene-B3GALT4|B3GALT4","B3GALT4"
"gene-WBP1|WBP1","WBP1"
"gene-FBXO34|FBXO34","FBXO34"
"gene-ILF2|ILF2","ILF2"
"gene-MNT|MNT","MNT"
"gene-LOC115493148|LOC115493148","LOC115493148"
"gene-FLII|FLII","FLII"
"gene-VSTM4|VSTM4","VSTM4"
"gene-LOC116806863|LOC116806863","LOC116806863"
"gene-SKIC2|SKIC2","SKIC2"
"gene-TARS2|TARS2","TARS2"
"gene-NFXL1|NFXL1","NFXL1"
"gene-PET117|PET117","PET117"
"gene-PI4K2A|PI4K2A","PI4K2A"
"gene-ZNF653|ZNF653","ZNF653"
"gene-EHMT1|EHMT1","EHMT1"
"gene-LRIG3|LRIG3","LRIG3"
"gene-PASD1|PASD1","PASD1"
"gene-ZNF609|ZNF609","ZNF609"
"gene-CCDC9|CCDC9","CCDC9"
"gene-LMBR1L|LMBR1L","LMBR1L"
"gene-C1GALT1|C1GALT1","C1GALT1"
"gene-ERF|ERF","ERF"
"gene-POLG|POLG","POLG"
"gene-SAMM50|SAMM50","SAMM50"
"gene-UBE2J1|UBE2J1","UBE2J1"
"gene-FPGS|FPGS","FPGS"
"gene-TCEA1|TCEA1","TCEA1"
"gene-LOC100225628|LOC100225628","LOC100225628"
"gene-DEAF1|DEAF1","DEAF1"
"gene-LOC115491620|LOC115491620","LOC115491620"
"gene-NPHP1|NPHP1","NPHP1"
"gene-CEMIP2|CEMIP2","CEMIP2"
"gene-PINK1|PINK1","PINK1"
"gene-VAPB|VAPB","VAPB"
"gene-NECAB3|NECAB3","NECAB3"
"gene-B4GAT1|B4GAT1","B4GAT1"
"gene-LOC100232496|LOC100232496","LOC100232496"
"gene-VEGFA|VEGFA","VEGFA"
"gene-PSMD2|PSMD2","PSMD2"
"gene-POMGNT1|POMGNT1","POMGNT1"
"gene-PSMB1|PSMB1","PSMB1"
"gene-SH3PXD2B|SH3PXD2B","SH3PXD2B"
"gene-LOC115493999|LOC115493999","LOC115493999"
"gene-BAD|BAD","BAD"
"gene-ATXN7L3|ATXN7L3","ATXN7L3"
"gene-LOC115495129|LOC115495129","LOC115495129"
"gene-PRPF38A|PRPF38A","PRPF38A"
"gene-LOC140681791|LOC140681791","LOC140681791"
"gene-WDR77|WDR77","WDR77"
"gene-EXOSC1|EXOSC1","EXOSC1"
"gene-DNMBP|DNMBP","DNMBP"
"gene-NDUFS8|NDUFS8","NDUFS8"
"gene-SMAP2|SMAP2","SMAP2"
"gene-CD37|CD37","CD37"
"gene-DNAJC16|DNAJC16","DNAJC16"
"gene-NME3|NME3","NME3"
"gene-NELFE|NELFE","NELFE"
"gene-DUS1L|DUS1L","DUS1L"
"gene-NCKIPSD|NCKIPSD","NCKIPSD"
"gene-LOC115498208|LOC115498208","LOC115498208"
"gene-LOC115491942|LOC115491942","LOC115491942"
"gene-CBX8|CBX8","CBX8"
"gene-LOC121468728|LOC121468728","LOC121468728"
"gene-SUPT5H|SUPT5H","SUPT5H"
"gene-PNPO|PNPO","PNPO"
"gene-BDH1|BDH1","BDH1"
"gene-RABGGTA|RABGGTA","RABGGTA"
"gene-FKBP2|FKBP2","FKBP2"
"gene-CCNQ|CCNQ","CCNQ"
"gene-TMEM214|TMEM214","TMEM214"
"gene-CS|CS","CS"
"gene-MRPL2|MRPL2","MRPL2"
"gene-SEMA4B|SEMA4B","SEMA4B"
"gene-NDUFB6|NDUFB6","NDUFB6"
"gene-HGS|HGS","HGS"
"gene-TUT1|TUT1","TUT1"
"gene-PIP4P1|PIP4P1","PIP4P1"
"gene-ELMO3|ELMO3","ELMO3"
"gene-MPHOSPH6|MPHOSPH6","MPHOSPH6"
"gene-CDK5|CDK5","CDK5"
"gene-SLC24A2|SLC24A2","SLC24A2"
"gene-INTS5|INTS5","INTS5"
"gene-PPWD1|PPWD1","PPWD1"
"gene-ATG2A|ATG2A","ATG2A"
"gene-SLC38A8|SLC38A8","SLC38A8"
"gene-C2H1orf35|C2H1orf35","C2H1orf35"
"gene-KAT14|KAT14","KAT14"
"gene-GEMIN8|GEMIN8","GEMIN8"
"gene-FRG1|FRG1","FRG1"
"gene-DMAC1|DMAC1","DMAC1"
"gene-EXOSC4|EXOSC4","EXOSC4"
"gene-CCDC92B|CCDC92B","CCDC92B"
"gene-PACS1|PACS1","PACS1"
"gene-ARID1B|ARID1B","ARID1B"
"gene-COMMD7|COMMD7","COMMD7"
"gene-SELENOW|SELENOW","SELENOW"
"gene-APOB|APOB","APOB"
"gene-SLC7A6OS|SLC7A6OS","SLC7A6OS"
"gene-NSUN4|NSUN4","NSUN4"
"gene-ERO1A|ERO1A","ERO1A"
"gene-GPR88|GPR88","GPR88"
"gene-CCDC120|CCDC120","CCDC120"
"gene-SIRT3|SIRT3","SIRT3"
"gene-SCNM1|SCNM1","SCNM1"
"gene-PSMA5|PSMA5","PSMA5"
"gene-KIF21B|KIF21B","KIF21B"
"gene-GPAA1|GPAA1","GPAA1"
"gene-LOC100231218|LOC100231218","LOC100231218"
"gene-ATP5F1D|ATP5F1D","ATP5F1D"
"gene-BAG6|BAG6","BAG6"
"gene-LOC140681012|LOC140681012","LOC140681012"
"gene-HDHD5|HDHD5","HDHD5"
"gene-VARS1|VARS1","VARS1"
"gene-LOC115491017|LOC115491017","LOC115491017"
"gene-LOC115491814|LOC115491814","LOC115491814"
"gene-NOCT|NOCT","NOCT"
"gene-KCNH2|KCNH2","KCNH2"
"gene-USF1|USF1","USF1"
"gene-STAM2|STAM2","STAM2"
"gene-CRELD1|CRELD1","CRELD1"
"gene-BIN1|BIN1","BIN1"
"gene-LOC140684410|LOC140684410","LOC140684410"
"gene-TBC1D25|TBC1D25","TBC1D25"
"gene-CLPP|CLPP","CLPP"
"gene-LOC140684831|LOC140684831","LOC140684831"
"gene-MTA2|MTA2","MTA2"
"gene-SHC3|SHC3","SHC3"
"gene-PPP3CC|PPP3CC","PPP3CC"
"gene-LOC100224152|LOC100224152","LOC100224152"
"gene-PDCD2L|PDCD2L","PDCD2L"
"gene-MPC2|MPC2","MPC2"
"gene-EHBP1L1|EHBP1L1","EHBP1L1"
"gene-WDR41|WDR41","WDR41"
"gene-SGTA|SGTA","SGTA"
"gene-DDX54|DDX54","DDX54"
"gene-LOC121468784|LOC121468784","LOC121468784"
"gene-HYLS1|HYLS1","HYLS1"
"gene-LOC140681086|LOC140681086","LOC140681086"
"gene-MVB12B|MVB12B","MVB12B"
"gene-NDUFV1|NDUFV1","NDUFV1"
"gene-SIPA1|SIPA1","SIPA1"
"gene-NDUFB2|NDUFB2","NDUFB2"
"gene-ELAC2|ELAC2","ELAC2"
"gene-TLDC2|TLDC2","TLDC2"
"gene-OGFOD2|OGFOD2","OGFOD2"
"gene-IFNGR2|IFNGR2","IFNGR2"
"gene-PPP1R3G|PPP1R3G","PPP1R3G"
"gene-PTGES2|PTGES2","PTGES2"
"gene-EWSR1|EWSR1","EWSR1"
"gene-MRPL58|MRPL58","MRPL58"
"gene-SWS2|SWS2","SWS2"
"gene-MRPL11|MRPL11","MRPL11"
"gene-CDH15|CDH15","CDH15"
"gene-NDUFB11|NDUFB11","NDUFB11"
"gene-AKAP10|AKAP10","AKAP10"
"gene-LOC140680553|LOC140680553","LOC140680553"
"gene-LOC140681499|LOC140681499","LOC140681499"
"gene-HMGXB4|HMGXB4","HMGXB4"
"gene-FARSB|FARSB","FARSB"
"gene-SLC49A4|SLC49A4","SLC49A4"
"gene-C26H1orf116|C26H1orf116","C26H1orf116"
"gene-ATP23|ATP23","ATP23"
"gene-EXOSC5|EXOSC5","EXOSC5"
"gene-BBS1|BBS1","BBS1"
"gene-LOC115494107|LOC115494107","LOC115494107"
"gene-LOC101234247|LOC101234247","LOC101234247"
"gene-LAMTOR1|LAMTOR1","LAMTOR1"
"gene-REX1BD|REX1BD","REX1BD"
"gene-KIF1C|KIF1C","KIF1C"
"gene-RELA|RELA","RELA"
"gene-C21H1orf50|C21H1orf50","C21H1orf50"
"gene-OPA3|OPA3","OPA3"
"gene-LMNA|LMNA","LMNA"
"gene-TYMP|TYMP","TYMP"
"gene-LOC115491015|LOC115491015","LOC115491015"
"gene-LMF2|LMF2","LMF2"
"gene-TFPT|TFPT","TFPT"
"gene-LOC140682196|LOC140682196","LOC140682196"
