"GeneID","Symbol"
"gene-DEGS1|DEGS1","DEGS1"
"gene-CKAP2L|CKAP2L","CKAP2L"
"gene-LOC100227014|LOC100227014","LOC100227014"
"gene-GFI1B|GFI1B","GFI1B"
"gene-ISCU|ISCU","ISCU"
"gene-HERPUD1|HERPUD1","HERPUD1"
"gene-NPRL3|NPRL3","NPRL3"
"gene-RBM12|RBM12","RBM12"
"gene-MAFF|MAFF","MAFF"
"gene-EGR1|EGR1","EGR1"
"gene-ARL6IP1|ARL6IP1","ARL6IP1"
"gene-ZC3H7B|ZC3H7B","ZC3H7B"
"gene-LOC115496967|LOC115496967","LOC115496967"
"gene-H2AZ1|H2AZ1","H2AZ1"
"gene-PRPS1|PRPS1","PRPS1"
"gene-MACO1|MACO1","MACO1"
"gene-LOC100220427|LOC100220427","LOC100220427"
"gene-HSPA5|HSPA5","HSPA5"
"gene-RGS9BP|RGS9BP","RGS9BP"
"gene-LOC140682288|LOC140682288","LOC140682288"
"gene-LOC115490794|LOC115490794","LOC115490794"
"gene-LOC140682203|LOC140682203","LOC140682203"
"gene-TPI1|TPI1","TPI1"
"gene-LPIN2|LPIN2","LPIN2"
"gene-RHOF|RHOF","RHOF"
"gene-LOC115498299|LOC115498299","LOC115498299"
"gene-LOC121469107|LOC121469107","LOC121469107"
"gene-LOC121470714|LOC121470714","LOC121470714"
"gene-TUBB4B|TUBB4B","TUBB4B"
"gene-APTX|APTX","APTX"
"gene-LOC100221480|LOC100221480","LOC100221480"
"gene-LOC140680452|LOC140680452","LOC140680452"
"gene-CREBRF|CREBRF","CREBRF"
"gene-XBP1|XBP1","XBP1"
"gene-SCLT1|SCLT1","SCLT1"
"gene-KMT2E|KMT2E","KMT2E"
"gene-LOC115497283|LOC115497283","LOC115497283"
"gene-HSPA8|HSPA8","HSPA8"
"gene-DNAJA4|DNAJA4","DNAJA4"
"gene-TSC22D1|TSC22D1","TSC22D1"
"gene-DDX3X|DDX3X","DDX3X"
"gene-LOC115493339|LOC115493339","LOC115493339"
"gene-MLF1|MLF1","MLF1"
"gene-LOC100225375|LOC100225375","LOC100225375"
