"GeneID","Symbol"
"gene-CCNB2|CCNB2","CCNB2"
"gene-NEK8|NEK8","NEK8"
"gene-SART3|SART3","SART3"
"gene-SERF1A|SERF1A","SERF1A"
"gene-PYGM|PYGM","PYGM"
"gene-BHLHA15|BHLHA15","BHLHA15"
"gene-BTG1|BTG1","BTG1"
"gene-MAT2A|MAT2A","MAT2A"
"gene-PPM1G|PPM1G","PPM1G"
"gene-KIF20A|KIF20A","KIF20A"
"gene-SUN1|SUN1","SUN1"
"gene-PPP1R10|PPP1R10","PPP1R10"
"gene-SLC7A3|SLC7A3","SLC7A3"
"gene-RSRP1|RSRP1","RSRP1"
"gene-AURKA|AURKA","AURKA"
"gene-MED13|MED13","MED13"
"gene-HSP90AB1|HSP90AB1","HSP90AB1"
"gene-HSPD1|HSPD1","HSPD1"
"gene-PCNA|PCNA","PCNA"
"gene-TXNIP|TXNIP","TXNIP"
"gene-LOC121469813|LOC121469813","LOC121469813"
"gene-UBAP1L|UBAP1L","UBAP1L"
"gene-JMJD6|JMJD6","JMJD6"
"gene-ZMIZ2|ZMIZ2","ZMIZ2"
"gene-HEBP2|HEBP2","HEBP2"
"gene-PCID2|PCID2","PCID2"
"gene-COMMD2|COMMD2","COMMD2"
"gene-TCP1|TCP1","TCP1"
"gene-RBM39|RBM39","RBM39"
"gene-SERPINF2|SERPINF2","SERPINF2"
"gene-DIPK1A|DIPK1A","DIPK1A"
"gene-KPNA2|KPNA2","KPNA2"
"gene-LOC140684632|LOC140684632","LOC140684632"
"gene-LOC115496371|LOC115496371","LOC115496371"
"gene-GSDMA|GSDMA","GSDMA"
"gene-GPD1|GPD1","GPD1"
"gene-DPAGT1|DPAGT1","DPAGT1"
"gene-DDIT4|DDIT4","DDIT4"
"gene-PROZ|PROZ","PROZ"
"gene-HNRNPDL|HNRNPDL","HNRNPDL"
"gene-CAPN10|CAPN10","CAPN10"
"gene-YTHDF3|YTHDF3","YTHDF3"
"gene-PABPC4|PABPC4","PABPC4"
"gene-AHSA1|AHSA1","AHSA1"
"gene-LOC100226305|LOC100226305","LOC100226305"
"gene-AZIN2|AZIN2","AZIN2"
"gene-CNTD1|CNTD1","CNTD1"
"gene-ID1|ID1","ID1"
"gene-TLCD3A|TLCD3A","TLCD3A"
"gene-LOC105759267|LOC105759267","LOC105759267"
"gene-KANSL1L|KANSL1L","KANSL1L"
"gene-LOC140680780|LOC140680780","LOC140680780"
"gene-HNRNPK|HNRNPK","HNRNPK"
"gene-METTL23|METTL23","METTL23"
"gene-HNRNPH3|HNRNPH3","HNRNPH3"
"gene-NKX6-3|NKX6-3","NKX6-3"
"gene-MXRA7|MXRA7","MXRA7"
"gene-H3-3B|H3-3B","H3-3B"
"gene-LOC115494782|LOC115494782","LOC115494782"
"gene-LOC140680470|LOC140680470","LOC140680470"
"gene-PIKFYVE|PIKFYVE","PIKFYVE"
"gene-MATN3|MATN3","MATN3"
"gene-SRD5A1|SRD5A1","SRD5A1"
"gene-ZFP36L2|ZFP36L2","ZFP36L2"
"gene-CAPRIN1|CAPRIN1","CAPRIN1"
"gene-POLG2|POLG2","POLG2"
"gene-DNAJA1|DNAJA1","DNAJA1"
"gene-GJA9|GJA9","GJA9"
"gene-UBIAD1|UBIAD1","UBIAD1"
"gene-PCF11|PCF11","PCF11"
"gene-KIF2C|KIF2C","KIF2C"
"gene-GNG3|GNG3","GNG3"
"gene-LOC100232391|LOC100232391","LOC100232391"
"gene-CDK10|CDK10","CDK10"
"gene-RPL18A|RPL18A","RPL18A"
"gene-LOC140683680|LOC140683680","LOC140683680"
"gene-LOC115493884|LOC115493884","LOC115493884"
"gene-BRCA1|BRCA1","BRCA1"
"gene-POLR2J|POLR2J","POLR2J"
"gene-EFNB1|EFNB1","EFNB1"
"gene-LOC115497170|LOC115497170","LOC115497170"
"gene-LOC115497171|LOC115497171","LOC115497171"
"gene-LOC121470213|LOC121470213","LOC121470213"
"gene-ADNP|ADNP","ADNP"
"gene-WDR48|WDR48","WDR48"
"gene-LOC115498301|LOC115498301","LOC115498301"
"gene-ZC3H6|ZC3H6","ZC3H6"
"gene-DGCR2|DGCR2","DGCR2"
"gene-PECAM1|PECAM1","PECAM1"
"gene-NOXRED1|NOXRED1","NOXRED1"
"gene-RPL22L1|RPL22L1","RPL22L1"
"gene-UBB|UBB","UBB"
"gene-LSMEM1|LSMEM1","LSMEM1"
"gene-EXOSC6|EXOSC6","EXOSC6"
"gene-DHX57|DHX57","DHX57"
"gene-PPRC1|PPRC1","PPRC1"
"gene-LOC100223308|LOC100223308","LOC100223308"
"gene-ATP7A|ATP7A","ATP7A"
"gene-FGFR4|FGFR4","FGFR4"
"gene-LUC7L2|LUC7L2","LUC7L2"
"gene-RCVRN|RCVRN","RCVRN"
"gene-LOC100232483|LOC100232483","LOC100232483"
"gene-SKA3|SKA3","SKA3"
"gene-MIR7644|MIR7644","MIR7644"
"gene-LOC140684541|LOC140684541","LOC140684541"
"gene-NFYA|NFYA","NFYA"
"gene-CHPF2|CHPF2","CHPF2"
"gene-ACVR2A|ACVR2A","ACVR2A"
"gene-RBM11|RBM11","RBM11"
"gene-LOC100225050|LOC100225050","LOC100225050"
"gene-NAT10|NAT10","NAT10"
"gene-FICD|FICD","FICD"
"gene-TXNDC9|TXNDC9","TXNDC9"
"gene-CEP350|CEP350","CEP350"
"gene-LOC140682150|LOC140682150","LOC140682150"
"gene-HSPA4|HSPA4","HSPA4"
"gene-LOC100229139|LOC100229139","LOC100229139"
"gene-LOC115496312|LOC115496312","LOC115496312"
"gene-LOC140681138|LOC140681138","LOC140681138"
"gene-MDN1|MDN1","MDN1"
"gene-LASP1|LASP1","LASP1"
"gene-KPNA5|KPNA5","KPNA5"
"gene-LOC140683516|LOC140683516","LOC140683516"
"gene-CPNE9|CPNE9","CPNE9"
"gene-LOC140683832|LOC140683832","LOC140683832"
"gene-LOC100189940|LOC100189940","LOC100189940"
"gene-ZMYM3|ZMYM3","ZMYM3"
"gene-VPS37C|VPS37C","VPS37C"
"gene-LOC121471059|LOC121471059","LOC121471059"
"gene-ATPSCKMT|ATPSCKMT","ATPSCKMT"
"gene-RBM22|RBM22","RBM22"
"gene-CACYBP|CACYBP","CACYBP"
"gene-RCC1|RCC1","RCC1"
"gene-PCNP|PCNP","PCNP"
"gene-RBM33|RBM33","RBM33"
"gene-MRPS22|MRPS22","MRPS22"
"gene-ZMYND19|ZMYND19","ZMYND19"
"gene-HNRNPA2B1|HNRNPA2B1","HNRNPA2B1"
"gene-UBE2A|UBE2A","UBE2A"
"gene-MAPKAPK5|MAPKAPK5","MAPKAPK5"
"gene-GIGYF2|GIGYF2","GIGYF2"
"gene-EIF5A2|EIF5A2","EIF5A2"
"gene-ATAD5|ATAD5","ATAD5"
"gene-NUFIP1|NUFIP1","NUFIP1"
"gene-ACTG2|ACTG2","ACTG2"
"gene-LOC115493361|LOC115493361","LOC115493361"
"gene-VIPAS39|VIPAS39","VIPAS39"
"gene-LOC100227296|LOC100227296","LOC100227296"
"gene-GTF2H1|GTF2H1","GTF2H1"
"gene-LOC121469778|LOC121469778","LOC121469778"
"gene-RPL9|RPL9","RPL9"
"gene-LOC100220727|LOC100220727","LOC100220727"
"gene-TMEM50A|TMEM50A","TMEM50A"
"gene-CHGB|CHGB","CHGB"
"gene-EIF6|EIF6","EIF6"
"gene-LOC115491449|LOC115491449","LOC115491449"
"gene-TWSG1|TWSG1","TWSG1"
"gene-RBBP6|RBBP6","RBBP6"
"gene-FANCD2|FANCD2","FANCD2"
"gene-KBTBD13|KBTBD13","KBTBD13"
"gene-FBXO22|FBXO22","FBXO22"
"gene-SUDS3|SUDS3","SUDS3"
"gene-BPTF|BPTF","BPTF"
"gene-SMARCD1|SMARCD1","SMARCD1"
"gene-TMEM222|TMEM222","TMEM222"
"gene-SHMT1|SHMT1","SHMT1"
"gene-LOC115493340|LOC115493340","LOC115493340"
"gene-LOC115494154|LOC115494154","LOC115494154"
"gene-PDCD11|PDCD11","PDCD11"
"gene-SNAPC4|SNAPC4","SNAPC4"
"gene-GCFC2|GCFC2","GCFC2"
"gene-PDE4DIP|PDE4DIP","PDE4DIP"
"gene-LOC115497391|LOC115497391","LOC115497391"
"gene-GGCX|GGCX","GGCX"
"gene-RNF214|RNF214","RNF214"
"gene-ZNHIT2|ZNHIT2","ZNHIT2"
"gene-LOC115497825|LOC115497825","LOC115497825"
"gene-PLD6|PLD6","PLD6"
"gene-LOC140680416|LOC140680416","LOC140680416"
"gene-LOC115493947|LOC115493947","LOC115493947"
"gene-LOC100230856|LOC100230856","LOC100230856"
"gene-ERRFI1|ERRFI1","ERRFI1"
"gene-LOC115497601|LOC115497601","LOC115497601"
"gene-NOP14|NOP14","NOP14"
"gene-TICAM1|TICAM1","TICAM1"
"gene-GPATCH4|GPATCH4","GPATCH4"
"gene-DYNLL1|DYNLL1","DYNLL1"
"gene-LOC115498270|LOC115498270","LOC115498270"
"gene-TMEM185A|TMEM185A","TMEM185A"
"gene-RAB9A|RAB9A","RAB9A"
"gene-PDE12|PDE12","PDE12"
"gene-RDH10|RDH10","RDH10"
"gene-PPP4R2|PPP4R2","PPP4R2"
"gene-HYOU1|HYOU1","HYOU1"
"gene-LOC140680360|LOC140680360","LOC140680360"
"gene-B3GALT6|B3GALT6","B3GALT6"
"gene-TRIM66|TRIM66","TRIM66"
"gene-P4HB|P4HB","P4HB"
"gene-KEL|KEL","KEL"
"gene-RPS6KB1|RPS6KB1","RPS6KB1"
"gene-STAR|STAR","STAR"
"gene-CTHRC1|CTHRC1","CTHRC1"
"gene-SRF|SRF","SRF"
"gene-CCDC166|CCDC166","CCDC166"
"gene-CCNK|CCNK","CCNK"
"gene-SYT11|SYT11","SYT11"
"gene-SLC16A5|SLC16A5","SLC16A5"
"gene-LOC115491142|LOC115491142","LOC115491142"
"gene-UBE2Q1|UBE2Q1","UBE2Q1"
"gene-LOC116806883|LOC116806883","LOC116806883"
"gene-CRYGN|CRYGN","CRYGN"
"gene-RASL11A|RASL11A","RASL11A"
"gene-TIMM22|TIMM22","TIMM22"
"gene-SNX12|SNX12","SNX12"
"gene-SARAF|SARAF","SARAF"
