"GeneID","Symbol"
"gene-ARSG|ARSG","ARSG"
"gene-NFIA|NFIA","NFIA"
"gene-DCAF6|DCAF6","DCAF6"
"gene-JPH1|JPH1","JPH1"
"gene-JAZF1|JAZF1","JAZF1"
"gene-USP5|USP5","USP5"
"gene-TAF3|TAF3","TAF3"
"gene-ZBTB7A|ZBTB7A","ZBTB7A"
"gene-DISP1|DISP1","DISP1"
"gene-RNGTT|RNGTT","RNGTT"
"gene-HP1BP3|HP1BP3","HP1BP3"
"gene-SLC4A1|SLC4A1","SLC4A1"
"gene-MAP2K2|MAP2K2","MAP2K2"
"gene-CTR9|CTR9","CTR9"
"gene-EXOC4|EXOC4","EXOC4"
"gene-LRRC45|LRRC45","LRRC45"
"gene-ZZZ3|ZZZ3","ZZZ3"
"gene-PEX16|PEX16","PEX16"
"gene-USP45|USP45","USP45"
"gene-DPM2|DPM2","DPM2"
"gene-E2F4|E2F4","E2F4"
"gene-RAB7A|RAB7A","RAB7A"
"gene-HSDL2|HSDL2","HSDL2"
"gene-IMMT|IMMT","IMMT"
"gene-TPPP3|TPPP3","TPPP3"
"gene-MOB2|MOB2","MOB2"
"gene-ZNF652|ZNF652","ZNF652"
"gene-ZFAND3|ZFAND3","ZFAND3"
"gene-CHCHD7|CHCHD7","CHCHD7"
"gene-HIVEP1|HIVEP1","HIVEP1"
"gene-PIK3CG|PIK3CG","PIK3CG"
"gene-ASCC3|ASCC3","ASCC3"
"gene-DNAJC13|DNAJC13","DNAJC13"
"gene-SEMA3D|SEMA3D","SEMA3D"
"gene-PHB1|PHB1","PHB1"
"gene-ERCC8|ERCC8","ERCC8"
"gene-ARL15|ARL15","ARL15"
"gene-ZDHHC3|ZDHHC3","ZDHHC3"
"gene-FAM222B|FAM222B","FAM222B"
"gene-FZD9|FZD9","FZD9"
"gene-ELF2|ELF2","ELF2"
"gene-IGHMBP2|IGHMBP2","IGHMBP2"
"gene-PPM1M|PPM1M","PPM1M"
"gene-TMEM258|TMEM258","TMEM258"
"gene-CPEB3|CPEB3","CPEB3"
"gene-IKZF1|IKZF1","IKZF1"
"gene-LOC115493074|LOC115493074","LOC115493074"
"gene-ENAH|ENAH","ENAH"
"gene-ATP1B3|ATP1B3","ATP1B3"
"gene-PHYH|PHYH","PHYH"
"gene-TPCN1|TPCN1","TPCN1"
"gene-OPA1|OPA1","OPA1"
"gene-CAPN1|CAPN1","CAPN1"
"gene-RALGPS1|RALGPS1","RALGPS1"
"gene-STX2|STX2","STX2"
"gene-DLST|DLST","DLST"
"gene-HDAC8|HDAC8","HDAC8"
"gene-MAP2K5|MAP2K5","MAP2K5"
"gene-ZNF438|ZNF438","ZNF438"
"gene-ABCB10|ABCB10","ABCB10"
"gene-TDRD3|TDRD3","TDRD3"
"gene-NNT|NNT","NNT"
"gene-TRNAU1AP|TRNAU1AP","TRNAU1AP"
"gene-ACOT7|ACOT7","ACOT7"
"gene-POLDIP2|POLDIP2","POLDIP2"
"gene-GARS1|GARS1","GARS1"
"gene-FBXO11|FBXO11","FBXO11"
"gene-ATP9B|ATP9B","ATP9B"
"gene-KIAA0825|KIAA0825","KIAA0825"
"gene-RAB6A|RAB6A","RAB6A"
"gene-NT5C2|NT5C2","NT5C2"
"gene-KLHDC2|KLHDC2","KLHDC2"
"gene-BMAL2|BMAL2","BMAL2"
"gene-USP22|USP22","USP22"
"gene-COQ8A|COQ8A","COQ8A"
"gene-ZNF407|ZNF407","ZNF407"
"gene-HDAC2|HDAC2","HDAC2"
"gene-RGS3|RGS3","RGS3"
"gene-PEX19|PEX19","PEX19"
"gene-UBE2G2|UBE2G2","UBE2G2"
"gene-TXNDC17|TXNDC17","TXNDC17"
"gene-RNASEH2B|RNASEH2B","RNASEH2B"
"gene-NDUFA6|NDUFA6","NDUFA6"
"gene-UEVLD|UEVLD","UEVLD"
"gene-MTCH1|MTCH1","MTCH1"
"gene-MIER2|MIER2","MIER2"
"gene-UBE2V1|UBE2V1","UBE2V1"
"gene-LOC100225139|LOC100225139","LOC100225139"
"gene-BCL2L11|BCL2L11","BCL2L11"
"gene-DTD2|DTD2","DTD2"
"gene-NSMCE2|NSMCE2","NSMCE2"
"gene-GNPAT|GNPAT","GNPAT"
"gene-RMP64|RMP64","RMP64"
"gene-SCFD1|SCFD1","SCFD1"
"gene-SUCLG1|SUCLG1","SUCLG1"
"gene-PPM1B|PPM1B","PPM1B"
"gene-COPS2|COPS2","COPS2"
