"GeneID","Symbol"
"gene-LOC115491955|LOC115491955","LOC115491955"
"gene-LOC140680309|LOC140680309","LOC140680309"
"gene-LOC115496914|LOC115496914","LOC115496914"
"gene-LOC121470715|LOC121470715","LOC121470715"
"gene-LOC100225066|LOC100225066","LOC100225066"
"gene-TRH|TRH","TRH"
"gene-LOC100226687|LOC100226687","LOC100226687"
"gene-LOC115494818|LOC115494818","LOC115494818"
"gene-LOC115497794|LOC115497794","LOC115497794"
"gene-LOC121468501|LOC121468501","LOC121468501"
"gene-LOC115496003|LOC115496003","LOC115496003"
"gene-PDLIM7|PDLIM7","PDLIM7"
"gene-COLEC11|COLEC11","COLEC11"
"gene-SCARF2|SCARF2","SCARF2"
"gene-LOC115494307|LOC115494307","LOC115494307"
"gene-HBAP|HBAP","HBAP"
"gene-LOC115495805|LOC115495805","LOC115495805"
"gene-FUBP1|FUBP1","FUBP1"
"gene-LOC115497052|LOC115497052","LOC115497052"
"gene-LOC115494487|LOC115494487","LOC115494487"
"gene-MILR1|MILR1","MILR1"
"gene-SGMS1|SGMS1","SGMS1"
"gene-DDR2|DDR2","DDR2"
"gene-LOC100221605|LOC100221605","LOC100221605"
"gene-HSPE1|HSPE1","HSPE1"
"gene-LOC100226843|LOC100226843","LOC100226843"
"gene-VAMP1|VAMP1","VAMP1"
"gene-FAM161B|FAM161B","FAM161B"
"gene-RASL12|RASL12","RASL12"
"gene-LOC115496148|LOC115496148","LOC115496148"
"gene-NOL6|NOL6","NOL6"
"gene-MSX1|MSX1","MSX1"
"gene-MFSD1|MFSD1","MFSD1"
"gene-LOC100223643|LOC100223643","LOC100223643"
"gene-MEP1A|MEP1A","MEP1A"
"gene-LOC140685095|LOC140685095","LOC140685095"
"gene-LOC115492384|LOC115492384","LOC115492384"
"gene-SLC25A11|SLC25A11","SLC25A11"
"gene-LOC100232251|LOC100232251","LOC100232251"
"gene-LOC115490906|LOC115490906","LOC115490906"
"gene-LOC115497224|LOC115497224","LOC115497224"
"gene-PAK1IP1|PAK1IP1","PAK1IP1"
"gene-LOC100219691|LOC100219691","LOC100219691"
"gene-PLTP|PLTP","PLTP"
"gene-LOC121468220|LOC121468220","LOC121468220"
"gene-LOC140682209|LOC140682209","LOC140682209"
"gene-LOC140684873|LOC140684873","LOC140684873"
"gene-LOC115497602|LOC115497602","LOC115497602"
"gene-PLK3|PLK3","PLK3"
"gene-LOC115496310|LOC115496310","LOC115496310"
"gene-HJV|HJV","HJV"
"gene-TMEM9|TMEM9","TMEM9"
"gene-RND1|RND1","RND1"
"gene-LOC115493336|LOC115493336","LOC115493336"
"gene-RAB3A|RAB3A","RAB3A"
"gene-LOC100220790|LOC100220790","LOC100220790"
"gene-LOC100218400|LOC100218400","LOC100218400"
"gene-EPPK1|EPPK1","EPPK1"
"gene-PAQR9|PAQR9","PAQR9"
"gene-LOC140685050|LOC140685050","LOC140685050"
"gene-LOC140681719|LOC140681719","LOC140681719"
"gene-LOC115492672|LOC115492672","LOC115492672"
"gene-MRPL18|MRPL18","MRPL18"
"gene-LOC121469275|LOC121469275","LOC121469275"
"gene-LOC116808088|LOC116808088","LOC116808088"
"gene-LOC121470339|LOC121470339","LOC121470339"
"gene-LEKR1|LEKR1","LEKR1"
"gene-LOC140681688|LOC140681688","LOC140681688"
"gene-ADPRHL1|ADPRHL1","ADPRHL1"
"gene-MAPK15|MAPK15","MAPK15"
"gene-ZNF865|ZNF865","ZNF865"
"gene-MATN2|MATN2","MATN2"
"gene-ADGRF5|ADGRF5","ADGRF5"
"gene-LOC115495695|LOC115495695","LOC115495695"
"gene-LOC100226089|LOC100226089","LOC100226089"
"gene-LOC115495298|LOC115495298","LOC115495298"
"gene-LOC105759119|LOC105759119","LOC105759119"
"gene-MFSD10|MFSD10","MFSD10"
"gene-LOC140684521|LOC140684521","LOC140684521"
"gene-RND3|RND3","RND3"
"gene-ERBB3|ERBB3","ERBB3"
"gene-ABRAXAS1|ABRAXAS1","ABRAXAS1"
"gene-NPM2|NPM2","NPM2"
"gene-LOC100225953|LOC100225953","LOC100225953"
"gene-LOC140684997|LOC140684997","LOC140684997"
"gene-LOC115493620|LOC115493620","LOC115493620"
"gene-LOC140680460|LOC140680460","LOC140680460"
"gene-SETD1B|SETD1B","SETD1B"
"gene-LOC140683788|LOC140683788","LOC140683788"
"gene-LOC115497033|LOC115497033","LOC115497033"
"gene-EML5|EML5","EML5"
"gene-LOC140684730|LOC140684730","LOC140684730"
"gene-PUSL1|PUSL1","PUSL1"
"gene-SMCO3|SMCO3","SMCO3"
"gene-LOC115498509|LOC115498509","LOC115498509"
"gene-LOC115493984|LOC115493984","LOC115493984"
"gene-MMP23B|MMP23B","MMP23B"
"gene-KPNA6|KPNA6","KPNA6"
"gene-C3AR1|C3AR1","C3AR1"
"gene-ST6GALNAC1|ST6GALNAC1","ST6GALNAC1"
"gene-DBN1|DBN1","DBN1"
"gene-TUBB3|TUBB3","TUBB3"
"gene-SMIM3|SMIM3","SMIM3"
"gene-PTGR1|PTGR1","PTGR1"
"gene-TMEM127|TMEM127","TMEM127"
"gene-LYG2|LYG2","LYG2"
"gene-LOC100218250|LOC100218250","LOC100218250"
"gene-LOC121468661|LOC121468661","LOC121468661"
"gene-SPR|SPR","SPR"
"gene-LOC140684620|LOC140684620","LOC140684620"
"gene-SUGP2|SUGP2","SUGP2"
"gene-MEIOB|MEIOB","MEIOB"
"gene-SLC3A2|SLC3A2","SLC3A2"
"gene-LOC105759083|LOC105759083","LOC105759083"
"gene-LOC115492889|LOC115492889","LOC115492889"
"gene-DGAT1|DGAT1","DGAT1"
"gene-MAPKAPK3|MAPKAPK3","MAPKAPK3"
"gene-LOC115498162|LOC115498162","LOC115498162"
"gene-LOC115497326|LOC115497326","LOC115497326"
"gene-MPG|MPG","MPG"
"gene-SUSD1|SUSD1","SUSD1"
"gene-LOC121468878|LOC121468878","LOC121468878"
"gene-EMILIN1|EMILIN1","EMILIN1"
"gene-LOC140684465|LOC140684465","LOC140684465"
"gene-LOC121468553|LOC121468553","LOC121468553"
"gene-GC|GC","GC"
"gene-GPAT4|GPAT4","GPAT4"
"gene-CLU|CLU","CLU"
"gene-DYNC2H1|DYNC2H1","DYNC2H1"
"gene-DPH2|DPH2","DPH2"
"gene-LOC140685061|LOC140685061","LOC140685061"
"gene-LOC140682086|LOC140682086","LOC140682086"
"gene-LOC140681733|LOC140681733","LOC140681733"
"gene-MYH11|MYH11","MYH11"
"gene-LOC100217789|LOC100217789","LOC100217789"
"gene-LOC140684310|LOC140684310","LOC140684310"
"gene-MEPCE|MEPCE","MEPCE"
"gene-LOC100227800|LOC100227800","LOC100227800"
"gene-LOC121471145|LOC121471145","LOC121471145"
"gene-PNLDC1|PNLDC1","PNLDC1"
"gene-LOC115495125|LOC115495125","LOC115495125"
"gene-LOC100224348|LOC100224348","LOC100224348"
"gene-LOC140680662|LOC140680662","LOC140680662"
"gene-LOC115497205|LOC115497205","LOC115497205"
"gene-FOXRED2|FOXRED2","FOXRED2"
"gene-DIPK2A|DIPK2A","DIPK2A"
"gene-MPP2|MPP2","MPP2"
"gene-ATOSA|ATOSA","ATOSA"
"gene-ST6GALNAC2|ST6GALNAC2","ST6GALNAC2"
"gene-UBE2S|UBE2S","UBE2S"
"gene-COL1A1|COL1A1","COL1A1"
"gene-ZC3H4|ZC3H4","ZC3H4"
"gene-SHLD1|SHLD1","SHLD1"
"gene-SPATA16|SPATA16","SPATA16"
"gene-TBCC|TBCC","TBCC"
"gene-GLCE|GLCE","GLCE"
"gene-LOC105758620|LOC105758620","LOC105758620"
"gene-LOC115490544|LOC115490544","LOC115490544"
"gene-TMEM200B|TMEM200B","TMEM200B"
"gene-LOC115496849|LOC115496849","LOC115496849"
"gene-LOC140680449|LOC140680449","LOC140680449"
"gene-LOC140683830|LOC140683830","LOC140683830"
"gene-LOC140682170|LOC140682170","LOC140682170"
"gene-SLC4A5|SLC4A5","SLC4A5"
"gene-INO80D|INO80D","INO80D"
"gene-MST1R|MST1R","MST1R"
"gene-CEP41|CEP41","CEP41"
"gene-LOC115493072|LOC115493072","LOC115493072"
"gene-DBP|DBP","DBP"
"gene-DEDD2|DEDD2","DEDD2"
"gene-ATF3|ATF3","ATF3"
"gene-LOC116809018|LOC116809018","LOC116809018"
"gene-CELF6|CELF6","CELF6"
"gene-LOC115490923|LOC115490923","LOC115490923"
"gene-TBKBP1|TBKBP1","TBKBP1"
"gene-LOC100223651|LOC100223651","LOC100223651"
"gene-DNAJC6|DNAJC6","DNAJC6"
