"GeneID","Symbol","logCPM","logFC_Heat_vs_Control","logFC_Rec2h_vs_Control","logFC_Rec24h_vs_Control","logFC_Rec2wk_vs_Control","F","PValue","FDR"
"gene-RBM12|RBM12","RBM12",6.66447684603305,0.448697700739269,-0.209899046834411,-0.364328862941985,-0.320611925497729,29.9597600539875,1.06278469692412e-13,1.64465931849007e-09
"gene-SNX1|SNX1","SNX1",4.51095710424917,-0.367534751895579,0.0302679155886567,0.2619527460873,0.390781498879802,26.0189623638806,1.58615844085074e-12,8.14316434480814e-09
"gene-ARSG|ARSG","ARSG",2.46280050029577,-1.17926882924066,0.0803606456009005,0.808295749185475,0.516530887692177,25.626452072271,2.10485669655784e-12,8.14316434480814e-09
"gene-LOC100227014|LOC100227014","LOC100227014",4.63224091702472,1.13079200889727,0.43227613523553,-0.580890577152982,-0.43096297524245,26.3347731521831,1.26563379444336e-12,8.14316434480814e-09
"gene-NEK8|NEK8","NEK8",3.99900880421535,1.13225416841813,0.0587245923499449,-0.451170185686398,0.0912241756995176,25.3042638922959,2.66041059809858e-12,8.23397080111511e-09
"gene-CKAP2L|CKAP2L","CKAP2L",8.63290647429229,0.828430612134559,0.297738414440897,-0.373784030399523,-0.291819425652424,23.9007555275829,7.54206749392317e-12,1.94522490780768e-08
"gene-DEGS1|DEGS1","DEGS1",6.88497439121415,0.732179820211492,0.159022004294203,-0.743529962562706,-0.722029038513717,23.4190814803398,1.08755782503231e-11,2.40427962033929e-08
"gene-CCNB2|CCNB2","CCNB2",5.41161639752752,0.56065611929113,-0.26688308098057,-0.822751886239644,-0.384074197724178,22.8848395027567,1.64071555787652e-11,2.82111925090435e-08
"gene-KDM4B|KDM4B","KDM4B",5.19073359235367,-0.550785671463825,-0.155436699918758,0.1910826742079,0.361539024144146,23.009029829139,1.49040413525774e-11,2.82111925090435e-08
"gene-GFI1B|GFI1B","GFI1B",8.17532851980216,0.672000432915858,0.214429415087196,-0.228233086067127,-0.65042752621133,22.7314000936473,1.84830419319631e-11,2.86025073897129e-08
"gene-USP5|USP5","USP5",3.44559399455619,-0.601593648508546,0.203108783651025,0.300403374638744,0.416374793902206,22.0675346985839,3.11169546986618e-11,4.37758976328901e-08
"gene-SETD5|SETD5","SETD5",5.76433701568151,-0.442876026095975,-0.0133554522112158,0.201584718793911,0.446864506970942,19.5696752762183,2.40241904556337e-10,3.0981195608411e-07
"gene-DISP1|DISP1","DISP1",3.44123229595507,-0.576448973655376,0.143097151215867,0.366444203378551,0.392809687579832,19.4502362829961,2.65840169999723e-10,3.16452048518901e-07
"gene-HERPUD1|HERPUD1","HERPUD1",4.58095954335012,0.679508328171129,0.338377573855641,-0.608121086215748,-0.490156428983035,19.1677043265808,3.38235643316323e-10,3.73871184308579e-07
"gene-ISCU|ISCU","ISCU",10.7745529139818,0.420419370274672,0.29895545774496,-0.525092734077273,-0.590602144964297,19.0773037769435,3.65478816726385e-10,3.77052312589388e-07
"gene-RGS9BP|RGS9BP","RGS9BP",5.59786601563995,0.604661481780224,-0.277458084351623,-0.61952533653334,-0.817988152719141,18.8063162628055,4.61556381479103e-10,4.35131573667504e-07
"gene-BHLHA15|BHLHA15","BHLHA15",1.79408487554419,0.46353566430499,-0.512857710899975,-0.873790900383629,-0.628964976372896,18.7658203396687,4.78012068003074e-10,4.35131573667504e-07
"gene-MAFF|MAFF","MAFF",4.45769466637599,0.285473739707612,-0.0877125367785521,-0.666972910030794,-0.714185573154772,18.3570064141514,6.82356593087844e-10,5.86637126557466e-07
"gene-LOC115491955|LOC115491955","LOC115491955",6.28752596011506,1.43801266304754,0.973698217347836,-0.332952292251964,0.0329112060145036,18.331683962987,7.22914399539243e-10,5.88794754361567e-07
"gene-H2AZ1|H2AZ1","H2AZ1",7.36145014601295,0.0705619753793174,-0.437606416196862,-0.753535564876276,-0.732619333973681,18.0662190422176,8.8117456144051e-10,6.70741913700811e-07
"gene-DLST|DLST","DLST",4.22911992305684,-0.68048355487934,0.281428556985607,0.284360695915306,0.0141498152038526,18.0192300960027,9.18531700808827e-10,6.70741913700811e-07
"gene-NPRL3|NPRL3","NPRL3",7.42927488966076,0.647547452579564,0.377600938042426,-0.222428819163308,-0.570909666459881,17.9386913733785,9.86411533771064e-10,6.70741913700811e-07
"gene-HP1BP3|HP1BP3","HP1BP3",4.80527032251,-0.442420900424897,0.024236210755797,0.18262174975109,0.312936960578401,17.8787864760461,1.04024594047299e-09,6.70741913700811e-07
"gene-APTX|APTX","APTX",4.39215934976072,0.482842337338019,-0.152393733452177,-0.370974221300641,-0.395964450969588,17.8910985251382,1.02893903446438e-09,6.70741913700811e-07
"gene-MED13|MED13","MED13",7.61623878845892,0.643683877219194,-0.204267066247068,-0.30976106882955,-0.159322901387384,17.7830142917821,1.13269972877418e-09,7.01141132111218e-07
"gene-LOC115496967|LOC115496967","LOC115496967",5.93736873895079,0.733949522131919,0.125487798676691,-0.501153944970427,-0.568857804456095,17.5078859976746,1.44850397090311e-09,8.62138421143296e-07
"gene-TAF3|TAF3","TAF3",4.55477401300842,-0.569770455254229,-0.155560460781904,-0.00129480659490078,0.212772913007953,17.4408137254395,1.53846445164899e-09,8.81768051454374e-07
"gene-EGR1|EGR1","EGR1",6.76840042177879,0.509932001273264,0.112317882943539,-0.485037798952149,-0.481010473133332,17.334653728973,1.69281818157154e-09,9.35584334279273e-07
"gene-LOC115496914|LOC115496914","LOC115496914",3.5180482066697,1.09945421099696,0.597434630275453,-0.471660639915286,-0.31978844761625,16.9973140731694,2.29837108723603e-09,1.2264583646544e-06
"gene-ZC3H7B|ZC3H7B","ZC3H7B",9.56289066429245,0.22396500949122,-0.187534787869907,-0.661552388460359,-0.600853341480484,16.900801082656,2.50992954461157e-09,1.25294063557626e-06
"gene-LOC140680309|LOC140680309","LOC140680309",5.07507318246724,1.35696527756975,1.24063006669807,-0.610347535357489,-0.470903497557089,17.1269753169053,2.50905253851067e-09,1.25294063557626e-06
"gene-LOC121470715|LOC121470715","LOC121470715",4.28887761603172,1.20065563623541,0.963337442748876,0.168627915430858,-0.687861656138627,16.749158726042,2.9271929308915e-09,1.41557220642331e-06
"gene-HSP90AB1|HSP90AB1","HSP90AB1",3.91399991320168,1.40384558756385,0.124754313798247,-0.147562322937127,0.0207565805627601,16.6105818430232,3.27581519637582e-09,1.53615879284593e-06
"gene-NFIA|NFIA","NFIA",3.58254853740657,-0.898679090833738,-0.496026347042378,0.82186798751176,0.570180098727969,16.5424980215277,3.4881703414248e-09,1.58763047157496e-06
"gene-DCAF6|DCAF6","DCAF6",5.6857160193139,-0.825135399488866,-0.673414181195837,-0.0261147080965323,0.0271434379532822,16.2372539727214,4.63003981052836e-09,1.79124665169816e-06
"gene-LOC140682288|LOC140682288","LOC140682288",1.59372206669178,0.499355942981499,0.243989195195683,-0.591739909553517,-0.782113049140051,16.2879816302679,4.41638922684552e-09,1.79124665169816e-06
"gene-JPH1|JPH1","JPH1",5.58559814812115,-0.547683028799723,-0.405269204200161,0.206818344060324,0.0585936016816708,16.3153705203297,4.30529244499328e-09,1.79124665169816e-06
"gene-AHSA1|AHSA1","AHSA1",6.31932647972359,0.64505826250726,-0.510137780994743,-0.49852046552413,-0.242927600592031,16.3013604923053,4.36175579494214e-09,1.79124665169816e-06
"gene-LOC100225066|LOC100225066","LOC100225066",4.83545016129767,1.37615960382522,0.916277248377349,-0.0628221659991679,-0.59091249575445,16.4022802526291,4.59113922465866e-09,1.79124665169816e-06
"gene-HSPA5|HSPA5","HSPA5",7.72764372921584,0.365203027034728,-0.198654084485815,-0.740368508094423,-0.521380211051335,16.3033085663107,4.35385910634656e-09,1.79124665169816e-06
"gene-MGRN1|MGRN1","MGRN1",4.20847805266846,-0.287539720722815,-0.111359607832081,0.365804979142331,0.485726425499501,16.1837807162465,4.86683599289465e-09,1.83693382902548e-06
"gene-ATG7|ATG7","ATG7",3.41843750307826,-0.452611228582018,-0.0881431547871725,0.51712576358347,0.390677015205646,16.0493763981556,5.51885682422384e-09,2.03343593702057e-06
"gene-LOC140682203|LOC140682203","LOC140682203",1.40947234189029,0.570453234634403,0.297425632297748,-0.544736384931765,-0.682530942130488,15.9954601567931,5.80517879990637e-09,2.04170777110343e-06
"gene-ARL6IP1|ARL6IP1","ARL6IP1",8.83281811403776,0.349945368700919,0.0201326145226837,-0.791622963208734,-0.448669581662035,16.0112230694337,5.7199175742911e-09,2.04170777110343e-06
"gene-LOC121470714|LOC121470714","LOC121470714",9.08259112474654,0.277447019397288,-0.323216211725704,-0.385835405503812,-0.709665076311584,15.9703553397156,5.9436889597472e-09,2.04396859226862e-06
"gene-PRPS1|PRPS1","PRPS1",7.31046827182563,0.414349617443095,-0.0294740684310444,-0.613966822437764,-0.509555004629149,15.919515673331,6.23473543446953e-09,2.09744632279165e-06
"gene-LOC115498299|LOC115498299","LOC115498299",4.95476154490436,0.562796835833672,0.0091482172805506,-0.267153316994134,-0.821835707355182,15.8093900814481,6.91674664100578e-09,2.22993029728259e-06
"gene-SERF1A|SERF1A","SERF1A",5.48071675803302,0.282501889837004,-0.209433041264283,-0.650792527278046,-0.191551743795446,15.8201078718107,6.84711290643971e-09,2.22993029728259e-06
"gene-JMJD6|JMJD6","JMJD6",6.65767242414827,0.855531426913636,-0.346801075910509,-0.639278704762426,-0.271101843940404,15.7225118340976,7.50889285038202e-09,2.32209954306844e-06
"gene-MACO1|MACO1","MACO1",6.2914559807193,0.224929070954824,-0.0963821787478301,-0.500431092713164,-0.43536007773402,15.7024667163802,7.65279978652605e-09,2.32209954306844e-06
"gene-HSPA8|HSPA8","HSPA8",9.10958705376091,1.46197839808068,0.0436837182105556,-0.403027992433312,-0.673769495840546,16.0654101765926,7.6007273634765e-09,2.32209954306844e-06
"gene-ARRDC3|ARRDC3","ARRDC3",4.32162250390802,0.457269157291237,-0.225419966879643,-0.161941069353291,-0.332995081894738,15.6222131740119,8.25807935830645e-09,2.45757265518831e-06
"gene-LOC100224630|LOC100224630","LOC100224630",0.589394609267088,1.78175636920712,0.557848066241767,-0.0938857398663047,-0.877461539123495,15.5274731295085,9.03670945442244e-09,2.63854865673938e-06
"gene-LOC100220427|LOC100220427","LOC100220427",5.89196427769326,0.550855028493919,0.206960637530848,-0.250686186058731,-0.433396722411207,15.3738254139924,1.0464448310999e-08,2.97871415154518e-06
"gene-LOC115490794|LOC115490794","LOC115490794",5.26150223484287,0.898212281238794,0.422252100540882,-0.335938775072722,-0.701787588524357,15.3756067185252,1.05867061928908e-08,2.97871415154518e-06
"gene-SART3|SART3","SART3",8.10581411127595,0.488219979625997,-0.0250606368239996,-0.634590946099055,-0.161707457168384,15.3202412106609,1.10155181059583e-08,3.0440204051733e-06
"gene-TRH|TRH","TRH",2.82655522160304,0.795827381247881,0.613112912577962,-0.40604492123476,-0.260030783442154,15.2400010462647,1.18973576675106e-08,3.23002824394257e-06
"gene-DNAJA4|DNAJA4","DNAJA4",9.58632462414863,1.0407238069485,-0.0741953508572148,-0.569859788267612,-0.493453286374601,15.3039286482106,1.24227311914187e-08,3.31451319288284e-06
"gene-LPIN2|LPIN2","LPIN2",9.75627540219328,0.642340024000161,0.0494842303477832,-0.105673611874757,-0.601241114347298,15.1681097604987,1.27493203722405e-08,3.34399547051561e-06
"gene-LOC115496003|LOC115496003","LOC115496003",3.28515880995708,1.3514676028279,0.432726442016693,-0.0906687658763774,-0.187294602065773,15.1023182155861,1.35841984050078e-08,3.50359117195826e-06
"gene-LOC115498372|LOC115498372","LOC115498372",2.57753952039411,1.32454203138462,0.0556488525320673,-0.45655365764943,-0.974198168966682,15.0315156673648,1.53605734601836e-08,3.8968012179728e-06
"gene-ERCC8|ERCC8","ERCC8",1.45513695622816,-0.728352850513354,0.249230755056884,0.293727580527619,0.324584788598841,14.7727383446851,1.87018840288851e-08,4.66792992495156e-06
"gene-RHOF|RHOF","RHOF",6.62293601559431,0.506263013188155,0.146530653917326,-0.101472104017918,-0.278359510265468,14.6213893709992,2.16836106307959e-08,5.22841302686673e-06
