"GeneID","Cluster"
"gene-DYRK2|DYRK2",1
"gene-LOC100229115|LOC100229115",5
"gene-WNT5B|WNT5B",5
"gene-MATN2|MATN2",5
"gene-LOC105759119|LOC105759119",5
"gene-HDAC2|HDAC2",1
"gene-HSP90AB1|HSP90AB1",5
"gene-LOC100226843|LOC100226843",5
"gene-LOC115494487|LOC115494487",5
"gene-SPR|SPR",5
"gene-SLC7A3|SLC7A3",5
"gene-LOC100231572|LOC100231572",5
"gene-LOC115495695|LOC115495695",5
"gene-DLST|DLST",1
"gene-SOS2|SOS2",1
"gene-ABCC2|ABCC2",5
"gene-PDCD11|PDCD11",5
"gene-TTLL4|TTLL4",5
"gene-LOC115496003|LOC115496003",5
"gene-HSPE1|HSPE1",5
"gene-LOC115496148|LOC115496148",5
"gene-LOC121470314|LOC121470314",5
"gene-HEBP2|HEBP2",5
"gene-LOC140684620|LOC140684620",5
"gene-LOC100232391|LOC100232391",5
"gene-PAQR9|PAQR9",5
"gene-COMMD2|COMMD2",5
"gene-RASL12|RASL12",5
"gene-TPPP3|TPPP3",1
"gene-PDE12|PDE12",5
"gene-MST1R|MST1R",5
"gene-PDLIM7|PDLIM7",5
"gene-FGFR4|FGFR4",5
"gene-LOC140684997|LOC140684997",5
"gene-SCARF2|SCARF2",5
"gene-SETD1B|SETD1B",5
"gene-ARSG|ARSG",4
"gene-NEK8|NEK8",5
"gene-SERPINF2|SERPINF2",5
"gene-PITPNA|PITPNA",1
"gene-EIF6|EIF6",5
"gene-MMP23B|MMP23B",5
"gene-TMEM127|TMEM127",5
"gene-ACTG2|ACTG2",5
"gene-CKAP2L|CKAP2L",5
"gene-LOC100227014|LOC100227014",5
"gene-ABCG4|ABCG4",5
"gene-RAB25|RAB25",5
"gene-GPD1|GPD1",5
"gene-NANOS3|NANOS3",5
"gene-LOC115491955|LOC115491955",5
"gene-PPP1R10|PPP1R10",5
"gene-RCVRN|RCVRN",5
"gene-TXNL4B|TXNL4B",5
"gene-ALCAM|ALCAM",2
"gene-MPZL1|MPZL1",1
"gene-F5|F5",2
"gene-GTF2E1|GTF2E1",4
"gene-USP5|USP5",4
"gene-LPCAT3|LPCAT3",1
"gene-LOC100224972|LOC100224972",3
"gene-M6PR|M6PR",1
"gene-FZD4|FZD4",3
"gene-PCF11|PCF11",5
"gene-KCTD12|KCTD12",3
"gene-NUFIP1|NUFIP1",5
"gene-LCP1|LCP1",1
"gene-RNF6|RNF6",5
"gene-IPO5|IPO5",1
"gene-LOC101232863|LOC101232863",3
"gene-RP2|RP2",1
"gene-RNF149|RNF149",1
"gene-REPS2|REPS2",1
"gene-SH3KBP1|SH3KBP1",1
"gene-LOC100221249|LOC100221249",1
"gene-CHCHD3|CHCHD3",1
"gene-NET1|NET1",2
"gene-DOCK4|DOCK4",1
"gene-PLXNC1|PLXNC1",1
"gene-LOC100220534|LOC100220534",1
"gene-EMP1|EMP1",1
"gene-LUC7L2|LUC7L2",5
"gene-NFAM1|NFAM1",2
"gene-ATF4|ATF4",5
"gene-CSNK1E|CSNK1E",3
"gene-LOC105758586|LOC105758586",1
"gene-KCTD17|KCTD17",2
"gene-NCF4|NCF4",3
"gene-TXN2|TXN2",5
"gene-CRY1|CRY1",5
"gene-YARS2|YARS2",5
"gene-ATXN10|ATXN10",1
"gene-ARHGEF5|ARHGEF5",1
"gene-CD9|CD9",3
"gene-SAMM50|SAMM50",4
"gene-A4GALT|A4GALT",1
"gene-INTS13|INTS13",5
"gene-LOC140682520|LOC140682520",5
"gene-CHPF2|CHPF2",5
"gene-VILL|VILL",1
"gene-GORASP1|GORASP1",5
"gene-LOC115494116|LOC115494116",5
"gene-DYNC2I1|DYNC2I1",1
"gene-WDR37|WDR37",1
"gene-EPC1|EPC1",5
"gene-MASTL|MASTL",5
"gene-LOC101234087|LOC101234087",1
"gene-APBB1IP|APBB1IP",1
"gene-THNSL1|THNSL1",1
"gene-LOC100228653|LOC100228653",1
"gene-CUBN|CUBN",1
"gene-CYP51A1|CYP51A1",2
"gene-ASNS|ASNS",4
"gene-SP4|SP4",5
"gene-BTD|BTD",1
"gene-SLC4A7|SLC4A7",1
"gene-TGFBR2|TGFBR2",1
"gene-CCR5|CCR5",3
"gene-LOC100218724|LOC100218724",3
"gene-LANCL2|LANCL2",2
"gene-LOC100228737|LOC100228737",3
"gene-LY86|LY86",1
"gene-TXNDC5|TXNDC5",1
"gene-SMIM13|SMIM13",1
"gene-TMEM170B|TMEM170B",4
"gene-BASP1|BASP1",3
"gene-ATPSCKMT|ATPSCKMT",5
"gene-CCT5|CCT5",5
"gene-BAG1|BAG1",5
"gene-PTGR3|PTGR3",5
"gene-IMPA2|IMPA2",1
"gene-ANKRD12|ANKRD12",5
"gene-ROCK1|ROCK1",5
"gene-DSG2|DSG2",1
"gene-LOC101234096|LOC101234096",2
"gene-PAG1|PAG1",3
"gene-LOC115493947|LOC115493947",5
"gene-ANGPT1|ANGPT1",3
"gene-TRIB1|TRIB1",1
"gene-LOC121469303|LOC121469303",1
"gene-LOC115492366|LOC115492366",5
"gene-KRTCAP3|KRTCAP3",5
"gene-DNMT3A|DNMT3A",1
"gene-TNFRSF21|TNFRSF21",1
"gene-MATN3|MATN3",5
"gene-KBTBD11|KBTBD11",2
"gene-LOC100190204|LOC100190204",1
"gene-LOC140683680|LOC140683680",5
"gene-PNRC1|PNRC1",5
"gene-SEC63|SEC63",4
"gene-STX7|STX7",3
"gene-LOC100220807|LOC100220807",3
"gene-TCP1|TCP1",5
"gene-WTAP|WTAP",5
"gene-GPR137B|GPR137B",1
"gene-SIPA1L2|SIPA1L2",1
"gene-MERTK|MERTK",2
"gene-AHSA2P|AHSA2P",5
"gene-XPO1|XPO1",5
"gene-FERMT1|FERMT1",1
"gene-ACSS1|ACSS1",1
"gene-COQ8A|COQ8A",4
"gene-LOC140683799|LOC140683799",1
"gene-LOC121469792|LOC121469792",1
"gene-ZFP36L2|ZFP36L2",5
"gene-DISP1|DISP1",4
"gene-FOSL2|FOSL2",3
"gene-MAL|MAL",5
"gene-DHX57|DHX57",5
"gene-SUCLG1|SUCLG1",4
"gene-KDM3A|KDM3A",5
"gene-POLR1A|POLR1A",5
"gene-NOP14|NOP14",5
"gene-BST1|BST1",2
"gene-TBC1D1|TBC1D1",3
"gene-KLF3|KLF3",5
"gene-LOC100232395|LOC100232395",3
"gene-RBM47|RBM47",3
"gene-ASAH1|ASAH1",2
"gene-LOC100190592|LOC100190592",1
"gene-AIMP1|AIMP1",4
"gene-LIN54|LIN54",5
"gene-ANTXR2|ANTXR2",1
"gene-ZNF711|ZNF711",1
"gene-MAP7D3|MAP7D3",1
"gene-DOCK11|DOCK11",1
"gene-NRK|NRK",1
"gene-NKRF|NKRF",5
"gene-NKAP|NKAP",5
"gene-TMEM164|TMEM164",1
"gene-RBM11|RBM11",5
"gene-NHSL2|NHSL2",1
"gene-UPRT|UPRT",1
"gene-FAR1|FAR1",1
"gene-BMAL1|BMAL1",1
"gene-CAPRIN1|CAPRIN1",5
"gene-POLD4|POLD4",5
"gene-PTDSS2|PTDSS2",1
"gene-MPEG1|MPEG1",1
"gene-AMPD3|AMPD3",3
"gene-SBF2|SBF2",3
"gene-TALDO1|TALDO1",1
"gene-SLC25A22|SLC25A22",1
"gene-KMT5B|KMT5B",5
"gene-SPI1|SPI1",3
"gene-NR1H3|NR1H3",5
"gene-CAPN3|CAPN3",2
"gene-VTI1B|VTI1B",5
"gene-RALGAPA1|RALGAPA1",1
"gene-FCF1|FCF1",5
