"Sample","Band","Occasion","Treatment","DistToCentroid"
"ZF_4773_D_BL",4773,"D","D",202.86
"ZF_4703_D_BL",4703,"D","B",139.52
"ZF_4797_D_BL",4797,"D","B",128.24
"ZF_4792_D_BL",4792,"D","B",126.52
"ZF_4741_D_BL",4741,"D","B",120.41
"ZF_4753_D_BL",4753,"D","A",116.42
"ZF_4531_D_BL",4531,"D","B",98.67
"ZF_4718_D_BL",4718,"D","A",91.45
"ZF_4625_H_BL",4625,"H","B",86.18
"ZF_4817_D_BL",4817,"D","B",81.48
"ZF_4552_D_BL",4552,"D","A",80.96
"ZF_4782_D_BL",4782,"D","C",80.12
"ZF_4622_D_BL",4622,"D","A",79.79
"ZF_4785_D_BL",4785,"D","E",78.82
"ZF_4784_H_BL",4784,"H","B",75.19
"ZF_4767_D_BL",4767,"D","A",74.23
"ZF_4720_D_BL",4720,"D","E",72.97
"ZF_4795_D_BL",4795,"D","D",70.46
"ZF_4738_D_BL",4738,"D","E",69.28
"ZF_4748_D_BL",4748,"D","C",68.51
"ZF_4533_D_BL",4533,"D","E",68.44
"ZF_4765_D_BL",4765,"D","D",68.39
"ZF_4785_H_BL",4785,"H","B",67.82
"ZF_4796_D_BL",4796,"D","A",65.18
"ZF_4533_H_BL",4533,"H","B",65.14
"ZF_4801_D_BL",4801,"D","A",64
"ZF_4712_D_BL",4712,"D","B",62.88
"ZF_4619_D_BL",4619,"D","E",58.52
"ZF_4562_D_BL",4562,"D","D",56.08
"ZF_4784_D_BL",4784,"D","E",56.08
"ZF_4704_D_BL",4704,"D","C",55.97
"ZF_4620_D_BL",4620,"D","B",55.49
"ZF_4554_D_BL",4554,"D","C",54.39
"ZF_4755_D_BL",4755,"D","A",53.45
"ZF_4625_D_BL",4625,"D","E",52.62
"ZF_4806_D_BL",4806,"D","A",52.5
"ZF_4749_D_BL",4749,"D","D",51.61
"ZF_4715_D_BL",4715,"D","C",51.14
"ZF_4601_D_BL",4601,"D","C",49.74
"ZF_4745_H_BL",4745,"H","B",49.36
"ZF_4809_D_BL",4809,"D","B",48.83
"ZF_4548_H_BL",4548,"H","B",48.44
"ZF_4729_D_BL",4729,"D","D",46.93
"ZF_4739_H_BL",4739,"H","B",46.23
"ZF_4805_D_BL",4805,"D","C",44.63
"ZF_4534_D_BL",4534,"D","B",44.56
"ZF_4745_D_BL",4745,"D","E",41.05
"ZF_4738_H_BL",4738,"H","B",40.67
"ZF_4604_D_BL",4604,"D","D",38.59
"ZF_4548_D_BL",4548,"D","E",36.93
"ZF_4619_H_BL",4619,"H","B",34.83
"ZF_4752_D_BL",4752,"D","D",34.71
"ZF_4530_D_BL",4530,"D","D",34.62
"ZF_4808_D_BL",4808,"D","A",33.91
"ZF_4739_D_BL",4739,"D","E",33.57
"ZF_4529_D_BL",4529,"D","C",32.49
"ZF_4723_D_BL",4723,"D","D",32.21
"ZF_4814_D_BL",4814,"D","C",30.86
