"GeneID","Symbol","logCPM","logFC","PValue","FDR"
"gene-CYP51A1|CYP51A1","CYP51A1",2.0484857509974,1.35900781470319,1.63327711754551e-06,0.00429572967334925
"gene-DLST|DLST","DLST",4.22911992305684,0.961912111864947,3.22415800705728e-07,0.00429572967334925
"gene-AHSA1|AHSA1","AHSA1",6.31932647972359,-1.155196043502,1.94314104771856e-06,0.00429572967334925
"gene-HSPA4|HSPA4","HSPA4",7.08360420915901,-0.965395988746994,1.92663818753582e-06,0.00429572967334925
"gene-HSPA9|HSPA9","HSPA9",7.06409049686532,-0.819874706391478,1.21312999205169e-06,0.00429572967334925
"gene-RBM12|RBM12","RBM12",6.66447684603305,-0.65859674757368,1.27452995131947e-06,0.00429572967334925
"gene-LOC115498164|LOC115498164","LOC115498164",0.935796114131675,1.80660882687501,7.91750682146763e-07,0.00429572967334925
"gene-ZBTB26|ZBTB26","ZBTB26",4.61626726094391,-0.700778489993733,2.31559765611324e-06,0.00447923421604404
"gene-LOC115491050|LOC115491050","LOC115491050",0.571617389632181,1.87571885730586,2.76663684774524e-06,0.00475707835765084
"gene-CEBPA|CEBPA","CEBPA",0.911853516612133,1.72940468804836,3.66148778591805e-06,0.00494249019303023
"gene-TKT|TKT","TKT",2.55765101780246,1.05292926286928,3.405039326326e-06,0.00494249019303023
"gene-NEK8|NEK8","NEK8",3.99900880421535,-1.07352957606818,3.83262567472457e-06,0.00494249019303023
"gene-DBI|DBI","DBI",1.53667907083548,1.30212021173241,4.29388766159423e-06,0.0051113778125516
"gene-COPG1|COPG1","COPG1",5.08011064614337,0.584012846320538,4.76760485027014e-06,0.00526990607556646
"gene-SHMT2|SHMT2","SHMT2",0.854752621366237,1.20507871988105,5.81896077902491e-06,0.0060032278703607
"gene-ANXA2|ANXA2","ANXA2",3.46413049720247,1.44975486359946,7.59001996448767e-06,0.00721931874087817
"gene-LOC100217705|LOC100217705","LOC100217705",-0.610111653860633,2.2261139178567,7.93075402875146e-06,0.00721931874087817
"gene-ENO1|ENO1","ENO1",3.52649548788089,1.17977698991073,1.00158460133719e-05,0.00861084539205171
"gene-MED13|MED13","MED13",7.61623878845892,-0.847950943466262,1.07977261914394e-05,0.00879446383223817
"gene-CSF3R|CSF3R","CSF3R",3.52642552066473,1.74877662072354,1.13956802597981e-05,0.00881740760101876
"gene-C15H12orf43|C15H12orf43","C15H12orf43",4.49077275659131,-0.761408015640395,1.2761660924685e-05,0.00930912643009651
"gene-TPM4|TPM4","TPM4",2.16109453148091,1.11252351510254,1.32342992867285e-05,0.00930912643009651
