"GeneID","Symbol","logCPM","PValue_spline","FDR_spline","FDR_factor","logFC_Heat_vs_Control","FDR_Heat_vs_Control","logFC_Rec2h_vs_Heat","FDR_Rec2h_vs_Heat","logFC_Rec24h_vs_Rec2h","FDR_Rec24h_vs_Rec2h","logFC_Rec2wk_vs_Rec24h","FDR_Rec2wk_vs_Rec24h","logFC_Rec2wk_vs_Control","FDR_Rec2wk_vs_Control"
"gene-CNGA4|CNGA4","CNGA4",2.21146157889515,0.000145748982005085,0.00255427401083016,0.153657545779777,5.85302041305461,0.17105169423763,-1.35437197122609,0.538023332424565,1.70275491983999,0.887513469905966,-3.121165848873,0.430133153275314,3.08023751279551,0.64701477133746
"gene-LOC140684400|LOC140684400","LOC140684400",-1.31433865443474,0.00029361564347888,0.00421493699706463,0.0574401074992323,-0.330420353871835,0.850061288141472,0.769029192716167,0.609828243983821,-1.56636925234427,0.881351538865029,-1.45592131321602,0.747110388542262,-2.58368172671596,0.335127645468079
"gene-SSTR4|SSTR4","SSTR4",-2.8697062970767,0.000789863507345912,0.00845891887624775,0.0794554629963207,1.28504476976261,0.60724544133716,1.61421210129044,0.374822344346751,-1.32423572838117,0.930799851867101,-2.53810084849086,0.581432756553075,-0.963079705818976,0.845404969945772
"gene-BCAT2|BCAT2","BCAT2",-0.551442393296967,0.00085427686798475,0.00890231281620471,0.0587627805115894,2.14832649318163,0.08133857227868,-0.014177814604142,0.991402886638613,0.0596348726059285,0.996216994695931,-0.0197790891811569,0.993853392646511,2.17400446200226,0.223704403258938
"gene-ADIPOQ|ADIPOQ","ADIPOQ",-0.965205632101289,0.000995011189693323,0.00983256587516231,0.0866183444010926,2.43096322995346,0.158729148111216,0.0287937552950183,0.98723933808614,-1.16108180825734,0.896905896611726,-0.420438151090665,0.916800785037143,0.878237025900467,0.79332117389713
"gene-LOC140680834|LOC140680834","LOC140680834",-0.459721530291427,0.00107370938629149,0.0103467111180706,0.069012383422255,2.37414336922962,0.106290245011349,0.058101392992769,0.971104320278063,-0.103215708905889,0.996216994695931,0.327312359944102,0.892173865033719,2.6563414132606,0.221220142233017
"gene-CPN1|CPN1","CPN1",2.00886349353343,0.00113450152933365,0.0107378661568429,0.0803090840243434,2.61208129124309,0.111822157057227,0.325385969248336,0.818772891000188,-0.249990887813587,0.993088217117691,-0.46411570365188,0.86370529729893,2.22336066902596,0.336728020288786
"gene-NUDT7|NUDT7","NUDT7",-1.57241906337228,0.00113351389587426,0.0107378661568429,0.0659517039378916,-0.320852717927821,0.838483187656506,1.52953270943643,0.146808112024074,-0.787684541826228,0.914242243438978,-1.84423654086482,0.469464179271637,-1.42324109118245,0.485133699311823
"gene-GYS2|GYS2","GYS2",-4.18650518282663,0.00131181094195574,0.0119385298976609,0.0677668089957594,2.74718239995618,0.213616559810896,1.73470782239435,0.301859401751906,-2.57849697975782,0.755237273332146,0.179694480442481,0.978201834315302,2.08308772303519,0.540363722413652
"gene-WLS|WLS","WLS",-1.24060814134786,0.00132725432310617,0.0120323729643046,0.0700729727217734,-0.297324240966086,0.841664343589396,1.57326893630488,0.10750742177265,-0.85075613198326,0.888857467920483,-1.59873658783309,0.511777617136997,-1.17354802447755,0.554791816999078
"gene-KIF18B|KIF18B","KIF18B",-0.933532140850294,0.00140211672562279,0.012543656010968,0.0694029005283965,1.37747690594715,0.20562925326919,0.35568287093889,0.731241150315466,-0.371454704364979,0.961005198158918,-0.956823734226555,0.632523848563504,0.40488133829451,0.863686113968681
"gene-LOC100231534|LOC100231534","LOC100231534",-1.2807805545563,0.00162969947201857,0.0139334802925345,0.0854824465062288,0.308507790976212,0.883935620164826,1.85777020067537,0.117481321554924,-0.621218299705789,0.952832963583212,-1.94765862022117,0.495583530959382,-0.402598928275377,0.910378542831181
"gene-LOC140682407|LOC140682407","LOC140682407",-1.5071643767908,0.00167076554360957,0.0142139069749082,0.0701568175125277,1.03828594300062,0.478808557774467,1.52292660010428,0.119865072217904,-0.705711859790561,0.923257285172901,-0.823482228230666,0.738363749385893,1.03201845508368,0.635677621419491
"gene-LOC140684408|LOC140684408","LOC140684408",-1.07759217555775,0.00170410879129721,0.0144183070231407,0.0518538375132923,1.09133270681576,0.3649489574036,0.213302132287665,0.875592880854994,-1.38751310280775,0.848095264906881,-0.264891916905449,0.943593881789854,-0.347770180609774,0.901657671947766
"gene-LOC121469922|LOC121469922","LOC121469922",-3.19152788215903,0.00176172489826009,0.0147286292817801,0.0514957372186283,2.44859206485221,0.144650557659898,0.119505597640391,0.954681756421454,-0.836197028317109,0.952863058276477,-1.02978969500803,0.788803392155388,0.702110939167462,0.842435897812087
"gene-LOC100226788|LOC100226788","LOC100226788",1.31138320293535,0.0017861592462114,0.0148526675632034,0.0604854237186757,1.38070392041199,0.160315032443254,0.697486772799687,0.397652161910121,-0.800516078541129,0.881351538865029,-0.313176630982947,0.8853500332152,0.964497983687599,0.520615801946078
"gene-PDCD1|PDCD1","PDCD1",-1.01504279697404,0.00185398943166376,0.0152365833536892,0.0535705048051568,0.373872239940693,0.7574195837004,1.5297156476202,0.0387623436380368,-1.06115760441592,0.764555587749007,-0.332563238391847,0.880399287067011,0.509867044753133,0.771243737867991
"gene-TRIM63|TRIM63","TRIM63",-2.92974454981324,0.00191137572067484,0.0156169689954821,0.0717259974340284,1.05382550893768,0.620854094435964,1.58100948320943,0.32725767462656,-0.596264537166961,0.967196980144737,-2.60250797719132,0.46379538319165,-0.563937522211169,0.895812936509818
"gene-LOC115492621|LOC115492621","LOC115492621",-2.1702348227952,0.00191435971834335,0.0156248505492422,0.0562827232760506,2.46386406822129,0.140352008645541,0.0478939267703451,0.981910400693013,-2.04098449260759,0.808967622900506,0.676614630991522,0.871403912163515,1.14738813337557,0.691145326120219
"gene-LOC100222802|LOC100222802","LOC100222802",-1.35344577974095,0.00191579427317251,0.0156283164877937,0.0544043177748651,0.53965541021881,0.663095769399517,1.43345371228988,0.0720850637809038,-1.96993038831679,0.537248169746813,0.364927558216828,0.894999242684669,0.368106292408723,0.87188603779321
"gene-LOC115491612|LOC115491612","LOC115491612",-2.30315919251306,0.00196748093541324,0.015915717446691,0.0521748967123398,1.08497136006375,0.423583415498093,0.410234648566367,0.777694294156222,-1.49266274857991,0.848973349009217,-0.536638907819922,0.883742989384236,-0.534095647769714,0.851733402707676
"gene-LOC100231564|LOC100231564","LOC100231564",-1.21585824293242,0.00203768611428503,0.0163299806414091,0.0659517039378916,0.159020619690892,0.921016738824338,1.81098858977951,0.0400569716377897,-0.942755505649579,0.855745624766289,-0.93035173055137,0.680186068207354,0.0969019732694529,0.972973212380399
"gene-LOC140681012|LOC140681012","LOC140681012",0.754617020482066,0.00205342689448042,0.0164221091431961,0.0527478376907807,1.78212848225881,0.128977988668206,-0.361740566848799,0.754546818693191,0.856351779837436,0.881351538865029,-0.118806338926365,0.95840687918517,2.15793335632108,0.221220142233017
"gene-TMEM198|TMEM198","TMEM198",-0.809794159546167,0.00208076063437343,0.0165807264762764,0.065462348481033,1.10542810903754,0.21041951259233,0.241085702012582,0.798528755811626,-0.332618672156842,0.960922815213,-0.783265396840216,0.640645859297217,0.230629742053059,0.908561802366342
"gene-IGFALS|IGFALS","IGFALS",1.07557204016987,0.00217486981069431,0.0171627283633322,0.0682977065338141,2.11083459023443,0.0652722235633997,-0.405773830571171,0.690840871805462,-0.24828578194788,0.992103694485789,0.615877069271562,0.749838598846248,2.07265204698694,0.221220142233017
"gene-LOC100229107|LOC100229107","LOC100229107",0.223672274717464,0.00235840518850708,0.0181682299289812,0.0547670487628552,0.602362065650616,0.432984387104346,0.442301017252634,0.548325142059566,-0.8607709251241,0.822904700039556,-0.398179313344357,0.833342812862774,-0.214287155565206,0.899263568407916
"gene-SBF2|SBF2","SBF2",-0.23951918948683,0.0023744492592282,0.0182536524026609,0.051039815303768,0.0155151963173348,0.987106793624266,1.11139161351232,0.0496089905261317,-0.800818357244913,0.767011600006742,-0.582390759046563,0.690103414513562,-0.256302306461818,0.857321237120408
"gene-MALL|MALL","MALL",-2.39285251728777,0.00245506136410078,0.0186601545233102,0.0535210265509109,2.68041805309989,0.0567731603304872,-0.62049420182507,0.641563298445467,0.147433486952435,0.996216994695931,-0.147830892192487,0.964278512771156,2.05952644603477,0.293209638675892
"gene-SOX11|SOX11","SOX11",-3.08864583009228,0.00249317424860761,0.0188849101797371,0.0521748967123398,3.31127980276031,0.0567731603304872,-0.815201894369284,0.61095129393233,0.313642527709916,0.993088217117691,0.00917299823296647,0.997461999132872,2.81889343433391,0.247680551163968
"gene-LOC100219761|LOC100219761","LOC100219761",-3.02532047832831,0.00252454911420432,0.0190390939110354,0.076043180624009,1.00485710812411,0.576106919733916,2.10195168098469,0.0792463928184386,-1.81704686538754,0.758026297171493,-0.403530107538383,0.916800785037143,0.88623181618288,0.758723708483352
"gene-RBM47|RBM47","RBM47",-1.07500309372638,0.00255553993918212,0.0191732298377413,0.0720521853966796,-0.466610942558815,0.792195498120638,2.32124982522889,0.0378982482904194,-1.60053877692153,0.755237273332146,-0.926708322932866,0.783449963199546,-0.672608217184315,0.812060488318753
"gene-TFEC|TFEC","TFEC",-1.13006396451188,0.00259307524969254,0.0193294024513449,0.0928252950464759,0.500646695865737,0.796253279807283,2.01218075880635,0.0654911243065407,-0.989954495704608,0.881351538865029,-1.04036141401558,0.71399878275358,0.482511544951906,0.882900687609962
"gene-LATS2|LATS2","LATS2",-0.986730055305377,0.00265057071104837,0.0196162514363814,0.0592141604375479,-0.437437025320384,0.615272638503433,0.369604023216766,0.711078668798419,-0.439667840039396,0.957536633144793,-1.08823525835972,0.56743417784031,-1.59573610050273,0.25056738717127
"gene-NES|NES","NES",-4.01041799685222,0.00267306385559802,0.0197261150049496,0.0619807317987611,1.36235158926457,0.479994804793316,0.776068430257281,0.688574695409071,-1.17485962571991,0.942022518769759,-1.8467021675327,0.636195801469267,-0.88314177373076,0.813996354828525
"gene-CCKBR|CCKBR","CCKBR",2.35698595291867,0.00276347262548046,0.0201530343446324,0.17845109471361,4.13303466889929,0.240265619238612,-1.05022373897473,0.695499736586842,1.74497183529551,0.904412745406004,-3.22494997876968,0.476606274197335,1.60283278645039,0.81565812477986
"gene-LOC115496004|LOC115496004","LOC115496004",-2.98823935169919,0.00280233466206782,0.0203501308754104,0.0875838144718263,1.2513497934809,0.527341405072671,1.89588388145245,0.177966174382975,-0.982647229154336,0.942225082410525,-1.7029564875889,0.624876855218412,0.46162995819011,0.908561802366342
"gene-TLR4|TLR4","TLR4",-1.28739165965405,0.00281197145629666,0.0203914050075871,0.11746769824546,0.763582427338316,0.607109593620013,1.11397301523581,0.29164119457296,-1.34472682506262,0.821916777871855,-0.807718995244141,0.798694621895044,-0.274890377732632,0.930535921083657
"gene-LOC115497097|LOC115497097","LOC115497097",-2.6374685907921,0.00285077005224942,0.0205788493540662,0.0763202805265735,2.74694629798171,0.19114763269442,-0.195439872162164,0.93766727870378,-1.39372160183823,0.936280746186169,-0.691993237147103,0.897506850982445,0.465791586834215,0.924791275828962
"gene-DRD5|DRD5","DRD5",-3.883254701763,0.00287861491464554,0.020719332932158,0.0511555760346993,1.1350617112078,0.452744502146008,1.02845885664431,0.466961521772801,-0.276430393771277,0.993088217117691,-2.10355491241714,0.443924518437555,-0.21646473833631,0.948095901766911
"gene-LOC140684798|LOC140684798","LOC140684798",-3.38940241961173,0.00288956186493728,0.0207691453134716,0.0518162676833241,2.46871588751721,0.152258434803189,-0.0808180854251912,0.973136783886866,0.0142698234549719,0.998396496607865,-1.74495667828416,0.588124470385661,0.657210947262837,0.855953647045766
"gene-PRKCG|PRKCG","PRKCG",-3.47451433130155,0.00290367049339297,0.0208415124699704,0.0550511787018233,1.30573396887747,0.481168201953906,0.385522406264837,0.858600476898907,0.275645674555405,0.995060427896184,-2.78358745836828,0.419805545296883,-0.81668540867057,0.825781618636795
"gene-HSPG2|HSPG2","HSPG2",0.486791893949706,0.0029150605407304,0.0208941926205665,0.0582882138201744,0.458971086269238,0.614446190813101,0.36358796072156,0.68884143590927,-0.836648737438248,0.873672949918052,-0.591115082250042,0.778271868207197,-0.605204772697492,0.685135643599402
"gene-RUFY4|RUFY4","RUFY4",-0.952343489522417,0.00301400881398605,0.0214247985284493,0.0512448975860653,-0.591521659618117,0.545311900822267,1.62161751616681,0.0346702725839784,-0.75086131135059,0.874879344600726,-1.01494067957801,0.566326981432302,-0.735706134379905,0.617837073670496
"gene-SLC8A1|SLC8A1","SLC8A1",1.01103610632569,0.00302739595186301,0.0214804916804585,0.0678208243524693,0.396467011389997,0.720371518887187,1.15484193107379,0.146808112024074,-0.796169494384289,0.881351538865029,-0.987946293025649,0.600224834907591,-0.232806844946156,0.912887783271428
"gene-LOC140681183|LOC140681183","LOC140681183",-2.46175876201298,0.00321377260046241,0.022463022128345,0.061948155524214,2.42966118010328,0.249876306001773,1.13567158305412,0.501131225708234,-2.83823727855171,0.754282881390273,2.51041252499575,0.506250305332236,3.23750800960144,0.269870262967548
"gene-NR1D1|NR1D1","NR1D1",-2.92093340277625,0.00321596248773407,0.0224681803601286,0.0600344391052409,2.51254094321209,0.1199140731911,0.283280322181036,0.878017519969443,0.388308331731136,0.986454525919479,-1.01513321428923,0.720697832071478,2.16899638283504,0.348577020557118
"gene-ARSK|ARSK","ARSK",-0.0615898115674647,0.00335001822411841,0.0230983504870709,0.0717844484828519,1.20937332855411,0.154712868768883,0.185844768406761,0.845817444796492,-0.542880098858115,0.930799851867101,-0.390102257393666,0.840205303194287,0.462235740709085,0.769234547387043
"gene-MEI4|MEI4","MEI4",-4.9614816968377,0.00335479350224552,0.0231043299720736,0.0522644104248255,-0.269072611969567,0.901848652467,2.48508919444209,0.0736409456334308,-0.79960837069136,0.952832963583212,-2.44796944345273,0.430133153275314,-1.03156123167157,0.716937152904867
