"GeneID","Symbol","logCPM","F_spline","FDR_spline","F_group","FDR_group"
"gene-DEGS1|DEGS1","DEGS1",6.88497439121415,29.3272916018063,3.51302161261161e-08,23.4190814803398,2.40427962033929e-08
"gene-SNX1|SNX1","SNX1",4.51095710424917,29.7579379230232,3.51302161261161e-08,26.0189623638806,8.14316434480814e-09
"gene-CKAP2L|CKAP2L","CKAP2L",8.63290647429229,28.9843497504756,3.51302161261161e-08,23.9007555275829,1.94522490780768e-08
"gene-LOC100227014|LOC100227014","LOC100227014",4.63224091702472,29.4624016795149,3.51302161261161e-08,26.3347731521831,8.14316434480814e-09
"gene-GFI1B|GFI1B","GFI1B",8.17532851980216,28.4930442785424,3.55407819658881e-08,22.7314000936473,2.86025073897129e-08
"gene-KDM4B|KDM4B","KDM4B",5.19073359235367,28.3065856039246,3.55407819658881e-08,23.009029829139,2.82111925090435e-08
"gene-ARSG|ARSG","ARSG",2.46280050029577,27.967176016716,3.76203734986643e-08,25.626452072271,8.14316434480814e-09
"gene-ISCU|ISCU","ISCU",10.7745529139818,26.1457671394755,1.04779508464416e-07,19.0773037769435,3.77052312589388e-07
"gene-NFIA|NFIA","NFIA",3.58254853740657,23.8696770009236,3.0984701176548e-07,16.5424980215277,1.58763047157496e-06
"gene-HERPUD1|HERPUD1","HERPUD1",4.58095954335012,23.7947647762818,3.0984701176548e-07,19.1677043265808,3.73871184308579e-07
"gene-NPRL3|NPRL3","NPRL3",7.42927488966076,23.7834340877592,3.0984701176548e-07,17.9386913733785,6.70741913700811e-07
"gene-RBM12|RBM12","RBM12",6.66447684603305,24.0097575868068,3.0984701176548e-07,29.9597600539875,1.64465931849007e-09
"gene-LOC115491955|LOC115491955","LOC115491955",6.28752596011506,23.8872084114745,3.0984701176548e-07,18.331683962987,5.88794754361567e-07
"gene-SETD5|SETD5","SETD5",5.76433701568151,22.8740026615649,5.38220283502086e-07,19.5696752762183,3.0981195608411e-07
"gene-DCAF6|DCAF6","DCAF6",5.6857160193139,22.3114154136417,6.57218688258649e-07,16.2372539727214,1.79124665169816e-06
