"GeneID","Symbol","logCPM","logFC_Heat_vs_Control","PValue_Heat_vs_Control","FDR_Heat_vs_Control","logFC_Rec2h_vs_Control","PValue_Rec2h_vs_Control","FDR_Rec2h_vs_Control","logFC_Rec24h_vs_Control","PValue_Rec24h_vs_Control","FDR_Rec24h_vs_Control","logFC_Rec2wk_vs_Control","PValue_Rec2wk_vs_Control","FDR_Rec2wk_vs_Control","logFC_Rec2h_vs_Heat","PValue_Rec2h_vs_Heat","FDR_Rec2h_vs_Heat","logFC_Rec24h_vs_Rec2h","PValue_Rec24h_vs_Rec2h","FDR_Rec24h_vs_Rec2h","logFC_Rec2wk_vs_Rec24h","PValue_Rec2wk_vs_Rec24h","FDR_Rec2wk_vs_Rec24h"
"gene-NEK8|NEK8","NEK8",3.99900880421535,1.13225416841813,6.73207821757003e-07,0.0104178910416896,0.0587245923499449,0.814277260985318,0.966233312569292,-0.451170185686398,0.0802593397640493,0.687539509931221,0.0912241756995176,0.693000489748486,0.911108512074728,-1.07352957606818,3.83262567472457e-06,0.00494249019303023,-0.509894778036343,0.0539220126849228,0.821916777871855,0.542394361385915,0.0282398058109194,0.506250305332236
"gene-DCAF6|DCAF6","DCAF6",5.6857160193139,-0.825135399488866,3.16743906936639e-05,0.0293037658605478,-0.673414181195837,0.00280919005527814,0.304990996615759,-0.0261147080965323,0.900778529431119,0.98928163023177,0.0271434379532822,0.890824966105351,0.971535871401242,0.151721218293029,0.436408111993468,0.725006428034087,0.647299473099305,0.00424107158663896,0.574378918616309,0.0532581460498145,0.789599967256786,0.956002974437606
"gene-LOC105759119|LOC105759119","LOC105759119",-4.20179264700924,3.98480593797706,3.40995074701264e-05,0.0293037658605478,3.82033179254218,0.000270756497597426,0.164344353797255,1.06873917058722,0.329127467817573,0.838805740803964,2.76683634597546,0.00632362500280513,0.26382659972256,-0.164474145434881,0.819148094174122,0.931379058459688,-2.75159262195497,0.00524847655519686,0.588752832507663,1.69809717538824,0.075846270315897,0.587711280266112
"gene-HSP90AB1|HSP90AB1","HSP90AB1",3.91399991320168,1.40384558756385,1.73727310977261e-05,0.0293037658605478,0.124754313798247,0.736154393176338,0.952705207402513,-0.147562322937127,0.690498029268091,0.957979132935441,0.0207565805627601,0.952124904230429,0.986682708964433,-1.2790912737656,0.000108807907001306,0.0186509776698893,-0.272316636735374,0.471098822603448,0.960922815213,0.168318903499888,0.633961634205404,0.910182995015108
"gene-LOC115494487|LOC115494487","LOC115494487",0.155794951883264,1.8703976808059,7.95409539459417e-06,0.0293037658605478,1.3230868324631,0.00349650067411277,0.31885397632909,0.641958538989726,0.16689635891923,0.74839790039846,0.540899283508077,0.224142842866512,0.646626344765072,-0.547310848342792,0.0822252803696313,0.344087672720401,-0.681128293473378,0.0937582131327604,0.864900131574504,-0.101059255481648,0.80412866916821,0.959348532924554
"gene-AGTR2|AGTR2","AGTR2",-1.76716942015002,-2.88919306321346,1.76228046849723e-05,0.0293037658605478,-1.25950853427371,0.054166302114071,0.590762166944182,-1.73299724733699,0.0132039431839118,0.595047441941114,-1.49897712140934,0.0140862513164014,0.305300755071864,1.62968452893975,0.02917081905866,0.207931103147288,-0.473488713063276,0.546294731886903,0.974362849580496,0.23402012592765,0.753218555928344,0.943733880089962
"gene-SLC7A3|SLC7A3","SLC7A3",6.39130347385623,0.961848624228725,3.8822355574576e-06,0.0293037658605478,0.483380035486309,0.0342511391855043,0.549260496264953,-0.0863055918679896,0.69661229567013,0.959163712819142,0.425677084499849,0.0440362151939817,0.40127174686555,-0.478468588742415,0.0168426001914083,0.160393377207412,-0.569685627354299,0.0139712861388198,0.754282881390273,0.511982676367839,0.017208361449736,0.459416680032907
"gene-HSPE1|HSPE1","HSPE1",5.6581507741864,1.03260572758353,3.18245957830272e-05,0.0293037658605478,0.463454589879155,0.0923690963658378,0.648847828534426,0.000966631624284453,0.99714341844758,0.999308477986381,0.21790987143009,0.392636556429044,0.769461496712249,-0.569151137704379,0.0178519691149635,0.164546500143835,-0.46248795825487,0.0948129358289701,0.864900131574504,0.216943239805806,0.397706057162073,0.830903366353866
"gene-LOC121470314|LOC121470314","LOC121470314",-1.36246045183348,2.20027528449176,2.20073553500782e-05,0.0293037658605478,1.6492361846444,0.00346862797400488,0.31885397632909,1.4766400930534,0.00868787502108665,0.572372998734747,1.55272179935442,0.00398998688405264,0.235348887093811,-0.551039099847361,0.159009089857309,0.468341390472375,-0.172596091591001,0.712423319822883,0.993088217117691,0.0760817063010228,0.862882438384791,0.973116581693969
"gene-LOC140684620|LOC140684620","LOC140684620",-3.34719660387838,3.88238492546308,1.14093940539115e-05,0.0293037658605478,2.91431235232036,0.00282297679858235,0.304990996615759,1.49874841698361,0.128565746470083,0.720604891720358,2.61988322888775,0.00469777955397793,0.247680551163968,-0.968072573142721,0.155404709275652,0.464676155215037,-1.41556393533675,0.10537019280965,0.87431835588704,1.12113481190414,0.173210321473113,0.701132546376254
