"GeneID","Symbol","logCPM","logFC_Heat_vs_Control","PValue_Heat_vs_Control","FDR_Heat_vs_Control","logFC_Rec2h_vs_Control","PValue_Rec2h_vs_Control","FDR_Rec2h_vs_Control","logFC_Rec24h_vs_Control","PValue_Rec24h_vs_Control","FDR_Rec24h_vs_Control","logFC_Rec2wk_vs_Control","PValue_Rec2wk_vs_Control","FDR_Rec2wk_vs_Control","logFC_Rec2h_vs_Heat","PValue_Rec2h_vs_Heat","FDR_Rec2h_vs_Heat","logFC_Rec24h_vs_Rec2h","PValue_Rec24h_vs_Rec2h","FDR_Rec24h_vs_Rec2h","logFC_Rec2wk_vs_Rec24h","PValue_Rec2wk_vs_Rec24h","FDR_Rec2wk_vs_Rec24h"
"gene-LOC140684310|LOC140684310","LOC140684310",-0.992017384258125,0.695818453895568,0.0748456813328749,0.418465917693862,0.629139594720788,0.111733331801569,0.538222010400323,-0.0817202389943757,0.861609120472565,0.979892786015503,-0.676719744602712,0.143103527285935,0.57652075910768,-0.06667885917478,0.277670707760293,0.6411450615623,-0.710859833715164,0.0456674062728593,0.226217385426536,-0.594999505608336,0.196901594057171,0.771541562453415
"gene-LOC140684313|LOC140684313","LOC140684313",0.0555645986710958,0.4484186365739,0.342327225072086,0.692005687991435,0.416059894148699,0.384421123235436,0.751802583941638,-0.086356395607963,0.87976262348867,0.983054848616302,-1.48920095301443,0.0142397119579632,0.314481430006577,-0.0323587424252014,0.664995222036289,0.870552496490278,-0.502416289756662,0.24671721640054,0.523939745272176,-1.40284455740647,0.0174542688450937,0.556411856052254
"gene-LOC100221041|LOC100221041","LOC100221041",-0.0156058213918783,-0.19631724294538,0.477727409731783,0.777951312366562,-0.0624694559121292,0.823832315198853,0.948924829006494,0.780903743523633,0.0154468353270216,0.498741136105556,0.551727310046247,0.0744017239163794,0.478026973580092,0.133847787033251,0.00104839815613534,0.0716920516428479,0.843373199435762,0.000361819918235201,0.017122823347675,-0.229176433477386,0.42913665044013,0.87155391285632
"gene-CMSS1|CMSS1","CMSS1",-0.0392235765369921,-0.400064275624653,0.140191591895063,0.507212092487376,-0.34264345908171,0.213240655108334,0.638487971305837,0.199095991996062,0.541131446882935,0.899351248439719,0.725646960903712,0.0166896642694449,0.324444228887956,0.0574208165429427,0.175865936731681,0.538358889998207,0.541739451077772,0.0261521243090949,0.168637468902278,0.52655096890765,0.0897126000634127,0.677237288028087
"gene-FILIP1L|FILIP1L","FILIP1L",1.14931026291457,0.0612706012916772,0.786764980431359,0.925282336304045,0.0716691979170456,0.755673809364258,0.924720323894231,0.100841450344111,0.716606264821162,0.952044939684968,0.000363592151280397,0.998876225833152,0.999522120579892,0.0103985966253684,0.774628731461648,0.922035198782325,0.0291722524270651,0.887540272841281,0.951604423022615,-0.10047785819283,0.706623122052332,0.944580926412164
"gene-DCBLD2|DCBLD2","DCBLD2",-0.343401542893445,-0.445950589347765,0.218801063146698,0.585572480512269,-0.389612902642064,0.290108026375056,0.692710026610358,0.150765712981817,0.722262925834721,0.952279555855583,0.568377359315874,0.155705524961778,0.590589923321523,0.0563376867057001,0.29739009411306,0.658573512650201,0.540378615623881,0.0819215645060184,0.30112499067236,0.417611646334058,0.292034893296874,0.829171838094847
"gene-TBC1D23|TBC1D23","TBC1D23",4.29141915002836,-0.344245066601199,0.0133970287567386,0.247660357542807,-0.335579920639714,0.0175269133253271,0.359958507845825,-0.141216733389623,0.400752830520047,0.847590223898857,0.0340474574345498,0.825795501840094,0.958248209500148,0.0086651459614852,0.693946349484607,0.883698607972659,0.194363187250091,0.123254020028931,0.368059930481435,0.175264190824173,0.27992738583068,0.827384698663375
"gene-NIT2|NIT2","NIT2",4.52873011200407,0.158445511219853,0.355142050486392,0.700194066922781,0.208295612925878,0.233013436092587,0.653040399927296,0.446187019259604,0.0323423417984586,0.539376546265004,0.43109882341225,0.0281475190928813,0.368861086434731,0.0498501017060247,0.0620160681660686,0.369909990915758,0.237891406333726,0.116448087863528,0.357972618134306,-0.0150881958473537,0.937942933756004,0.98961388831214
"gene-TOMM70|TOMM70","TOMM70",4.33405531042734,-0.0887087084866599,0.476294539069847,0.776539963116545,-0.102031014731345,0.42067086637511,0.772319685514913,-0.140888882349145,0.358796820430537,0.821479626596029,-0.0612090667229394,0.666694065271417,0.907777840925051,-0.0133223062446847,0.507323055310546,0.793653890106217,-0.0388578676178004,0.733133482027525,0.880981873580576,0.0796798156262055,0.589179974389072,0.916350035735193
"gene-TFG|TFG","TFG",4.54321518318106,0.116527894236315,0.447324632430556,0.758709812738466,0.147946677429194,0.343396611071695,0.726361749088911,0.303084104027549,0.103784561004949,0.6313635145631,0.400012201458499,0.0232544217184801,0.350742861689551,0.0314187831928788,0.190059690447727,0.553673842916713,0.155137426598356,0.254768521770563,0.532716017765303,0.0969280974309499,0.580174719079741,0.914859888658911
"gene-ABI3BP|ABI3BP","ABI3BP",-5.55487459253817,-0.00186202297035722,0.998277249693458,0.999585897138733,-0.0739951670744964,0.932737662221253,0.979639069620458,-0.499819003134831,0.638469994206601,0.929565080560268,-0.472991233814843,0.633897298269972,0.894647451811214,-0.0721331441041392,0.605464788978119,0.843630622246941,-0.425823836060335,0.59162795285089,0.802475464139497,0.026827769319988,0.979163982266456,0.9956203175078
"gene-LOC140684318|LOC140684318","LOC140684318",-2.97449320986078,0.739624182126258,0.531919553666344,0.808035250121397,0.71255951084143,0.553936225327226,0.841938179668291,0.370857519785226,0.793758473220799,0.964147649649154,1.19112214949704,0.359792495325711,0.764911233021758,-0.0270646712848274,0.882132549050516,0.962927984022141,-0.341701991056204,0.741546138525291,0.884545730139695,0.820264629711819,0.538013518563443,0.901513298801472
"gene-LOC140684497|LOC140684497","LOC140684497",7.70538685097136,0.0911441468859786,0.56352326863641,0.823234808719427,0.0400481298861608,0.80266174711347,0.942345076649805,-0.261025795422822,0.175860778531844,0.709327652964617,0.0800309077295869,0.655714277982901,0.903747972850141,-0.0510960169998177,0.0433882138153465,0.325148963095636,-0.301073925308983,0.0366825619182577,0.201441676964173,0.341056703152409,0.066225309271299,0.635971155793967
