"GeneID","Symbol","logCPM","PValue_spline","FDR_spline","FDR_factor","logFC_Heat_vs_Control","FDR_Heat_vs_Control","logFC_Rec2h_vs_Heat","FDR_Rec2h_vs_Heat","logFC_Rec24h_vs_Rec2h","FDR_Rec24h_vs_Rec2h","logFC_Rec2wk_vs_Rec24h","FDR_Rec2wk_vs_Rec24h","logFC_Rec2wk_vs_Control","FDR_Rec2wk_vs_Control"
"gene-RBM12|RBM12","RBM12",6.66447684603305,1.10299151265377e-13,1.7068793658317e-09,1.64465931849007e-09,0.448697700739269,0.0549739185293675,-0.65859674757368,0.00429572967334925,-0.154429816107574,0.942022518769759,0.0437169374442563,0.940924933455783,-0.320611925497729,0.315345675229385
"gene-SNX1|SNX1","SNX1",4.51095710424917,3.00606473082864e-12,1.16297129273933e-08,8.14316434480814e-09,-0.367534751895579,0.0908071141903509,0.397802667484235,0.0533448818920735,0.231684830498644,0.864900131574504,0.128828752792502,0.788892915886651,0.390781498879802,0.221220142233017
"gene-ARSG|ARSG","ARSG",2.46280050029577,6.51990884400874e-12,1.97528766735374e-08,8.14316434480814e-09,-1.17926882924066,0.0489700259749063,1.25962947484156,0.0186509776698893,0.727935103584575,0.754927305105386,-0.291764861493298,0.785092766973583,0.516530887692177,0.47179347897234
"gene-LOC100227014|LOC100227014","LOC100227014",4.63224091702472,6.80825624692497e-13,5.2678882710582e-09,8.14316434480814e-09,1.13079200889727,0.0293037658605478,-0.698515873661741,0.109784132832861,-1.01316671238851,0.547953324770514,0.149927601910532,0.906282307646137,-0.43096297524245,0.557814918726064
"gene-NEK8|NEK8","NEK8",3.99900880421535,2.94682932321579e-12,1.16297129273933e-08,8.23397080111511e-09,1.13225416841813,0.0104178910416896,-1.07352957606818,0.00494249019303023,-0.509894778036343,0.821916777871855,0.542394361385915,0.506250305332236,0.0912241756995176,0.911108512074728
"gene-CKAP2L|CKAP2L","CKAP2L",8.63290647429229,7.65862746631498e-12,1.97528766735374e-08,1.94522490780768e-08,0.828430612134559,0.0347980088337896,-0.530692197693662,0.124263405844121,-0.67152244484042,0.574378918616309,0.0819646047470997,0.928373894927807,-0.291819425652424,0.58992242231324
"gene-DEGS1|DEGS1","DEGS1",6.88497439121415,1.06589472501938e-11,2.35638869566785e-08,2.40427962033929e-08,0.732179820211492,0.103828704359744,-0.573157815917289,0.199357358096708,-0.902551966856909,0.574378918616309,0.021500924048989,0.987832652567986,-0.722029038513717,0.27679747384739
"gene-CCNB2|CCNB2","CCNB2",5.41161639752752,2.22579820039654e-11,3.82713635012627e-08,2.82111925090435e-08,0.56065611929113,0.0981475846214444,-0.8275392002717,0.0154201601875972,-0.555868805259074,0.754282881390273,0.438677688515466,0.523768999685372,-0.384074197724178,0.442516344913603
"gene-KDM4B|KDM4B","KDM4B",5.19073359235367,2.65570343282532e-11,4.10970106229719e-08,2.82111925090435e-08,-0.550785671463825,0.0567731603304872,0.395348971545068,0.149330265880191,0.346519374126657,0.817363165322574,0.170456349936246,0.781589473745045,0.361539024144146,0.348385794399455
"gene-GFI1B|GFI1B","GFI1B",8.17532851980216,1.83917557067919e-11,3.55765524453256e-08,2.86025073897129e-08,0.672000432915858,0.08133857227868,-0.457571017828663,0.241874745730702,-0.442662501154323,0.850256752781632,-0.422194440144203,0.580298067545334,-0.65042752621133,0.262506972714123
"gene-USP5|USP5","USP5",3.44559399455619,6.45230267239536e-11,9.07721671411983e-08,4.37758976328901e-08,-0.601593648508546,0.0692619118647574,0.804702432159571,0.0139578115608426,0.0972945909877194,0.985541190568865,0.115971419263462,0.876984742205887,0.416374793902206,0.348525361566989
"gene-SETD5|SETD5","SETD5",5.76433701568151,3.20235070916156e-10,3.53974123030537e-07,3.0981195608411e-07,-0.442876026095975,0.115103478728069,0.429520573884759,0.119813604041857,0.214940171005127,0.923257285172901,0.245279788177031,0.674609362801286,0.446864506970942,0.27441784413152
"gene-DISP1|DISP1","DISP1",3.44123229595507,5.16203793515067e-10,4.43791872480315e-07,3.16452048518901e-07,-0.576448973655376,0.0884234909722424,0.719546124871244,0.0258214669579914,0.223347052162683,0.942022518769759,0.0263654842012815,0.979059377346118,0.392809687579832,0.390155700357977
