"GeneID","Symbol"
"gene-TNNC2|TNNC2","TNNC2"
"gene-MYBPH|MYBPH","MYBPH"
"gene-LOC140684500|LOC140684500","LOC140684500"
"gene-S100B|S100B","S100B"
"gene-LOC115490732|LOC115490732","LOC115490732"
"gene-NDUFA10|NDUFA10","NDUFA10"
"gene-NDUFA12|NDUFA12","NDUFA12"
"gene-SUCLA2|SUCLA2","SUCLA2"
"gene-ATP5PO|ATP5PO","ATP5PO"
"gene-GABRA2|GABRA2","GABRA2"
"gene-GLRX3|GLRX3","GLRX3"
"gene-CABLES1|CABLES1","CABLES1"
"gene-MMADHC|MMADHC","MMADHC"
"gene-TTC36|TTC36","TTC36"
"gene-FH|FH","FH"
"gene-ALDH8A1|ALDH8A1","ALDH8A1"
"gene-SLC25A33|SLC25A33","SLC25A33"
"gene-MDH2|MDH2","MDH2"
"gene-NDUFA4|NDUFA4","NDUFA4"
"gene-COX7A2|COX7A2","COX7A2"
"gene-MPC2|MPC2","MPC2"
"gene-LOC100224950|LOC100224950","LOC100224950"
"gene-LOC100218152|LOC100218152","LOC100218152"
"gene-LOC140685148|LOC140685148","LOC140685148"
"gene-UQCRB|UQCRB","UQCRB"
"gene-RTN4|RTN4","RTN4"
"gene-ATP5PB|ATP5PB","ATP5PB"
"gene-ATP5PF|ATP5PF","ATP5PF"
"gene-LOC140681269|LOC140681269","LOC140681269"
"gene-NDUFS2|NDUFS2","NDUFS2"
"gene-MRPS14|MRPS14","MRPS14"
"gene-GNMT|GNMT","GNMT"
"gene-NDUFB8|NDUFB8","NDUFB8"
"gene-ATP5F1C|ATP5F1C","ATP5F1C"
"gene-LOC100226551|LOC100226551","LOC100226551"
"gene-RBP4|RBP4","RBP4"
"gene-SLC25A20|SLC25A20","SLC25A20"
"gene-ATP5MF|ATP5MF","ATP5MF"
"gene-ABHD14B|ABHD14B","ABHD14B"
"gene-EML6|EML6","EML6"
"gene-PRDX3|PRDX3","PRDX3"
"gene-BLOC1S1|BLOC1S1","BLOC1S1"
"gene-ACADL|ACADL","ACADL"
"gene-NDUFS7|NDUFS7","NDUFS7"
"gene-ATP5MC3|ATP5MC3","ATP5MC3"
"gene-GALK2|GALK2","GALK2"
"gene-LOC100222802|LOC100222802","LOC100222802"
"gene-ESD|ESD","ESD"
"gene-COQ10B|COQ10B","COQ10B"
"gene-NDUFS1|NDUFS1","NDUFS1"
"gene-LOC100231722|LOC100231722","LOC100231722"
"gene-PHB1|PHB1","PHB1"
"gene-PPP1R21|PPP1R21","PPP1R21"
"gene-COX7B|COX7B","COX7B"
"gene-PRDX1|PRDX1","PRDX1"
"gene-NDUFB4|NDUFB4","NDUFB4"
"gene-ATP5F1B|ATP5F1B","ATP5F1B"
"gene-GJB1|GJB1","GJB1"
"gene-CISD1|CISD1","CISD1"
"gene-ACO2|ACO2","ACO2"
"gene-ETFA|ETFA","ETFA"
"gene-XYLB|XYLB","XYLB"
"gene-RANBP3L|RANBP3L","RANBP3L"
"gene-NDUFB5|NDUFB5","NDUFB5"
"gene-UQCR10|UQCR10","UQCR10"
"gene-LOC100229480|LOC100229480","LOC100229480"
"gene-ATP5PD|ATP5PD","ATP5PD"
"gene-AKR1D1|AKR1D1","AKR1D1"
"gene-LOC140682356|LOC140682356","LOC140682356"
"gene-NDUFB9|NDUFB9","NDUFB9"
"gene-LOC100227038|LOC100227038","LOC100227038"
"gene-PFDN5|PFDN5","PFDN5"
"gene-NDUFB6|NDUFB6","NDUFB6"
"gene-BCKDHB|BCKDHB","BCKDHB"
"gene-ATP5MK|ATP5MK","ATP5MK"
